T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 MO NI 0.0 1.0 -1521.871 7989.419 31.901023 -9511.29000745 575.0 0.85 -1521.871 0.0 -1042.4491903721046
298.15 MO NI 1.0 0.0 -8515.141 -0.002619585 28.559915 -8515.13865725 5.75e-10 8.5e-13 -8515.141 0.0 -2.3998092509008474e-69
298.15 MO NI 0.01 0.99 -1332.426 8308.202 32.334826 -9640.628371899998 569.25 0.8415 -1591.8037 -138.82602141683572 -1010.6616647419114
298.15 MO NI 0.02 0.98 -1114.449 8621.054 32.653037 -9735.502981549998 563.5 0.833 -1661.7364000000002 -243.03584172567548 -979.2479402806309
298.15 MO NI 0.03 0.97 -889.3944 8927.917 32.927423 -9817.311167449998 557.75 0.8245 -1731.6691 -334.02154674813943 -948.2115681597018
298.15 MO NI 0.04 0.96 -661.8676 9228.735 33.173245 -9890.60299675 552.0 0.816 -1801.6018000000001 -416.3281974105132 -917.556195514785
298.15 MO NI 0.05 0.95 -434.0877 9523.453 33.397756 -9957.5409514 546.25 0.8075 -1871.5345 -492.11297050679866 -887.285570553273
298.15 MO NI 0.06 0.94 -207.3859 9812.015 33.605235 -10019.40081525 540.5 0.799 -1941.4671999999998 -562.6452650375949 -857.4035480589283
298.15 MO NI 0.07 0.93 17.33838 10094.36 33.79851 -10077.0257565 534.75 0.7905 -2011.3999000000001 -628.7628773593874 -827.9140953333723
298.15 MO NI 0.08 0.92 239.4286 10370.45 33.979599 -10131.01744185 529.0 0.782 -2081.3326 -691.0604007790716 -798.8212986190266
298.15 MO NI 0.09 0.91 458.3789 10640.2 34.150012 -10181.826077799999 523.25 0.7735 -2151.2653 -749.9816351924776 -770.1293700537575
298.15 MO NI 0.1 0.9 673.7834 10903.59 34.310927 -10229.80288505 517.5 0.765 -2221.1980000000003 -805.870345271772 -741.8426552139449
298.15 MO NI 0.11 0.89 885.306 11160.54 34.463289 -10275.229615350001 511.75 0.7565 -2291.1307 -859.000492370776 -713.965641310195
298.15 MO NI 0.12 0.88 1092.661 11411.0 34.607874 -10318.3376331 506.0 0.748 -2361.0634 -909.5953759771999 -686.5029661086496
298.15 MO NI 0.13 0.87 1295.6 11654.92 34.745333 -10359.32103395 500.25 0.7395 -2430.9961000000003 -957.840348132521 -659.4594276609371
298.15 MO NI 0.14 0.86 1493.905 11892.25 34.876221 -10398.345291149999 494.5 0.731 -2500.9288 -1003.8915915105914 -632.8399949376828
298.15 MO NI 0.15 0.85 1687.379 12122.93 35.001017 -10435.553218549998 488.75 0.7225 -2570.8615 -1047.882375954332 -606.6498194743813
298.15 MO NI 0.16 0.84 1875.845 12346.92 35.120144 -10471.0709336 483.0 0.714 -2640.7942000000003 -1089.9276385420173 -580.8942481547824
298.15 MO NI 0.17 0.83 2059.139 12564.15 35.233973 -10505.009049949998 477.25 0.7055 -2710.7269 -1130.1274135160918 -555.5788372763093
298.15 MO NI 0.18 0.82 2237.109 12774.58 35.342842 -10537.468342299999 471.5 0.697 -2780.6596 -1168.5694517045056 -530.7093680649807
