T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 MO TI 0.0 1.0 -4597.55 6475.8 37.1402 -11073.350629999999 0.0 0.0 -4597.55 0.0 -0.0
298.15 MO TI 1.0 0.0 -8515.141 -0.002619636 28.559915 -8515.13865725 0.0 0.0 -8515.141 0.0 -0.0
298.15 MO TI 0.01 0.99 -4736.348 6450.246 37.520022 -11186.594559299998 0.0 0.0 -4636.72591 -138.82602141683572 -0.0
298.15 MO TI 0.02 0.98 -4842.106 6423.116 37.783741 -11265.222379149998 0.0 0.0 -4675.90182 -243.03584172567548 -0.0
298.15 MO TI 0.03 0.97 -4936.192 6394.434 38.003106 -11330.6260539 0.0 0.0 -4715.07773 -334.02154674813943 -0.0
298.15 MO TI 0.04 0.96 -5023.126 6364.224 38.193361 -11387.35058215 0.0 0.0 -4754.25364 -416.3281974105132 -0.0
298.15 MO TI 0.05 0.95 -5105.043 6332.51 38.361742 -11437.553377299999 0.0 0.0 -4793.42955 -492.11297050679866 -0.0
298.15 MO TI 0.06 0.94 -5183.187 6299.316 38.512506 -11482.503663899999 0.0 0.0 -4832.60546 -562.6452650375949 -0.0
298.15 MO TI 0.07 0.93 -5258.373 6264.666 38.648463 -11523.039243449999 0.0 0.0 -4871.78137 -628.7628773593874 -0.0
298.15 MO TI 0.08 0.92 -5331.171 6228.584 38.771608 -11559.754925199999 0.0 0.0 -4910.9572800000005 -691.0604007790716 -0.0
298.15 MO TI 0.09 0.91 -5402.0 6191.094 38.883428 -11593.0940582 0.0 0.0 -4950.1331900000005 -749.9816351924776 -0.0
298.15 MO TI 0.1 0.9 -5471.18 6152.22 38.985077 -11623.400707549998 0.0 0.0 -4989.3091 -805.870345271772 -0.0
298.15 MO TI 0.11 0.89 -5538.963 6111.986 39.077473 -11650.948574949998 0.0 0.0 -5028.48501 -859.000492370776 -0.0
298.15 MO TI 0.12 0.88 -5605.545 6070.416 39.161367 -11675.961571049998 0.0 0.0 -5067.66092 -909.5953759771999 -0.0
298.15 MO TI 0.13 0.87 -5671.09 6027.534 39.237379 -11698.624548849999 0.0 0.0 -5106.83683 -957.840348132521 -0.0
298.15 MO TI 0.14 0.86 -5735.73 5983.364 39.306033 -11719.09373895 0.0 0.0 -5146.01274 -1003.8915915105914 -0.0
298.15 MO TI 0.15 0.85 -5799.572 5937.93 39.367776 -11737.502414399998 0.0 0.0 -5185.18865 -1047.882375954332 -0.0
