T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 MO ZR 0.0 1.0 -6719.723 7311.125 47.059694 -14030.8477661 0.0 0.0 -6719.723 0.0 -0.0
298.15 MO ZR 1.0 0.0 -8515.141 -0.002619618 28.559915 -8515.13865725 0.0 0.0 -8515.141 0.0 -0.0
298.15 MO ZR 0.01 0.99 -6692.602 7425.194 47.351321 -14117.796356149998 0.0 0.0 -6737.677180000001 -138.82602141683572 -0.0
298.15 MO ZR 0.02 0.98 -6634.466 7535.094 47.524936 -14169.559668399997 0.0 0.0 -6755.631359999999 -243.03584172567548 -0.0
298.15 MO ZR 0.03 0.97 -6566.71 7640.836 47.652342 -14207.545767299998 0.0 0.0 -6773.58554 -334.02154674813943 -0.0
298.15 MO ZR 0.04 0.96 -6493.884 7742.431 47.748834 -14236.3148571 0.0 0.0 -6791.53972 -416.3281974105132 -0.0
298.15 MO ZR 0.05 0.95 -6418.147 7839.893 47.821699 -14258.039556849999 0.0 0.0 -6809.4938999999995 -492.11297050679866 -0.0
298.15 MO ZR 0.06 0.94 -6340.773 7933.232 47.875246 -14274.004594899998 0.0 0.0 -6827.448079999999 -562.6452650375949 -0.0
298.15 MO ZR 0.07 0.93 -6262.603 8022.46 47.912337 -14285.06327655 0.0 0.0 -6845.40226 -628.7628773593874 -0.0
298.15 MO ZR 0.08 0.92 -6184.235 8107.59 47.935017 -14291.82531855 0.0 0.0 -6863.35644 -691.0604007790716 -0.0
298.15 MO ZR 0.09 0.91 -6106.116 8188.634 47.944826 -14294.749871899998 0.0 0.0 -6881.31062 -749.9816351924776 -0.0
298.15 MO ZR 0.1 0.9 -6028.594 8265.602 47.94297 -14294.1965055 0.0 0.0 -6899.264800000001 -805.870345271772 -0.0
298.15 MO ZR 0.11 0.89 -5951.946 8338.508 47.930418 -14290.4541267 0.0 0.0 -6917.21898 -859.000492370776 -0.0
298.15 MO ZR 0.12 0.88 -5876.399 8407.363 47.907971 -14283.76155365 0.0 0.0 -6935.17316 -909.5953759771999 -0.0
298.15 MO ZR 0.13 0.87 -5802.142 8472.178 47.876303 -14274.319739449998 0.0 0.0 -6953.12734 -957.840348132521 -0.0
298.15 MO ZR 0.14 0.86 -5729.333 8532.967 47.835989 -14262.300120349999 0.0 0.0 -6971.08152 -1003.8915915105914 -0.0
298.15 MO ZR 0.15 0.85 -5658.111 8589.74 47.787527 -14247.851175049998 0.0 0.0 -6989.035699999999 -1047.882375954332 -0.0
298.15 MO ZR 0.16 0.84 -5588.594 8642.51 47.731354 -14231.1031951 0.0 0.0 -7006.98988 -1089.9276385420173 -0.0
298.15 MO ZR 0.17 0.83 -5520.884 8691.288 47.667858 -14212.1718627 0.0 0.0 -7024.94406 -1130.1274135160918 -0.0
298.15 MO ZR 0.18 0.82 -5455.074 8736.086 47.597385 -14191.16033775 0.0 0.0 -7042.89824 -1168.5694517045056 -0.0
298.15 MO ZR 0.19 0.81 -5391.244 8776.917 47.520246 -14168.1613449 0.0 0.0 -7060.85242 -1205.3312553507326 -0.0
298.15 MO ZR 0.2 0.8 -5329.467 8813.792 47.436723 -14143.25896245 0.0 0.0 -7078.8066 -1240.4816826440385 -0.0
298.15 MO ZR 0.21 0.79 -5269.807 8846.723 47.347075 -14116.530411249998 0.0 0.0 -7096.7607800000005 -1274.08222978906 -0.0
298.15 MO ZR 0.22 0.78 -5212.324 8875.722 47.251538 -14088.046054699998 0.0 0.0 -7114.714959999999 -1306.188067542519 -0.0
298.15 MO ZR 0.23 0.77 -5157.07 8900.801 47.15033 -14057.870889499998 0.0 0.0 -7132.66914 -1336.8488881016199 -0.0
