T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 N TA 0.0 1.0 -12364.82 -0.00107989 41.471806 -12364.8189589 0.0 0.0 -12364.82 0.0 -0.0
298.15 N TA 1.0 0.0 67222.4 88042.42 69.830698 -20820.022608699997 0.0 0.0 67222.4 0.0 -0.0
298.15 N TA 0.01 0.99 -19751.62 -6948.066 42.943337 -12803.55592655 0.0 0.0 -11568.9478 -138.82602141683572 -0.0
298.15 N TA 0.02 0.98 -26877.68 -13737.98 44.070777 -13139.702162549998 0.0 0.0 -10773.075599999998 -243.03584172567548 -0.0
298.15 N TA 0.03 0.97 -33807.18 -20369.74 45.069377 -13437.43475255 0.0 0.0 -9977.203399999999 -334.02154674813943 -0.0
298.15 N TA 0.04 0.96 -40553.74 -26843.35 45.984869 -13710.38869235 0.0 0.0 -9181.3312 -416.3281974105132 -0.0
298.15 N TA 0.05 0.95 -47123.85 -33158.81 46.838957 -13965.03502955 0.0 0.0 -8385.458999999999 -492.11297050679866 -0.0
298.15 N TA 0.06 0.94 -53521.31 -39316.12 47.644416 -14205.182630399999 0.0 0.0 -7589.586799999999 -562.6452650375949 -0.0
298.15 N TA 0.07 0.93 -59748.62 -45315.28 48.409676 -14433.344899399997 0.0 0.0 -6793.714599999998 -628.7628773593874 -0.0
298.15 N TA 0.08 0.92 -65807.59 -51156.29 49.140718 -14651.305071699999 0.0 0.0 -5997.842400000001 -691.0604007790716 -0.0
298.15 N TA 0.09 0.91 -71699.54 -56839.14 49.842008 -14860.394685199999 0.0 0.0 -5201.9702 -749.9816351924776 -0.0
298.15 N TA 0.1 0.9 -77425.49 -62363.84 50.517006 -15061.6453389 0.0 0.0 -4406.098 -805.870345271772 -0.0
298.15 N TA 0.11 0.89 -82986.28 -67730.4 51.168468 -15255.878734199998 0.0 0.0 -3610.225800000001 -859.000492370776 -0.0
298.15 N TA 0.12 0.88 -88382.56 -72938.8 51.798641 -15443.76481415 0.0 0.0 -2814.3536000000013 -909.5953759771999 -0.0
298.15 N TA 0.13 0.87 -93614.91 -77989.05 52.40939 -15625.859628499999 0.0 0.0 -2018.4813999999988 -957.840348132521 -0.0
298.15 N TA 0.14 0.86 -98683.78 -82881.14 53.002287 -15802.63186905 0.0 0.0 -1222.609199999999 -1003.8915915105914 -0.0
298.15 N TA 0.15 0.85 -103589.6 -87615.09 53.578671 -15974.48075865 0.0 0.0 -426.737000000001 -1047.882375954332 -0.0
298.15 N TA 0.16 0.84 -108332.6 -92190.89 54.139701 -16141.751853149999 0.0 0.0 369.1351999999988 -1089.9276385420173 -0.0
298.15 N TA 0.17 0.83 -112913.3 -96608.53 54.686383 -16304.745091449999 0.0 0.0 1165.0074000000004 -1130.1274135160918 -0.0
298.15 N TA 0.18 0.82 -117331.7 -100868.0 55.219598 -16463.723143699997 0.0 0.0 1960.8795999999984 -1168.5694517045056 -0.0
298.15 N TA 0.19 0.81 -121588.3 -104969.4 55.740128 -16618.919163199997 0.0 0.0 2756.751799999998 -1205.3312553507326 -0.0
298.15 N TA 0.2 0.8 -125683.1 -108912.6 56.248665 -16770.539469749998 0.0 0.0 3552.624 -1240.4816826440385 -0.0
298.15 N TA 0.21 0.79 -129616.4 -112697.6 56.745828 -16918.7686182 0.0 0.0 4348.496199999998 -1274.08222978906 -0.0
298.15 N TA 0.22 0.78 -133388.3 -116324.5 57.232173 -17063.772379949998 0.0 0.0 5144.368399999998 -1306.188067542519 -0.0
298.15 N TA 0.23 0.77 -136998.9 -119793.2 57.708198 -17205.6992337 0.0 0.0 5940.240599999999 -1336.8488881016199 -0.0
298.15 N TA 0.24 0.76 -140448.5 -123103.8 58.174356 -17344.6842414 0.0 0.0 6736.112799999999 -1366.1096036088943 -0.0
298.15 N TA 0.25 0.75 -143737.1 -126256.2 58.631057 -17480.84964455 0.0 0.0 7531.984999999999 -1394.0109271940482 -0.0
298.15 N TA 0.26 0.74 -146864.8 -129250.5 59.078672 -17614.306056799996 0.0 0.0 8327.8572 -1420.5898600324033 -0.0
298.15 N TA 0.27 0.73 -149831.8 -132086.7 59.517542 -17745.1551473 0.0 0.0 9123.7294 -1445.8801024662048 -0.0
298.15 N TA 0.28 0.72 -152638.1 -134764.6 59.947975 -17873.488746249997 0.0 0.0 9919.601600000002 -1469.9124032129614 -0.0
298.15 N TA 0.29 0.71 -155283.9 -137284.5 60.370254 -17999.3912301 0.0 0.0 10715.473799999996 -1492.7148576699553 -0.0
298.15 N TA 0.3 0.7 -157769.1 -139646.1 60.784638 -18122.939819699997 0.0 0.0 11511.345999999998 -1514.313164037668 -0.0
298.15 N TA 0.31 0.69 -160093.9 -141849.7 61.191363 -18244.20487845 0.0 0.0 12307.218200000001 -1534.730844232385 -0.0
298.15 N TA 0.32 0.68 -162258.3 -143895.0 61.590647 -18363.25140305 0.0 0.0 13103.0904 -1553.9894352015579 -0.0
298.15 N TA 0.33 0.67 -164262.4 -145782.3 61.982687 -18480.13812905 0.0 0.0 13898.9626 -1572.1086551954763 -0.0
298.15 N TA 0.34 0.66 -166106.3 -147511.3 62.367664 -18594.9190216 0.0 0.0 14694.8348 -1589.1065487133012 -0.0
298.15 N TA 0.35 0.65 -167789.9 -149082.3 62.745746 -18707.6441699 0.0 0.0 15490.706999999997 -1604.9996131775667 -0.0
298.15 N TA 0.36 0.64 -169313.4 -150495.0 63.117084 -18818.3585946 0.0 0.0 16286.579199999998 -1619.8029098595373 -0.0
298.15 N TA 0.37 0.63 -170676.7 -151749.6 63.481815 -18927.10314225 0.0 0.0 17082.451399999998 -1633.5301611487748 -0.0
298.15 N TA 0.38 0.62 -171880.0 -152846.1 63.840065 -19033.91537975 0.0 0.0 17878.3236 -1646.193835911596 -0.0
