T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 N TI 0.0 1.0 -4597.55 6475.8 37.1402 -11073.350629999999 0.0 0.0 -4597.55 0.0 -0.0
298.15 N TI 1.0 0.0 12582.97 34135.01 72.285873 -21552.033034949996 0.0 0.0 12582.97 0.0 -0.0
298.15 N TI 0.01 0.99 -14587.75 -2993.138 38.888532 -11594.615815799998 0.0 0.0 -4425.7447999999995 -138.82602141683572 -0.0
298.15 N TI 0.02 0.98 -24277.23 -12265.2 40.288555 -12012.03267325 0.0 0.0 -4253.9396 -243.03584172567548 -0.0
298.15 N TI 0.03 0.97 -33730.15 -21340.38 41.555515 -12389.776797249999 0.0 0.0 -4082.1344 -334.02154674813943 -0.0
298.15 N TI 0.04 0.96 -42960.16 -30218.68 42.735146 -12741.4837799 0.0 0.0 -3910.3292 -416.3281974105132 -0.0
298.15 N TI 0.05 0.95 -51973.72 -38900.1 43.849154 -13073.625265099998 0.0 0.0 -3738.5239999999994 -492.11297050679866 -0.0
298.15 N TI 0.06 0.94 -60774.65 -47384.64 44.910311 -13390.009224649999 0.0 0.0 -3566.7188 -562.6452650375949 -0.0
298.15 N TI 0.07 0.93 -69365.45 -55672.3 45.927047 -13693.14906305 0.0 0.0 -3394.9136 -628.7628773593874 -0.0
298.15 N TI 0.08 0.92 -77747.91 -63763.08 46.905346 -13984.8289099 0.0 0.0 -3223.1084 -691.0604007790716 -0.0
298.15 N TI 0.09 0.91 -85923.36 -71656.99 47.849671 -14266.379408649998 0.0 0.0 -3051.3032000000007 -749.9816351924776 -0.0
298.15 N TI 0.1 0.9 -93892.84 -79354.01 48.763484 -14538.832754599998 0.0 0.0 -2879.498 -805.870345271772 -0.0
298.15 N TI 0.11 0.89 -101657.2 -86854.15 49.649539 -14803.010052849999 0.0 0.0 -2707.6928 -859.000492370776 -0.0
298.15 N TI 0.12 0.88 -109217.0 -94157.42 50.510085 -15059.581842749998 0.0 0.0 -2535.8876 -909.5953759771999 -0.0
298.15 N TI 0.13 0.87 -116572.9 -101263.8 51.346986 -15309.103875899998 0.0 0.0 -2364.0824000000002 -957.840348132521 -0.0
298.15 N TI 0.14 0.86 -123725.4 -108173.3 52.161813 -15552.044545949999 0.0 0.0 -2192.2772 -1003.8915915105914 -0.0
298.15 N TI 0.15 0.85 -130674.7 -114885.9 52.955907 -15788.80367205 0.0 0.0 -2020.4720000000002 -1047.882375954332 -0.0
298.15 N TI 0.16 0.84 -137421.4 -121401.7 53.730426 -16019.726511899999 0.0 0.0 -1848.6668 -1089.9276385420173 -0.0
298.15 N TI 0.17 0.83 -143965.7 -127720.6 54.486376 -16245.113004399998 0.0 0.0 -1676.8616000000002 -1130.1274135160918 -0.0
298.15 N TI 0.18 0.82 -150307.8 -133842.5 55.224638 -16465.225819699997 0.0 0.0 -1505.0564000000008 -1168.5694517045056 -0.0
298.15 N TI 0.19 0.81 -156447.9 -139767.6 55.945995 -16680.29840925 0.0 0.0 -1333.2512000000006 -1205.3312553507326 -0.0
298.15 N TI 0.2 0.8 -162386.4 -145495.9 56.651137 -16890.536496549998 0.0 0.0 -1161.4460000000004 -1240.4816826440385 -0.0
298.15 N TI 0.21 0.79 -168123.4 -151027.2 57.340685 -17096.12523275 0.0 0.0 -989.6408000000006 -1274.08222978906 -0.0
298.15 N TI 0.22 0.78 -173658.9 -156361.7 58.015192 -17297.229494799998 0.0 0.0 -817.8356000000003 -1306.188067542519 -0.0
298.15 N TI 0.23 0.77 -178993.3 -161499.3 58.67516 -17493.998954 0.0 0.0 -646.0304000000006 -1336.8488881016199 -0.0
298.15 N TI 0.24 0.76 -184126.6 -166440.0 59.32104 -17686.568076 0.0 0.0 -474.22520000000077 -1366.1096036088943 -0.0
298.15 N TI 0.25 0.75 -189058.9 -171183.8 59.953242 -17875.059102299998 0.0 0.0 -302.4200000000005 -1394.0109271940482 -0.0
298.15 N TI 0.26 0.74 -193790.4 -175730.8 60.572137 -18059.58264655 0.0 0.0 -130.61479999999983 -1420.5898600324033 -0.0
298.15 N TI 0.27 0.73 -198321.1 -180080.9 61.178066 -18240.240377899998 0.0 0.0 41.190399999999954 -1445.8801024662048 -0.0
298.15 N TI 0.28 0.72 -202651.2 -184234.1 61.771337 -18417.12412655 0.0 0.0 212.9956000000002 -1469.9124032129614 -0.0
298.15 N TI 0.29 0.71 -206780.7 -188190.4 62.352234 -18590.3185671 0.0 0.0 384.8007999999995 -1492.7148576699553 -0.0
298.15 N TI 0.3 0.7 -210709.7 -191949.8 62.921014 -18759.9003241 0.0 0.0 556.6059999999998 -1514.313164037668 -0.0
298.15 N TI 0.31 0.69 -214438.3 -195512.4 63.477914 -18925.940059099998 0.0 0.0 728.4112 -1534.730844232385 -0.0
298.15 N TI 0.32 0.68 -217966.5 -198878.0 64.023152 -19088.502768799997 0.0 0.0 900.2164000000002 -1553.9894352015579 -0.0
298.15 N TI 0.33 0.67 -221294.5 -202046.8 64.556926 -19247.6474869 0.0 0.0 1072.0216000000005 -1572.1086551954763 -0.0
298.15 N TI 0.34 0.66 -224422.2 -205018.8 65.079416 -19403.4278804 0.0 0.0 1243.8267999999998 -1589.1065487133012 -0.0
298.15 N TI 0.35 0.65 -227349.7 -207793.8 65.59079 -19555.8940385 0.0 0.0 1415.6319999999996 -1604.9996131775667 -0.0
298.15 N TI 0.36 0.64 -230077.0 -210372.0 66.091199 -19705.09098185 0.0 0.0 1587.437199999999 -1619.8029098595373 -0.0
298.15 N TI 0.37 0.63 -232604.3 -212753.2 66.58078 -19851.059557 0.0 0.0 1759.2423999999992 -1633.5301611487748 -0.0
298.15 N TI 0.38 0.62 -234931.5 -214937.6 67.059659 -19993.837330849998 0.0 0.0 1931.0475999999994 -1646.193835911596 -0.0
298.15 N TI 0.39 0.61 -237058.6 -216925.2 67.52795 -20133.4582925 0.0 0.0 2102.8527999999997 -1657.8052243977716 -0.0
298.15 N TI 0.4 0.6 -238985.7 -218715.8 67.985756 -20269.953151399997 0.0 0.0 2274.658 -1668.3745039196444 -0.0
298.15 N TI 0.41 0.59 -240712.9 -220309.6 68.433167 -20403.34874105 0.0 0.0 2446.463199999999 -1677.9107963326926 -0.0
298.15 N TI 0.42 0.58 -242240.1 -221706.4 68.870267 -20533.670106049998 0.0 0.0 2618.268399999999 -1686.4222181834425 -0.0
298.15 N TI 0.43 0.57 -243567.4 -222906.4 69.297125 -20660.937818749997 0.0 0.0 2790.0735999999997 -1693.9159242532326 -0.0
