T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 N ZR 0.0 1.0 -6719.723 7311.125 47.059694 -14030.8477661 0.0 0.0 -6719.723 0.0 -0.0
298.15 N ZR 1.0 0.0 308367.6 281490.1 -90.147455 26877.463708249998 0.0 0.0 308367.6 0.0 -0.0
298.15 N ZR 0.01 0.99 -18915.88 -4877.642 47.084498 -14038.2430787 0.0 0.0 -3568.8497700000003 -138.82602141683572 -0.0
298.15 N ZR 0.02 0.98 -30706.57 -16764.78 46.760993 -13941.790062949998 0.0 0.0 -417.97653999999966 -243.03584172567548 -0.0
298.15 N ZR 0.03 0.97 -42155.96 -28350.29 46.304425 -13805.66431375 0.0 0.0 2732.8966899999987 -334.02154674813943 -0.0
298.15 N ZR 0.04 0.96 -53277.68 -39634.18 45.760528 -13643.5014232 0.0 0.0 5883.76992 -416.3281974105132 -0.0
298.15 N ZR 0.05 0.95 -64078.21 -50616.43 45.151007 -13461.77273705 0.0 0.0 9034.64315 -492.11297050679866 -0.0
298.15 N ZR 0.06 0.94 -74561.35 -61297.06 44.488636 -13264.2868234 0.0 0.0 12185.516379999997 -562.6452650375949 -0.0
298.15 N ZR 0.07 0.93 -84729.62 -71676.07 43.781844 -13053.556788599999 0.0 0.0 15336.38961 -628.7628773593874 -0.0
298.15 N ZR 0.08 0.92 -94584.81 -81753.44 43.036614 -12831.3664641 0.0 0.0 18487.26284 -691.0604007790716 -0.0
298.15 N ZR 0.09 0.91 -104128.2 -91529.19 42.257412 -12599.0473878 0.0 0.0 21638.136069999993 -749.9816351924776 -0.0
298.15 N ZR 0.1 0.9 -113360.9 -101003.3 41.447696 -12357.6305624 0.0 0.0 24789.009299999998 -805.870345271772 -0.0
298.15 N ZR 0.11 0.89 -122283.7 -110175.8 40.610223 -12107.93798745 0.0 0.0 27939.882529999995 -859.000492370776 -0.0
298.15 N ZR 0.12 0.88 -130897.3 -119046.7 39.747241 -11850.639904149999 0.0 0.0 31090.755759999993 -909.5953759771999 -0.0
298.15 N ZR 0.13 0.87 -139202.2 -127615.9 38.860613 -11586.29176595 0.0 0.0 34241.62899 -957.840348132521 -0.0
298.15 N ZR 0.14 0.86 -147198.9 -135883.5 37.951912 -11315.362562799999 0.0 0.0 37392.50222 -1003.8915915105914 -0.0
298.15 N ZR 0.15 0.85 -154887.7 -143849.5 37.022478 -11038.2518157 0.0 0.0 40543.37544999999 -1047.882375954332 -0.0
298.15 N ZR 0.16 0.84 -162269.2 -151513.9 36.073469 -10755.30478235 0.0 0.0 43694.24868 -1089.9276385420173 -0.0
298.15 N ZR 0.17 0.83 -169343.4 -158876.6 35.10589 -10466.8211035 0.0 0.0 46845.12191 -1130.1274135160918 -0.0
298.15 N ZR 0.18 0.82 -176110.7 -165937.7 34.120625 -10173.064343749998 0.0 0.0 49995.99513999999 -1168.5694517045056 -0.0
298.15 N ZR 0.19 0.81 -182571.4 -172697.2 33.118453 -9874.26676195 0.0 0.0 53146.86837 -1205.3312553507326 -0.0
298.15 N ZR 0.2 0.8 -188725.6 -179155.0 32.100067 -9570.63497605 0.0 0.0 56297.741599999994 -1240.4816826440385 -0.0
298.15 N ZR 0.21 0.79 -194573.6 -185311.2 31.066086 -9262.3535409 0.0 0.0 59448.61483 -1274.08222978906 -0.0
298.15 N ZR 0.22 0.78 -200115.4 -191165.8 30.017066 -8949.5882279 0.0 0.0 62599.48805999999 -1306.188067542519 -0.0
298.15 N ZR 0.23 0.77 -205351.3 -196718.8 28.953505 -8632.48751575 0.0 0.0 65750.36129 -1336.8488881016199 -0.0
298.15 N ZR 0.24 0.76 -210281.3 -201970.1 27.875857 -8311.186764549999 0.0 0.0 68901.23451999998 -1366.1096036088943 -0.0
298.15 N ZR 0.25 0.75 -214905.6 -206919.8 26.78453 -7985.807619499999 0.0 0.0 72052.10775 -1394.0109271940482 -0.0
298.15 N ZR 0.26 0.74 -219224.4 -211567.9 25.679898 -7656.4615887 0.0 0.0 75202.98098000001 -1420.5898600324033 -0.0
298.15 N ZR 0.27 0.73 -223237.6 -215914.4 24.562298 -7323.249148699999 0.0 0.0 78353.85420999999 -1445.8801024662048 -0.0
298.15 N ZR 0.28 0.72 -226945.4 -219959.2 23.432041 -6986.26302415 0.0 0.0 81504.72744 -1469.9124032129614 -0.0
298.15 N ZR 0.29 0.71 -230348.0 -223702.4 22.289409 -6645.5872933499995 0.0 0.0 84655.60066999999 -1492.7148576699553 -0.0
298.15 N ZR 0.3 0.7 -233445.3 -227144.0 21.134661 -6301.29917715 0.0 0.0 87806.47389999998 -1514.313164037668 -0.0
298.15 N ZR 0.31 0.69 -236237.4 -230283.9 19.968034 -5953.469337099999 0.0 0.0 90957.34713 -1534.730844232385 -0.0
298.15 N ZR 0.32 0.68 -238724.4 -233122.2 18.789744 -5602.162173599999 0.0 0.0 94108.22035999999 -1553.9894352015579 -0.0
298.15 N ZR 0.33 0.67 -240906.3 -235658.9 17.599989 -5247.43672035 0.0 0.0 97259.09358999999 -1572.1086551954763 -0.0
298.15 N ZR 0.34 0.66 -242783.3 -237894.0 16.398951 -4889.34724065 0.0 0.0 100409.96682 -1589.1065487133012 -0.0
298.15 N ZR 0.35 0.65 -244355.3 -239827.4 15.186797 -4527.943525549999 0.0 0.0 103560.84004999998 -1604.9996131775667 -0.0
298.15 N ZR 0.36 0.64 -245622.5 -241459.2 13.963677 -4163.27029755 0.0 0.0 106711.71327999998 -1619.8029098595373 -0.0
298.15 N ZR 0.37 0.63 -246584.8 -242789.4 12.72973 -3795.3689994999995 0.0 0.0 109862.58651 -1633.5301611487748 -0.0
298.15 N ZR 0.38 0.62 -247242.2 -243817.9 11.485081 -3424.2769001499996 0.0 0.0 113013.45973999999 -1646.193835911596 -0.0
298.15 N ZR 0.39 0.61 -247594.9 -244544.9 10.229844 -3050.0279886 0.0 0.0 116164.33297 -1657.8052243977716 -0.0
298.15 N ZR 0.4 0.6 -247642.8 -244970.2 8.9641213 -2672.652765595 0.0 0.0 119315.2062 -1668.3745039196444 -0.0
298.15 N ZR 0.41 0.59 -247386.0 -245093.8 7.6880045 -2292.178541675 0.0 0.0 122466.07942999998 -1677.9107963326926 -0.0
298.15 N ZR 0.42 0.58 -246824.5 -244915.9 6.4015755 -1908.6297353249997 0.0 0.0 125616.95266 -1686.4222181834425 -0.0
298.15 N ZR 0.43 0.57 -245958.3 -244436.3 5.1049061 -1522.0277537149998 0.0 0.0 128767.82589 -1693.9159242532326 -0.0
298.15 N ZR 0.44 0.56 -244787.5 -243655.1 3.7980592 -1132.3913504799998 0.0 0.0 131918.69911999998 -1700.3981451097393 -0.0
298.15 N ZR 0.45 0.55 -243312.0 -242572.2 2.4810883 -739.736476645 0.0 0.0 135069.57234999997 -1705.8742191782392 -0.0
298.15 N ZR 0.46 0.54 -241531.9 -241187.8 1.1540385 -344.076578775 0.0 0.0 138220.44558 -1710.3486197582595 -0.0
298.15 N ZR 0.47 0.53 -239447.1 -239501.7 -0.18305369 54.57745767349999 0.0 0.0 141371.31880999997 -1713.8249773357109 -0.0
298.15 N ZR 0.48 0.52 -237057.7 -237514.0 -1.53016 456.217204 0.0 0.0 144522.19203999997 -1716.3060974737868 -0.0
298.15 N ZR 0.49 0.51 -234363.8 -235224.6 -2.8872604 860.83668826 0.0 0.0 147673.06527 -1717.7939745058845 -0.0
298.15 N ZR 0.5 0.5 -231365.2 -232633.6 -4.2543428 1268.4323058199998 0.0 0.0 150823.9385 -1718.289801199083 -0.0
298.15 N ZR 0.51 0.49 -228062.0 -229741.0 -5.6314033 1679.0028938949997 0.0 0.0 153974.81173 -1717.7939745058845 -0.0
298.15 N ZR 0.52 0.48 -224454.3 -226546.8 -7.0184459 2092.5496450849996 0.0 0.0 157125.68496 -1716.3060974737868 -0.0
298.15 N ZR 0.53 0.47 -220541.9 -223050.9 -8.4154826 2509.07613719 0.0 0.0 160276.55819 -1713.8249773357109 -0.0
298.15 N ZR 0.54 0.46 -216324.9 -219253.5 -9.8225334 2928.5883332099997 0.0 0.0 163427.43141999998 -1710.3486197582595 -0.0
298.15 N ZR 0.55 0.45 -211803.3 -215154.3 -11.239627 3351.09479005 0.0 0.0 166578.30465 -1705.8742191782392 -0.0
298.15 N ZR 0.56 0.44 -206977.0 -210753.6 -12.666799 3776.6061218499995 0.0 0.0 169729.17788 -1700.3981451097393 -0.0
298.15 N ZR 0.57 0.43 -201846.1 -206051.2 -14.104095 4205.135924249999 0.0 0.0 172880.05110999997 -1693.9159242532328 -0.0
298.15 N ZR 0.58 0.42 -196410.5 -201047.2 -15.551568 4636.699999199999 0.0 0.0 176030.92434 -1686.4222181834425 -0.0
298.15 N ZR 0.59 0.41 -190670.3 -195741.6 -17.009282 5071.317428299999 0.0 0.0 179181.79757 -1677.910796332693 -0.0
298.15 N ZR 0.6 0.4 -184625.4 -190134.4 -18.477308 5509.0093802 0.0 0.0 182332.67079999996 -1668.3745039196444 -0.0
298.15 N ZR 0.61 0.39 -178275.7 -184225.5 -19.955729 5949.80060135 0.0 0.0 185483.54403 -1657.8052243977716 -0.0
298.15 N ZR 0.62 0.38 -171621.3 -178015.0 -21.444635 6393.71792525 0.0 0.0 188634.41726 -1646.193835911596 -0.0
298.15 N ZR 0.63 0.37 -164662.1 -171502.9 -22.944129 6840.792061349999 0.0 0.0 191785.29048999998 -1633.5301611487748 -0.0
298.15 N ZR 0.64 0.36 -157398.0 -164689.1 -24.454325 7291.056998749999 0.0 0.0 194936.16371999998 -1619.8029098595373 -0.0
298.15 N ZR 0.65 0.35 -149829.2 -157573.7 -25.975348 7744.550006199999 0.0 0.0 198087.03695 -1604.9996131775667 -0.0
298.15 N ZR 0.66 0.34 -141955.4 -150156.7 -27.507336 8201.312228399998 0.0 0.0 201237.91017999998 -1589.106548713301 -0.0
298.15 N ZR 0.67 0.33 -133776.7 -142438.1 -29.050442 8661.389282299999 0.0 0.0 204388.78340999997 -1572.1086551954763 -0.0
298.15 N ZR 0.68 0.32 -125293.0 -134417.8 -30.60483 9124.8300645 0.0 0.0 207539.65664 -1553.9894352015576 -0.0
298.15 N ZR 0.69 0.31 -116504.2 -126095.9 -32.170683 9591.689136449999 0.0 0.0 210690.52986999997 -1534.730844232385 -0.0
298.15 N ZR 0.7 0.3 -107410.3 -117472.4 -33.748198 10062.0252337 0.0 0.0 213841.40309999997 -1514.313164037668 -0.0
298.15 N ZR 0.71 0.29 -98011.31 -108547.2 -35.337593 10535.90335295 0.0 0.0 216992.27633 -1492.7148576699553 -0.0
298.15 N ZR 0.72 0.28 -88307.04 -99320.43 -36.939104 11013.3938576 0.0 0.0 220143.14955999996 -1469.9124032129614 -0.0
298.15 N ZR 0.73 0.27 -78297.45 -89792.03 -38.55299 11494.573968499999 0.0 0.0 223294.02278999996 -1445.8801024662048 -0.0
298.15 N ZR 0.74 0.26 -67982.47 -79961.99 -40.179534 11979.528062099998 0.0 0.0 226444.89602 -1420.5898600324033 -0.0
298.15 N ZR 0.75 0.25 -57361.99 -69830.33 -41.819044 12468.3479686 0.0 0.0 229595.76924999998 -1394.0109271940482 -0.0
298.15 N ZR 0.76 0.24 -46435.91 -59397.04 -43.47186 12961.135058999998 0.0 0.0 232746.64247999998 -1366.1096036088943 -0.0
298.15 N ZR 0.77 0.23 -35204.13 -48662.13 -45.138355 13458.000543249998 0.0 0.0 235897.51571 -1336.8488881016199 -0.0
298.15 N ZR 0.78 0.22 -23666.52 -37625.59 -46.818937 13959.066066549998 0.0 0.0 239048.38894 -1306.188067542519 -0.0
298.15 N ZR 0.79 0.21 -11822.95 -26287.42 -48.51406 14464.466988999999 0.0 0.0 242199.26216999997 -1274.08222978906 -0.0
298.15 N ZR 0.8 0.2 326.7347 -14647.62 -50.224222 14974.351789299999 0.0 0.0 245350.1354 -1240.4816826440385 -0.0
298.15 N ZR 0.81 0.19 12782.69 -2706.192 -51.949979 15488.886238849998 0.0 0.0 248501.00863 -1205.3312553507324 -0.0
298.15 N ZR 0.82 0.18 25545.12 9536.861 -53.69195 16008.2548925 0.0 0.0 251651.88185999996 -1168.5694517045058 -0.0
298.15 N ZR 0.83 0.17 38614.21 22081.54 -55.450828 16532.6643682 0.0 0.0 254802.75509 -1130.127413516092 -0.0
298.15 N ZR 0.84 0.16 51990.2 34927.85 -57.227392 17062.3469248 0.0 0.0 257953.62832 -1089.9276385420173 -0.0
298.15 N ZR 0.85 0.15 65673.35 48075.78 -59.022525 17597.56582875 0.0 0.0 261104.50154999996 -1047.882375954332 -0.0
298.15 N ZR 0.86 0.14 79663.97 61525.35 -60.837235 18138.62161525 0.0 0.0 264255.37478 -1003.8915915105914 -0.0
298.15 N ZR 0.87 0.13 93962.39 75276.54 -62.672677 18685.858647549998 0.0 0.0 267406.24801 -957.840348132521 -0.0
298.15 N ZR 0.88 0.12 108569.0 89329.35 -64.530192 19239.6767448 0.0 0.0 270557.12123999995 -909.5953759771999 -0.0
298.15 N ZR 0.89 0.11 123484.3 103683.8 -66.411353 19800.54489695 0.0 0.0 273707.99447 -859.000492370776 -0.0
