T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 NB C 0.0 1.0 -10813.9 0.0003004229 36.270001 -10813.90079815 0.0 0.0 -10813.9 0.0 -0.0
298.15 NB C 1.0 0.0 483817.8 520879.0 124.30395 -37061.2226925 0.0 0.0 483817.8 0.0 -0.0
298.15 NB C 0.01 0.99 -12646.75 -1226.21 38.304666 -11420.536167899998 0.0 0.0 -5867.5830000000005 -138.82602141683572 -0.0
298.15 NB C 0.02 0.98 -14247.2 -2322.42 39.995921 -11924.78384615 0.0 0.0 -921.2659999999996 -243.03584172567548 -0.0
298.15 NB C 0.03 0.97 -15679.45 -3288.63 41.559014 -12390.820024099998 0.0 0.0 4025.0509999999995 -334.02154674813943 -0.0
298.15 NB C 0.04 0.96 -16957.12 -4124.84 43.039679 -12832.280293849999 0.0 0.0 8971.368 -416.3281974105132 -0.0
298.15 NB C 0.05 0.95 -18086.69 -4831.05 44.459619 -13255.63540485 0.0 0.0 13917.685 -492.11297050679866 -0.0
298.15 NB C 0.06 0.94 -19071.95 -5407.26 45.831609 -13664.69422335 0.0 0.0 18864.002 -562.6452650375949 -0.0
298.15 NB C 0.07 0.93 -19915.44 -5853.47 47.164078 -14061.9698557 0.0 0.0 23810.319 -628.7628773593874 -0.0
298.15 NB C 0.08 0.92 -20618.93 -6169.68 48.463009 -14449.24613335 0.0 0.0 28756.636 -691.0604007790716 -0.0
298.15 NB C 0.09 0.91 -21183.74 -6355.89 49.732868 -14827.8545942 0.0 0.0 33702.953 -749.9816351924776 -0.0
298.15 NB C 0.1 0.9 -21610.93 -6412.1 50.977113 -15198.82624095 0.0 0.0 38649.27 -805.870345271772 -0.0
298.15 NB C 0.11 0.89 -21901.29 -6338.31 52.198501 -15562.983073149999 0.0 0.0 43595.587 -859.000492370776 -0.0
298.15 NB C 0.12 0.88 -22055.51 -6134.52 53.399279 -15920.995033849998 0.0 0.0 48541.903999999995 -909.5953759771999 -0.0
298.15 NB C 0.13 0.87 -22074.15 -5800.73 54.581313 -16273.418470949999 0.0 0.0 53488.221 -957.840348132521 -0.0
298.15 NB C 0.14 0.86 -21957.66 -5336.94 55.746173 -16620.72147995 0.0 0.0 58434.538 -1003.8915915105914 -0.0
298.15 NB C 0.15 0.85 -21706.45 -4743.15 56.8952 -16963.30388 0.0 0.0 63380.854999999996 -1047.882375954332 -0.0
298.15 NB C 0.16 0.84 -21320.87 -4019.36 58.029552 -17301.5109288 0.0 0.0 68327.17199999999 -1089.9276385420173 -0.0
298.15 NB C 0.17 0.83 -20801.21 -3165.57 59.150234 -17635.642267099996 0.0 0.0 73273.489 -1130.1274135160918 -0.0
298.15 NB C 0.18 0.82 -20147.74 -2181.78 60.25813 -17965.9614595 0.0 0.0 78219.806 -1168.5694517045056 -0.0
298.15 NB C 0.19 0.81 -19360.69 -1067.99 61.354019 -18292.70076485 0.0 0.0 83166.12299999999 -1205.3312553507326 -0.0
298.15 NB C 0.2 0.8 -18440.27 175.8002 62.438594 -18616.066801099998 0.0 0.0 88112.44 -1240.4816826440385 -0.0
298.15 NB C 0.21 0.79 -17386.65 1549.59 63.512474 -18936.244123099998 0.0 0.0 93058.757 -1274.08222978906 -0.0
298.15 NB C 0.22 0.78 -16200.02 3053.38 64.576215 -19253.39850225 0.0 0.0 98005.074 -1306.188067542519 -0.0
298.15 NB C 0.23 0.77 -14880.51 4687.17 65.630315 -19567.678417249997 0.0 0.0 102951.391 -1336.8488881016199 -0.0
298.15 NB C 0.24 0.76 -13428.26 6450.96 66.675228 -19879.2192282 0.0 0.0 107897.708 -1366.1096036088943 -0.0
298.15 NB C 0.25 0.75 -11843.39 8344.75 67.711362 -20188.1425803 0.0 0.0 112844.025 -1394.0109271940482 -0.0
