T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 NB MO 0.0 1.0 -10813.9 0.0003004229 36.270001 -10813.90079815 0.0 0.0 -10813.9 0.0 -0.0
298.15 NB MO 1.0 0.0 -8515.141 -0.002619703 28.559915 -8515.13865725 0.0 0.0 -8515.141 0.0 -0.0
298.15 NB MO 0.01 0.99 -11596.39 -754.7745 36.362951 -10841.61384065 0.0 0.0 -10790.91241 -138.82602141683572 -0.0
298.15 NB MO 0.02 0.98 -12327.58 -1491.086 36.345769 -10836.491027349999 0.0 0.0 -10767.92482 -243.03584172567548 -0.0
298.15 NB MO 0.03 0.97 -13028.96 -2209.034 36.290205 -10819.92462075 0.0 0.0 -10744.93723 -334.02154674813943 -0.0
298.15 NB MO 0.04 0.96 -13705.17 -2908.715 36.211502 -10796.4593213 0.0 0.0 -10721.949639999999 -416.3281974105132 -0.0
298.15 NB MO 0.05 0.95 -14358.48 -3590.229 36.116895 -10768.25224425 0.0 0.0 -10698.96205 -492.11297050679866 -0.0
298.15 NB MO 0.06 0.94 -14990.25 -4253.673 36.010643 -10736.57321045 0.0 0.0 -10675.97446 -562.6452650375949 -0.0
298.15 NB MO 0.07 0.93 -15601.41 -4899.147 35.895555 -10702.25972325 0.0 0.0 -10652.98687 -628.7628773593874 -0.0
298.15 NB MO 0.08 0.92 -16192.65 -5526.748 35.773626 -10665.906591899999 0.0 0.0 -10629.99928 -691.0604007790716 -0.0
298.15 NB MO 0.09 0.91 -16764.53 -6136.576 35.646343 -10627.95716545 0.0 0.0 -10607.01169 -749.9816351924776 -0.0
298.15 NB MO 0.1 0.9 -17317.48 -6728.728 35.514861 -10588.75580715 0.0 0.0 -10584.0241 -805.870345271772 -0.0
298.15 NB MO 0.11 0.89 -17851.88 -7303.302 35.380098 -10548.576218699998 0.0 0.0 -10561.03651 -859.000492370776 -0.0
298.15 NB MO 0.12 0.88 -18368.04 -7860.398 35.242802 -10507.641416299999 0.0 0.0 -10538.04892 -909.5953759771999 -0.0
298.15 NB MO 0.13 0.87 -18866.25 -8400.114 35.103596 -10466.1371474 0.0 0.0 -10515.061329999999 -957.840348132521 -0.0
298.15 NB MO 0.14 0.86 -19346.77 -8922.547 34.963004 -10424.2196426 0.0 0.0 -10492.07374 -1003.8915915105914 -0.0
298.15 NB MO 0.15 0.85 -19809.82 -9427.798 34.821472 -10382.0218768 0.0 0.0 -10469.08615 -1047.882375954332 -0.0
298.15 NB MO 0.16 0.84 -20255.62 -9915.963 34.679385 -10339.65863775 0.0 0.0 -10446.098559999999 -1089.9276385420173 -0.0
298.15 NB MO 0.17 0.83 -20684.37 -10387.14 34.53708 -10297.230402000001 0.0 0.0 -10423.110969999998 -1130.1274135160918 -0.0
298.15 NB MO 0.18 0.82 -21096.26 -10841.43 34.394851 -10254.82482565 0.0 0.0 -10400.12338 -1168.5694517045056 -0.0
298.15 NB MO 0.19 0.81 -21491.45 -11278.93 34.252958 -10212.5194277 0.0 0.0 -10377.13579 -1205.3312553507326 -0.0
298.15 NB MO 0.2 0.8 -21870.12 -11699.74 34.111631 -10170.38278265 0.0 0.0 -10354.148200000001 -1240.4816826440385 -0.0
298.15 NB MO 0.21 0.79 -22232.43 -12103.96 33.971077 -10128.47660755 0.0 0.0 -10331.160609999999 -1274.08222978906 -0.0
298.15 NB MO 0.22 0.78 -22578.53 -12491.68 33.83148 -10086.855762 0.0 0.0 -10308.17302 -1306.188067542519 -0.0
298.15 NB MO 0.23 0.77 -22908.57 -12863.0 33.693009 -10045.57063335 0.0 0.0 -10285.18543 -1336.8488881016199 -0.0
