T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 NB TI 0.0 1.0 -4597.55 6475.8 37.1402 -11073.350629999999 0.0 0.0 -4597.55 0.0 -0.0
298.15 NB TI 1.0 0.0 -10813.9 0.0002474352 36.27 -10813.9005 0.0 0.0 -10813.9 0.0 -0.0
298.15 NB TI 0.01 0.99 -4669.391 6540.191 37.597123 -11209.58222245 0.0 0.0 -4659.7135 -138.82602141683572 -0.0
298.15 NB TI 0.02 0.98 -4709.225 6601.972 37.937943 -11311.197705449998 0.0 0.0 -4721.877 -243.03584172567548 -0.0
298.15 NB TI 0.03 0.97 -4738.444 6661.145 38.234409 -11399.589043349999 0.0 0.0 -4784.0405 -334.02154674813943 -0.0
298.15 NB TI 0.04 0.96 -4761.593 6717.708 38.501765 -11479.301234749999 0.0 0.0 -4846.204 -416.3281974105132 -0.0
298.15 NB TI 0.05 0.95 -4780.829 6771.662 38.747247 -11552.49169305 0.0 0.0 -4908.367499999999 -492.11297050679866 -0.0
298.15 NB TI 0.06 0.94 -4797.422 6823.007 38.975111 -11620.429344649998 0.0 0.0 -4970.531 -562.6452650375949 -0.0
298.15 NB TI 0.07 0.93 -4812.209 6871.743 39.188169 -11683.95258735 0.0 0.0 -5032.6945 -628.7628773593874 -0.0
298.15 NB TI 0.08 0.92 -4825.785 6917.87 39.388414 -11743.655634099998 0.0 0.0 -5094.858 -691.0604007790716 -0.0
298.15 NB TI 0.09 0.91 -4838.594 6961.388 39.577335 -11799.982430249998 0.0 0.0 -5157.021500000001 -749.9816351924776 -0.0
298.15 NB TI 0.1 0.9 -4850.979 7002.297 39.756085 -11853.276742749998 0.0 0.0 -5219.185 -805.870345271772 -0.0
298.15 NB TI 0.11 0.89 -4863.215 7040.597 39.925583 -11903.81257145 0.0 0.0 -5281.3485 -859.000492370776 -0.0
298.15 NB TI 0.12 0.88 -4875.525 7076.288 40.086577 -11951.81293255 0.0 0.0 -5343.512 -909.5953759771999 -0.0
298.15 NB TI 0.13 0.87 -4888.094 7109.37 40.23969 -11997.4635735 0.0 0.0 -5405.6755 -957.840348132521 -0.0
298.15 NB TI 0.14 0.86 -4901.078 7139.843 40.385445 -12040.920426749999 0.0 0.0 -5467.839 -1003.8915915105914 -0.0
298.15 NB TI 0.15 0.85 -4914.611 7167.706 40.524289 -12082.31676535 0.0 0.0 -5530.0025 -1047.882375954332 -0.0
298.15 NB TI 0.16 0.84 -4928.807 7192.961 40.656607 -12121.767377049999 0.0 0.0 -5592.166 -1089.9276385420173 -0.0
298.15 NB TI 0.17 0.83 -4943.767 7215.606 40.782736 -12159.3727384 0.0 0.0 -5654.3295 -1130.1274135160918 -0.0
298.15 NB TI 0.18 0.82 -4959.578 7235.643 40.90297 -12195.2205055 0.0 0.0 -5716.493 -1168.5694517045056 -0.0
298.15 NB TI 0.19 0.81 -4976.318 7253.07 41.017567 -12229.387601049999 0.0 0.0 -5778.656500000001 -1205.3312553507326 -0.0
298.15 NB TI 0.2 0.8 -4994.055 7267.888 41.126761 -12261.94379215 0.0 0.0 -5840.820000000001 -1240.4816826440385 -0.0
298.15 NB TI 0.21 0.79 -5012.852 7280.098 41.230756 -12292.9499014 0.0 0.0 -5902.9835 -1274.08222978906 -0.0
298.15 NB TI 0.22 0.78 -5032.763 7289.698 41.329737 -12322.46108655 0.0 0.0 -5965.147000000001 -1306.188067542519 -0.0
298.15 NB TI 0.23 0.77 -5053.839 7296.689 41.423872 -12350.5274368 0.0 0.0 -6027.3105000000005 -1336.8488881016199 -0.0
298.15 NB TI 0.24 0.76 -5076.123 7301.071 41.513311 -12377.19367465 0.0 0.0 -6089.474 -1366.1096036088943 -0.0
298.15 NB TI 0.25 0.75 -5099.656 7302.844 41.598191 -12402.50064665 0.0 0.0 -6151.637500000001 -1394.0109271940482 -0.0
298.15 NB TI 0.26 0.74 -5124.477 7302.008 41.678635 -12426.485025249998 0.0 0.0 -6213.8009999999995 -1420.5898600324033 -0.0
298.15 NB TI 0.27 0.73 -5150.618 7298.563 41.754757 -12449.180799549998 0.0 0.0 -6275.9645 -1445.8801024662048 -0.0
298.15 NB TI 0.28 0.72 -5178.11 7292.509 41.82666 -12470.618678999997 0.0 0.0 -6338.128000000001 -1469.9124032129614 -0.0
298.15 NB TI 0.29 0.71 -5206.981 7283.846 41.894438 -12490.8266897 0.0 0.0 -6400.291499999999 -1492.7148576699553 -0.0
298.15 NB TI 0.3 0.7 -5237.257 7272.573 41.958177 -12509.830472549998 0.0 0.0 -6462.455 -1514.313164037668 -0.0
298.15 NB TI 0.31 0.69 -5268.962 7258.692 42.017956 -12527.653581399998 0.0 0.0 -6524.6185 -1534.730844232385 -0.0
298.15 NB TI 0.32 0.68 -5302.116 7242.202 42.073848 -12544.317781199998 0.0 0.0 -6586.781999999999 -1553.9894352015579 -0.0
298.15 NB TI 0.33 0.67 -5336.74 7223.102 42.125918 -12559.842451699998 0.0 0.0 -6648.9455 -1572.1086551954763 -0.0
298.15 NB TI 0.34 0.66 -5372.852 7201.394 42.174228 -12574.246078199998 0.0 0.0 -6711.109 -1589.1065487133012 -0.0
298.15 NB TI 0.35 0.65 -5410.468 7177.076 42.218831 -12587.54446265 0.0 0.0 -6773.2725 -1604.9996131775667 -0.0
298.15 NB TI 0.36 0.64 -5449.604 7150.149 42.25978 -12599.753406999998 0.0 0.0 -6835.436 -1619.8029098595373 -0.0
298.15 NB TI 0.37 0.63 -5490.272 7120.614 42.297119 -12610.88602985 0.0 0.0 -6897.5995 -1633.5301611487748 -0.0
298.15 NB TI 0.38 0.62 -5532.486 7088.469 42.330892 -12620.955449799998 0.0 0.0 -6959.763000000001 -1646.193835911596 -0.0
298.15 NB TI 0.39 0.61 -5576.257 7053.715 42.361134 -12629.972102099999 0.0 0.0 -7021.9265000000005 -1657.8052243977716 -0.0
298.15 NB TI 0.4 0.6 -5621.595 7016.352 42.387882 -12637.947018299998 0.0 0.0 -7084.09 -1668.3745039196444 -0.0
298.15 NB TI 0.41 0.59 -5668.508 6976.38 42.411165 -12644.888844749998 0.0 0.0 -7146.253500000001 -1677.9107963326926 -0.0
298.15 NB TI 0.42 0.58 -5717.006 6933.799 42.431011 -12650.805929649998 0.0 0.0 -7208.417 -1686.4222181834425 -0.0
298.15 NB TI 0.43 0.57 -5767.096 6888.609 42.447443 -12655.705130449998 0.0 0.0 -7270.5805 -1693.9159242532326 -0.0
298.15 NB TI 0.44 0.56 -5818.782 6840.81 42.460482 -12659.592708299999 0.0 0.0 -7332.744000000001 -1700.3981451097393 -0.0
298.15 NB TI 0.45 0.55 -5872.072 6790.402 42.470147 -12662.474328049999 0.0 0.0 -7394.9075 -1705.8742191782392 -0.0
298.15 NB TI 0.46 0.54 -5926.969 6737.385 42.476452 -12664.354163799999 0.0 0.0 -7457.071 -1710.3486197582595 -0.0
298.15 NB TI 0.47 0.53 -5983.478 6681.759 42.47941 -12665.236091499999 0.0 0.0 -7519.2345 -1713.8249773357109 -0.0
298.15 NB TI 0.48 0.52 -6041.599 6623.523 42.47903 -12665.1227945 0.0 0.0 -7581.397999999999 -1716.3060974737868 -0.0
298.15 NB TI 0.49 0.51 -6101.337 6562.679 42.475318 -12664.0160617 0.0 0.0 -7643.5615 -1717.7939745058845 -0.0
298.15 NB TI 0.5 0.5 -6162.692 6499.225 42.468279 -12661.91738385 0.0 0.0 -7705.725 -1718.289801199083 -0.0
298.15 NB TI 0.51 0.49 -6225.664 6433.163 42.457914 -12658.8270591 0.0 0.0 -7767.8885 -1717.7939745058845 -0.0
298.15 NB TI 0.52 0.48 -6290.253 6364.491 42.444222 -12654.7447893 0.0 0.0 -7830.052 -1716.3060974737868 -0.0
298.15 NB TI 0.53 0.47 -6356.459 6293.211 42.427198 -12649.669083699999 0.0 0.0 -7892.2155 -1713.8249773357109 -0.0
298.15 NB TI 0.54 0.46 -6424.277 6219.321 42.406836 -12643.598153399998 0.0 0.0 -7954.379000000001 -1710.3486197582595 -0.0
298.15 NB TI 0.55 0.45 -6493.707 6142.822 42.383127 -12636.52931505 0.0 0.0 -8016.5425000000005 -1705.8742191782392 -0.0
298.15 NB TI 0.56 0.44 -6564.744 6063.714 42.356058 -12628.458692699998 0.0 0.0 -8078.706 -1700.3981451097393 -0.0
298.15 NB TI 0.57 0.43 -6637.385 5981.997 42.325615 -12619.38211225 0.0 0.0 -8140.869499999999 -1693.9159242532328 -0.0
298.15 NB TI 0.58 0.42 -6711.622 5897.671 42.291779 -12609.293908849999 0.0 0.0 -8203.033 -1686.4222181834425 -0.0
298.15 NB TI 0.59 0.41 -6787.451 5810.736 42.254529 -12598.187821349999 0.0 0.0 -8265.1965 -1677.910796332693 -0.0
298.15 NB TI 0.6 0.4 -6864.865 5721.192 42.213842 -12586.056992299998 0.0 0.0 -8327.359999999999 -1668.3745039196444 -0.0
298.15 NB TI 0.61 0.39 -6943.854 5629.039 42.169691 -12572.89337165 0.0 0.0 -8389.5235 -1657.8052243977716 -0.0
298.15 NB TI 0.62 0.38 -7024.41 5534.277 42.122044 -12558.6874186 0.0 0.0 -8451.687 -1646.193835911596 -0.0
298.15 NB TI 0.63 0.37 -7106.523 5436.906 42.070868 -12543.429294199997 0.0 0.0 -8513.8505 -1633.5301611487748 -0.0
298.15 NB TI 0.64 0.36 -7190.182 5336.925 42.016124 -12527.107370599999 0.0 0.0 -8576.014 -1619.8029098595373 -0.0
298.15 NB TI 0.65 0.35 -7275.374 5234.336 41.957772 -12509.709721799998 0.0 0.0 -8638.1775 -1604.9996131775667 -0.0
