T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 NB V 0.0 1.0 -9209.853 0.0002657617 30.89 -9209.8535 0.0 0.0 -9209.853 0.0 -0.0
298.15 NB V 1.0 0.0 -10813.9 0.0003004319 36.270001 -10813.90079815 0.0 0.0 -10813.9 0.0 -0.0
298.15 NB V 0.01 0.99 -9274.828 89.89227 31.409426 -9364.7203619 0.0 0.0 -9225.893469999999 -138.82602141683572 -0.0
298.15 NB V 0.02 0.98 -9307.002 177.9683 31.812748 -9484.970816199999 0.0 0.0 -9241.933939999999 -243.03584172567548 -0.0
298.15 NB V 0.03 0.97 -9327.769 264.2283 32.171715 -9591.99682725 0.0 0.0 -9257.974409999999 -334.02154674813943 -0.0
298.15 NB V 0.04 0.96 -9341.672 348.6723 32.501574 -9690.3442881 0.0 0.0 -9274.014879999999 -416.3281974105132 -0.0
298.15 NB V 0.05 0.95 -9350.869 431.3003 32.809557 -9782.169419549999 0.0 0.0 -9290.055349999999 -492.11297050679866 -0.0
298.15 NB V 0.06 0.94 -9356.63 512.1123 33.099924 -9868.7423406 0.0 0.0 -9306.095819999999 -562.6452650375949 -0.0
298.15 NB V 0.07 0.93 -9359.792 591.1083 33.375484 -9950.900554599999 0.0 0.0 -9322.136289999999 -628.7628773593874 -0.0
298.15 NB V 0.08 0.92 -9360.95 668.2883 33.638231 -10029.238572649998 0.0 0.0 -9338.176759999998 -691.0604007790716 -0.0
298.15 NB V 0.09 0.91 -9360.548 743.6523 33.889654 -10104.2003401 0.0 0.0 -9354.21723 -749.9816351924776 -0.0
298.15 NB V 0.1 0.9 -9358.929 817.2003 34.130906 -10176.1296239 0.0 0.0 -9370.257699999998 -805.870345271772 -0.0
298.15 NB V 0.11 0.89 -9356.368 888.9323 34.362906 -10245.3004239 0.0 0.0 -9386.29817 -859.000492370776 -0.0
298.15 NB V 0.12 0.88 -9353.087 958.8483 34.586402 -10311.9357563 0.0 0.0 -9402.33864 -909.5953759771999 -0.0
298.15 NB V 0.13 0.87 -9349.273 1026.948 34.802017 -10376.22136855 0.0 0.0 -9418.37911 -957.840348132521 -0.0
298.15 NB V 0.14 0.86 -9345.081 1093.232 35.010273 -10438.312894949999 0.0 0.0 -9434.41958 -1003.8915915105914 -0.0
298.15 NB V 0.15 0.85 -9340.644 1157.7 35.211619 -10498.344204849998 0.0 0.0 -9450.460049999998 -1047.882375954332 -0.0
298.15 NB V 0.16 0.84 -9336.078 1220.352 35.40644 -10556.430086 0.0 0.0 -9466.50052 -1089.9276385420173 -0.0
298.15 NB V 0.17 0.83 -9331.482 1281.188 35.595071 -10612.67041865 0.0 0.0 -9482.54099 -1130.1274135160918 -0.0
298.15 NB V 0.18 0.82 -9326.945 1340.208 35.777806 -10667.152858899999 0.0 0.0 -9498.58146 -1168.5694517045056 -0.0
298.15 NB V 0.19 0.81 -9322.543 1397.412 35.954906 -10719.9552239 0.0 0.0 -9514.62193 -1205.3312553507326 -0.0
298.15 NB V 0.2 0.8 -9318.346 1452.8 36.126601 -10771.146088149999 0.0 0.0 -9530.6624 -1240.4816826440385 -0.0
298.15 NB V 0.21 0.79 -9314.415 1506.372 36.293098 -10820.787168699999 0.0 0.0 -9546.70287 -1274.08222978906 -0.0
298.15 NB V 0.22 0.78 -9310.805 1558.128 36.454582 -10868.9336233 0.0 0.0 -9562.74334 -1306.188067542519 -0.0
298.15 NB V 0.23 0.77 -9307.567 1608.068 36.611219 -10915.634944849999 0.0 0.0 -9578.78381 -1336.8488881016199 -0.0
298.15 NB V 0.24 0.76 -9304.744 1656.192 36.76316 -10960.936153999999 0.0 0.0 -9594.824279999999 -1366.1096036088943 -0.0
298.15 NB V 0.25 0.75 -9302.378 1702.5 36.910542 -11004.8780973 0.0 0.0 -9610.864749999999 -1394.0109271940482 -0.0
298.15 NB V 0.26 0.74 -9300.505 1746.992 37.053488 -11047.4974472 0.0 0.0 -9626.905219999999 -1420.5898600324033 -0.0
298.15 NB V 0.27 0.73 -9299.16 1789.668 37.192112 -11088.8281928 0.0 0.0 -9642.945689999999 -1445.8801024662048 -0.0
298.15 NB V 0.28 0.72 -9298.373 1830.528 37.326517 -11128.90104355 0.0 0.0 -9658.986159999999 -1469.9124032129614 -0.0
298.15 NB V 0.29 0.71 -9298.172 1869.572 37.456797 -11167.74402555 0.0 0.0 -9675.026629999998 -1492.7148576699553 -0.0
298.15 NB V 0.3 0.7 -9298.582 1906.8 37.583038 -11205.3827797 0.0 0.0 -9691.067099999998 -1514.313164037668 -0.0
298.15 NB V 0.31 0.69 -9299.629 1942.212 37.705319 -11241.84085985 0.0 0.0 -9707.107569999998 -1534.730844232385 -0.0
298.15 NB V 0.32 0.68 -9301.332 1975.808 37.823713 -11277.140030949999 0.0 0.0 -9723.148039999998 -1553.9894352015579 -0.0
298.15 NB V 0.33 0.67 -9303.711 2007.588 37.938285 -11311.29967275 0.0 0.0 -9739.188509999998 -1572.1086551954763 -0.0
298.15 NB V 0.34 0.66 -9306.786 2037.552 38.049096 -11344.337972399999 0.0 0.0 -9755.228979999998 -1589.1065487133012 -0.0
298.15 NB V 0.35 0.65 -9310.571 2065.7 38.156202 -11376.271626299998 0.0 0.0 -9771.26945 -1604.9996131775667 -0.0
298.15 NB V 0.36 0.64 -9315.083 2092.032 38.259653 -11407.11554195 0.0 0.0 -9787.30992 -1619.8029098595373 -0.0
298.15 NB V 0.37 0.63 -9320.335 2116.548 38.359494 -11436.8831361 0.0 0.0 -9803.35039 -1633.5301611487748 -0.0
298.15 NB V 0.38 0.62 -9326.339 2139.248 38.455768 -11465.587229199999 0.0 0.0 -9819.39086 -1646.193835911596 -0.0
298.15 NB V 0.39 0.61 -9333.107 2160.132 38.548513 -11493.23915095 0.0 0.0 -9835.43133 -1657.8052243977716 -0.0
298.15 NB V 0.4 0.6 -9340.649 2179.2 38.637763 -11519.849038449998 0.0 0.0 -9851.4718 -1668.3745039196444 -0.0
298.15 NB V 0.41 0.59 -9348.973 2196.452 38.723548 -11545.4258362 0.0 0.0 -9867.51227 -1677.9107963326926 -0.0
298.15 NB V 0.42 0.58 -9358.089 2211.888 38.805895 -11569.977594249998 0.0 0.0 -9883.55274 -1686.4222181834425 -0.0
298.15 NB V 0.43 0.57 -9368.004 2225.508 38.884829 -11593.51176635 0.0 0.0 -9899.593209999999 -1693.9159242532326 -0.0
298.15 NB V 0.44 0.56 -9378.722 2237.312 38.960371 -11616.03461365 0.0 0.0 -9915.633679999999 -1700.3981451097393 -0.0
298.15 NB V 0.45 0.55 -9390.251 2247.3 39.032537 -11637.55090655 0.0 0.0 -9931.674149999999 -1705.8742191782392 -0.0
298.15 NB V 0.46 0.54 -9402.594 2255.472 39.101345 -11658.06601175 0.0 0.0 -9947.714619999999 -1710.3486197582595 -0.0
298.15 NB V 0.47 0.53 -9415.754 2261.828 39.166804 -11677.5826126 0.0 0.0 -9963.755089999999 -1713.8249773357109 -0.0
298.15 NB V 0.48 0.52 -9429.736 2266.368 39.228926 -11696.1042869 0.0 0.0 -9979.795559999999 -1716.3060974737868 -0.0
298.15 NB V 0.49 0.51 -9444.54 2269.092 39.287717 -11713.632823549999 0.0 0.0 -9995.836029999999 -1717.7939745058845 -0.0
298.15 NB V 0.5 0.5 -9460.169 2270.0 39.34318 -11730.169116999998 0.0 0.0 -10011.876499999998 -1718.289801199083 -0.0
298.15 NB V 0.51 0.49 -9476.621 2269.092 39.395317 -11745.713763549998 0.0 0.0 -10027.916969999998 -1717.7939745058845 -0.0
298.15 NB V 0.52 0.48 -9493.898 2266.368 39.444126 -11760.266166899999 0.0 0.0 -10043.957439999998 -1716.3060974737868 -0.0
298.15 NB V 0.53 0.47 -9511.997 2261.828 39.489605 -11773.825730749999 0.0 0.0 -10059.997909999998 -1713.8249773357109 -0.0
298.15 NB V 0.54 0.46 -9530.917 2255.472 39.531745 -11786.389771749999 0.0 0.0 -10076.03838 -1710.3486197582595 -0.0
298.15 NB V 0.55 0.45 -9550.655 2247.3 39.570538 -11797.955904699998 0.0 0.0 -10092.07885 -1705.8742191782392 -0.0
298.15 NB V 0.56 0.44 -9571.208 2237.312 39.605971 -11808.520253649998 0.0 0.0 -10108.11932 -1700.3981451097393 -0.0
298.15 NB V 0.57 0.43 -9592.57 2225.508 39.638029 -11818.07834635 0.0 0.0 -10124.159789999998 -1693.9159242532328 -0.0
298.15 NB V 0.58 0.42 -9614.737 2211.888 39.666695 -11826.625114249999 0.0 0.0 -10140.20026 -1686.4222181834425 -0.0
298.15 NB V 0.59 0.41 -9637.702 2196.452 39.691948 -11834.154296199998 0.0 0.0 -10156.24073 -1677.910796332693 -0.0
298.15 NB V 0.6 0.4 -9661.458 2179.2 39.713763 -11840.658438449998 0.0 0.0 -10172.2812 -1668.3745039196444 -0.0
298.15 NB V 0.61 0.39 -9685.997 2160.132 39.732113 -11846.12949095 0.0 0.0 -10188.32167 -1657.8052243977716 -0.0
298.15 NB V 0.62 0.38 -9711.31 2139.248 39.746968 -11850.5585092 0.0 0.0 -10204.36214 -1646.193835911596 -0.0
298.15 NB V 0.63 0.37 -9737.387 2116.548 39.758294 -11853.935356099999 0.0 0.0 -10220.40261 -1633.5301611487748 -0.0
298.15 NB V 0.64 0.36 -9764.216 2092.032 39.766053 -11856.248701949999 0.0 0.0 -10236.44308 -1619.8029098595373 -0.0
298.15 NB V 0.65 0.35 -9791.785 2065.7 39.770202 -11857.485726299998 0.0 0.0 -10252.483549999999 -1604.9996131775667 -0.0
298.15 NB V 0.66 0.34 -9820.081 2037.552 39.770696 -11857.6330124 0.0 0.0 -10268.524019999999 -1589.106548713301 -0.0
298.15 NB V 0.67 0.33 -9849.087 2007.588 39.767485 -11856.67565275 0.0 0.0 -10284.564489999999 -1572.1086551954763 -0.0
298.15 NB V 0.68 0.32 -9878.789 1975.808 39.760513 -11854.59695095 0.0 0.0 -10300.60496 -1553.9894352015576 -0.0
298.15 NB V 0.69 0.31 -9909.166 1942.212 39.749719 -11851.37871985 0.0 0.0 -10316.64543 -1534.730844232385 -0.0
298.15 NB V 0.7 0.3 -9940.201 1906.8 39.735038 -11847.0015797 0.0 0.0 -10332.6859 -1514.313164037668 -0.0
298.15 NB V 0.71 0.29 -9971.871 1869.572 39.716397 -11841.443765549999 0.0 0.0 -10348.72637 -1492.7148576699553 -0.0
298.15 NB V 0.72 0.28 -10004.15 1830.528 39.693717 -11834.681723549998 0.0 0.0 -10364.76684 -1469.9124032129614 -0.0
298.15 NB V 0.73 0.27 -10037.02 1789.668 39.666912 -11826.6898128 0.0 0.0 -10380.80731 -1445.8801024662048 -0.0
298.15 NB V 0.74 0.26 -10070.45 1746.992 39.635888 -11817.440007199999 0.0 0.0 -10396.84778 -1420.5898600324033 -0.0
298.15 NB V 0.75 0.25 -10104.4 1702.5 39.600542 -11806.901597299999 0.0 0.0 -10412.88825 -1394.0109271940482 -0.0
298.15 NB V 0.76 0.24 -10138.85 1656.192 39.56076 -11795.040594 0.0 0.0 -10428.92872 -1366.1096036088943 -0.0
298.15 NB V 0.77 0.23 -10173.75 1608.068 39.516419 -11781.82032485 0.0 0.0 -10444.96919 -1336.8488881016199 -0.0
298.15 NB V 0.78 0.22 -10209.07 1558.128 39.467382 -11767.1999433 0.0 0.0 -10461.00966 -1306.188067542519 -0.0
298.15 NB V 0.79 0.21 -10244.76 1506.372 39.413498 -11751.134428699997 0.0 0.0 -10477.05013 -1274.08222978906 -0.0
298.15 NB V 0.8 0.2 -10280.77 1452.8 39.354601 -11733.57428815 0.0 0.0 -10493.0906 -1240.4816826440385 -0.0
298.15 NB V 0.81 0.19 -10317.05 1397.412 39.290506 -11714.464363899999 0.0 0.0 -10509.13107 -1205.3312553507324 -0.0
298.15 NB V 0.82 0.18 -10353.53 1340.208 39.221006 -11693.7429389 0.0 0.0 -10525.17154 -1168.5694517045058 -0.0
298.15 NB V 0.83 0.17 -10390.15 1281.188 39.145871 -11671.341438649999 0.0 0.0 -10541.21201 -1130.127413516092 -0.0
298.15 NB V 0.84 0.16 -10426.83 1220.352 39.06484 -11647.182045999998 0.0 0.0 -10557.25248 -1089.9276385420173 -0.0
298.15 NB V 0.85 0.15 -10463.48 1157.7 38.977619 -11621.177104849998 0.0 0.0 -10573.29295 -1047.882375954332 -0.0
298.15 NB V 0.86 0.14 -10499.99 1093.232 38.883873 -11593.22673495 0.0 0.0 -10589.333419999999 -1003.8915915105914 -0.0
298.15 NB V 0.87 0.13 -10536.27 1026.948 38.783217 -11563.21614855 0.0 0.0 -10605.373889999999 -957.840348132521 -0.0
298.15 NB V 0.88 0.12 -10572.16 958.8483 38.675202 -11531.011476299998 0.0 0.0 -10621.414359999999 -909.5953759771999 -0.0
