T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 NB W 0.0 1.0 -9723.96 0.9642336 32.617554 -9724.9237251 0.0 0.0 -9723.96 0.0 -0.0
298.15 NB W 1.0 0.0 -10813.9 0.0003003885 36.270001 -10813.90079815 0.0 0.0 -10813.9 0.0 -0.0
298.15 NB W 0.01 0.99 -10195.75 -339.0411 33.059571 -9856.71109365 0.0 0.0 -9734.859399999998 -138.82602141683572 -0.0
298.15 NB W 0.02 0.98 -10626.42 -672.1778 33.3867 -9954.244604999998 0.0 0.0 -9745.7588 -243.03584172567548 -0.0
298.15 NB W 0.03 0.97 -11037.36 -998.446 33.670689 -10038.91592535 0.0 0.0 -9756.658199999998 -334.02154674813943 -0.0
298.15 NB W 0.04 0.96 -11433.12 -1317.846 33.926784 -10115.2706496 0.0 0.0 -9767.5576 -416.3281974105132 -0.0
298.15 NB W 0.05 0.95 -11815.84 -1630.376 34.162218 -10185.4652967 0.0 0.0 -9778.456999999999 -492.11297050679866 -0.0
298.15 NB W 0.06 0.94 -12186.81 -1936.039 34.381251 -10250.769985649998 0.0 0.0 -9789.356399999999 -562.6452650375949 -0.0
298.15 NB W 0.07 0.93 -12546.85 -2234.833 34.586692 -10312.0222198 0.0 0.0 -9800.255799999999 -628.7628773593874 -0.0
298.15 NB W 0.08 0.92 -12896.57 -2526.758 34.780534 -10369.8162121 0.0 0.0 -9811.1552 -691.0604007790716 -0.0
298.15 NB W 0.09 0.91 -13236.41 -2811.814 34.964268 -10424.596504199999 0.0 0.0 -9822.0546 -749.9816351924776 -0.0
298.15 NB W 0.1 0.9 -13566.71 -3090.002 35.139044 -10476.7059686 0.0 0.0 -9832.954 -805.870345271772 -0.0
298.15 NB W 0.11 0.89 -13887.74 -3361.321 35.305784 -10526.4194996 0.0 0.0 -9843.8534 -859.000492370776 -0.0
298.15 NB W 0.12 0.88 -14199.73 -3625.772 35.465235 -10573.959815249998 0.0 0.0 -9854.752799999998 -909.5953759771999 -0.0
298.15 NB W 0.13 0.87 -14502.87 -3883.354 35.618019 -10619.512364849998 0.0 0.0 -9865.6522 -957.840348132521 -0.0
298.15 NB W 0.14 0.86 -14797.3 -4134.068 35.76466 -10663.233379 0.0 0.0 -9876.551599999999 -1003.8915915105914 -0.0
298.15 NB W 0.15 0.85 -15083.17 -4377.913 35.905605 -10705.25613075 0.0 0.0 -9887.450999999997 -1047.882375954332 -0.0
298.15 NB W 0.16 0.84 -15360.58 -4614.889 36.04124 -10745.695706 0.0 0.0 -9898.3504 -1089.9276385420173 -0.0
298.15 NB W 0.17 0.83 -15629.65 -4844.997 36.171899 -10784.65168685 0.0 0.0 -9909.2498 -1130.1274135160918 -0.0
298.15 NB W 0.18 0.82 -15890.45 -5068.236 36.297878 -10822.212325699998 0.0 0.0 -9920.1492 -1168.5694517045056 -0.0
298.15 NB W 0.19 0.81 -16143.06 -5284.607 36.419436 -10858.454843399999 0.0 0.0 -9931.0486 -1205.3312553507326 -0.0
298.15 NB W 0.2 0.8 -16387.56 -5494.109 36.536804 -10893.448112599997 0.0 0.0 -9941.948 -1240.4816826440385 -0.0
298.15 NB W 0.21 0.79 -16624.0 -5696.742 36.650189 -10927.253850349998 0.0 0.0 -9952.847399999999 -1274.08222978906 -0.0
298.15 NB W 0.22 0.78 -16852.43 -5892.507 36.759776 -10959.9272144 0.0 0.0 -9963.7468 -1306.188067542519 -0.0
298.15 NB W 0.23 0.77 -17072.92 -6081.403 36.86573 -10991.517399499999 0.0 0.0 -9974.6462 -1336.8488881016199 -0.0
298.15 NB W 0.24 0.76 -17285.5 -6263.43 36.968203 -11022.06972445 0.0 0.0 -9985.5456 -1366.1096036088943 -0.0
298.15 NB W 0.25 0.75 -17490.21 -6438.589 37.067332 -11051.6250358 0.0 0.0 -9996.445 -1394.0109271940482 -0.0
298.15 NB W 0.26 0.74 -17687.1 -6606.88 37.16324 -11080.220006 0.0 0.0 -10007.3444 -1420.5898600324033 -0.0
298.15 NB W 0.27 0.73 -17876.19 -6768.301 37.256041 -11107.88862415 0.0 0.0 -10018.2438 -1445.8801024662048 -0.0
298.15 NB W 0.28 0.72 -18057.52 -6922.854 37.345837 -11134.66130155 0.0 0.0 -10029.143199999999 -1469.9124032129614 -0.0
298.15 NB W 0.29 0.71 -18231.11 -7070.539 37.432723 -11160.56636245 0.0 0.0 -10040.042599999999 -1492.7148576699553 -0.0
298.15 NB W 0.3 0.7 -18396.98 -7211.355 37.516785 -11185.62944775 0.0 0.0 -10050.942 -1514.313164037668 -0.0
298.15 NB W 0.31 0.69 -18555.18 -7345.302 37.598103 -11209.87440945 0.0 0.0 -10061.8414 -1534.730844232385 -0.0
298.15 NB W 0.32 0.68 -18705.7 -7472.381 37.676747 -11233.322118049999 0.0 0.0 -10072.740799999998 -1553.9894352015579 -0.0
