T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 NB ZR 0.0 1.0 -6721.084 7309.764 47.059694 -14030.8477661 0.0 0.0 -6721.084 0.0 -0.0
298.15 NB ZR 1.0 0.0 -10813.15 0.001905836 36.267473 -10813.14707495 0.0 0.0 -10813.15 0.0 -0.0
298.15 NB ZR 0.01 0.99 -6768.29 7356.163 47.373647 -14124.45285305 0.0 0.0 -6762.0046600000005 -138.82602141683572 -0.0
298.15 NB ZR 0.02 0.98 -6782.149 7401.684 47.572809 -14183.833003349999 0.0 0.0 -6802.925319999999 -243.03584172567548 -0.0
298.15 NB ZR 0.03 0.97 -6784.095 7446.281 47.728914 -14230.3757091 0.0 0.0 -6843.84598 -334.02154674813943 -0.0
298.15 NB ZR 0.04 0.96 -6778.717 7489.905 47.857196 -14268.6229874 0.0 0.0 -6884.76664 -416.3281974105132 -0.0
298.15 NB ZR 0.05 0.95 -6768.216 7532.511 47.964875 -14300.727481249998 0.0 0.0 -6925.6873 -492.11297050679866 -0.0
298.15 NB ZR 0.06 0.94 -6753.904 7574.051 48.056196 -14327.954837399999 0.0 0.0 -6966.607959999999 -562.6452650375949 -0.0
298.15 NB ZR 0.07 0.93 -6736.662 7614.478 48.133956 -14351.138981399998 0.0 0.0 -7007.52862 -628.7628773593874 -0.0
298.15 NB ZR 0.08 0.92 -6717.127 7653.744 48.200137 -14370.870846549999 0.0 0.0 -7048.44928 -691.0604007790716 -0.0
298.15 NB ZR 0.09 0.91 -6695.786 7691.804 48.256214 -14387.590204099999 0.0 0.0 -7089.3699400000005 -749.9816351924776 -0.0
298.15 NB ZR 0.1 0.9 -6673.027 7728.61 48.303326 -14401.636646899999 0.0 0.0 -7130.2906 -805.870345271772 -0.0
298.15 NB ZR 0.11 0.89 -6649.166 7764.114 48.342379 -14413.280298849999 0.0 0.0 -7171.21126 -859.000492370776 -0.0
298.15 NB ZR 0.12 0.88 -6624.47 7798.271 48.37411 -14422.7408965 0.0 0.0 -7212.13192 -909.5953759771999 -0.0
298.15 NB ZR 0.13 0.87 -6599.167 7831.032 48.399126 -14430.199416899999 0.0 0.0 -7253.05258 -957.840348132521 -0.0
298.15 NB ZR 0.14 0.86 -6573.457 7862.351 48.417939 -14435.808512849999 0.0 0.0 -7293.97324 -1003.8915915105914 -0.0
298.15 NB ZR 0.15 0.85 -6547.516 7892.181 48.430983 -14439.697581449998 0.0 0.0 -7334.893899999999 -1047.882375954332 -0.0
298.15 NB ZR 0.16 0.84 -6521.502 7920.475 48.43863 -14441.9775345 0.0 0.0 -7375.81456 -1089.9276385420173 -0.0
298.15 NB ZR 0.17 0.83 -6495.559 7947.186 48.441201 -14442.744078149999 0.0 0.0 -7416.73522 -1130.1274135160918 -0.0
298.15 NB ZR 0.18 0.82 -6469.816 7972.266 48.43898 -14442.081886999998 0.0 0.0 -7457.65588 -1168.5694517045056 -0.0
298.15 NB ZR 0.19 0.81 -6444.395 7995.669 48.432212 -14440.0640078 0.0 0.0 -7498.57654 -1205.3312553507326 -0.0
298.15 NB ZR 0.2 0.8 -6419.408 8017.347 48.421115 -14436.75543725 0.0 0.0 -7539.497200000001 -1240.4816826440385 -0.0
298.15 NB ZR 0.21 0.79 -6394.959 8037.255 48.405882 -14432.213718299998 0.0 0.0 -7580.41786 -1274.08222978906 -0.0
298.15 NB ZR 0.22 0.78 -6371.147 8055.344 48.386686 -14426.490430899998 0.0 0.0 -7621.33852 -1306.188067542519 -0.0
298.15 NB ZR 0.23 0.77 -6348.064 8071.567 48.36368 -14419.631191999999 0.0 0.0 -7662.259179999999 -1336.8488881016199 -0.0
298.15 NB ZR 0.24 0.76 -6325.799 8085.878 48.337001 -14411.676848149998 0.0 0.0 -7703.17984 -1366.1096036088943 -0.0
298.15 NB ZR 0.25 0.75 -6304.435 8098.23 48.306774 -14402.664668099998 0.0 0.0 -7744.1005000000005 -1394.0109271940482 -0.0
298.15 NB ZR 0.26 0.74 -6284.052 8108.575 48.273108 -14392.6271502 0.0 0.0 -7785.021159999999 -1420.5898600324033 -0.0
298.15 NB ZR 0.27 0.73 -6264.728 8116.866 48.236104 -14381.594407599998 0.0 0.0 -7825.94182 -1445.8801024662048 -0.0
298.15 NB ZR 0.28 0.72 -6246.536 8123.057 48.195852 -14369.5932738 0.0 0.0 -7866.86248 -1469.9124032129614 -0.0
298.15 NB ZR 0.29 0.71 -6229.548 8127.101 48.152434 -14356.6481971 0.0 0.0 -7907.78314 -1492.7148576699553 -0.0
298.15 NB ZR 0.3 0.7 -6213.831 8128.949 48.105921 -14342.780346149999 0.0 0.0 -7948.703799999999 -1514.313164037668 -0.0
298.15 NB ZR 0.31 0.69 -6199.453 8128.556 48.056381 -14328.00999515 0.0 0.0 -7989.624459999999 -1534.730844232385 -0.0
298.15 NB ZR 0.32 0.68 -6186.479 8125.875 48.003871 -14312.354138649998 0.0 0.0 -8030.545119999999 -1553.9894352015579 -0.0
298.15 NB ZR 0.33 0.67 -6174.972 8120.858 47.948446 -14295.829174899998 0.0 0.0 -8071.4657799999995 -1572.1086551954763 -0.0
298.15 NB ZR 0.34 0.66 -6164.991 8113.458 47.890152 -14278.4488188 0.0 0.0 -8112.38644 -1589.1065487133012 -0.0
298.15 NB ZR 0.35 0.65 -6156.598 8103.628 47.829032 -14260.225890799999 0.0 0.0 -8153.3071 -1604.9996131775667 -0.0
298.15 NB ZR 0.36 0.64 -6149.85 8091.321 47.765124 -14241.1717206 0.0 0.0 -8194.22776 -1619.8029098595373 -0.0
298.15 NB ZR 0.37 0.63 -6144.805 8076.491 47.69846 -14221.295848999998 0.0 0.0 -8235.14842 -1633.5301611487748 -0.0
298.15 NB ZR 0.38 0.62 -6141.517 8059.09 47.629068 -14200.606624199998 0.0 0.0 -8276.069080000001 -1646.193835911596 -0.0
298.15 NB ZR 0.39 0.61 -6140.041 8039.071 47.556975 -14179.112096249999 0.0 0.0 -8316.98974 -1657.8052243977716 -0.0
298.15 NB ZR 0.4 0.6 -6140.431 8016.387 47.4822 -14156.81793 0.0 0.0 -8357.9104 -1668.3745039196444 -0.0
