T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 ND SN 0.0 1.0 -12648.2 4400.0 57.179958 -17048.204477699997 0.0 0.0 -12648.2 0.0 -0.0
298.15 ND SN 1.0 0.0 -19919.93 1437.295 71.632481 -21357.224210149998 0.0 0.0 -19919.93 0.0 -0.0
298.15 ND SN 0.01 0.99 -14619.28 2590.775 57.722809 -17210.05550335 0.0 0.0 -12720.917300000001 -138.82602141683572 -0.0
298.15 ND SN 0.02 0.98 -16560.67 774.1417 58.141233 -17334.80861895 0.0 0.0 -12793.634600000001 -243.03584172567548 -0.0
298.15 ND SN 0.03 0.97 -18491.24 -1047.256 58.507393 -17443.979222949998 0.0 0.0 -12866.351900000001 -334.02154674813943 -0.0
298.15 ND SN 0.04 0.96 -20413.06 -2870.831 58.836941 -17542.23395915 0.0 0.0 -12939.069200000002 -416.3281974105132 -0.0
298.15 ND SN 0.05 0.95 -22325.9 -4694.048 59.137516 -17631.850395399997 0.0 0.0 -13011.7865 -492.11297050679866 -0.0
298.15 ND SN 0.06 0.94 -24228.64 -6514.427 59.413774 -17714.216718099997 0.0 0.0 -13084.5038 -562.6452650375949 -0.0
298.15 ND SN 0.07 0.93 -26119.83 -8329.544 59.668918 -17790.287901699998 0.0 0.0 -13157.221099999999 -628.7628773593874 -0.0
298.15 ND SN 0.08 0.92 -27997.8 -10137.03 59.905332 -17860.774735799998 0.0 0.0 -13229.938400000001 -691.0604007790716 -0.0
298.15 ND SN 0.09 0.91 -29860.79 -11934.56 60.124887 -17926.23505905 0.0 0.0 -13302.655700000001 -749.9816351924776 -0.0
298.15 ND SN 0.1 0.9 -31707.0 -13719.87 60.329116 -17987.1259354 0.0 0.0 -13375.373000000001 -805.870345271772 -0.0
298.15 ND SN 0.11 0.89 -33534.6 -15490.76 60.519313 -18043.833170949998 0.0 0.0 -13448.090300000002 -859.000492370776 -0.0
298.15 ND SN 0.12 0.88 -35341.77 -17245.08 60.696595 -18096.689799249998 0.0 0.0 -13520.8076 -909.5953759771999 -0.0
298.15 ND SN 0.13 0.87 -37126.7 -18980.71 60.86195 -18145.9903925 0.0 0.0 -13593.5249 -957.840348132521 -0.0
298.15 ND SN 0.14 0.86 -38887.62 -20695.62 61.016261 -18191.998217149998 0.0 0.0 -13666.2422 -1003.8915915105914 -0.0
298.15 ND SN 0.15 0.85 -40622.77 -22387.82 61.160331 -18234.95268765 0.0 0.0 -13738.9595 -1047.882375954332 -0.0
298.15 ND SN 0.16 0.84 -42330.43 -24055.36 61.294894 -18275.072646099998 0.0 0.0 -13811.6768 -1089.9276385420173 -0.0
298.15 ND SN 0.17 0.83 -44008.93 -25696.37 61.420633 -18312.56172895 0.0 0.0 -13884.3941 -1130.1274135160918 -0.0
298.15 ND SN 0.18 0.82 -45656.61 -27309.0 61.538183 -18347.609261449998 0.0 0.0 -13957.111400000002 -1168.5694517045056 -0.0
298.15 ND SN 0.19 0.81 -47271.9 -28891.5 61.648139 -18380.392642849998 0.0 0.0 -14029.828700000002 -1205.3312553507326 -0.0
298.15 ND SN 0.2 0.8 -48853.22 -30442.14 61.751064 -18411.0797316 0.0 0.0 -14102.546000000002 -1240.4816826440385 -0.0
298.15 ND SN 0.21 0.79 -50399.08 -31959.25 61.84749 -18439.8291435 0.0 0.0 -14175.263300000002 -1274.08222978906 -0.0
298.15 ND SN 0.22 0.78 -51908.01 -33441.22 61.937924 -18466.792040599998 0.0 0.0 -14247.980600000003 -1306.188067542519 -0.0
298.15 ND SN 0.23 0.77 -53378.61 -34886.49 62.022849 -18492.11242935 0.0 0.0 -14320.697900000003 -1336.8488881016199 -0.0
298.15 ND SN 0.24 0.76 -54809.5 -36293.57 62.102728 -18515.928353199997 0.0 0.0 -14393.415200000001 -1366.1096036088943 -0.0
298.15 ND SN 0.25 0.75 -56199.36 -37660.99 62.178005 -18538.372190749997 0.0 0.0 -14466.132500000002 -1394.0109271940482 -0.0
298.15 ND SN 0.26 0.74 -57546.94 -38987.37 62.249106 -18559.570953899998 0.0 0.0 -14538.8498 -1420.5898600324033 -0.0
298.15 ND SN 0.27 0.73 -58851.0 -40271.36 62.316443 -18579.64748045 0.0 0.0 -14611.5671 -1445.8801024662048 -0.0
298.15 ND SN 0.28 0.72 -60110.39 -41511.67 62.38041 -18598.7192415 0.0 0.0 -14684.2844 -1469.9124032129614 -0.0
