T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 NI MO 0.0 1.0 -351.7577 10554.15 36.578606 -10905.911378899998 0.0 0.0 -351.7577 0.0 -0.0
298.15 NI MO 1.0 0.0 -8515.141 -0.002619585 28.559915 -8515.13865725 0.0 0.0 -8515.141 0.0 -0.0
298.15 NI MO 0.01 0.99 -196.5078 10824.32 36.964045 -11020.830016749998 0.0 0.0 -433.391533 -138.82602141683572 -0.0
298.15 NI MO 0.02 0.98 -12.34032 11088.79 37.23338 -11101.132246999998 0.0 0.0 -515.025366 -243.03584172567548 -0.0
298.15 NI MO 0.03 0.97 179.2947 11347.5 37.458361 -11168.210332149998 0.0 0.0 -596.659199 -334.02154674813943 -0.0
298.15 NI MO 0.04 0.96 373.7942 11600.4 37.654232 -11226.6092708 0.0 0.0 -678.293032 -416.3281974105132 -0.0
298.15 NI MO 0.05 0.95 568.9433 11847.43 37.828229 -11278.486476349999 0.0 0.0 -759.9268649999999 -492.11297050679866 -0.0
298.15 NI MO 0.06 0.94 763.4145 12088.53 37.984609 -11325.111173349998 0.0 0.0 -841.5606979999999 -562.6452650375949 -0.0
298.15 NI MO 0.07 0.93 956.3123 12323.63 38.126182 -11367.3211633 0.0 0.0 -923.1945310000001 -628.7628773593874 -0.0
298.15 NI MO 0.08 0.92 1146.984 12552.69 38.254942 -11405.7109573 0.0 0.0 -1004.828364 -691.0604007790716 -0.0
298.15 NI MO 0.09 0.91 1334.928 12775.65 38.372378 -11440.724500699998 0.0 0.0 -1086.4621969999998 -749.9816351924776 -0.0
298.15 NI MO 0.1 0.9 1519.743 12992.45 38.479643 -11472.70556045 0.0 0.0 -1168.09603 -805.870345271772 -0.0
298.15 NI MO 0.11 0.89 1701.096 13203.02 38.577656 -11501.928136399998 0.0 0.0 -1249.729863 -859.000492370776 -0.0
298.15 NI MO 0.12 0.88 1878.707 13407.32 38.667165 -11528.615244749999 0.0 0.0 -1331.363696 -909.5953759771999 -0.0
298.15 NI MO 0.13 0.87 2052.332 13605.28 38.748793 -11552.952632949999 0.0 0.0 -1412.997529 -957.840348132521 -0.0
298.15 NI MO 0.14 0.86 2221.758 13796.85 38.823063 -11575.096233449998 0.0 0.0 -1494.631362 -1003.8915915105914 -0.0
298.15 NI MO 0.15 0.85 2386.792 13981.97 38.890422 -11595.1793193 0.0 0.0 -1576.2651949999997 -1047.882375954332 -0.0
298.15 NI MO 0.16 0.84 2547.263 14160.58 38.951255 -11613.31667825 0.0 0.0 -1657.899028 -1089.9276385420173 -0.0
298.15 NI MO 0.17 0.83 2703.012 14332.62 39.005899 -11629.608786849998 0.0 0.0 -1739.5328610000001 -1130.1274135160918 -0.0
298.15 NI MO 0.18 0.82 2853.894 14498.04 39.054648 -11644.1433012 0.0 0.0 -1821.166694 -1168.5694517045056 -0.0
298.15 NI MO 0.19 0.81 2999.773 14656.77 39.097761 -11656.99744215 0.0 0.0 -1902.800527 -1205.3312553507326 -0.0
