T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 NI NB 0.0 1.0 -351.7577 10554.15 36.578606 -10905.911378899998 0.0 0.0 -351.7577 0.0 -0.0
298.15 NI NB 1.0 0.0 -10813.9 0.0002474075 36.27 -10813.9005 0.0 0.0 -10813.9 0.0 -0.0
298.15 NI NB 0.01 0.99 -765.7465 10263.24 36.991408 -11028.988295199999 0.0 0.0 -456.379123 -138.82602141683572 -0.0
298.15 NI NB 0.02 0.98 -1141.674 9976.074 37.28911 -11117.7481465 0.0 0.0 -561.000546 -243.03584172567548 -0.0
298.15 NI NB 0.03 0.97 -1500.932 9692.652 37.543464 -11193.5837916 0.0 0.0 -665.621969 -334.02154674813943 -0.0
298.15 NI NB 0.04 0.96 -1848.065 9412.975 37.769712 -11261.039632799999 0.0 0.0 -770.243392 -416.3281974105132 -0.0
298.15 NI NB 0.05 0.95 -2185.231 9137.042 37.975091 -11322.273381649999 0.0 0.0 -874.864815 -492.11297050679866 -0.0
298.15 NI NB 0.06 0.94 -2513.7 8864.854 38.163857 -11378.55396455 0.0 0.0 -979.486238 -562.6452650375949 -0.0
298.15 NI NB 0.07 0.93 -2834.309 8596.411 38.338822 -11430.7197793 0.0 0.0 -1084.107661 -628.7628773593874 -0.0
298.15 NI NB 0.08 0.92 -3147.652 8331.713 38.501979 -11479.36503885 0.0 0.0 -1188.729084 -691.0604007790716 -0.0
298.15 NI NB 0.09 0.91 -3454.174 8070.76 38.654816 -11524.933390399998 0.0 0.0 -1293.350507 -749.9816351924776 -0.0
298.15 NI NB 0.1 0.9 -3754.217 7813.551 38.798487 -11567.76889905 0.0 0.0 -1397.9719300000002 -805.870345271772 -0.0
298.15 NI NB 0.11 0.89 -4048.057 7560.088 38.93391 -11608.145266499998 0.0 0.0 -1502.593353 -859.000492370776 -0.0
298.15 NI NB 0.12 0.88 -4335.917 7310.369 39.061836 -11646.2864034 0.0 0.0 -1607.2147759999998 -909.5953759771999 -0.0
298.15 NI NB 0.13 0.87 -4617.981 7064.395 39.182884 -11682.376864599999 0.0 0.0 -1711.836199 -957.840348132521 -0.0
