T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 NI NB 0.0 1.0 -351.7577 10554.15 36.578606 -10905.911378899998 0.0 0.0 -351.7577 0.0 -0.0
298.15 NI NB 1.0 0.0 -10813.9 0.0002473983 36.27 -10813.9005 0.0 0.0 -10813.9 0.0 -0.0
298.15 NI NB 0.01 0.99 -813.3716 10171.41 36.843146 -10984.783979899998 0.0 0.0 -456.379123 -138.82602141683572 -0.0
298.15 NI NB 0.02 0.98 -1235.962 9794.271 36.995582 -11030.232773299998 0.0 0.0 -561.000546 -243.03584172567548 -0.0
298.15 NI NB 0.03 0.97 -1640.921 9422.729 37.107663 -11063.64972345 0.0 0.0 -665.621969 -334.02154674813943 -0.0
298.15 NI NB 0.04 0.96 -2032.793 9056.788 37.194635 -11089.580425249998 0.0 0.0 -770.243392 -416.3281974105132 -0.0
298.15 NI NB 0.05 0.95 -2413.736 8696.446 37.263733 -11110.18199395 0.0 0.0 -874.864815 -492.11297050679866 -0.0
298.15 NI NB 0.06 0.94 -2785.019 8341.705 37.319214 -11126.7236541 0.0 0.0 -979.486238 -562.6452650375949 -0.0
298.15 NI NB 0.07 0.93 -3147.48 7992.563 37.363888 -11140.0432072 0.0 0.0 -1084.107661 -628.7628773593874 -0.0
298.15 NI NB 0.08 0.92 -3501.714 7649.022 37.399749 -11150.735164349999 0.0 0.0 -1188.729084 -691.0604007790716 -0.0
298.15 NI NB 0.09 0.91 -3848.163 7311.08 37.428286 -11159.243470899999 0.0 0.0 -1293.350507 -749.9816351924776 -0.0
298.15 NI NB 0.1 0.9 -4187.173 6978.738 37.450651 -11165.911595649999 0.0 0.0 -1397.9719300000002 -805.870345271772 -0.0
298.15 NI NB 0.11 0.89 -4519.017 6651.997 37.467765 -11171.01413475 0.0 0.0 -1502.593353 -859.000492370776 -0.0
298.15 NI NB 0.12 0.88 -4843.919 6330.855 37.480375 -11174.77380625 0.0 0.0 -1607.2147759999998 -909.5953759771999 -0.0
298.15 NI NB 0.13 0.87 -5162.062 6015.314 37.489104 -11177.376357599998 0.0 0.0 -1711.836199 -957.840348132521 -0.0
298.15 NI NB 0.14 0.86 -5473.605 5705.372 37.494475 -11178.97772125 0.0 0.0 -1816.4576220000001 -1003.8915915105914 -0.0
298.15 NI NB 0.15 0.85 -5778.68 5401.031 37.496934 -11179.7108721 0.0 0.0 -1921.0790449999997 -1047.882375954332 -0.0
298.15 NI NB 0.16 0.84 -6077.402 5102.289 37.496869 -11179.691492349999 0.0 0.0 -2025.700468 -1089.9276385420173 -0.0
298.15 NI NB 0.17 0.83 -6369.871 4809.148 37.494614 -11179.019164099998 0.0 0.0 -2130.321891 -1130.1274135160918 -0.0
298.15 NI NB 0.18 0.82 -6656.175 4521.606 37.490463 -11177.781543449999 0.0 0.0 -2234.943314 -1168.5694517045056 -0.0
298.15 NI NB 0.19 0.81 -6936.392 4239.665 37.484677 -11176.056447549998 0.0 0.0 -2339.564737 -1205.3312553507326 -0.0
298.15 NI NB 0.2 0.8 -7210.589 3963.323 37.477486 -11173.9124509 0.0 0.0 -2444.18616 -1240.4816826440385 -0.0
298.15 NI NB 0.21 0.79 -7478.83 3692.582 37.469097 -11171.41127055 0.0 0.0 -2548.807583 -1274.08222978906 -0.0
298.15 NI NB 0.22 0.78 -7741.168 3427.44 37.459695 -11168.60806425 0.0 0.0 -2653.429006 -1306.188067542519 -0.0
298.15 NI NB 0.23 0.77 -7997.654 3167.898 37.449446 -11165.5523249 0.0 0.0 -2758.050429 -1336.8488881016199 -0.0
298.15 NI NB 0.24 0.76 -8248.332 2913.957 37.438501 -11162.28907315 0.0 0.0 -2862.671852 -1366.1096036088943 -0.0
298.15 NI NB 0.25 0.75 -8493.243 2665.615 37.426996 -11158.8588574 0.0 0.0 -2967.293275 -1394.0109271940482 -0.0
298.15 NI NB 0.26 0.74 -8732.425 2422.874 37.415056 -11155.298946399998 0.0 0.0 -3071.914698 -1420.5898600324033 -0.0
298.15 NI NB 0.27 0.73 -8965.911 2185.732 37.402794 -11151.643031099999 0.0 0.0 -3176.536121 -1445.8801024662048 -0.0
298.15 NI NB 0.28 0.72 -9193.731 1954.191 37.390313 -11147.92182095 0.0 0.0 -3281.157544 -1469.9124032129614 -0.0
298.15 NI NB 0.29 0.71 -9415.914 1728.249 37.377707 -11144.16334205 0.0 0.0 -3385.7789669999993 -1492.7148576699553 -0.0
298.15 NI NB 0.3 0.7 -9632.485 1507.908 37.365062 -11140.3932353 0.0 0.0 -3490.40039 -1514.313164037668 -0.0
298.15 NI NB 0.31 0.69 -9843.469 1293.166 37.352457 -11136.635054549999 0.0 0.0 -3595.021813 -1534.730844232385 -0.0
298.15 NI NB 0.32 0.68 -10048.89 1084.025 37.339965 -11132.910564749998 0.0 0.0 -3699.643236 -1553.9894352015579 -0.0
298.15 NI NB 0.33 0.67 -10248.76 880.4831 37.327651 -11129.23914565 0.0 0.0 -3804.264659 -1572.1086551954763 -0.0
298.15 NI NB 0.34 0.66 -10443.1 682.5416 37.315576 -11125.638984399999 0.0 0.0 -3908.886082 -1589.1065487133012 -0.0
298.15 NI NB 0.35 0.65 -10631.93 490.2001 37.303796 -11122.126777399999 0.0 0.0 -4013.5075049999996 -1604.9996131775667 -0.0
298.15 NI NB 0.36 0.64 -10815.26 303.4585 37.29236 -11118.717134 0.0 0.0 -4118.128928 -1619.8029098595373 -0.0
298.15 NI NB 0.37 0.63 -10993.11 122.317 37.281316 -11115.424365399998 0.0 0.0 -4222.750351 -1633.5301611487748 -0.0
298.15 NI NB 0.38 0.62 -11165.48 -53.22456 37.270704 -11112.2603976 0.0 0.0 -4327.371774 -1646.193835911596 -0.0
298.15 NI NB 0.39 0.61 -11332.4 -223.1661 37.260563 -11109.236858449998 0.0 0.0 -4431.993197000001 -1657.8052243977716 -0.0
298.15 NI NB 0.4 0.6 -11493.87 -387.5076 37.250926 -11106.363586899999 0.0 0.0 -4536.61462 -1668.3745039196444 -0.0
298.15 NI NB 0.41 0.59 -11649.9 -546.2492 37.241825 -11103.650123749998 0.0 0.0 -4641.236043 -1677.9107963326926 -0.0
298.15 NI NB 0.42 0.58 -11800.5 -699.3907 37.233286 -11101.104220899999 0.0 0.0 -4745.8574659999995 -1686.4222181834425 -0.0
298.15 NI NB 0.43 0.57 -11945.67 -846.9322 37.225334 -11098.733332099999 0.0 0.0 -4850.478889 -1693.9159242532326 -0.0
298.15 NI NB 0.44 0.56 -12085.42 -988.8738 37.21799 -11096.5437185 0.0 0.0 -4955.100312 -1700.3981451097393 -0.0
298.15 NI NB 0.45 0.55 -12219.76 -1125.215 37.211271 -11094.540448650001 0.0 0.0 -5059.721735 -1705.8742191782392 -0.0
298.15 NI NB 0.46 0.54 -12348.68 -1255.957 37.205192 -11092.727994799998 0.0 0.0 -5164.343158000001 -1710.3486197582595 -0.0
298.15 NI NB 0.47 0.53 -12472.21 -1381.098 37.199766 -11091.110232899999 0.0 0.0 -5268.964580999999 -1713.8249773357109 -0.0
298.15 NI NB 0.48 0.52 -12590.33 -1500.64 37.195001 -11089.689548149998 0.0 0.0 -5373.586004 -1716.3060974737868 -0.0
298.15 NI NB 0.49 0.51 -12703.05 -1614.581 37.190906 -11088.468623899998 0.0 0.0 -5478.207426999999 -1717.7939745058845 -0.0
298.15 NI NB 0.5 0.5 -12810.37 -1722.923 37.187483 -11087.448056449999 0.0 0.0 -5582.82885 -1718.289801199083 -0.0
298.15 NI NB 0.51 0.49 -12912.29 -1825.665 37.184733 -11086.62814395 0.0 0.0 -5687.450273 -1717.7939745058845 -0.0
298.15 NI NB 0.52 0.48 -13008.82 -1922.806 37.182657 -11086.00918455 0.0 0.0 -5792.071696 -1716.3060974737868 -0.0
298.15 NI NB 0.53 0.47 -13099.94 -2014.348 37.181249 -11085.58938935 0.0 0.0 -5896.6931190000005 -1713.8249773357109 -0.0
298.15 NI NB 0.54 0.46 -13185.66 -2100.289 37.180503 -11085.36696945 0.0 0.0 -6001.314542 -1710.3486197582595 -0.0
298.15 NI NB 0.55 0.45 -13265.97 -2180.631 37.18041 -11085.3392415 0.0 0.0 -6105.935965000001 -1705.8742191782392 -0.0
298.15 NI NB 0.56 0.44 -13340.87 -2255.372 37.180957 -11085.50232955 0.0 0.0 -6210.557388 -1700.3981451097393 -0.0
298.15 NI NB 0.57 0.43 -13410.37 -2324.514 37.18213 -11085.852059499999 0.0 0.0 -6315.178810999999 -1693.9159242532328 -0.0
298.15 NI NB 0.58 0.42 -13474.44 -2388.055 37.183909 -11086.382468349999 0.0 0.0 -6419.800233999999 -1686.4222181834425 -0.0
298.15 NI NB 0.59 0.41 -13533.08 -2445.997 37.186276 -11087.0881894 0.0 0.0 -6524.421656999999 -1677.910796332693 -0.0
298.15 NI NB 0.6 0.4 -13586.3 -2498.338 37.189205 -11087.961470749999 0.0 0.0 -6629.0430799999995 -1668.3745039196444 -0.0
298.15 NI NB 0.61 0.39 -13634.07 -2545.08 37.192669 -11088.99426235 0.0 0.0 -6733.664502999999 -1657.8052243977716 -0.0
298.15 NI NB 0.62 0.38 -13676.4 -2586.221 37.196638 -11090.1776197 0.0 0.0 -6838.285926 -1646.193835911596 -0.0
298.15 NI NB 0.63 0.37 -13713.26 -2621.763 37.201078 -11091.5014057 0.0 0.0 -6942.907348999999 -1633.5301611487748 -0.0
298.15 NI NB 0.64 0.36 -13744.66 -2651.704 37.205951 -11092.95429065 0.0 0.0 -7047.528772 -1619.8029098595373 -0.0
298.15 NI NB 0.65 0.35 -13770.57 -2676.046 37.211214 -11094.523454099999 0.0 0.0 -7152.150195 -1604.9996131775667 -0.0
298.15 NI NB 0.66 0.34 -13790.98 -2694.788 37.216822 -11096.195479299999 0.0 0.0 -7256.771618 -1589.106548713301 -0.0
298.15 NI NB 0.67 0.33 -13805.88 -2707.929 37.222725 -11097.955458749999 0.0 0.0 -7361.393041 -1572.1086551954763 -0.0
298.15 NI NB 0.68 0.32 -13815.26 -2715.471 37.228867 -11099.78669605 0.0 0.0 -7466.014464 -1553.9894352015576 -0.0
298.15 NI NB 0.69 0.31 -13819.08 -2717.412 37.235187 -11101.67100405 0.0 0.0 -7570.6358869999995 -1534.730844232385 -0.0
298.15 NI NB 0.7 0.3 -13817.34 -2713.754 37.241619 -11103.588704849999 0.0 0.0 -7675.25731 -1514.313164037668 -0.0
298.15 NI NB 0.71 0.29 -13810.01 -2704.495 37.248092 -11105.518629799999 0.0 0.0 -7779.878733 -1492.7148576699553 -0.0
298.15 NI NB 0.72 0.28 -13797.07 -2689.637 37.254526 -11107.436926899998 0.0 0.0 -7884.500156 -1469.9124032129614 -0.0
298.15 NI NB 0.73 0.27 -13778.5 -2669.178 37.260835 -11109.317955249999 0.0 0.0 -7989.121579 -1445.8801024662048 -0.0
298.15 NI NB 0.74 0.26 -13754.25 -2643.12 37.266925 -11111.13368875 0.0 0.0 -8093.743002 -1420.5898600324033 -0.0
298.15 NI NB 0.75 0.25 -13724.31 -2611.461 37.272693 -11112.853417949998 0.0 0.0 -8198.364425 -1394.0109271940482 -0.0
298.15 NI NB 0.76 0.24 -13688.65 -2574.203 37.278025 -11114.443153749999 0.0 0.0 -8302.985848 -1366.1096036088943 -0.0
298.15 NI NB 0.77 0.23 -13647.21 -2531.344 37.282798 -11115.866223699999 0.0 0.0 -8407.607270999999 -1336.8488881016199 -0.0
298.15 NI NB 0.78 0.22 -13599.97 -2482.886 37.286875 -11117.081781249999 0.0 0.0 -8512.228694000001 -1306.188067542519 -0.0
298.15 NI NB 0.79 0.21 -13546.87 -2428.828 37.290105 -11118.044805749998 0.0 0.0 -8616.850117 -1274.08222978906 -0.0
298.15 NI NB 0.8 0.2 -13487.87 -2369.169 37.292322 -11118.705804299998 0.0 0.0 -8721.47154 -1240.4816826440385 -0.0
298.15 NI NB 0.81 0.19 -13422.92 -2303.911 37.293341 -11119.009619149998 0.0 0.0 -8826.092963 -1205.3312553507324 -0.0
298.15 NI NB 0.82 0.18 -13351.95 -2233.052 37.292955 -11118.894533249999 0.0 0.0 -8930.714386 -1168.5694517045058 -0.0
298.15 NI NB 0.83 0.17 -13274.89 -2156.594 37.290934 -11118.2919721 0.0 0.0 -9035.335808999998 -1130.127413516092 -0.0
298.15 NI NB 0.84 0.16 -13191.66 -2074.535 37.287017 -11117.124118549998 0.0 0.0 -9139.957231999999 -1089.9276385420173 -0.0
298.15 NI NB 0.85 0.15 -13102.18 -1986.877 37.28091 -11115.303316499998 0.0 0.0 -9244.578655 -1047.882375954332 -0.0
298.15 NI NB 0.86 0.14 -13006.35 -1893.618 37.272278 -11112.729685699998 0.0 0.0 -9349.200078 -1003.8915915105914 -0.0
298.15 NI NB 0.87 0.13 -12904.05 -1794.76 37.260735 -11109.288140249999 0.0 0.0 -9453.821500999999 -957.840348132521 -0.0
298.15 NI NB 0.88 0.12 -12795.15 -1690.301 37.245835 -11104.84570525 0.0 0.0 -9558.442924 -909.5953759771999 -0.0
298.15 NI NB 0.89 0.11 -12679.49 -1580.243 37.227052 -11099.2455538 0.0 0.0 -9663.064347 -859.000492370776 -0.0
298.15 NI NB 0.9 0.1 -12556.89 -1464.584 37.203767 -11092.30313105 0.0 0.0 -9767.68577 -805.870345271772 -0.0
298.15 NI NB 0.91 0.09 -12427.12 -1343.326 37.175229 -11083.79452635 0.0 0.0 -9872.307192999999 -749.9816351924775 -0.0
298.15 NI NB 0.92 0.08 -12289.91 -1216.467 37.140519 -11073.445739849998 0.0 0.0 -9976.928616000001 -691.0604007790713 -0.0
298.15 NI NB 0.93 0.07 -12144.92 -1084.009 37.098486 -11060.9136009 0.0 0.0 -10081.550039 -628.762877359387 -0.0
298.15 NI NB 0.94 0.06 -11991.7 -945.9505 37.04764 -11045.753866 0.0 0.0 -10186.171461999998 -562.6452650375951 -0.0
298.15 NI NB 0.95 0.05 -11829.66 -802.2921 36.985988 -11027.372322199999 0.0 0.0 -10290.792885 -492.1129705067989 -0.0
298.15 NI NB 0.96 0.04 -11657.96 -653.0336 36.910718 -11004.9305717 0.0 0.0 -10395.414308 -416.3281974105133 -0.0
298.15 NI NB 0.97 0.03 -11475.33 -498.1751 36.817574 -10977.159688099999 0.0 0.0 -10500.035731 -334.02154674813966 -0.0
298.15 NI NB 0.98 0.02 -11279.62 -337.7167 36.69932 -10941.902258 0.0 0.0 -10604.657153999999 -243.03584172567562 -0.0
298.15 NI NB 0.99 0.01 -11066.27 -171.6582 36.540712 -10894.613282799999 0.0 0.0 -10709.278577000001 -138.82602141683583 -0.0
910.0 NI NB 0.0 1.0 -33461.86 27651.87 67.157946 -61113.730859999996 0.0 0.0 -33461.86 0.0 -0.0
910.0 NI NB 1.0 0.0 -43377.71 16133.8 65.397262 -59511.50842 0.0 0.0 -43377.71 0.0 -0.0
910.0 NI NB 0.01 0.99 -34081.76 27259.49 67.407964 -61341.247240000004 0.0 0.0 -33561.0185 -423.7185292279742 -0.0
910.0 NI NB 0.02 0.98 -34594.04 26872.71 67.545879 -61466.74989 0.0 0.0 -33660.176999999996 -741.7830487015419 -0.0
910.0 NI NB 0.03 0.97 -35064.0 26491.53 67.64344 -61555.530399999996 0.0 0.0 -33759.3355 -1019.4855191709104 -0.0
910.0 NI NB 0.04 0.96 -35505.52 26115.95 67.715892 -61621.46172 0.0 0.0 -33858.494 -1270.698170865561 -0.0
910.0 NI NB 0.05 0.95 -35925.16 25745.97 67.770469 -61671.12679 0.0 0.0 -33957.6525 -1502.0050416273245 -0.0
910.0 NI NB 0.06 0.94 -36326.82 25381.58 67.811429 -61708.40039 0.0 0.0 -34056.811 -1717.2805339064612 -0.0
920.0 NI NB 0.0 1.0 -34135.14 27961.41 67.496249 -62096.549080000004 0.0 0.0 -34135.14 0.0 -0.0
920.0 NI NB 1.0 0.0 -44033.19 16410.15 65.69928 -60443.3376 0.0 0.0 -44033.19 0.0 -0.0
920.0 NI NB 0.01 0.99 -34757.53 27568.7 67.745904 -62326.23168 0.0 0.0 -34234.1205 -428.37477680190807 -0.0
920.0 NI NB 0.02 0.98 -35271.19 27181.59 67.883456 -62452.77952 0.0 0.0 -34333.101 -749.9345107751852 -0.0
920.0 NI NB 0.03 0.97 -35742.13 26800.08 67.980655 -62542.2026 0.0 0.0 -34432.0815 -1030.688656744217 -0.0
920.0 NI NB 0.04 0.96 -36184.36 26424.16 68.052743 -62608.52356000001 0.0 0.0 -34531.062 -1284.661887028919 -0.0
920.0 NI NB 0.05 0.95 -36604.55 26053.85 68.106957 -62658.40044 0.0 0.0 -34630.042499999996 -1518.5105915353172 -0.0
920.0 NI NB 0.06 0.94 -37006.61 25689.14 68.147554 -62695.74968 0.0 0.0 -34729.023 -1736.1517485647742 -0.0
930.0 NI NB 0.0 1.0 -34811.78 28271.93 67.831941 -63083.70513 0.0 0.0 -34811.78 0.0 -0.0
930.0 NI NB 1.0 0.0 -44691.68 16686.88 65.998458 -61378.56594 0.0 0.0 -44691.68 0.0 -0.0
930.0 NI NB 0.01 0.99 -35436.67 27878.88 68.081231 -63315.54483 0.0 0.0 -34910.579 -433.0310243758418 -0.0
930.0 NI NB 0.02 0.98 -35951.7 27491.43 68.218418 -63443.12874 0.0 0.0 -35009.378 -758.0859728488285 -0.0
930.0 NI NB 0.03 0.97 -36423.61 27109.58 68.315251 -63533.183430000005 0.0 0.0 -35108.176999999996 -1041.8917943175238 -0.0
930.0 NI NB 0.04 0.96 -36866.56 26733.32 68.386975 -63599.886750000005 0.0 0.0 -35206.976 -1298.6256031922767 -0.0
930.0 NI NB 0.05 0.95 -37287.29 26362.67 68.440823 -63649.96539 0.0 0.0 -35305.775 -1535.0161414433096 -0.0
930.0 NI NB 0.06 0.94 -37689.76 25997.62 68.481055 -63687.38115 0.0 0.0 -35404.57399999999 -1755.0229632230867 -0.0
940.0 NI NB 0.0 1.0 -35491.77 28583.41 68.165078 -64075.173319999994 0.0 0.0 -35491.77 0.0 -0.0
940.0 NI NB 1.0 0.0 -45353.15 16964.02 66.294861 -62317.16934 0.0 0.0 -45353.15 0.0 -0.0
940.0 NI NB 0.01 0.99 -36119.15 28190.01 68.414001 -64309.16094 0.0 0.0 -35590.383799999996 -437.6872719497756 -0.0
940.0 NI NB 0.02 0.98 -36635.55 27802.22 68.550821 -64437.77174 0.0 0.0 -35688.997599999995 -766.237434922472 -0.0
940.0 NI NB 0.03 0.97 -37108.42 27420.03 68.647286 -64528.44884 0.0 0.0 -35787.611399999994 -1053.0949318908306 -0.0
940.0 NI NB 0.04 0.96 -37552.09 27043.43 68.718642 -64595.52348 0.0 0.0 -35886.2252 -1312.5893193556346 -0.0
940.0 NI NB 0.05 0.95 -37973.36 26672.44 68.772124 -64645.79656 0.0 0.0 -35984.839 -1551.5216913513025 -0.0
940.0 NI NB 0.06 0.94 -38376.22 26307.04 68.811988 -64683.26872 0.0 0.0 -36083.45279999999 -1773.8941778813996 -0.0
950.0 NI NB 0.0 1.0 -36175.07 28895.86 68.495714 -65070.92830000001 0.0 0.0 -36175.07 0.0 -0.0
950.0 NI NB 1.0 0.0 -46017.57 17241.55 66.58855 -63259.1225 0.0 0.0 -46017.57 0.0 -0.0
950.0 NI NB 0.01 0.99 -36804.94 28502.11 68.744268 -65307.0546 0.0 0.0 -36273.495 -442.34351952370935 -0.0
950.0 NI NB 0.02 0.98 -37322.71 28113.97 68.880718 -65436.6821 0.0 0.0 -36371.92 -774.3888969961151 -0.0
950.0 NI NB 0.03 0.97 -37796.55 27731.43 68.976814 -65527.973300000005 0.0 0.0 -36470.345 -1064.2980694641371 -0.0
950.0 NI NB 0.04 0.96 -38240.93 27354.48 69.047801 -65595.41095 0.0 0.0 -36568.77 -1326.5530355189924 -0.0
950.0 NI NB 0.05 0.95 -38662.73 26983.14 69.100913 -65645.86735 0.0 0.0 -36667.195 -1568.027241259295 -0.0
950.0 NI NB 0.06 0.94 -39065.99 26617.4 69.140408 -65683.38759999999 0.0 0.0 -36765.619999999995 -1792.7653925397124 -0.0
960.0 NI NB 0.0 1.0 -36861.67 29209.27 68.823902 -66070.94592 0.0 0.0 -36861.67 0.0 -0.0
960.0 NI NB 1.0 0.0 -46684.91 17519.49 66.879584 -64204.40063999999 0.0 0.0 -46684.91 0.0 -0.0
960.0 NI NB 0.01 0.99 -37494.02 28815.18 69.072084 -66309.20064000001 0.0 0.0 -36959.9024 -446.99976709764314 -0.0
960.0 NI NB 0.02 0.98 -38013.16 28426.68 69.208163 -66439.83648 0.0 0.0 -37058.1348 -782.5403590697586 -0.0
960.0 NI NB 0.03 0.97 -38487.95 28043.78 69.303887 -66531.73152 0.0 0.0 -37156.36719999999 -1075.501207037444 -0.0
960.0 NI NB 0.04 0.96 -38933.04 27666.48 69.374502 -66599.52192 0.0 0.0 -37254.599599999994 -1340.5167516823503 -0.0
960.0 NI NB 0.05 0.95 -39355.37 27294.78 69.427243 -66650.15328 0.0 0.0 -37352.831999999995 -1584.5327911672875 -0.0
960.0 NI NB 0.06 0.94 -39759.02 26928.69 69.466367 -66687.71232 0.0 0.0 -37451.064399999996 -1811.636607198025 -0.0
970.0 NI NB 0.0 1.0 -37551.54 29523.66 69.149692 -67075.20124 0.0 0.0 -37551.54 0.0 -0.0
970.0 NI NB 1.0 0.0 -47355.15 17797.83 67.168022 -65152.98133999999 0.0 0.0 -47355.15 0.0 -0.0
970.0 NI NB 0.01 0.99 -38186.37 29129.2 69.397501 -67315.57597 0.0 0.0 -37649.5761 -451.65601467157694 -0.0
970.0 NI NB 0.02 0.98 -38706.87 28740.34 69.533206 -67447.20982 0.0 0.0 -37747.6122 -790.6918211434019 -0.0
970.0 NI NB 0.03 0.97 -39182.62 28357.08 69.628557 -67539.70029000001 0.0 0.0 -37845.64829999999 -1086.7043446107507 -0.0
970.0 NI NB 0.04 0.96 -39628.41 27979.43 69.698798 -67607.83406 0.0 0.0 -37943.6844 -1354.480467845708 -0.0
970.0 NI NB 0.05 0.95 -40051.26 27607.37 69.751165 -67658.63005 0.0 0.0 -38041.720499999996 -1601.03834107528 -0.0
970.0 NI NB 0.06 0.94 -40455.31 27240.91 69.789916 -67696.21852000001 0.0 0.0 -38139.7566 -1830.5078218563378 -0.0
980.0 NI NB 0.0 1.0 -38244.66 29839.01 69.473134 -68083.67132000001 0.0 0.0 -38244.66 0.0 -0.0
980.0 NI NB 1.0 0.0 -48028.27 18076.58 67.45392 -66104.8416 0.0 0.0 -48028.27 0.0 -0.0
980.0 NI NB 0.01 0.99 -38881.97 29444.19 69.720567 -68326.15566 0.0 0.0 -38342.496100000004 -456.31226224551074 -0.0
980.0 NI NB 0.02 0.98 -39403.81 29054.96 69.855897 -68458.77906 0.0 0.0 -38440.332200000004 -798.8432832170452 -0.0
980.0 NI NB 0.03 0.97 -39880.51 28671.34 69.950872 -68551.85456 0.0 0.0 -38538.168300000005 -1097.9074821840575 -0.0
