T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 NI SC 0.0 1.0 -8654.576 1979.731 35.66764 -10634.306865999999 5.75e-28 8.5e-31 -8654.576 0.0 -0.0
298.15 NI SC 1.0 0.0 -1521.871 7989.419 31.901023 -9511.29000745 575.0 0.85 -1521.871 0.0 -1042.4491903721046
298.15 NI SC 0.01 0.99 -9584.6 1214.47 36.22026 -10799.070519 5.75 0.0085 -8583.248949999997 -138.82602141683572 -2.3897047489119965e-09
298.15 NI SC 0.02 0.98 -10467.85 462.1424 36.659372 -10929.991761799998 11.5 0.017 -8511.9219 -243.03584172567548 -1.5229927983225914e-07
298.15 NI SC 0.03 0.97 -11325.55 -277.123 37.056599 -11048.424991849999 17.25 0.0255 -8440.594849999998 -334.02154674813943 -1.727554339575452e-06
298.15 NI SC 0.04 0.96 -12162.07 -1003.195 37.427057 -11158.877044549998 23.0 0.034 -8369.2678 -416.3281974105132 -9.66635953082306e-06
298.15 NI SC 0.05 0.95 -12979.41 -1715.944 37.777853 -11263.466871949999 28.75 0.0425 -8297.940749999998 -492.11297050679866 -3.6722660763931226e-05
298.15 NI SC 0.06 0.94 -13778.67 -2415.239 38.113117 -11363.42583355 34.5 0.051 -8226.613699999998 -562.6452650375949 -0.000109205589104795
298.15 NI SC 0.07 0.93 -14560.5 -3100.951 38.43553 -11459.553269499998 40.25 0.0595 -8155.286649999998 -628.7628773593874 -0.00027425894881363306
298.15 NI SC 0.08 0.92 -15325.35 -3772.949 38.746958 -11552.405527699999 46.0 0.068 -8083.959599999999 -691.0604007790716 -0.0006086385756193444
298.15 NI SC 0.09 0.91 -16073.49 -4431.104 39.048758 -11642.387197699998 51.75 0.0765 -8012.632549999999 -749.9816351924776 -0.0012289471557787245
298.15 NI SC 0.1 0.9 -16805.09 -5075.288 39.341953 -11729.803286949998 57.5 0.085 -7941.3054999999995 -805.870345271772 -0.002303287768377704
298.15 NI SC 0.11 0.89 -17520.26 -5705.37 39.627329 -11814.88814135 63.25 0.0935 -7869.97845 -859.000492370776 -0.004064298999415338
298.15 NI SC 0.12 0.88 -18219.05 -6321.223 39.905502 -11897.825421299998 69.0 0.102 -7798.6514 -909.5953759771999 -0.006823535984027621
298.15 NI SC 0.13 0.87 -18901.48 -6922.721 40.176957 -11978.75972955 74.75 0.1105 -7727.32435 -957.840348132521 -0.010987163172327204
298.15 NI SC 0.14 0.86 -19567.54 -7509.735 40.44208 -12057.806151999997 80.5 0.119 -7655.997299999999 -1003.8915915105914 -0.01707292599826273
298.15 NI SC 0.15 0.85 -20217.2 -8082.142 40.701176 -12135.055624399998 86.25 0.1275 -7584.670249999998 -1047.882375954332 -0.02572836998004602
298.15 NI SC 0.16 0.84 -20850.4 -8639.816 40.954489 -12210.58089535 92.0 0.136 -7513.343199999998 -1089.9276385420173 -0.037750277126771016
298.15 NI SC 0.17 0.83 -21467.07 -9182.634 41.202207 -12284.438017049999 97.75 0.1445 -7442.016149999999 -1130.1274135160918 -0.054105290918159694
298.15 NI SC 0.18 0.82 -22067.14 -9710.474 41.444472 -12356.669326799998 103.5 0.153 -7370.6891 -1168.5694517045056 -0.07595170263855973
298.15 NI SC 0.19 0.81 -22650.52 -10223.22 41.681389 -12427.30613035 109.25 0.1615 -7299.36205 -1205.3312553507326 -0.10466237359618344
298.15 NI SC 0.2 0.8 -23217.11 -10720.74 41.913029 -12496.36959635 115.0 0.17 -7228.035 -1240.4816826440385 -0.14184876991177503
298.15 NI SC 0.21 0.79 -23766.81 -11202.94 42.139434 -12563.8722471 120.75 0.1785 -7156.70795 -1274.08222978906 -0.18938608935933912
298.15 NI SC 0.22 0.78 -24299.51 -11669.69 42.360616 -12629.8176604 126.5 0.187 -7085.3809 -1306.188067542519 -0.2494394635276802
298.15 NI SC 0.23 0.77 -24815.08 -12120.88 42.576564 -12694.202556599997 132.25 0.1955 -7014.05385 -1336.8488881016199 -0.3244912238215232
298.15 NI SC 0.24 0.76 -25313.42 -12556.4 42.787245 -12757.017096749998 138.0 0.204 -6942.7267999999995 -1366.1096036088943 -0.41736922718689756
