T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 NI SN 0.0 1.0 -12648.2 4400.0 57.179958 -17048.204477699997 5.75e-28 8.5e-31 -12648.2 0.0 -0.0
298.15 NI SN 1.0 0.0 -1521.871 7989.419 31.901023 -9511.29000745 575.0 0.85 -1521.871 0.0 -1042.4491903721046
298.15 NI SN 0.01 0.99 -51.11244 17397.0 58.521244 -17448.1088986 5.75 0.0085 -12536.93671 -138.82602141683572 -2.3897047489119965e-09
298.15 NI SN 0.02 0.98 11573.35 29351.35 59.627724 -17778.005910599997 11.5 0.017 -12425.673420000001 -243.03584172567548 -1.5229927983225914e-07
298.15 NI SN 0.03 0.97 22242.22 40303.05 60.576316 -18060.828615399998 17.25 0.0255 -12314.41013 -334.02154674813943 -1.727554339575452e-06
298.15 NI SN 0.04 0.96 31988.76 50291.39 61.387346 -18302.6372099 23.0 0.034 -12203.146840000001 -416.3281974105132 -9.66635953082306e-06
298.15 NI SN 0.05 0.95 40847.98 59355.05 62.073035 -18507.07538525 28.75 0.0425 -12091.88355 -492.11297050679866 -3.6722660763931226e-05
298.15 NI SN 0.06 0.94 48855.13 67532.01 62.642539 -18676.87300285 34.5 0.051 -11980.620260000002 -562.6452650375949 -0.000109205589104795
298.15 NI SN 0.07 0.93 56045.29 74859.59 63.103474 -18814.3007731 40.25 0.0595 -11869.356969999999 -628.7628773593874 -0.00027425894881363306
298.15 NI SN 0.08 0.92 62453.11 81374.47 63.462547 -18921.358388049997 46.0 0.068 -11758.093680000002 -691.0604007790716 -0.0006086385756193444
298.15 NI SN 0.09 0.91 68112.79 87112.65 63.72587 -18999.8681405 51.75 0.0765 -11646.830390000001 -749.9816351924776 -0.0012289471557787245
298.15 NI SN 0.1 0.9 73057.95 92109.47 63.899126 -19051.5244169 57.5 0.085 -11535.5671 -805.870345271772 -0.002303287768377704
298.15 NI SN 0.11 0.89 77321.69 96399.61 63.987672 -19077.9244068 63.25 0.0935 -11424.303810000001 -859.000492370776 -0.004064298999415338
298.15 NI SN 0.12 0.88 80936.5 100017.1 63.996602 -19080.5868863 69.0 0.102 -11313.04052 -909.5953759771999 -0.006823535984027621
298.15 NI SN 0.13 0.87 83934.29 102995.3 63.930791 -19060.96533665 74.75 0.1105 -11201.777230000002 -957.840348132521 -0.010987163172327204
298.15 NI SN 0.14 0.86 86346.34 105366.8 63.794922 -19020.4559943 80.5 0.119 -11090.51394 -1003.8915915105914 -0.01707292599826273
298.15 NI SN 0.15 0.85 88203.33 107163.7 63.593509 -18960.404708349997 86.25 0.1275 -10979.250650000002 -1047.882375954332 -0.02572836998004602
298.15 NI SN 0.16 0.84 89535.34 108417.4 63.330908 -18882.1102202 92.0 0.136 -10867.98736 -1089.9276385420173 -0.037750277126771016
298.15 NI SN 0.17 0.83 90371.79 109158.6 63.011333 -18786.828933949997 97.75 0.1445 -10756.72407 -1130.1274135160918 -0.054105290918159694
298.15 NI SN 0.18 0.82 90741.52 109417.3 62.63886 -18675.776109 103.5 0.153 -10645.460780000001 -1168.5694517045056 -0.07595170263855973
298.15 NI SN 0.19 0.81 90672.72 109222.8 62.217438 -18550.1291397 109.25 0.1615 -10534.19749 -1205.3312553507326 -0.10466237359618344
298.15 NI SN 0.2 0.8 90192.94 108604.0 61.750888 -18411.0272572 115.0 0.17 -10422.934200000002 -1240.4816826440385 -0.14184876991177503
298.15 NI SN 0.21 0.79 89329.15 107588.7 61.242913 -18259.57451095 120.75 0.1785 -10311.67091 -1274.08222978906 -0.18938608935933912
