T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 NI TI 0.0 1.0 -4597.55 6475.8 37.1402 -11073.350629999999 5.75e-28 8.5e-31 -4597.55 0.0 -0.0
298.15 NI TI 1.0 0.0 -1521.871 7989.419 31.901023 -9511.29000745 575.0 0.85 -1521.871 0.0 -1042.4491903721046
298.15 NI TI 0.01 0.99 -5309.176 5865.576 37.4803 -11174.751445 5.75 0.0085 -4566.79321 -138.82602141683572 -2.3897047489119965e-09
298.15 NI TI 0.02 0.98 -5986.423 5255.835 37.706719 -11242.25826985 11.5 0.017 -4536.03642 -243.03584172567548 -1.5229927983225914e-07
298.15 NI TI 0.03 0.97 -6650.297 4646.966 37.891207 -11297.26336705 17.25 0.0255 -4505.27963 -334.02154674813943 -1.727554339575452e-06
298.15 NI TI 0.04 0.96 -7304.954 4039.357 38.049007 -11344.31143705 23.0 0.034 -4474.5228400000005 -416.3281974105132 -9.66635953082306e-06
298.15 NI TI 0.05 0.95 -7952.165 3433.395 38.187354 -11385.5595951 28.75 0.0425 -4443.766049999999 -492.11297050679866 -3.6722660763931226e-05
298.15 NI TI 0.06 0.94 -8592.81 2829.468 38.310507 -11422.277662049999 34.5 0.051 -4413.00926 -562.6452650375949 -0.000109205589104795
298.15 NI TI 0.07 0.93 -9227.339 2227.963 38.421272 -11455.3022468 40.25 0.0595 -4382.252469999999 -628.7628773593874 -0.00027425894881363306
298.15 NI TI 0.08 0.92 -9855.961 1629.268 38.521645 -11485.22845675 46.0 0.068 -4351.49568 -691.0604007790716 -0.0006086385756193444
298.15 NI TI 0.09 0.91 -10478.73 1033.769 38.613109 -11512.49844835 51.75 0.0765 -4320.7388900000005 -749.9816351924776 -0.0012289471557787245
298.15 NI TI 0.1 0.9 -11095.6 441.8529 38.696816 -11537.455690399998 57.5 0.085 -4289.9821 -805.870345271772 -0.002303287768377704
298.15 NI TI 0.11 0.89 -11706.47 -146.0941 38.773679 -11560.372393849999 63.25 0.0935 -4259.22531 -859.000492370776 -0.004064298999415338
