T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 NI TI 0.0 1.0 -1.712413e-25 0.0 5.74346e-28 -1.712412599e-25 0.0 0.0 -1.712413e-25 0.0 -0.0
298.15 NI TI 1.0 0.0 -7.09757e-08 8.009988e-24 2.3805365e-10 -7.097569574749999e-08 0.0 0.0 -7.09757e-08 0.0 -0.0
298.15 NI TI 0.01 0.99 -138.8262 -1.720132e-14 0.46562532 -138.826189158 0.0 0.0 -7.097570000000002e-10 -138.82602141683572 -0.0
298.15 NI TI 0.02 0.98 -243.0361 0.0 0.81514719 -243.03613469849998 0.0 0.0 -1.4195140000000002e-09 -243.03584172567548 -0.0
298.15 NI TI 0.03 0.97 -334.0219 0.0 1.1203151 -334.02194706499995 0.0 0.0 -2.129271e-09 -334.02154674813943 -0.0
298.15 NI TI 0.04 0.96 -416.3287 0.0 1.3963733 -416.328699395 0.0 0.0 -2.839028e-09 -416.3281974105132 -0.0
298.15 NI TI 0.05 0.95 -492.1136 0.0 1.650557 -492.11356954999997 0.0 0.0 -3.548785e-09 -492.11297050679866 -0.0
298.15 NI TI 0.06 0.94 -562.6459 0.0 1.8871237 -562.645931155 0.0 0.0 -4.258542e-09 -562.6452650375949 -0.0
298.15 NI TI 0.07 0.93 -628.7636 0.0 2.1088836 -628.7636453399999 0.0 0.0 -4.968299e-09 -628.7628773593874 -0.0
298.15 NI TI 0.08 0.92 -691.0612 0.0 2.3178307 -691.0612232049999 0.0 0.0 -5.678056e-09 -691.0604007790716 -0.0
298.15 NI TI 0.09 0.91 -749.9825 0.0 2.5154538 -749.98255047 0.0 0.0 -6.387813e-09 -749.9816351924776 -0.0
298.15 NI TI 0.1 0.9 -805.8713 0.0 2.7029056 -805.8713046399998 0.0 0.0 -7.09757e-09 -805.870345271772 -0.0
298.15 NI TI 0.11 0.89 -859.0015 0.0 2.8811052 -859.0015153799999 0.0 0.0 -7.807327e-09 -859.000492370776 -0.0
298.15 NI TI 0.12 0.88 -909.5965 0.0 3.0508015 -909.596467225 0.0 0.0 -8.517084e-09 -909.5953759771999 -0.0
298.15 NI TI 0.13 0.87 -957.8415 0.0 3.2126161 -957.8414902149999 0.0 0.0 -9.226841e-09 -957.840348132521 -0.0
298.15 NI TI 0.14 0.86 -1003.893 0.0 3.3670729 -1003.8927851349999 0.0 0.0 -9.936598e-09 -1003.8915915105914 -0.0
298.15 NI TI 0.15 0.85 -1047.884 0.0 3.5146189 -1047.8836250349998 0.0 0.0 -1.0646354999999999e-08 -1047.882375954332 -0.0
298.15 NI TI 0.16 0.84 -1089.929 0.0 3.6556396 -1089.92894674 0.0 0.0 -1.1356112e-08 -1089.9276385420173 -0.0
298.15 NI TI 0.17 0.83 -1130.129 0.0 3.7904705 -1130.128779575 0.0 0.0 -1.2065869e-08 -1130.1274135160918 -0.0
298.15 NI TI 0.18 0.82 -1168.571 0.0 3.9194059 -1168.570869085 0.0 0.0 -1.2775626e-08 -1168.5694517045056 -0.0
298.15 NI TI 0.19 0.81 -1205.333 0.0 4.0427057 -1205.3327044549999 0.0 0.0 -1.3485383e-08 -1205.3312553507326 -0.0
298.15 NI TI 0.2 0.8 -1240.483 0.0 4.160601 -1240.48318815 0.0 0.0 -1.419514e-08 -1240.4816826440385 -0.0
298.15 NI TI 0.21 0.79 -1274.084 0.0 4.2732979 -1274.083768885 0.0 0.0 -1.4904897e-08 -1274.08222978906 -0.0
