T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 NI ZR 0.0 1.0 -6719.723 7311.125 47.059694 -14030.8477661 5.75e-28 8.5e-31 -6719.723 0.0 -0.0
298.15 NI ZR 1.0 0.0 -1521.871 7989.419 31.901023 -9511.29000745 575.0 0.85 -1521.871 0.0 -1042.4491903721046
298.15 NI ZR 0.01 0.99 -7792.739 6305.342 47.285195 -14098.080889249999 5.75 0.0085 -6667.74448 -138.82602141683572 -2.3897047489119965e-09
298.15 NI ZR 0.02 0.98 -8829.387 5303.481 47.401874 -14132.868733099998 11.5 0.017 -6615.76596 -243.03584172567548 -1.5229927983225914e-07
298.15 NI ZR 0.03 0.97 -9850.497 4306.065 47.48134 -14156.561521 17.25 0.0255 -6563.78744 -334.02154674813943 -1.727554339575452e-06
298.15 NI ZR 0.04 0.96 -10860.05 3313.614 47.538699 -14173.66310685 23.0 0.034 -6511.80892 -416.3281974105132 -9.66635953082306e-06
298.15 NI ZR 0.05 0.95 -11859.64 2326.651 47.581046 -14186.2888649 28.75 0.0425 -6459.830399999999 -492.11297050679866 -3.6722660763931226e-05
298.15 NI ZR 0.06 0.94 -12849.97 1345.698 47.612499 -14195.666576849999 34.5 0.051 -6407.851879999999 -562.6452650375949 -0.000109205589104795
298.15 NI ZR 0.07 0.93 -13831.32 371.2758 47.635728 -14202.5923032 40.25 0.0595 -6355.87336 -628.7628773593874 -0.00027425894881363306
298.15 NI ZR 0.08 0.92 -14803.71 -596.0934 47.652587 -14207.618814049998 46.0 0.068 -6303.89484 -691.0604007790716 -0.0006086385756193444
298.15 NI ZR 0.09 0.91 -15767.04 -1555.889 47.664422 -14211.1474193 51.75 0.0765 -6251.91632 -749.9816351924776 -0.0012289471557787245
298.15 NI ZR 0.1 0.9 -16721.07 -2507.59 47.672244 -14213.479548599998 57.5 0.085 -6199.937800000001 -805.870345271772 -0.002303287768377704
298.15 NI ZR 0.11 0.89 -17665.52 -3450.675 47.676828 -14214.846268199999 63.25 0.0935 -6147.95928 -859.000492370776 -0.004064298999415338
298.15 NI ZR 0.12 0.88 -18600.05 -4384.627 47.678778 -14215.4276607 69.0 0.102 -6095.98076 -909.5953759771999 -0.006823535984027621
298.15 NI ZR 0.13 0.87 -19524.29 -5308.925 47.678567 -14215.36475105 74.75 0.1105 -6044.002240000001 -957.840348132521 -0.010987163172327204
298.15 NI ZR 0.14 0.86 -20437.82 -6223.051 47.67657 -14214.769345499999 80.5 0.119 -5992.023719999999 -1003.8915915105914 -0.01707292599826273
298.15 NI ZR 0.15 0.85 -21340.22 -7126.489 47.673081 -14213.72910015 86.25 0.1275 -5940.0452 -1047.882375954332 -0.02572836998004602
298.15 NI ZR 0.16 0.84 -22231.04 -8018.722 47.668331 -14212.31288765 92.0 0.136 -5888.06668 -1089.9276385420173 -0.037750277126771016
298.15 NI ZR 0.17 0.83 -23109.81 -8899.236 47.662497 -14210.57348055 97.75 0.1445 -5836.088159999999 -1130.1274135160918 -0.054105290918159694
298.15 NI ZR 0.18 0.82 -23976.07 -9767.517 47.65571 -14208.549936499998 103.5 0.153 -5784.109640000001 -1168.5694517045056 -0.07595170263855973
298.15 NI ZR 0.19 0.81 -24829.32 -10623.05 47.648063 -14206.26998345 109.25 0.1615 -5732.13112 -1205.3312553507326 -0.10466237359618344
298.15 NI ZR 0.2 0.8 -25669.09 -11465.34 47.639617 -14203.75180855 115.0 0.17 -5680.1526 -1240.4816826440385 -0.14184876991177503
298.15 NI ZR 0.21 0.79 -26494.86 -12293.86 47.630399 -14201.003461849998 120.75 0.1785 -5628.174080000001 -1274.08222978906 -0.18938608935933912
298.15 NI ZR 0.22 0.78 -27306.13 -13108.11 47.620412 -14198.0258378 126.5 0.187 -5576.19556 -1306.188067542519 -0.2494394635276802
298.15 NI ZR 0.23 0.77 -28102.4 -13907.59 47.609634 -14194.8123771 132.25 0.1955 -5524.2170399999995 -1336.8488881016199 -0.3244912238215232
298.15 NI ZR 0.24 0.76 -28883.15 -14691.8 47.598018 -14191.3490667 138.0 0.204 -5472.23852 -1366.1096036088943 -0.41736922718689756
298.15 NI ZR 0.25 0.75 -29647.85 -15460.24 47.585498 -14187.616228699999 143.75 0.2125 -5420.26 -1394.0109271940482 -0.5312762478080173
298.15 NI ZR 0.26 0.74 -30396.0 -16212.41 47.571986 -14183.5876259 149.5 0.221 -5368.28148 -1420.5898600324033 -0.6698204555580876
298.15 NI ZR 0.27 0.73 -31127.06 -16947.83 47.557373 -14179.230759949998 155.25 0.2295 -5316.30296 -1445.8801024662048 -0.837047022250853
298.15 NI ZR 0.28 0.72 -31840.51 -17666.0 47.541533 -14174.50806395 161.0 0.238 -5264.32444 -1469.9124032129614 -1.0374709247801785
298.15 NI ZR 0.29 0.71 -32535.82 -18366.45 47.524318 -14169.375411699999 166.75 0.2465 -5212.34592 -1492.7148576699553 -1.2761110527342479
298.15 NI ZR 0.3 0.7 -33212.47 -19048.68 47.505563 -14163.78360845 172.5 0.255 -5160.3674 -1514.313164037668 -1.5585257805451453
298.15 NI ZR 0.31 0.69 -33869.91 -19712.24 47.485083 -14157.67749645 178.25 0.2635 -5108.38888 -1534.730844232385 -1.8908502353072068
298.15 NI ZR 0.32 0.68 -34507.63 -20356.63 47.462673 -14150.99595495 184.0 0.272 -5056.41036 -1553.9894352015579 -2.279835587192648
298.15 NI ZR 0.33 0.67 -35125.08 -20981.41 47.438108 -14143.671900199999 189.75 0.2805 -5004.431839999999 -1572.1086551954763 -2.7328908181061355
298.15 NI ZR 0.34 0.66 -35721.74 -21586.11 47.411142 -14135.631987299997 195.5 0.289 -4952.45332 -1589.1065487133012 -3.2581275969655077
298.15 NI ZR 0.35 0.65 -36297.07 -22170.27 47.381507 -14126.796312049999 201.25 0.2975 -4900.4748 -1604.9996131775667 -3.8644091220710695
298.15 NI ZR 0.36 0.64 -36850.53 -22733.45 47.348912 -14117.078112799998 207.0 0.306 -4848.49628 -1619.8029098595373 -4.561404103810612
298.15 NI ZR 0.37 0.63 -37381.6 -23275.22 47.313038 -14106.3822797 212.75 0.3145 -4796.51776 -1633.5301611487748 -5.359647484753768
298.15 NI ZR 0.38 0.62 -37889.73 -23795.13 47.27354 -14094.605950999998 218.5 0.323 -4744.53924 -1646.193835911596 -6.2706100725310305
298.15 NI ZR 0.39 0.61 -38374.4 -24292.77 47.23004 -14081.636426 224.25 0.3315 -4692.56072 -1657.8052243977716 -7.30678005684019
298.15 NI ZR 0.4 0.6 -38835.07 -24767.72 47.182123 -14067.349972449998 230.0 0.34 -4640.5822 -1668.3745039196444 -8.481760487512831
