T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 O Y 0.0 1.0 -7540.397 7187.739 49.39841 -14728.135941499999 0.0 0.0 -7540.397 0.0 -0.0
298.15 O Y 1.0 0.0 -791904.8 -792811.8 -3.0420207 906.978471705 0.0 0.0 -791904.8 0.0 -0.0
298.15 O Y 0.01 0.99 -25990.33 -10697.8 51.291374 -15292.523158099999 0.0 0.0 -15384.04103 -138.82602141683572 -0.0
298.15 O Y 0.02 0.98 -44403.77 -28656.86 52.815411 -15746.914789649998 0.0 0.0 -23227.685060000003 -243.03584172567548 -0.0
298.15 O Y 0.03 0.97 -62836.56 -46681.07 54.18577 -16155.487325499998 0.0 0.0 -31071.32909 -334.02154674813943 -0.0
298.15 O Y 0.04 0.96 -81293.94 -64762.07 55.448185 -16531.87635775 0.0 0.0 -38914.97312 -416.3281974105132 -0.0
298.15 O Y 0.05 0.95 -99774.04 -82891.49 56.624359 -16882.55263585 0.0 0.0 -46758.617150000005 -492.11297050679866 -0.0
298.15 O Y 0.06 0.94 -118272.3 -101061.0 57.727067 -17211.32502605 0.0 0.0 -54602.26118 -562.6452650375949 -0.0
298.15 O Y 0.07 0.93 -136782.9 -119262.1 58.764739 -17520.706932849997 0.0 0.0 -62445.90521000001 -628.7628773593874 -0.0
298.15 O Y 0.08 0.92 -155299.1 -137486.7 59.743356 -17812.4815914 0.0 0.0 -70289.54924000001 -691.0604007790716 -0.0
298.15 O Y 0.09 0.91 -173814.1 -155726.1 60.667385 -18087.98083775 0.0 0.0 -78133.19327 -749.9816351924776 -0.0
298.15 O Y 0.1 0.9 -192320.5 -173972.2 61.540284 -18348.235674599997 0.0 0.0 -85976.83730000001 -805.870345271772 -0.0
298.15 O Y 0.11 0.89 -210810.6 -192216.5 62.36481 -18594.068101499997 0.0 0.0 -93820.48133000001 -859.000492370776 -0.0
298.15 O Y 0.12 0.88 -229276.9 -210450.7 63.143211 -18826.14835965 0.0 0.0 -101664.12536 -909.5953759771999 -0.0
298.15 O Y 0.13 0.87 -247711.5 -228666.4 63.87735 -19045.0319025 0.0 0.0 -109507.76939000002 -957.840348132521 -0.0
298.15 O Y 0.14 0.86 -266106.5 -246855.3 64.568801 -19251.18801815 0.0 0.0 -117351.41342000003 -1003.8915915105914 -0.0
298.15 O Y 0.15 0.85 -284454.0 -265008.9 65.218902 -19445.015631299997 0.0 0.0 -125195.05745000001 -1047.882375954332 -0.0
298.15 O Y 0.16 0.84 -302745.9 -283119.0 65.828812 -19626.860297799998 0.0 0.0 -133038.70148000002 -1089.9276385420173 -0.0
298.15 O Y 0.17 0.83 -320974.1 -301177.1 66.399536 -19797.021658399997 0.0 0.0 -140882.34551 -1130.1274135160918 -0.0
298.15 O Y 0.18 0.82 -339130.7 -319174.9 66.931958 -19955.763277699996 0.0 0.0 -148725.98954 -1168.5694517045056 -0.0
298.15 O Y 0.19 0.81 -357207.4 -337104.1 67.426857 -20103.317414549998 0.0 0.0 -156569.63357 -1205.3312553507326 -0.0
298.15 O Y 0.2 0.8 -375196.1 -354956.2 67.884927 -20239.89098505 0.0 0.0 -164413.27760000003 -1240.4816826440385 -0.0
