T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 PR MN 0.0 1.0 -20016.35 2491.059 75.490228 -22507.4114782 5.8e-28 2.7e-31 -20016.35 0.0 -0.0
298.15 PR MN 1.0 0.0 -6300.583 3888.498 34.174348 -10189.0818562 580.0 0.27 -6300.583 0.0 -413.1990706628121
298.15 PR MN 0.01 0.99 -19639.97 2959.097 75.797641 -22599.06666415 5.8 0.0027 -19879.192329999998 -138.82602141683572 -7.949566342301362e-10
298.15 PR MN 0.02 0.98 -19252.15 3396.315 75.963314 -22648.4620691 11.6 0.0054 -19742.034659999998 -243.03584172567548 -5.080881730415275e-08
298.15 PR MN 0.03 0.97 -18872.93 3804.453 76.060332 -22677.3879858 17.4 0.0081 -19604.876989999997 -334.02154674813943 -5.779677691801049e-07
298.15 PR MN 0.04 0.96 -18505.57 4185.207 76.105249 -22690.779989349998 23.2 0.0108 -19467.719319999997 -416.3281974105132 -3.2430550467481737e-06
298.15 PR MN 0.05 0.95 -18150.95 4540.228 76.106579 -22691.176528849996 29.0 0.0135 -19330.561649999996 -492.11297050679866 -1.2354750308033981e-05
298.15 PR MN 0.06 0.94 -17809.1 4871.123 76.069828 -22680.2192182 34.8 0.0162 -19193.40398 -562.6452650375949 -3.6841924728628715e-05
298.15 PR MN 0.07 0.93 -17479.66 5179.455 75.99903 -22659.1107945 40.6 0.0189 -19056.246309999995 -628.7628773593874 -9.277803973267028e-05
298.15 PR MN 0.08 0.92 -17162.06 5466.743 75.897369 -22628.800567349997 46.4 0.0216 -18919.088639999998 -691.0604007790716 -0.00020645256985101683
298.15 PR MN 0.09 0.91 -16855.62 5734.462 75.767499 -22590.07982685 52.2 0.0243 -18781.930969999998 -749.9816351924776 -0.00041798444153455175
298.15 PR MN 0.1 0.9 -16559.59 5984.041 75.611705 -22543.629845749998 58.0 0.027 -18644.7733 -805.870345271772 -0.0007854725500173953
298.15 PR MN 0.11 0.89 -16273.19 6216.867 75.432012 -22490.0543778 63.8 0.0297 -18507.615629999997 -859.000492370776 -0.0013896784859037806
