T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 PR ZN 0.0 1.0 -10273.5 2886.96 44.1404 -13160.460259999998 0.0 0.0 -10273.5 0.0 -0.0
298.15 PR ZN 1.0 0.0 -20016.35 2491.059 75.490228 -22507.4114782 0.0 0.0 -20016.35 0.0 -0.0
298.15 PR ZN 0.01 0.99 -11477.01 1939.389 44.998807 -13416.394307049999 0.0 0.0 -10370.9285 -138.82602141683572 -0.0
298.15 PR ZN 0.02 0.98 -12615.64 1021.597 45.739508 -13637.2343102 0.0 0.0 -10468.357 -243.03584172567548 -0.0
298.15 PR ZN 0.03 0.97 -13711.11 133.2581 46.434253 -13844.372531949999 0.0 0.0 -10565.7855 -334.02154674813943 -0.0
298.15 PR ZN 0.04 0.96 -14768.31 -725.9574 47.098287 -14042.354269049998 0.0 0.0 -10663.214 -416.3281974105132 -0.0
298.15 PR ZN 0.05 0.95 -15789.71 -1556.377 47.738845 -14233.336636749998 0.0 0.0 -10760.642499999998 -492.11297050679866 -0.0
298.15 PR ZN 0.06 0.94 -16776.92 -2358.329 48.360184 -14418.588859599999 0.0 0.0 -10858.071 -562.6452650375949 -0.0
298.15 PR ZN 0.07 0.93 -17731.09 -3132.141 48.965115 -14598.949037249999 0.0 0.0 -10955.4995 -628.7628773593874 -0.0
298.15 PR ZN 0.08 0.92 -18653.15 -3878.142 49.555632 -14775.0116808 0.0 0.0 -11052.928 -691.0604007790716 -0.0
298.15 PR ZN 0.09 0.91 -19543.88 -4596.659 50.133222 -14947.2201393 0.0 0.0 -11150.3565 -749.9816351924776 -0.0
298.15 PR ZN 0.1 0.9 -20403.94 -5288.02 50.69904 -15115.918775999999 0.0 0.0 -11247.785 -805.870345271772 -0.0
298.15 PR ZN 0.11 0.89 -21233.94 -5952.554 51.254004 -15281.3812926 0.0 0.0 -11345.213500000002 -859.000492370776 -0.0
298.15 PR ZN 0.12 0.88 -22034.42 -6590.589 51.798862 -15443.830705299999 0.0 0.0 -11442.642 -909.5953759771999 -0.0
298.15 PR ZN 0.13 0.87 -22805.91 -7202.453 52.334238 -15603.4530597 0.0 0.0 -11540.0705 -957.840348132521 -0.0
298.15 PR ZN 0.14 0.86 -23548.88 -7788.474 52.860654 -15760.403990099998 0.0 0.0 -11637.499 -1003.8915915105914 -0.0
298.15 PR ZN 0.15 0.85 -24263.8 -8348.979 53.378557 -15914.81676955 0.0 0.0 -11734.9275 -1047.882375954332 -0.0
298.15 PR ZN 0.16 0.84 -24951.1 -8884.297 53.888334 -16066.806782099999 0.0 0.0 -11832.356 -1089.9276385420173 -0.0
298.15 PR ZN 0.17 0.83 -25611.23 -9394.757 54.390319 -16216.473609849998 0.0 0.0 -11929.7845 -1130.1274135160918 -0.0
298.15 PR ZN 0.18 0.82 -26244.59 -9880.686 54.884807 -16363.90520705 0.0 0.0 -12027.213 -1168.5694517045056 -0.0
298.15 PR ZN 0.19 0.81 -26851.59 -10342.41 55.372058 -16509.1790927 0.0 0.0 -12124.6415 -1205.3312553507326 -0.0
298.15 PR ZN 0.2 0.8 -27432.63 -10780.26 55.852302 -16652.3638413 0.0 0.0 -12222.070000000002 -1240.4816826440385 -0.0
298.15 PR ZN 0.21 0.79 -27988.09 -11194.57 56.325747 -16793.52146805 0.0 0.0 -12319.4985 -1274.08222978906 -0.0
298.15 PR ZN 0.22 0.78 -28518.36 -11585.65 56.792576 -16932.706534399997 0.0 0.0 -12416.927 -1306.188067542519 -0.0
298.15 PR ZN 0.23 0.77 -29023.82 -11953.85 57.252957 -17069.969129549998 0.0 0.0 -12514.3555 -1336.8488881016199 -0.0
298.15 PR ZN 0.24 0.76 -29504.84 -12299.48 57.707041 -17205.35427415 0.0 0.0 -12611.784 -1366.1096036088943 -0.0
298.15 PR ZN 0.25 0.75 -29961.78 -12622.88 58.154963 -17338.90221845 0.0 0.0 -12709.2125 -1394.0109271940482 -0.0
298.15 PR ZN 0.26 0.74 -30395.02 -12924.37 58.596849 -17470.650529349998 0.0 0.0 -12806.641 -1420.5898600324033 -0.0
298.15 PR ZN 0.27 0.73 -30804.92 -13204.29 59.03281 -17600.632301499998 0.0 0.0 -12904.0695 -1445.8801024662048 -0.0
298.15 PR ZN 0.28 0.72 -31191.83 -13462.95 59.462951 -17728.87884065 0.0 0.0 -13001.498 -1469.9124032129614 -0.0
298.15 PR ZN 0.29 0.71 -31556.11 -13700.7 59.887365 -17855.41787475 0.0 0.0 -13098.926499999998 -1492.7148576699553 -0.0
298.15 PR ZN 0.3 0.7 -31898.12 -13917.84 60.306139 -17980.27534285 0.0 0.0 -13196.355 -1514.313164037668 -0.0
298.15 PR ZN 0.31 0.69 -32218.2 -14114.73 60.719351 -18103.474500649998 0.0 0.0 -13293.783499999998 -1534.730844232385 -0.0
298.15 PR ZN 0.32 0.68 -32516.71 -14291.67 61.127074 -18225.0371131 0.0 0.0 -13391.212 -1553.9894352015579 -0.0
298.15 PR ZN 0.33 0.67 -32793.99 -14449.01 61.529373 -18344.98255995 0.0 0.0 -13488.640499999998 -1572.1086551954763 -0.0
298.15 PR ZN 0.34 0.66 -33050.39 -14587.06 61.92631 -18463.3293265 0.0 0.0 -13586.069 -1589.1065487133012 -0.0
298.15 PR ZN 0.35 0.65 -33286.26 -14706.16 62.31794 -18580.093811 0.0 0.0 -13683.4975 -1604.9996131775667 -0.0
298.15 PR ZN 0.36 0.64 -33501.93 -14806.64 62.704313 -18695.29092095 0.0 0.0 -13780.926 -1619.8029098595373 -0.0
298.15 PR ZN 0.37 0.63 -33697.75 -14888.81 63.085476 -18808.934669399998 0.0 0.0 -13878.3545 -1633.5301611487748 -0.0
298.15 PR ZN 0.38 0.62 -33874.06 -14953.02 63.461469 -18921.03698235 0.0 0.0 -13975.783 -1646.193835911596 -0.0
298.15 PR ZN 0.39 0.61 -34031.2 -14999.59 63.832331 -19031.60948765 0.0 0.0 -14073.2115 -1657.8052243977716 -0.0
298.15 PR ZN 0.4 0.6 -34169.51 -15028.84 64.198097 -19140.66262055 0.0 0.0 -14170.64 -1668.3745039196444 -0.0
298.15 PR ZN 0.41 0.59 -34289.32 -15041.11 64.558796 -19248.2050274 0.0 0.0 -14268.068500000001 -1677.9107963326926 -0.0
298.15 PR ZN 0.42 0.58 -34390.97 -15036.72 64.914456 -19354.2450564 0.0 0.0 -14365.497 -1686.4222181834425 -0.0
298.15 PR ZN 0.43 0.57 -34474.8 -15016.01 65.2651 -19458.789565 0.0 0.0 -14462.9255 -1693.9159242532326 -0.0
298.15 PR ZN 0.44 0.56 -34541.13 -14979.29 65.610751 -19561.845410649996 0.0 0.0 -14560.354 -1700.3981451097393 -0.0
298.15 PR ZN 0.45 0.55 -34590.32 -14926.9 65.951425 -19663.41736375 0.0 0.0 -14657.782500000001 -1705.8742191782392 -0.0
