T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 PT V 0.0 1.0 -9209.853 0.0002657617 30.89 -9209.8535 0.0 0.0 -9209.853 0.0 -0.0
298.15 PT V 1.0 0.0 1872.219 15000.0 44.030806 -13127.784808899998 0.0 0.0 1872.219 0.0 -0.0
298.15 PT V 0.01 0.99 -10036.2 -656.026 31.461264 -9380.175861599999 0.0 0.0 -9099.03228 -138.82602141683572 -0.0
298.15 PT V 0.02 0.98 -10810.63 -1294.013 31.918885 -9516.61556275 0.0 0.0 -8988.211559999998 -243.03584172567548 -0.0
298.15 PT V 0.03 0.97 -11554.39 -1913.828 32.334612 -9640.5645678 0.0 0.0 -8877.39084 -334.02154674813943 -0.0
298.15 PT V 0.04 0.96 -12271.91 -2515.346 32.723686 -9756.5669809 0.0 0.0 -8766.570119999998 -416.3281974105132 -0.0
298.15 PT V 0.05 0.95 -12965.23 -3098.45 33.093335 -9866.777830250001 0.0 0.0 -8655.749399999999 -492.11297050679866 -0.0
298.15 PT V 0.06 0.94 -13635.49 -3663.03 33.447809 -9972.46425335 0.0 0.0 -8544.928679999997 -562.6452650375949 -0.0
298.15 PT V 0.07 0.93 -14283.45 -4208.986 33.789907 -10074.460772049999 0.0 0.0 -8434.10796 -628.7628773593874 -0.0
298.15 PT V 0.08 0.92 -14909.58 -4736.222 34.121611 -10173.35831965 0.0 0.0 -8323.28724 -691.0604007790716 -0.0
298.15 PT V 0.09 0.91 -15514.25 -5244.653 34.444392 -10269.595474799999 0.0 0.0 -8212.46652 -749.9816351924776 -0.0
298.15 PT V 0.1 0.9 -16097.71 -5734.199 34.759387 -10363.511234049998 0.0 0.0 -8101.645799999998 -805.870345271772 -0.0
298.15 PT V 0.11 0.89 -16660.16 -6204.79 35.067493 -10455.37303795 0.0 0.0 -7990.82508 -859.000492370776 -0.0
298.15 PT V 0.12 0.88 -17201.76 -6656.363 35.369436 -10545.3973434 0.0 0.0 -7880.004359999999 -909.5953759771999 -0.0
298.15 PT V 0.13 0.87 -17722.62 -7088.861 35.665814 -10633.762444099999 0.0 0.0 -7769.183639999999 -957.840348132521 -0.0
298.15 PT V 0.14 0.86 -18222.85 -7502.236 35.957122 -10720.615924299998 0.0 0.0 -7658.362919999999 -1003.8915915105914 -0.0
298.15 PT V 0.15 0.85 -18702.53 -7896.449 36.243778 -10806.082410699999 0.0 0.0 -7547.542199999999 -1047.882375954332 -0.0
298.15 PT V 0.16 0.84 -19161.73 -8271.467 36.526134 -10890.2668521 0.0 0.0 -7436.721479999999 -1089.9276385420173 -0.0
298.15 PT V 0.17 0.83 -19600.52 -8627.264 36.804491 -10973.258991649998 0.0 0.0 -7325.9007599999995 -1130.1274135160918 -0.0
298.15 PT V 0.18 0.82 -20018.96 -8963.823 37.079107 -11055.135752049999 0.0 0.0 -7215.08004 -1168.5694517045056 -0.0
298.15 PT V 0.19 0.81 -20417.1 -9281.136 37.350201 -11135.962428149998 0.0 0.0 -7104.25932 -1205.3312553507326 -0.0
298.15 PT V 0.2 0.8 -20794.99 -9579.199 37.617963 -11215.79566845 0.0 0.0 -6993.4385999999995 -1240.4816826440385 -0.0
298.15 PT V 0.21 0.79 -21152.7 -9858.019 37.882554 -11294.683475099999 0.0 0.0 -6882.617879999999 -1274.08222978906 -0.0
298.15 PT V 0.22 0.78 -21490.28 -10117.61 38.144113 -11372.667290949998 0.0 0.0 -6771.79716 -1306.188067542519 -0.0
298.15 PT V 0.23 0.77 -21807.77 -10357.99 38.402757 -11449.78199955 0.0 0.0 -6660.9764399999995 -1336.8488881016199 -0.0
298.15 PT V 0.24 0.76 -22105.25 -10579.19 38.658585 -11526.05711775 0.0 0.0 -6550.15572 -1366.1096036088943 -0.0
298.15 PT V 0.25 0.75 -22382.77 -10781.25 38.911681 -11601.51769015 0.0 0.0 -6439.334999999999 -1394.0109271940482 -0.0
298.15 PT V 0.26 0.74 -22640.39 -10964.21 39.16211 -11676.183096499999 0.0 0.0 -6328.514279999999 -1420.5898600324033 -0.0
298.15 PT V 0.27 0.73 -22878.19 -11128.12 39.409929 -11750.070331349998 0.0 0.0 -6217.693559999999 -1445.8801024662048 -0.0
298.15 PT V 0.28 0.72 -23096.23 -11273.04 39.655178 -11823.1913207 0.0 0.0 -6106.872839999998 -1469.9124032129614 -0.0
298.15 PT V 0.29 0.71 -23294.6 -11399.04 39.897888 -11895.5553072 0.0 0.0 -5996.052119999999 -1492.7148576699553 -0.0
298.15 PT V 0.3 0.7 -23473.37 -11506.2 40.13808 -11967.168552 0.0 0.0 -5885.231399999999 -1514.313164037668 -0.0
298.15 PT V 0.31 0.69 -23632.63 -11594.59 40.375763 -12038.033738449998 0.0 0.0 -5774.410679999999 -1534.730844232385 -0.0
298.15 PT V 0.32 0.68 -23772.46 -11664.31 40.61094 -12108.151761 0.0 0.0 -5663.589959999998 -1553.9894352015579 -0.0
298.15 PT V 0.33 0.67 -23892.98 -11715.46 40.843604 -12177.5205326 0.0 0.0 -5552.769239999999 -1572.1086551954763 -0.0
298.15 PT V 0.34 0.66 -23994.27 -11748.13 41.073738 -12246.134984699998 0.0 0.0 -5441.948519999998 -1589.1065487133012 -0.0
298.15 PT V 0.35 0.65 -24076.44 -11762.45 41.301322 -12313.9891543 0.0 0.0 -5331.1278 -1604.9996131775667 -0.0
298.15 PT V 0.36 0.64 -24139.6 -11758.53 41.526323 -12381.073202449998 0.0 0.0 -5220.30708 -1619.8029098595373 -0.0
298.15 PT V 0.37 0.63 -24183.89 -11736.51 41.748707 -12447.37699205 0.0 0.0 -5109.48636 -1633.5301611487748 -0.0
298.15 PT V 0.38 0.62 -24209.4 -11696.51 41.96843 -12512.8874045 0.0 0.0 -4998.665639999999 -1646.193835911596 -0.0
298.15 PT V 0.39 0.61 -24216.28 -11638.69 42.185441 -12577.589234149998 0.0 0.0 -4887.84492 -1657.8052243977716 -0.0
298.15 PT V 0.4 0.6 -24204.66 -11563.2 42.399685 -12641.46608275 0.0 0.0 -4777.024199999999 -1668.3745039196444 -0.0
298.15 PT V 0.41 0.59 -24174.69 -11470.19 42.6111 -12704.499464999999 0.0 0.0 -4666.20348 -1677.9107963326926 -0.0
298.15 PT V 0.42 0.58 -24126.5 -11359.83 42.819619 -12766.66940485 0.0 0.0 -4555.38276 -1686.4222181834425 -0.0
298.15 PT V 0.43 0.57 -24060.25 -11232.3 43.025168 -12827.9538392 0.0 0.0 -4444.56204 -1693.9159242532326 -0.0
298.15 PT V 0.44 0.56 -23976.1 -11087.77 43.227669 -12888.32951235 0.0 0.0 -4333.74132 -1700.3981451097393 -0.0
298.15 PT V 0.45 0.55 -23874.22 -10926.45 43.427038 -12947.7713797 0.0 0.0 -4222.9205999999995 -1705.8742191782392 -0.0
298.15 PT V 0.46 0.54 -23754.77 -10748.52 43.623184 -13006.2523096 0.0 0.0 -4112.09988 -1710.3486197582595 -0.0
298.15 PT V 0.47 0.53 -23617.94 -10554.19 43.816014 -13063.7445741 0.0 0.0 -4001.27916 -1713.8249773357109 -0.0
298.15 PT V 0.48 0.52 -23463.9 -10343.68 44.005428 -13120.2183582 0.0 0.0 -3890.45844 -1716.3060974737868 -0.0
298.15 PT V 0.49 0.51 -23292.85 -10117.21 44.191321 -13175.64235615 0.0 0.0 -3779.6377199999997 -1717.7939745058845 -0.0
298.15 PT V 0.5 0.5 -23104.98 -9874.998 44.373583 -13229.98377145 0.0 0.0 -3668.8169999999996 -1718.289801199083 -0.0
298.15 PT V 0.51 0.49 -22900.5 -9617.288 44.552098 -13283.2080187 0.0 0.0 -3557.9962799999994 -1717.7939745058845 -0.0
298.15 PT V 0.52 0.48 -22679.6 -9344.323 44.726747 -13335.279618049999 0.0 0.0 -3447.175559999999 -1716.3060974737868 -0.0
298.15 PT V 0.53 0.47 -22442.51 -9056.354 44.897404 -13386.1610026 0.0 0.0 -3336.354839999999 -1713.8249773357109 -0.0
298.15 PT V 0.54 0.46 -22189.45 -8753.64 45.06394 -13435.813710999999 0.0 0.0 -3225.5341199999993 -1710.3486197582595 -0.0
298.15 PT V 0.55 0.45 -21920.64 -8436.448 45.226218 -13484.1968967 0.0 0.0 -3114.7133999999996 -1705.8742191782392 -0.0
298.15 PT V 0.56 0.44 -21636.32 -8105.053 45.384099 -13531.269116849999 0.0 0.0 -3003.892679999999 -1700.3981451097393 -0.0
298.15 PT V 0.57 0.43 -21336.72 -7759.736 45.537436 -13576.986543399998 0.0 0.0 -2893.07196 -1693.9159242532328 -0.0
298.15 PT V 0.58 0.42 -21022.09 -7400.788 45.686078 -13621.3041557 0.0 0.0 -2782.2512400000005 -1686.4222181834425 -0.0
298.15 PT V 0.59 0.41 -20692.68 -7028.507 45.829869 -13664.175442349999 0.0 0.0 -2671.43052 -1677.910796332693 -0.0
298.15 PT V 0.6 0.4 -20348.75 -6643.198 45.968646 -13705.551804899998 0.0 0.0 -2560.6097999999997 -1668.3745039196444 -0.0
298.15 PT V 0.61 0.39 -19990.56 -6245.173 46.102243 -13745.383750449999 0.0 0.0 -2449.78908 -1657.8052243977716 -0.0
298.15 PT V 0.62 0.38 -19618.37 -5834.753 46.230486 -13783.6194009 0.0 0.0 -2338.96836 -1646.193835911596 -0.0
298.15 PT V 0.63 0.37 -19232.47 -5412.267 46.353194 -13820.204791099999 0.0 0.0 -2228.1476399999992 -1633.5301611487748 -0.0
298.15 PT V 0.64 0.36 -18833.14 -4978.051 46.470184 -13855.0853596 0.0 0.0 -2117.3269199999995 -1619.8029098595373 -0.0
298.15 PT V 0.65 0.35 -18420.65 -4532.447 46.581263 -13888.203563449999 0.0 0.0 -2006.5061999999996 -1604.9996131775667 -0.0
298.15 PT V 0.66 0.34 -17995.31 -4075.809 46.686233 -13919.500368949999 0.0 0.0 -1895.6854799999994 -1589.106548713301 -0.0
298.15 PT V 0.67 0.33 -17557.41 -3608.494 46.784888 -13948.9143572 0.0 0.0 -1784.864759999999 -1572.1086551954763 -0.0
298.15 PT V 0.68 0.32 -17107.25 -3130.87 46.877016 -13976.382320399998 0.0 0.0 -1674.0440399999993 -1553.9894352015576 -0.0
298.15 PT V 0.69 0.31 -16645.15 -2643.31 46.962397 -14001.83866555 0.0 0.0 -1563.2233200000003 -1534.730844232385 -0.0
298.15 PT V 0.7 0.3 -16171.41 -2146.197 47.040802 -14025.215116299998 0.0 0.0 -1452.4026 -1514.313164037668 -0.0
298.15 PT V 0.71 0.29 -15686.36 -1639.921 47.111995 -14046.44130925 0.0 0.0 -1341.5818800000002 -1492.7148576699553 -0.0
298.15 PT V 0.72 0.28 -15190.32 -1124.879 47.175731 -14065.444197649998 0.0 0.0 -1230.76116 -1469.9124032129614 -0.0
298.15 PT V 0.73 0.27 -14683.62 -601.4763 47.231753 -14082.147156949999 0.0 0.0 -1119.9404399999999 -1445.8801024662048 -0.0
298.15 PT V 0.74 0.26 -14166.6 -70.12551 47.279796 -14096.471177399999 0.0 0.0 -1009.1197199999999 -1420.5898600324033 -0.0
298.15 PT V 0.75 0.25 -13639.58 468.7528 47.319584 -14108.333969599998 0.0 0.0 -898.2989999999998 -1394.0109271940482 -0.0
298.15 PT V 0.76 0.24 -13102.92 1014.731 47.350825 -14117.64847375 0.0 0.0 -787.4782799999996 -1366.1096036088943 -0.0
298.15 PT V 0.77 0.23 -12556.95 1567.372 47.373219 -14124.325244849999 0.0 0.0 -676.6575599999996 -1336.8488881016199 -0.0
298.15 PT V 0.78 0.22 -12002.04 2126.233 47.386446 -14128.268874899999 0.0 0.0 -565.8368399999995 -1306.188067542519 -0.0
298.15 PT V 0.79 0.21 -11438.52 2690.863 47.390173 -14129.380079949999 0.0 0.0 -455.0161199999993 -1274.08222978906 -0.0
298.15 PT V 0.8 0.2 -10866.75 3260.803 47.384046 -14127.553314899998 0.0 0.0 -344.1953999999994 -1240.4816826440385 -0.0
298.15 PT V 0.81 0.19 -10287.09 3835.586 47.367693 -14122.67766795 0.0 0.0 -233.37467999999922 -1205.3312553507324 -0.0
298.15 PT V 0.82 0.18 -9699.896 4414.739 47.340717 -14114.634773549998 0.0 0.0 -122.55396000000042 -1168.5694517045058 -0.0
298.15 PT V 0.83 0.17 -9105.519 4997.778 47.302693 -14103.297917949998 0.0 0.0 -11.73324000000025 -1130.127413516092 -0.0
298.15 PT V 0.84 0.16 -8504.316 5584.216 47.253165 -14088.531144749999 0.0 0.0 99.08747999999991 -1089.9276385420173 -0.0
298.15 PT V 0.85 0.15 -7896.635 6173.553 47.191642 -14070.1880623 0.0 0.0 209.90820000000008 -1047.882375954332 -0.0
298.15 PT V 0.86 0.14 -7282.823 6765.286 47.117587 -14048.108564049999 0.0 0.0 320.72892 -1003.8915915105914 -0.0
298.15 PT V 0.87 0.13 -6663.216 7358.902 47.030413 -14022.11763595 0.0 0.0 431.54963999999995 -957.840348132521 -0.0
298.15 PT V 0.88 0.12 -6038.141 7953.88 46.929466 -13992.020287899999 0.0 0.0 542.3703600000003 -909.5953759771999 -0.0
298.15 PT V 0.89 0.11 -5407.907 8549.692 46.814017 -13957.59916855 0.0 0.0 653.1910800000003 -859.000492370776 -0.0
298.15 PT V 0.9 0.1 -4772.802 9145.803 46.683231 -13918.605322649999 0.0 0.0 764.0118000000003 -805.870345271772 -0.0
298.15 PT V 0.91 0.09 -4133.083 9741.67 46.53615 -13874.753122499998 0.0 0.0 874.8325200000004 -749.9816351924775 -0.0
298.15 PT V 0.92 0.08 -3488.963 10336.74 46.371638 -13825.703869699999 0.0 0.0 985.6532400000007 -691.0604007790713 -0.0
298.15 PT V 0.93 0.07 -2840.592 10930.46 46.188326 -13771.0493969 0.0 0.0 1096.4739600000007 -628.762877359387 -0.0
298.15 PT V 0.94 0.06 -2188.028 11522.25 45.984506 -13710.2804639 0.0 0.0 1207.2946799999995 -562.6452650375951 -0.0
298.15 PT V 0.95 0.05 -1531.182 12111.55 45.757961 -13642.736072149999 0.0 0.0 1318.1153999999997 -492.1129705067989 -0.0
298.15 PT V 0.96 0.04 -869.7338 12697.78 45.505656 -13567.511336399999 0.0 0.0 1428.9361199999998 -416.3281974105133 -0.0
298.15 PT V 0.97 0.03 -202.9341 13280.34 45.223108 -13483.2696502 0.0 0.0 1539.7568399999998 -334.02154674813966 -0.0
298.15 PT V 0.98 0.02 470.845 13858.63 44.902853 -13387.785621949999 0.0 0.0 1650.5775599999997 -243.03584172567562 -0.0
298.15 PT V 0.99 0.01 1155.613 14432.06 44.529413 -13276.444485949998 0.0 0.0 1761.39828 -138.82602141683583 -0.0
550.0 PT V 0.0 1.0 -19136.66 6492.485 46.598446 -25629.1453 0.0 0.0 -19136.66 0.0 -0.0
550.0 PT V 1.0 0.0 -11450.73 21695.09 60.265127 -33145.81985 0.0 0.0 -11450.73 0.0 -0.0
550.0 PT V 0.01 0.99 -20107.75 5838.484 47.174969 -25946.232949999998 0.0 0.0 -19059.8007 -256.09361656635804 -0.0
550.0 PT V 0.02 0.98 -20998.29 5202.524 47.637849 -26200.81695 0.0 0.0 -18982.9414 -448.33041405038244 -0.0
550.0 PT V 0.03 0.97 -21847.62 4584.735 48.058835 -26432.35925 0.0 0.0 -18906.0821 -616.1725665318689 -0.0
550.0 PT V 0.04 0.96 -22664.0 3985.243 48.453167 -26649.24185 0.0 0.0 -18829.2228 -768.0043889846797 -0.0
550.0 PT V 0.05 0.95 -23451.28 3404.165 48.828075 -26855.44125 0.0 0.0 -18752.363499999996 -907.8052449395917 -0.0
550.0 PT V 0.06 0.94 -24211.68 2841.61 49.187808 -27053.2944 0.0 0.0 -18675.5042 -1037.916806207202 -0.0
550.0 PT V 0.07 0.93 -24946.66 2297.681 49.535165 -27244.34075 0.0 0.0 -18598.6449 -1159.8845632992222 -0.0
550.0 PT V 0.08 0.92 -25657.2 1772.471 49.872127 -27429.66985 0.0 0.0 -18521.785600000003 -1274.805367863456 -0.0
550.0 PT V 0.09 0.91 -26344.03 1266.066 50.200167 -27610.09185 0.0 0.0 -18444.9263 -1383.4979015792812 -0.0
550.0 PT V 0.1 0.9 -27007.69 778.5455 50.52042 -27786.231 0.0 0.0 -18368.067 -1486.596310244758 -0.0
550.0 PT V 0.11 0.89 -27648.6 309.9805 50.833785 -27958.58175 0.0 0.0 -18291.207700000003 -1584.6059728456376 -0.0
550.0 PT V 0.12 0.88 -28267.11 -139.5658 51.140987 -28127.54285 0.0 0.0 -18214.3484 -1677.9388119653195 -0.0
