T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 PT W 0.0 1.0 -9724.927 0.0001853306 32.617565 -9724.92700475 0.0 0.0 -9724.927 0.0 -0.0
298.15 PT W 1.0 0.0 1872.219 15000.0 44.030806 -13127.784808899998 0.0 0.0 1872.219 0.0 -0.0
298.15 PT W 0.01 0.99 -9471.911 423.4089 33.189065 -9895.31972975 0.0 0.0 -9608.955539999999 -138.82602141683572 -0.0
298.15 PT W 0.02 0.98 -9200.623 825.7469 33.628609 -10026.369773349998 0.0 0.0 -9492.984079999998 -243.03584172567548 -0.0
298.15 PT W 0.03 0.97 -8933.091 1206.671 34.008928 -10139.761883199999 0.0 0.0 -9377.01262 -334.02154674813943 -0.0
298.15 PT W 0.04 0.96 -8674.456 1565.872 34.346227 -10240.32758005 0.0 0.0 -9261.041159999999 -416.3281974105132 -0.0
298.15 PT W 0.05 0.95 -8427.431 1903.074 34.648681 -10330.50424015 0.0 0.0 -9145.069699999998 -492.11297050679866 -0.0
298.15 PT W 0.06 0.94 -8193.801 2218.035 34.921468 -10411.835684199998 0.0 0.0 -9029.09824 -562.6452650375949 -0.0
298.15 PT W 0.07 0.93 -7974.881 2510.547 35.168297 -10485.42775055 0.0 0.0 -8913.12678 -628.7628773593874 -0.0
298.15 PT W 0.08 0.92 -7771.701 2780.436 35.392043 -10552.13762045 0.0 0.0 -8797.15532 -691.0604007790716 -0.0
298.15 PT W 0.09 0.91 -7585.103 3027.562 35.595053 -10612.66505195 0.0 0.0 -8681.18386 -749.9816351924776 -0.0
298.15 PT W 0.1 0.9 -7415.787 3251.818 35.77932 -10667.604258 0.0 0.0 -8565.2124 -805.870345271772 -0.0
298.15 PT W 0.11 0.89 -7264.343 3453.13 35.946581 -10717.47312515 0.0 0.0 -8449.24094 -859.000492370776 -0.0
298.15 PT W 0.12 0.88 -7131.274 3631.46 36.098384 -10762.7331896 0.0 0.0 -8333.26948 -909.5953759771999 -0.0
298.15 PT W 0.13 0.87 -7017.0 3786.802 36.23613 -10803.802159500001 0.0 0.0 -8217.29802 -957.840348132521 -0.0
298.15 PT W 0.14 0.86 -6921.877 3919.185 36.361101 -10841.06226315 0.0 0.0 -8101.3265599999995 -1003.8915915105914 -0.0
298.15 PT W 0.15 0.85 -6846.196 4028.67 36.47448 -10874.866211999999 0.0 0.0 -7985.3551 -1047.882375954332 -0.0
298.15 PT W 0.16 0.84 -6790.189 4115.355 36.577373 -10905.54375995 0.0 0.0 -7869.383639999999 -1089.9276385420173 -0.0
298.15 PT W 0.17 0.83 -6754.035 4179.367 36.670812 -10933.402597799999 0.0 0.0 -7753.412179999999 -1130.1274135160918 -0.0
298.15 PT W 0.18 0.82 -6737.86 4220.872 36.755769 -10958.73252735 0.0 0.0 -7637.4407200000005 -1168.5694517045056 -0.0
298.15 PT W 0.19 0.81 -6741.741 4240.066 36.833161 -10981.806952149998 0.0 0.0 -7521.469260000001 -1205.3312553507326 -0.0
298.15 PT W 0.2 0.8 -6765.704 4237.18 36.903856 -11002.8846664 0.0 0.0 -7405.4978 -1240.4816826440385 -0.0
