T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 RE W 0.0 1.0 -9724.927 0.0001853305 32.617565 -9724.92700475 0.0 0.0 -9724.927 0.0 -0.0
298.15 RE W 1.0 0.0 16520.78 29200.0 42.52632 -12679.222307999999 0.0 0.0 16520.78 0.0 -0.0
298.15 RE W 0.01 0.99 -10174.65 -307.8695 33.093356 -9866.784091399999 0.0 0.0 -9462.46993 -138.82602141683572 -0.0
298.15 RE W 0.02 0.98 -10573.53 -598.9735 33.45484 -9974.560545999999 0.0 0.0 -9200.012859999999 -243.03584172567548 -0.0
298.15 RE W 0.03 0.97 -10943.1 -873.454 33.773766 -10069.6483329 0.0 0.0 -8937.555789999999 -334.02154674813943 -0.0
298.15 RE W 0.04 0.96 -11288.05 -1131.453 34.06538 -10156.593046999998 0.0 0.0 -8675.098719999998 -416.3281974105132 -0.0
298.15 RE W 0.05 0.95 -11610.66 -1373.114 34.336915 -10237.551207249999 0.0 0.0 -8412.641649999998 -492.11297050679866 -0.0
298.15 RE W 0.06 0.94 -11912.37 -1598.577 34.592629 -10313.79233635 0.0 0.0 -8150.18458 -562.6452650375949 -0.0
298.15 RE W 0.07 0.93 -12194.14 -1807.986 34.835333 -10386.154533949999 0.0 0.0 -7887.72751 -628.7628773593874 -0.0
298.15 RE W 0.08 0.92 -12456.72 -2001.483 35.067021 -10455.232311149999 0.0 0.0 -7625.270439999999 -691.0604007790716 -0.0
298.15 RE W 0.09 0.91 -12700.68 -2179.21 35.289181 -10521.46931515 0.0 0.0 -7362.81337 -749.9816351924776 -0.0
298.15 RE W 0.1 0.9 -12926.52 -2341.31 35.502966 -10585.209312899999 0.0 0.0 -7100.356300000001 -805.870345271772 -0.0
298.15 RE W 0.11 0.89 -13134.65 -2487.924 35.709295 -10646.726304249998 0.0 0.0 -6837.899230000001 -859.000492370776 -0.0
298.15 RE W 0.12 0.88 -13325.44 -2619.195 35.908918 -10706.2439017 0.0 0.0 -6575.4421600000005 -909.5953759771999 -0.0
298.15 RE W 0.13 0.87 -13499.21 -2735.265 36.102455 -10763.946958249999 0.0 0.0 -6312.98509 -957.840348132521 -0.0
298.15 RE W 0.14 0.86 -13656.27 -2836.276 36.290431 -10819.992002649999 0.0 0.0 -6050.52802 -1003.8915915105914 -0.0
298.15 RE W 0.15 0.85 -13796.88 -2922.371 36.473292 -10874.512009799999 0.0 0.0 -5788.070949999999 -1047.882375954332 -0.0
298.15 RE W 0.16 0.84 -13921.31 -2993.692 36.651425 -10927.62236375 0.0 0.0 -5525.613879999999 -1089.9276385420173 -0.0
298.15 RE W 0.17 0.83 -14029.8 -3050.381 36.825164 -10979.4226466 0.0 0.0 -5263.156809999999 -1130.1274135160918 -0.0
298.15 RE W 0.18 0.82 -14122.58 -3092.581 36.994803 -11030.00051445 0.0 0.0 -5000.699740000001 -1168.5694517045056 -0.0
298.15 RE W 0.19 0.81 -14199.87 -3120.433 37.160604 -11079.434082599999 0.0 0.0 -4738.2426700000005 -1205.3312553507326 -0.0
298.15 RE W 0.2 0.8 -14261.87 -3134.08 37.322797 -11127.79192555 0.0 0.0 -4475.7856 -1240.4816826440385 -0.0
298.15 RE W 0.21 0.79 -14308.8 -3133.664 37.481588 -11175.1354622 0.0 0.0 -4213.328530000001 -1274.08222978906 -0.0
298.15 RE W 0.22 0.78 -14340.85 -3119.328 37.637161 -11221.519552149999 0.0 0.0 -3950.87146 -1306.188067542519 -0.0
298.15 RE W 0.23 0.77 -14358.21 -3091.213 37.789685 -11266.99458275 0.0 0.0 -3688.4143900000004 -1336.8488881016199 -0.0
298.15 RE W 0.24 0.76 -14361.07 -3049.463 37.939309 -11311.60497835 0.0 0.0 -3425.9573200000004 -1366.1096036088943 -0.0
298.15 RE W 0.25 0.75 -14349.61 -2994.219 38.08617 -11355.3915855 0.0 0.0 -3163.50025 -1394.0109271940482 -0.0
298.15 RE W 0.26 0.74 -14324.01 -2925.623 38.230392 -11398.3913748 0.0 0.0 -2901.0431799999997 -1420.5898600324033 -0.0
298.15 RE W 0.27 0.73 -14284.46 -2843.818 38.372088 -11440.638037199999 0.0 0.0 -2638.5861099999993 -1445.8801024662048 -0.0
298.15 RE W 0.28 0.72 -14231.11 -2748.946 38.511361 -11482.162282149999 0.0 0.0 -2376.12904 -1469.9124032129614 -0.0
298.15 RE W 0.29 0.71 -14164.14 -2641.149 38.648306 -11522.992433899999 0.0 0.0 -2113.6719700000003 -1492.7148576699553 -0.0
298.15 RE W 0.3 0.7 -14083.72 -2520.57 38.783009 -11563.154133349999 0.0 0.0 -1851.2149 -1514.313164037668 -0.0
298.15 RE W 0.31 0.69 -13990.02 -2387.35 38.915548 -11602.670636199999 0.0 0.0 -1588.7578299999996 -1534.730844232385 -0.0
298.15 RE W 0.32 0.68 -13883.2 -2241.633 39.045996 -11641.5637074 0.0 0.0 -1326.3007599999992 -1553.9894352015579 -0.0
298.15 RE W 0.33 0.67 -13763.41 -2083.56 39.174418 -11679.8527267 0.0 0.0 -1063.8436899999988 -1572.1086551954763 -0.0
298.15 RE W 0.34 0.66 -13630.83 -1913.274 39.300877 -11717.556477549999 0.0 0.0 -801.3866199999993 -1589.1065487133012 -0.0
298.15 RE W 0.35 0.65 -13485.61 -1730.916 39.425426 -11754.6907619 0.0 0.0 -538.9295500000007 -1604.9996131775667 -0.0
298.15 RE W 0.36 0.64 -13327.9 -1536.63 39.548116 -11791.2707854 0.0 0.0 -276.47248000000036 -1619.8029098595373 -0.0
298.15 RE W 0.37 0.63 -13157.87 -1330.556 39.668994 -11827.3105611 0.0 0.0 -14.015409999999974 -1633.5301611487748 -0.0
298.15 RE W 0.38 0.62 -12975.66 -1112.839 39.7881 -11862.822015 0.0 0.0 248.4416599999995 -1646.193835911596 -0.0
298.15 RE W 0.39 0.61 -12781.44 -883.6193 39.905474 -11897.8170731 0.0 0.0 510.8987299999999 -1657.8052243977716 -0.0
298.15 RE W 0.4 0.6 -12575.35 -643.0398 40.021149 -11932.305574349999 0.0 0.0 773.3558000000003 -1668.3745039196444 -0.0
298.15 RE W 0.41 0.59 -12357.54 -391.2427 40.135156 -11966.296761399999 0.0 0.0 1035.8128699999988 -1677.9107963326926 -0.0
298.15 RE W 0.42 0.58 -12128.17 -128.3703 40.247521 -11999.798386149998 0.0 0.0 1298.2699399999983 -1686.4222181834425 -0.0
298.15 RE W 0.43 0.57 -11887.38 145.4353 40.35827 -12032.818200499998 0.0 0.0 1560.7270099999987 -1693.9159242532326 -0.0
298.15 RE W 0.44 0.56 -11635.33 430.0316 40.467423 -12065.362167449997 0.0 0.0 1823.184079999999 -1700.3981451097393 -0.0
298.15 RE W 0.45 0.55 -11372.16 725.2765 40.574997 -12097.43535555 0.0 0.0 2085.6411499999995 -1705.8742191782392 -0.0
