T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 SC GE 0.0 1.0 -8654.576 1979.731 35.66764 -10634.306865999999 0.0 0.0 -8654.576 0.0 -0.0
298.15 SC GE 1.0 0.0 17823.99 34100.0 54.590002 -16276.009096299998 0.0 0.0 17823.99 0.0 -0.0
298.15 SC GE 0.01 0.99 -10341.18 488.3683 36.322489 -10829.550095349998 0.0 0.0 -8389.790339999998 -138.82602141683572 -0.0
298.15 SC GE 0.02 0.98 -11956.55 -966.3768 36.861235 -10990.17721525 0.0 0.0 -8125.004679999999 -243.03584172567548 -0.0
298.15 SC GE 0.03 0.97 -13522.08 -2384.504 37.355626 -11137.579891899999 0.0 0.0 -7860.219019999999 -334.02154674813943 -0.0
298.15 SC GE 0.04 0.96 -15042.32 -3766.015 37.820908 -11276.3037202 0.0 0.0 -7595.433359999999 -416.3281974105132 -0.0
298.15 SC GE 0.05 0.95 -16519.41 -5110.907 38.264315 -11408.50551725 0.0 0.0 -7330.647699999998 -492.11297050679866 -0.0
298.15 SC GE 0.06 0.94 -17954.64 -6419.182 38.690106 -11535.4551039 0.0 0.0 -7065.862039999998 -562.6452650375949 -0.0
298.15 SC GE 0.07 0.93 -19348.83 -7690.84 39.101089 -11657.98968535 0.0 0.0 -6801.076379999999 -628.7628773593874 -0.0
298.15 SC GE 0.08 0.92 -20702.58 -8925.88 39.49926 -11776.704369 0.0 0.0 -6536.290719999999 -691.0604007790716 -0.0
298.15 SC GE 0.09 0.91 -22016.35 -10124.3 39.886107 -11892.04280205 0.0 0.0 -6271.5050599999995 -749.9816351924776 -0.0
298.15 SC GE 0.1 0.9 -23290.46 -11286.11 40.262782 -12004.3484533 0.0 0.0 -6006.719399999999 -805.870345271772 -0.0
298.15 SC GE 0.11 0.89 -24525.19 -12411.3 40.630205 -12113.895620749998 0.0 0.0 -5741.9337399999995 -859.000492370776 -0.0
298.15 SC GE 0.12 0.88 -25720.77 -13499.87 40.989125 -12220.90761875 0.0 0.0 -5477.148079999999 -909.5953759771999 -0.0
298.15 SC GE 0.13 0.87 -26877.39 -14551.82 41.340163 -12325.569598449998 0.0 0.0 -5212.3624199999995 -957.840348132521 -0.0
298.15 SC GE 0.14 0.86 -27995.19 -15567.15 41.683844 -12428.038088599998 0.0 0.0 -4947.576759999999 -1003.8915915105914 -0.0
298.15 SC GE 0.15 0.85 -29074.32 -16545.87 42.020613 -12528.445765949999 0.0 0.0 -4682.791099999999 -1047.882375954332 -0.0
298.15 SC GE 0.16 0.84 -30114.88 -17487.97 42.350858 -12626.9083127 0.0 0.0 -4418.005439999999 -1089.9276385420173 -0.0
298.15 SC GE 0.17 0.83 -31116.98 -18393.46 42.674912 -12723.525012799999 0.0 0.0 -4153.219779999998 -1130.1274135160918 -0.0
298.15 SC GE 0.18 0.82 -32080.71 -19262.32 42.993071 -12818.38411865 0.0 0.0 -3888.4341199999994 -1168.5694517045056 -0.0
298.15 SC GE 0.19 0.81 -33006.13 -20094.57 43.305595 -12911.563149249998 0.0 0.0 -3623.6484599999994 -1205.3312553507326 -0.0
298.15 SC GE 0.2 0.8 -33893.33 -20890.2 43.612713 -13003.130380949999 0.0 0.0 -3358.862799999999 -1240.4816826440385 -0.0
298.15 SC GE 0.21 0.79 -34742.36 -21649.21 43.914634 -13093.1481271 0.0 0.0 -3094.0771399999994 -1274.08222978906 -0.0
298.15 SC GE 0.22 0.78 -35553.28 -22371.61 44.211541 -13181.670949149999 0.0 0.0 -2829.2914799999994 -1306.188067542519 -0.0
298.15 SC GE 0.23 0.77 -36326.13 -23057.39 44.503602 -13268.748936299999 0.0 0.0 -2564.5058199999994 -1336.8488881016199 -0.0
298.15 SC GE 0.24 0.76 -37060.97 -23706.55 44.790967 -13354.42681105 0.0 0.0 -2299.72016 -1366.1096036088943 -0.0
298.15 SC GE 0.25 0.75 -37757.83 -24319.09 45.073772 -13438.745121799999 0.0 0.0 -2034.9344999999985 -1394.0109271940482 -0.0
298.15 SC GE 0.26 0.74 -38416.76 -24895.01 45.352142 -13521.7411373 0.0 0.0 -1770.148839999998 -1420.5898600324033 -0.0
298.15 SC GE 0.27 0.73 -39037.77 -25434.32 45.626189 -13603.448250349998 0.0 0.0 -1505.3631799999985 -1445.8801024662048 -0.0
298.15 SC GE 0.28 0.72 -39620.91 -25937.01 45.896018 -13683.897766699998 0.0 0.0 -1240.577519999998 -1469.9124032129614 -0.0
298.15 SC GE 0.29 0.71 -40166.2 -26403.09 46.161721 -13763.117116149999 0.0 0.0 -975.7918599999985 -1492.7148576699553 -0.0
298.15 SC GE 0.3 0.7 -40673.67 -26832.54 46.423386 -13841.132535899998 0.0 0.0 -711.0061999999989 -1514.313164037668 -0.0
298.15 SC GE 0.31 0.69 -41143.35 -27225.38 46.681091 -13917.967281649999 0.0 0.0 -446.22053999999844 -1534.730844232385 -0.0
298.15 SC GE 0.32 0.68 -41575.24 -27581.6 46.934908 -13993.642820199999 0.0 0.0 -181.43487999999888 -1553.9894352015579 -0.0
298.15 SC GE 0.33 0.67 -41969.38 -27901.2 47.184904 -14068.1791276 0.0 0.0 83.35078000000158 -1572.1086551954763 -0.0
298.15 SC GE 0.34 0.66 -42325.78 -28184.19 47.431139 -14141.594092849999 0.0 0.0 348.13644000000204 -1589.1065487133012 -0.0
298.15 SC GE 0.35 0.65 -42644.46 -28430.56 47.673668 -14213.904114199999 0.0 0.0 612.9220999999998 -1604.9996131775667 -0.0
298.15 SC GE 0.36 0.64 -42925.43 -28640.31 47.912542 -14285.1243973 0.0 0.0 877.7077600000011 -1619.8029098595373 -0.0
298.15 SC GE 0.37 0.63 -43168.71 -28813.44 48.147808 -14355.268955199997 0.0 0.0 1142.4934200000016 -1633.5301611487748 -0.0
298.15 SC GE 0.38 0.62 -43374.31 -28949.96 48.379505 -14424.349415749999 0.0 0.0 1407.2790800000012 -1646.193835911596 -0.0
298.15 SC GE 0.39 0.61 -43542.23 -29049.86 48.607674 -14492.3780031 0.0 0.0 1672.0647400000016 -1657.8052243977716 -0.0
298.15 SC GE 0.4 0.6 -43672.5 -29113.14 48.832347 -14559.364258049998 0.0 0.0 1936.850400000002 -1668.3745039196444 -0.0
298.15 SC GE 0.41 0.59 -43765.12 -29139.8 49.053556 -14625.317721399999 0.0 0.0 2201.63606 -1677.9107963326926 -0.0
298.15 SC GE 0.42 0.58 -43820.09 -29129.85 49.271327 -14690.24614505 0.0 0.0 2466.4217200000003 -1686.4222181834425 -0.0
