T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 SI TI 0.0 1.0 -4597.55 6475.8 37.1402 -11073.350629999999 0.0 0.0 -4597.55 0.0 -0.0
298.15 SI TI 1.0 0.0 34683.41 47000.0 41.310031 -12316.58574265 0.0 0.0 34683.41 0.0 -0.0
298.15 SI TI 0.01 0.99 -6404.757 4707.623 37.271105 -11112.379955749999 0.0 0.0 -4204.7404 -138.82602141683572 -0.0
298.15 SI TI 0.02 0.98 -8188.444 2929.327 37.289189 -11117.771700349998 0.0 0.0 -3811.9308 -243.03584172567548 -0.0
298.15 SI TI 0.03 0.97 -9966.482 1144.522 37.26649 -11111.003993499999 0.0 0.0 -3419.1211999999996 -334.02154674813943 -0.0
298.15 SI TI 0.04 0.96 -11739.97 -643.2658 37.218535 -11096.70621025 0.0 0.0 -3026.3116 -416.3281974105132 -0.0
298.15 SI TI 0.05 0.95 -13507.71 -2430.589 37.152834 -11077.1174571 0.0 0.0 -2633.5019999999995 -492.11297050679866 -0.0
298.15 SI TI 0.06 0.94 -15267.67 -4214.082 37.073915 -11053.58775725 0.0 0.0 -2240.6924 -562.6452650375949 -0.0
298.15 SI TI 0.07 0.93 -17017.49 -5990.458 36.98485 -11027.0330275 0.0 0.0 -1847.882799999999 -628.7628773593874 -0.0
298.15 SI TI 0.08 0.92 -18754.64 -7756.513 36.887889 -10998.12410535 0.0 0.0 -1455.0731999999998 -691.0604007790716 -0.0
298.15 SI TI 0.09 0.91 -20476.5 -9509.123 36.784772 -10967.379771799999 0.0 0.0 -1062.2636000000002 -749.9816351924776 -0.0
298.15 SI TI 0.1 0.9 -22180.46 -11245.24 36.676895 -10935.21624425 0.0 0.0 -669.4539999999997 -805.870345271772 -0.0
298.15 SI TI 0.11 0.89 -23863.89 -12961.91 36.565414 -10901.978184099999 0.0 0.0 -276.6443999999997 -859.000492370776 -0.0
298.15 SI TI 0.12 0.88 -25524.2 -14656.24 36.451308 -10867.957480199999 0.0 0.0 116.16520000000037 -909.5953759771999 -0.0
298.15 SI TI 0.13 0.87 -27158.84 -16325.43 36.335423 -10833.40636745 0.0 0.0 508.9748000000004 -957.840348132521 -0.0
298.15 SI TI 0.14 0.86 -28765.31 -17966.77 36.218501 -10798.54607315 0.0 0.0 901.7844000000014 -1003.8915915105914 -0.0
298.15 SI TI 0.15 0.85 -30341.17 -19577.6 36.101199 -10763.57248185 0.0 0.0 1294.5940000000005 -1047.882375954332 -0.0
298.15 SI TI 0.16 0.84 -31884.04 -21155.37 35.98411 -10728.6623965 0.0 0.0 1687.4036000000006 -1089.9276385420173 -0.0
