T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 SI V 0.0 1.0 -9209.853 0.0002657617 30.89 -9209.8535 0.0 0.0 -9209.853 0.0 -0.0
298.15 SI V 1.0 0.0 34683.41 47000.0 41.310031 -12316.58574265 0.0 0.0 34683.41 0.0 -0.0
298.15 SI V 0.01 0.99 -10762.82 -1563.193 30.855707 -9199.629042049999 0.0 0.0 -8770.92037 -138.82602141683572 -0.0
298.15 SI V 0.02 0.98 -12243.74 -3085.313 30.717515 -9158.427097249998 0.0 0.0 -8331.987739999999 -243.03584172567548 -0.0
298.15 SI V 0.03 0.97 -13674.0 -4566.357 30.547173 -9107.63962995 0.0 0.0 -7893.055109999999 -334.02154674813943 -0.0
298.15 SI V 0.04 0.96 -15058.14 -6006.327 30.359926 -9051.8119369 0.0 0.0 -7454.122479999998 -416.3281974105132 -0.0
298.15 SI V 0.05 0.95 -16398.32 -7405.222 30.163009 -8993.10113335 0.0 0.0 -7015.189849999999 -492.11297050679866 -0.0
298.15 SI V 0.06 0.94 -17695.82 -8763.043 29.960679 -8932.77644385 0.0 0.0 -6576.257219999998 -562.6452650375949 -0.0
298.15 SI V 0.07 0.93 -18951.46 -10079.79 29.755747 -8871.67596805 0.0 0.0 -6137.324589999998 -628.7628773593874 -0.0
298.15 SI V 0.08 0.92 -20165.85 -11355.46 29.550206 -8810.3939189 0.0 0.0 -5698.391959999999 -691.0604007790716 -0.0
298.15 SI V 0.09 0.91 -21339.43 -12590.06 29.345546 -8749.374539899998 0.0 0.0 -5259.45933 -749.9816351924776 -0.0
298.15 SI V 0.1 0.9 -22472.54 -13783.58 29.142919 -8688.96129985 0.0 0.0 -4820.5266999999985 -805.870345271772 -0.0
298.15 SI V 0.11 0.89 -23565.45 -14936.03 28.943244 -8629.428198599999 0.0 0.0 -4381.594069999999 -859.000492370776 -0.0
298.15 SI V 0.12 0.88 -24618.4 -16047.4 28.747271 -8570.99884865 0.0 0.0 -3942.661439999999 -909.5953759771999 -0.0
298.15 SI V 0.13 0.87 -25631.56 -17117.7 28.55562 -8513.858103 0.0 0.0 -3503.7288099999987 -957.840348132521 -0.0
298.15 SI V 0.14 0.86 -26605.08 -18146.92 28.368816 -8458.162490399998 0.0 0.0 -3064.7961799999975 -1003.8915915105914 -0.0
298.15 SI V 0.15 0.85 -27539.12 -19135.07 28.187305 -8404.044985749999 0.0 0.0 -2625.863549999998 -1047.882375954332 -0.0
298.15 SI V 0.16 0.84 -28433.77 -20082.14 28.011473 -8351.62067495 0.0 0.0 -2186.930919999999 -1089.9276385420173 -0.0
