T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 SN TI 0.0 1.0 -4597.55 6475.8 37.1402 -11073.350629999999 0.0 0.0 -4597.55 0.0 -0.0
298.15 SN TI 1.0 0.0 -12648.2 4400.0 57.179958 -17048.204477699997 0.0 0.0 -12648.2 0.0 -0.0
298.15 SN TI 0.01 0.99 -6540.336 4648.523 37.527614 -11188.8581141 0.0 0.0 -4678.0565 -138.82602141683572 -0.0
298.15 SN TI 0.02 0.98 -8397.533 2873.895 37.804554 -11271.4277751 0.0 0.0 -4758.563 -243.03584172567548 -0.0
298.15 SN TI 0.03 0.97 -10191.03 1151.423 38.042768 -11342.4512792 0.0 0.0 -4839.0695 -334.02154674813943 -0.0
298.15 SN TI 0.04 0.96 -11925.86 -519.3879 38.2575 -11406.473624999999 0.0 0.0 -4919.576 -416.3281974105132 -0.0
298.15 SN TI 0.05 0.95 -13604.68 -2139.032 38.455987 -11465.65252405 0.0 0.0 -5000.0824999999995 -492.11297050679866 -0.0
298.15 SN TI 0.06 0.94 -15229.26 -3708.004 38.642485 -11521.25690275 0.0 0.0 -5080.589 -562.6452650375949 -0.0
298.15 SN TI 0.07 0.93 -16800.92 -5226.799 38.819805 -11574.12486075 0.0 0.0 -5161.095499999999 -628.7628773593874 -0.0
298.15 SN TI 0.08 0.92 -18320.76 -6695.91 38.989941 -11624.85090915 0.0 0.0 -5241.602 -691.0604007790716 -0.0
298.15 SN TI 0.09 0.91 -19789.71 -8115.833 39.154381 -11673.878695149999 0.0 0.0 -5322.1085 -749.9816351924776 -0.0
298.15 SN TI 0.1 0.9 -21208.61 -9487.062 39.314278 -11721.5519857 0.0 0.0 -5402.615 -805.870345271772 -0.0
298.15 SN TI 0.11 0.89 -22578.24 -10810.09 39.470551 -11768.14478065 0.0 0.0 -5483.1215 -859.000492370776 -0.0
298.15 SN TI 0.12 0.88 -23899.3 -12085.42 39.623949 -11813.88039435 0.0 0.0 -5563.628000000001 -909.5953759771999 -0.0
298.15 SN TI 0.13 0.87 -25172.48 -13313.53 39.775095 -11858.94457425 0.0 0.0 -5644.1345 -957.840348132521 -0.0
298.15 SN TI 0.14 0.86 -26398.42 -14494.93 39.924511 -11903.49295465 0.0 0.0 -5724.6410000000005 -1003.8915915105914 -0.0
298.15 SN TI 0.15 0.85 -27577.77 -15630.11 40.072644 -11947.658808599997 0.0 0.0 -5805.1475 -1047.882375954332 -0.0
298.15 SN TI 0.16 0.84 -28711.12 -16719.56 40.219881 -11991.55752015 0.0 0.0 -5885.654 -1089.9276385420173 -0.0
298.15 SN TI 0.17 0.83 -29799.06 -17763.78 40.366556 -12035.2886714 0.0 0.0 -5966.1605 -1130.1274135160918 -0.0
298.15 SN TI 0.18 0.82 -30842.2 -18763.26 40.512964 -12078.940216599998 0.0 0.0 -6046.667 -1168.5694517045056 -0.0
298.15 SN TI 0.19 0.81 -31841.08 -19718.49 40.659366 -12122.5899729 0.0 0.0 -6127.173500000001 -1205.3312553507326 -0.0
298.15 SN TI 0.2 0.8 -32796.29 -20629.98 40.805991 -12166.306216649999 0.0 0.0 -6207.68 -1240.4816826440385 -0.0
298.15 SN TI 0.21 0.79 -33708.37 -21498.22 40.953046 -12210.150664899998 0.0 0.0 -6288.1865 -1274.08222978906 -0.0
298.15 SN TI 0.22 0.78 -34577.87 -22323.69 41.100716 -12254.178475399998 0.0 0.0 -6368.693000000001 -1306.188067542519 -0.0
298.15 SN TI 0.23 0.77 -35405.34 -23106.91 41.249168 -12298.439439199998 0.0 0.0 -6449.199500000001 -1336.8488881016199 -0.0
298.15 SN TI 0.24 0.76 -36191.32 -23848.35 41.398553 -12342.97857695 0.0 0.0 -6529.706 -1366.1096036088943 -0.0
298.15 SN TI 0.25 0.75 -36936.35 -24548.51 41.549007 -12387.83643705 0.0 0.0 -6610.212500000001 -1394.0109271940482 -0.0
298.15 SN TI 0.26 0.74 -37640.94 -25207.89 41.700653 -12433.04969195 0.0 0.0 -6690.719 -1420.5898600324033 -0.0
298.15 SN TI 0.27 0.73 -38305.64 -25826.99 41.853606 -12478.6526289 0.0 0.0 -6771.2255000000005 -1445.8801024662048 -0.0
298.15 SN TI 0.28 0.72 -38930.97 -26406.29 42.007969 -12524.67595735 0.0 0.0 -6851.732 -1469.9124032129614 -0.0
298.15 SN TI 0.29 0.71 -39517.45 -26946.3 42.163834 -12571.1471071 0.0 0.0 -6932.2384999999995 -1492.7148576699553 -0.0
298.15 SN TI 0.3 0.7 -40065.59 -27447.5 42.32129 -12618.092613499999 0.0 0.0 -7012.745 -1514.313164037668 -0.0
298.15 SN TI 0.31 0.69 -40575.93 -27910.4 42.480414 -12665.5354341 0.0 0.0 -7093.2515 -1534.730844232385 -0.0
298.15 SN TI 0.32 0.68 -41048.97 -28335.48 42.641279 -12713.497333849999 0.0 0.0 -7173.758 -1553.9894352015579 -0.0
298.15 SN TI 0.33 0.67 -41485.24 -28723.24 42.803951 -12761.997990649998 0.0 0.0 -7254.264500000001 -1572.1086551954763 -0.0
298.15 SN TI 0.34 0.66 -41885.23 -29074.17 42.96849 -12811.0552935 0.0 0.0 -7334.771000000001 -1589.1065487133012 -0.0
298.15 SN TI 0.35 0.65 -42249.46 -29388.78 43.134953 -12860.68623695 0.0 0.0 -7415.2775 -1604.9996131775667 -0.0
298.15 SN TI 0.36 0.64 -42578.45 -29667.55 43.303388 -12910.905132199998 0.0 0.0 -7495.784 -1619.8029098595373 -0.0
298.15 SN TI 0.37 0.63 -42872.7 -29910.98 43.473843 -12961.72629045 0.0 0.0 -7576.2905 -1633.5301611487748 -0.0
298.15 SN TI 0.38 0.62 -43132.72 -30119.56 43.646359 -13013.161935849997 0.0 0.0 -7656.7970000000005 -1646.193835911596 -0.0
298.15 SN TI 0.39 0.61 -43359.01 -30293.78 43.820974 -13065.223398099999 0.0 0.0 -7737.303500000001 -1657.8052243977716 -0.0
298.15 SN TI 0.4 0.6 -43552.08 -30434.15 43.997723 -13117.92111245 0.0 0.0 -7817.810000000001 -1668.3745039196444 -0.0
298.15 SN TI 0.41 0.59 -43712.43 -30541.16 44.176635 -13171.263725249999 0.0 0.0 -7898.316500000001 -1677.9107963326926 -0.0
298.15 SN TI 0.42 0.58 -43840.56 -30615.3 44.357738 -13225.259584699998 0.0 0.0 -7978.823 -1686.4222181834425 -0.0
298.15 SN TI 0.43 0.57 -43936.98 -30657.07 44.541057 -13279.91614455 0.0 0.0 -8059.329500000001 -1693.9159242532326 -0.0
298.15 SN TI 0.44 0.56 -44002.19 -30666.95 44.726611 -13335.239069649999 0.0 0.0 -8139.836000000001 -1700.3981451097393 -0.0
298.15 SN TI 0.45 0.55 -44036.68 -30645.45 44.914419 -13391.23402485 0.0 0.0 -8220.3425 -1705.8742191782392 -0.0
298.15 SN TI 0.46 0.54 -44040.96 -30593.06 45.104495 -13447.90518425 0.0 0.0 -8300.849 -1710.3486197582595 -0.0
298.15 SN TI 0.47 0.53 -44015.53 -30510.27 45.296853 -13505.256721949998 0.0 0.0 -8381.355500000001 -1713.8249773357109 -0.0
298.15 SN TI 0.48 0.52 -43960.87 -30397.58 45.491501 -13563.29102315 0.0 0.0 -8461.862000000001 -1716.3060974737868 -0.0
298.15 SN TI 0.49 0.51 -43877.5 -30255.49 45.688447 -13622.010473049997 0.0 0.0 -8542.3685 -1717.7939745058845 -0.0
298.15 SN TI 0.5 0.5 -43765.9 -30084.48 45.887693 -13681.41566795 0.0 0.0 -8622.875 -1718.289801199083 -0.0
298.15 SN TI 0.51 0.49 -43626.56 -29885.05 46.089242 -13741.507502299999 0.0 0.0 -8703.3815 -1717.7939745058845 -0.0
