T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 SR NA 0.0 1.0 -15806.98 1325.772 57.463537 -17132.75355655 0.0 0.0 -15806.98 0.0 -0.0
298.15 SR NA 1.0 0.0 -15295.09 0.001639857 51.300004 -15295.0961926 0.0 0.0 -15295.09 0.0 -0.0
298.15 SR NA 0.01 0.99 -15815.78 1437.423 57.867527 -17253.20317505 0.0 0.0 -15801.8611 -138.82602141683572 -0.0
298.15 SR NA 0.02 0.98 -15791.6 1547.438 58.155413 -17339.03638595 0.0 0.0 -15796.742199999999 -243.03584172567548 -0.0
298.15 SR NA 0.03 0.97 -15755.85 1655.792 58.398946 -17411.6457499 0.0 0.0 -15791.6233 -334.02154674813943 -0.0
298.15 SR NA 0.04 0.96 -15713.12 1762.456 58.613369 -17475.57596735 0.0 0.0 -15786.504399999998 -416.3281974105132 -0.0
298.15 SR NA 0.05 0.95 -15665.58 1867.403 58.805917 -17532.984153549998 0.0 0.0 -15781.3855 -492.11297050679866 -0.0
298.15 SR NA 0.06 0.94 -15614.53 1970.606 58.980848 -17585.1398312 0.0 0.0 -15776.266599999999 -562.6452650375949 -0.0
298.15 SR NA 0.07 0.93 -15560.84 2072.039 59.140973 -17632.88109995 0.0 0.0 -15771.1477 -628.7628773593874 -0.0
298.15 SR NA 0.08 0.92 -15505.13 2171.673 59.288285 -17676.802172749998 0.0 0.0 -15766.0288 -691.0604007790716 -0.0
298.15 SR NA 0.09 0.91 -15447.87 2269.482 59.424272 -17717.3466968 0.0 0.0 -15760.9099 -749.9816351924776 -0.0
298.15 SR NA 0.1 0.9 -15389.42 2365.438 59.550089 -17754.85903535 0.0 0.0 -15755.791 -805.870345271772 -0.0
298.15 SR NA 0.11 0.89 -15330.1 2459.514 59.666653 -17789.612591949997 0.0 0.0 -15750.6721 -859.000492370776 -0.0
298.15 SR NA 0.12 0.88 -15270.15 2551.683 59.774714 -17821.8309791 0.0 0.0 -15745.553199999998 -909.5953759771999 -0.0
298.15 SR NA 0.13 0.87 -15209.78 2641.918 59.874894 -17851.699646099998 0.0 0.0 -15740.434299999999 -957.840348132521 -0.0
298.15 SR NA 0.14 0.86 -15149.18 2730.191 59.967715 -17879.37422725 0.0 0.0 -15735.3154 -1003.8915915105914 -0.0
298.15 SR NA 0.15 0.85 -15088.51 2816.476 60.053626 -17904.9885919 0.0 0.0 -15730.196499999998 -1047.882375954332 -0.0
298.15 SR NA 0.16 0.84 -15027.91 2900.745 60.133011 -17928.657229649998 0.0 0.0 -15725.0776 -1089.9276385420173 -0.0
298.15 SR NA 0.17 0.83 -14967.51 2982.972 60.206207 -17950.480617049998 0.0 0.0 -15719.9587 -1130.1274135160918 -0.0
298.15 SR NA 0.18 0.82 -14907.42 3063.128 60.273507 -17970.54611205 0.0 0.0 -15714.839800000002 -1168.5694517045056 -0.0
298.15 SR NA 0.19 0.81 -14847.75 3141.186 60.335171 -17988.93123365 0.0 0.0 -15709.7209 -1205.3312553507326 -0.0
298.15 SR NA 0.2 0.8 -14788.59 3217.12 60.391431 -18005.705152649996 0.0 0.0 -15704.602 -1240.4816826440385 -0.0
298.15 SR NA 0.21 0.79 -14730.03 3290.902 60.442493 -18020.92928795 0.0 0.0 -15699.4831 -1274.08222978906 -0.0
298.15 SR NA 0.22 0.78 -14672.15 3362.506 60.488541 -18034.65849915 0.0 0.0 -15694.3642 -1306.188067542519 -0.0
