T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 TA SN 0.0 1.0 -12364.82 -0.00107989 41.471806 -12364.8189589 0.0 0.0 -12364.82 0.0 -0.0
298.15 TA SN 1.0 0.0 -12648.2 4400.0 57.179958 -17048.204477699997 0.0 0.0 -12648.2 0.0 -0.0
298.15 TA SN 0.01 0.99 -12897.94 -347.4596 42.094513 -12550.479050949998 0.0 0.0 -12367.6538 -138.82602141683572 -0.0
298.15 TA SN 0.02 0.98 -13344.54 -643.0128 42.601117 -12701.52303355 0.0 0.0 -12370.487599999999 -243.03584172567548 -0.0
298.15 TA SN 0.03 0.97 -13727.35 -888.0076 43.063366 -12839.3425729 0.0 0.0 -12373.321399999999 -334.02154674813943 -0.0
298.15 TA SN 0.04 0.96 -14052.27 -1083.791 43.496506 -12968.483263899998 0.0 0.0 -12376.1552 -416.3281974105132 -0.0
298.15 TA SN 0.05 0.95 -14322.81 -1231.709 43.907771 -13091.101923649998 0.0 0.0 -12378.989 -492.11297050679866 -0.0
298.15 TA SN 0.06 0.94 -14541.58 -1333.11 44.301419 -13208.46807485 0.0 0.0 -12381.822799999998 -562.6452650375949 -0.0
298.15 TA SN 0.07 0.93 -14710.76 -1389.339 44.680261 -13321.41981715 0.0 0.0 -12384.656599999998 -628.7628773593874 -0.0
298.15 TA SN 0.08 0.92 -14832.3 -1401.744 45.046289 -13430.551065349999 0.0 0.0 -12387.4904 -691.0604007790716 -0.0
298.15 TA SN 0.09 0.91 -14907.98 -1371.672 45.400994 -13536.306361099998 0.0 0.0 -12390.3242 -749.9816351924776 -0.0
298.15 TA SN 0.1 0.9 -14939.5 -1300.469 45.745527 -13639.02887505 0.0 0.0 -12393.158 -805.870345271772 -0.0
298.15 TA SN 0.11 0.89 -14928.48 -1189.483 46.080808 -13738.992905199999 0.0 0.0 -12395.9918 -859.000492370776 -0.0
298.15 TA SN 0.12 0.88 -14876.48 -1040.06 46.407586 -13836.421765899999 0.0 0.0 -12398.8256 -909.5953759771999 -0.0
298.15 TA SN 0.13 0.87 -14785.05 -853.5466 46.726482 -13931.500608299999 0.0 0.0 -12401.659399999999 -957.840348132521 -0.0
298.15 TA SN 0.14 0.86 -14655.68 -631.2903 47.038021 -14024.38596115 0.0 0.0 -12404.493199999999 -1003.8915915105914 -0.0
298.15 TA SN 0.15 0.85 -14489.85 -374.6377 47.342648 -14115.210501199997 0.0 0.0 -12407.327 -1047.882375954332 -0.0
298.15 TA SN 0.16 0.84 -14289.03 -84.93566 47.64075 -14204.089612499998 0.0 0.0 -12410.1608 -1089.9276385420173 -0.0
298.15 TA SN 0.17 0.83 -14054.65 236.4689 47.932663 -14291.123473449998 0.0 0.0 -12412.994599999998 -1130.1274135160918 -0.0
298.15 TA SN 0.18 0.82 -13788.17 588.2292 48.21868 -14376.399441999998 0.0 0.0 -12415.8284 -1168.5694517045056 -0.0
298.15 TA SN 0.19 0.81 -13491.0 968.9984 48.499061 -14459.995037149998 0.0 0.0 -12418.662200000002 -1205.3312553507326 -0.0
298.15 TA SN 0.2 0.8 -13164.55 1377.43 48.774038 -14541.979429699999 0.0 0.0 -12421.496 -1240.4816826440385 -0.0
298.15 TA SN 0.21 0.79 -12810.24 1812.176 49.043816 -14622.4137404 0.0 0.0 -12424.3298 -1274.08222978906 -0.0
298.15 TA SN 0.22 0.78 -12429.46 2271.891 49.308581 -14701.353425149999 0.0 0.0 -12427.1636 -1306.188067542519 -0.0
298.15 TA SN 0.23 0.77 -12023.62 2755.227 49.5685 -14778.848274999998 0.0 0.0 -12429.9974 -1336.8488881016199 -0.0
298.15 TA SN 0.24 0.76 -11594.1 3260.838 49.823722 -14854.942714299998 0.0 0.0 -12432.8312 -1366.1096036088943 -0.0
298.15 TA SN 0.25 0.75 -11142.3 3787.377 50.074386 -14929.678185899998 0.0 0.0 -12435.665 -1394.0109271940482 -0.0
298.15 TA SN 0.26 0.74 -10669.59 4333.496 50.320613 -15003.090765949999 0.0 0.0 -12438.498800000001 -1420.5898600324033 -0.0
298.15 TA SN 0.27 0.73 -10177.36 4897.85 50.562519 -15075.21503985 0.0 0.0 -12441.3326 -1445.8801024662048 -0.0
298.15 TA SN 0.28 0.72 -9666.99 5479.091 50.800205 -15146.08112075 0.0 0.0 -12444.1664 -1469.9124032129614 -0.0
298.15 TA SN 0.29 0.71 -9139.845 6075.872 51.033767 -15215.717631049998 0.0 0.0 -12447.000199999999 -1492.7148576699553 -0.0
298.15 TA SN 0.3 0.7 -8597.302 6686.847 51.263289 -15284.14961535 0.0 0.0 -12449.833999999999 -1514.313164037668 -0.0
298.15 TA SN 0.31 0.69 -8040.732 7310.669 51.488852 -15351.4012238 0.0 0.0 -12452.6678 -1534.730844232385 -0.0
298.15 TA SN 0.32 0.68 -7471.503 7945.99 51.710527 -15417.493625049998 0.0 0.0 -12455.5016 -1553.9894352015579 -0.0
298.15 TA SN 0.33 0.67 -6890.982 8591.465 51.928381 -15482.44679515 0.0 0.0 -12458.3354 -1572.1086551954763 -0.0
298.15 TA SN 0.34 0.66 -6300.533 9245.745 52.142474 -15546.2786231 0.0 0.0 -12461.1692 -1589.1065487133012 -0.0
298.15 TA SN 0.35 0.65 -5701.52 9907.485 52.352861 -15609.005507149997 0.0 0.0 -12464.003 -1604.9996131775667 -0.0
298.15 TA SN 0.36 0.64 -5095.305 10575.34 52.559593 -15670.642652949999 0.0 0.0 -12466.836800000001 -1619.8029098595373 -0.0
298.15 TA SN 0.37 0.63 -4483.248 11247.96 52.762716 -15731.203775399998 0.0 0.0 -12469.6706 -1633.5301611487748 -0.0
298.15 TA SN 0.38 0.62 -3866.709 11923.99 52.962272 -15790.7013968 0.0 0.0 -12472.504400000002 -1646.193835911596 -0.0
298.15 TA SN 0.39 0.61 -3247.046 12602.1 53.158298 -15849.146548699999 0.0 0.0 -12475.3382 -1657.8052243977716 -0.0
298.15 TA SN 0.4 0.6 -2625.615 13280.93 53.350829 -15906.549666349998 0.0 0.0 -12478.172 -1668.3745039196444 -0.0
298.15 TA SN 0.41 0.59 -2003.773 13959.15 53.539896 -15962.919992399999 0.0 0.0 -12481.0058 -1677.9107963326926 -0.0
298.15 TA SN 0.42 0.58 -1382.875 14635.39 53.725525 -16018.265278749997 0.0 0.0 -12483.8396 -1686.4222181834425 -0.0
298.15 TA SN 0.43 0.57 -764.2752 15308.32 53.90774 -16072.592680999998 0.0 0.0 -12486.673400000001 -1693.9159242532326 -0.0
298.15 TA SN 0.44 0.56 -149.3259 15976.58 54.086563 -16125.908758449998 0.0 0.0 -12489.5072 -1700.3981451097393 -0.0
298.15 TA SN 0.45 0.55 460.6205 16638.84 54.262012 -16178.218877799998 0.0 0.0 -12492.341 -1705.8742191782392 -0.0
298.15 TA SN 0.46 0.54 1064.212 17293.74 54.434101 -16229.527213149999 0.0 0.0 -12495.1748 -1710.3486197582595 -0.0
298.15 TA SN 0.47 0.53 1660.1 17939.94 54.602842 -16279.8373423 0.0 0.0 -12498.008600000001 -1713.8249773357109 -0.0
298.15 TA SN 0.48 0.52 2246.932 18576.08 54.768245 -16329.152246749998 0.0 0.0 -12500.842400000001 -1716.3060974737868 -0.0
298.15 TA SN 0.49 0.51 2823.362 19200.84 54.930317 -16377.47401355 0.0 0.0 -12503.676200000002 -1717.7939745058845 -0.0
298.15 TA SN 0.5 0.5 3388.039 19812.84 55.089061 -16424.803537149997 0.0 0.0 -12506.51 -1718.289801199083 -0.0
298.15 TA SN 0.51 0.49 3939.619 20410.76 55.24448 -16471.141712 0.0 0.0 -12509.343799999999 -1717.7939745058845 -0.0
298.15 TA SN 0.52 0.48 4476.753 20993.24 55.396571 -16516.487643649998 0.0 0.0 -12512.177599999999 -1716.3060974737868 -0.0
298.15 TA SN 0.53 0.47 4998.097 21558.94 55.545331 -16560.840437649997 0.0 0.0 -12515.0114 -1713.8249773357109 -0.0
298.15 TA SN 0.54 0.46 5502.305 22106.5 55.690753 -16604.19800695 0.0 0.0 -12517.8452 -1710.3486197582595 -0.0
298.15 TA SN 0.55 0.45 5988.033 22634.59 55.832827 -16646.55737005 0.0 0.0 -12520.679 -1705.8742191782392 -0.0
298.15 TA SN 0.56 0.44 6453.938 23141.85 55.971542 -16687.9152473 0.0 0.0 -12523.5128 -1700.3981451097393 -0.0
298.15 TA SN 0.57 0.43 6898.679 23626.95 56.106882 -16728.266868299997 0.0 0.0 -12526.3466 -1693.9159242532328 -0.0
298.15 TA SN 0.58 0.42 7320.912 24088.52 56.238829 -16767.60686635 0.0 0.0 -12529.180400000001 -1686.4222181834425 -0.0
298.15 TA SN 0.59 0.41 7719.298 24525.23 56.367363 -16805.92927845 0.0 0.0 -12532.014200000001 -1677.910796332693 -0.0
298.15 TA SN 0.6 0.4 8092.497 24935.72 56.49246 -16843.226949 0.0 0.0 -12534.848 -1668.3745039196444 -0.0
298.15 TA SN 0.61 0.39 8439.171 25318.66 56.614092 -16879.491529799998 0.0 0.0 -12537.6818 -1657.8052243977716 -0.0
298.15 TA SN 0.62 0.38 8757.981 25672.69 56.732228 -16914.7137782 0.0 0.0 -12540.515599999999 -1646.193835911596 -0.0
298.15 TA SN 0.63 0.37 9047.59 25996.47 56.846836 -16948.8841534 0.0 0.0 -12543.349400000001 -1633.5301611487748 -0.0
298.15 TA SN 0.64 0.36 9306.664 26288.65 56.957876 -16981.990729399997 0.0 0.0 -12546.1832 -1619.8029098595373 -0.0
298.15 TA SN 0.65 0.35 9533.868 26547.89 57.065307 -17014.02128205 0.0 0.0 -12549.017 -1604.9996131775667 -0.0
298.15 TA SN 0.66 0.34 9727.869 26772.83 57.169083 -17044.96209645 0.0 0.0 -12551.8508 -1589.106548713301 -0.0
298.15 TA SN 0.67 0.33 9887.334 26962.13 57.269153 -17074.79796695 0.0 0.0 -12554.6846 -1572.1086551954763 -0.0
298.15 TA SN 0.68 0.32 10010.93 27114.45 57.365462 -17103.512495299998 0.0 0.0 -12557.5184 -1553.9894352015576 -0.0
298.15 TA SN 0.69 0.31 10097.34 27228.43 57.45795 -17131.0877925 0.0 0.0 -12560.352200000001 -1534.730844232385 -0.0
298.15 TA SN 0.7 0.3 10145.23 27302.73 57.54655 -17157.5038825 0.0 0.0 -12563.186 -1514.313164037668 -0.0
298.15 TA SN 0.71 0.29 10153.26 27336.0 57.63119 -17182.739298499997 0.0 0.0 -12566.0198 -1492.7148576699553 -0.0
298.15 TA SN 0.72 0.28 10120.13 27326.9 57.711792 -17206.7707848 0.0 0.0 -12568.8536 -1469.9124032129614 -0.0
298.15 TA SN 0.73 0.27 10044.51 27274.08 57.788269 -17229.572402349997 0.0 0.0 -12571.687399999999 -1445.8801024662048 -0.0
298.15 TA SN 0.74 0.26 9925.076 27176.19 57.860526 -17251.115826899997 0.0 0.0 -12574.5212 -1420.5898600324033 -0.0
298.15 TA SN 0.75 0.25 9760.517 27031.89 57.928462 -17271.3709453 0.0 0.0 -12577.355000000001 -1394.0109271940482 -0.0
298.15 TA SN 0.76 0.24 9549.519 26839.82 57.991961 -17290.30317215 0.0 0.0 -12580.188800000002 -1366.1096036088943 -0.0
298.15 TA SN 0.77 0.23 9290.772 26598.65 58.050902 -17307.8764313 0.0 0.0 -12583.0226 -1336.8488881016199 -0.0
298.15 TA SN 0.78 0.22 8982.97 26307.02 58.105146 -17324.0492799 0.0 0.0 -12585.8564 -1306.188067542519 -0.0
298.15 TA SN 0.79 0.21 8624.812 25963.59 58.154544 -17338.7772936 0.0 0.0 -12588.690200000001 -1274.08222978906 -0.0
