T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 TI GD 0.0 1.0 -4597.6 6475.804 37.14038 -11073.404297 0.0 0.0 -4597.6 0.0 -0.0
298.15 TI GD 1.0 0.0 -17556.99 3982.022 72.242213 -21539.01580595 0.0 0.0 -17556.99 0.0 -0.0
298.15 TI GD 0.01 0.99 -4449.783 6820.801 37.801722 -11270.5834143 0.0 0.0 -4727.193900000001 -138.82602141683572 -0.0
298.15 TI GD 0.02 0.98 -4274.915 7159.167 38.350098 -11434.0817187 0.0 0.0 -4856.7878 -243.03584172567548 -0.0
298.15 TI GD 0.03 0.97 -4094.413 7490.878 38.857258 -11585.291472699999 0.0 0.0 -4986.381700000001 -334.02154674813943 -0.0
298.15 TI GD 0.04 0.96 -3912.85 7815.908 39.338445 -11728.75737675 0.0 0.0 -5115.9756 -416.3281974105132 -0.0
298.15 TI GD 0.05 0.95 -3732.407 8134.23 39.800896 -11866.637142399999 0.0 0.0 -5245.5695000000005 -492.11297050679866 -0.0
298.15 TI GD 0.06 0.94 -3554.38 8445.82 40.248867 -12000.199696049998 0.0 0.0 -5375.1633999999995 -562.6452650375949 -0.0
298.15 TI GD 0.07 0.93 -3379.633 8750.65 40.685168 -12130.282839199997 0.0 0.0 -5504.7573 -628.7628773593874 -0.0
298.15 TI GD 0.08 0.92 -3208.785 9048.696 41.111794 -12257.4813811 0.0 0.0 -5634.351200000001 -691.0604007790716 -0.0
298.15 TI GD 0.09 0.91 -3042.307 9339.932 41.530233 -12382.23896895 0.0 0.0 -5763.945100000001 -749.9816351924776 -0.0
298.15 TI GD 0.1 0.9 -2880.569 9624.331 41.941639 -12504.899667849999 0.0 0.0 -5893.539000000001 -805.870345271772 -0.0
298.15 TI GD 0.11 0.89 -2723.869 9901.868 42.346929 -12625.73688135 0.0 0.0 -6023.1329000000005 -859.000492370776 -0.0
298.15 TI GD 0.12 0.88 -2572.457 10172.52 42.746854 -12744.974520099999 0.0 0.0 -6152.7268 -909.5953759771999 -0.0
