T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 TI O 0.0 1.0 -4576.083 6475.8 37.0682 -11051.883829999999 0.0 0.0 -4576.083 0.0 -0.0
298.15 TI O 1.0 0.0 -500836.1 -399999.6 338.20757 -100836.58699549998 0.0 0.0 -500836.1 0.0 -0.0
298.15 TI O 0.01 0.99 -21097.67 -9541.164 38.760699 -11556.50240685 0.0 0.0 -9538.68317 -138.82602141683572 -0.0
298.15 TI O 0.02 0.98 -37290.3 -25316.67 40.159752 -11973.630058799998 0.0 0.0 -14501.283339999998 -243.03584172567548 -0.0
298.15 TI O 0.03 0.97 -53218.16 -40850.72 41.480607 -12367.44297705 0.0 0.0 -19463.88351 -334.02154674813943 -0.0
298.15 TI O 0.04 0.96 -68894.88 -56143.3 42.768997 -12751.576455549999 0.0 0.0 -24426.483679999998 -416.3281974105132 -0.0
298.15 TI O 0.05 0.95 -84326.93 -71194.43 44.046627 -13132.50184005 0.0 0.0 -29389.08385 -492.11297050679866 -0.0
298.15 TI O 0.06 0.94 -99518.13 -86004.1 45.326271 -13514.02769865 0.0 0.0 -34351.68402 -562.6452650375949 -0.0
298.15 TI O 0.07 0.93 -114471.0 -100572.3 46.616358 -13898.667137699998 0.0 0.0 -39314.28419 -628.7628773593874 -0.0
298.15 TI O 0.08 0.92 -129187.3 -114899.1 47.922871 -14288.203988649999 0.0 0.0 -44276.88436 -691.0604007790716 -0.0
298.15 TI O 0.09 0.91 -143668.3 -128984.4 49.250276 -14683.969789399998 0.0 0.0 -49239.484529999994 -749.9816351924776 -0.0
298.15 TI O 0.1 0.9 -157915.2 -142828.2 50.602031 -15086.995542649998 0.0 0.0 -54202.0847 -805.870345271772 -0.0
298.15 TI O 0.11 0.89 -171928.7 -156430.6 51.980893 -15498.103247949999 0.0 0.0 -59164.68487 -859.000492370776 -0.0
298.15 TI O 0.12 0.88 -185709.5 -169791.5 53.38911 -15917.9631465 0.0 0.0 -64127.285039999995 -909.5953759771999 -0.0
298.15 TI O 0.13 0.87 -199258.1 -182910.9 54.828546 -16347.130989899999 0.0 0.0 -69089.88521 -957.840348132521 -0.0
298.15 TI O 0.14 0.86 -212575.0 -195788.9 56.300772 -16786.0751718 0.0 0.0 -74052.48538 -1003.8915915105914 -0.0
298.15 TI O 0.15 0.85 -225660.7 -208425.5 57.80713 -17235.195809499997 0.0 0.0 -79015.08554999999 -1047.882375954332 -0.0
298.15 TI O 0.16 0.84 -238515.4 -220820.6 59.348776 -17694.8375644 0.0 0.0 -83977.68572 -1089.9276385420173 -0.0
298.15 TI O 0.17 0.83 -251139.5 -232974.2 60.926717 -18165.30067355 0.0 0.0 -88940.28589 -1130.1274135160918 -0.0
298.15 TI O 0.18 0.82 -263533.2 -244886.4 62.541835 -18646.84810525 0.0 0.0 -93902.88605999999 -1168.5694517045056 -0.0
298.15 TI O 0.19 0.81 -275696.8 -256557.1 64.19491 -19139.712416499995 0.0 0.0 -98865.48623 -1205.3312553507326 -0.0
298.15 TI O 0.2 0.8 -287630.4 -267986.3 65.886636 -19644.100523399997 0.0 0.0 -103828.0864 -1240.4816826440385 -0.0
298.15 TI O 0.21 0.79 -299334.3 -279174.1 67.617631 -20160.19668265 0.0 0.0 -108790.68656999999 -1274.08222978906 -0.0
298.15 TI O 0.22 0.78 -310808.6 -290120.4 69.388451 -20688.16666565 0.0 0.0 -113753.28674 -1306.188067542519 -0.0
298.15 TI O 0.23 0.77 -322053.5 -300825.3 71.199594 -21228.1589511 0.0 0.0 -118715.88691 -1336.8488881016199 -0.0
298.15 TI O 0.24 0.76 -333069.0 -311288.7 73.051513 -21780.308600949997 0.0 0.0 -123678.48707999999 -1366.1096036088943 -0.0
298.15 TI O 0.25 0.75 -343855.4 -321510.7 74.944619 -22344.738154849998 0.0 0.0 -128641.08725 -1394.0109271940482 -0.0
298.15 TI O 0.26 0.74 -354412.7 -331491.2 76.879282 -22921.5579283 0.0 0.0 -133603.68742 -1420.5898600324033 -0.0
298.15 TI O 0.27 0.73 -364741.1 -341230.2 78.855843 -23510.869590449995 0.0 0.0 -138566.28759 -1445.8801024662048 -0.0
298.15 TI O 0.28 0.72 -374840.5 -350727.8 80.87461 -24112.7649715 0.0 0.0 -143528.88776 -1469.9124032129614 -0.0
298.15 TI O 0.29 0.71 -384711.2 -359983.9 82.935866 -24727.3284479 0.0 0.0 -148491.48792999997 -1492.7148576699553 -0.0
298.15 TI O 0.3 0.7 -394353.2 -368998.5 85.03987 -25354.637240499997 0.0 0.0 -153454.0881 -1514.313164037668 -0.0
298.15 TI O 0.31 0.69 -403766.5 -377771.7 87.186859 -25994.762010849998 0.0 0.0 -158416.68826999998 -1534.730844232385 -0.0
298.15 TI O 0.32 0.68 -412951.3 -386303.5 89.377049 -26647.767159349998 0.0 0.0 -163379.28844 -1553.9894352015579 -0.0
298.15 TI O 0.33 0.67 -421907.5 -394593.8 91.610638 -27313.711719699997 0.0 0.0 -168341.88861 -1572.1086551954763 -0.0
298.15 TI O 0.34 0.66 -430635.2 -402642.6 93.887809 -27992.65025335 0.0 0.0 -173304.48878 -1589.1065487133012 -0.0
298.15 TI O 0.35 0.65 -439134.6 -410450.0 96.208727 -28684.631955049997 0.0 0.0 -178267.08894999998 -1604.9996131775667 -0.0
298.15 TI O 0.36 0.64 -447405.6 -418015.9 98.573543 -29389.70184545 0.0 0.0 -183229.68912 -1619.8029098595373 -0.0
298.15 TI O 0.37 0.63 -455448.2 -425340.3 100.9824 -30107.90256 0.0 0.0 -188192.28929 -1633.5301611487748 -0.0
298.15 TI O 0.38 0.62 -463262.6 -432423.3 103.43541 -30839.2674915 0.0 0.0 -193154.88946 -1646.193835911596 -0.0
298.15 TI O 0.39 0.61 -470848.7 -439264.8 105.9327 -31583.834504999995 0.0 0.0 -198117.48963 -1657.8052243977716 -0.0
298.15 TI O 0.4 0.6 -478206.5 -445864.9 108.47437 -32341.633415499997 0.0 0.0 -203080.08980000002 -1668.3745039196444 -0.0
298.15 TI O 0.41 0.59 -485336.2 -452223.5 111.06051 -33112.69105649999 0.0 0.0 -208042.68996999998 -1677.9107963326926 -0.0
298.15 TI O 0.42 0.58 -492237.7 -458340.7 113.69121 -33897.0342615 0.0 0.0 -213005.29013999997 -1686.4222181834425 -0.0
298.15 TI O 0.43 0.57 -498911.0 -464216.4 116.36652 -34694.67793799999 0.0 0.0 -217967.89031 -1693.9159242532326 -0.0
298.15 TI O 0.44 0.56 -505356.2 -469850.6 119.08652 -35505.645937999994 0.0 0.0 -222930.49047999998 -1700.3981451097393 -0.0
298.15 TI O 0.45 0.55 -511573.3 -475243.4 121.85127 -36329.956150499995 0.0 0.0 -227893.09065 -1705.8742191782392 -0.0
298.15 TI O 0.46 0.54 -517562.3 -480394.7 124.66079 -37167.6145385 0.0 0.0 -232855.69082 -1710.3486197582595 -0.0
298.15 TI O 0.47 0.53 -523323.2 -485304.6 127.51514 -38018.638991 0.0 0.0 -237818.29098999998 -1713.8249773357109 -0.0
298.15 TI O 0.48 0.52 -528856.0 -489973.0 130.41434 -38883.035471 0.0 0.0 -242780.89115999997 -1716.3060974737868 -0.0
298.15 TI O 0.49 0.51 -534160.7 -494399.9 133.35841 -39760.809941499996 0.0 0.0 -247743.49133 -1717.7939745058845 -0.0
298.15 TI O 0.5 0.5 -539237.3 -498585.4 136.34736 -40651.965384 0.0 0.0 -252706.09149999998 -1718.289801199083 -0.0
298.15 TI O 0.51 0.49 -544085.9 -502529.4 139.3812 -41556.504779999996 0.0 0.0 -257668.69167 -1717.7939745058845 -0.0
298.15 TI O 0.52 0.48 -548706.4 -506232.0 142.45991 -42474.4221665 0.0 0.0 -262631.29184 -1716.3060974737868 -0.0
