T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 V TI 0.0 1.0 -9209.853 0.0002657617 30.89 -9209.8535 0.0 0.0 -9209.853 0.0 -0.0
298.15 V TI 1.0 0.0 -4597.55 6475.8 37.1402 -11073.350629999999 0.0 0.0 -4597.55 0.0 -0.0
298.15 V TI 0.01 0.99 -9257.627 109.6873 31.418128 -9367.3148632 0.0 0.0 -9163.72997 -138.82602141683572 -0.0
298.15 V TI 0.02 0.98 -9270.899 219.2607 31.830152 -9490.159818799999 0.0 0.0 -9117.606939999998 -243.03584172567548 -0.0
298.15 V TI 0.03 0.97 -9271.084 328.696 32.197821 -9599.78033115 0.0 0.0 -9071.483909999999 -334.02154674813943 -0.0
298.15 V TI 0.04 0.96 -9262.753 437.969 32.536382 -9700.7222933 0.0 0.0 -9025.360879999998 -416.3281974105132 -0.0
298.15 V TI 0.05 0.95 -9248.087 547.0554 32.853067 -9795.14192605 0.0 0.0 -8979.23785 -492.11297050679866 -0.0
298.15 V TI 0.06 0.94 -9228.378 655.9309 33.152136 -9884.309348399998 0.0 0.0 -8933.114819999997 -562.6452650375949 -0.0
298.15 V TI 0.07 0.93 -9204.491 764.5712 33.436398 -9969.062063699997 0.0 0.0 -8886.991789999998 -628.7628773593874 -0.0
298.15 V TI 0.08 0.92 -9177.043 872.9519 33.707847 -10049.99458305 0.0 0.0 -8840.86876 -691.0604007790716 -0.0
298.15 V TI 0.09 0.91 -9146.502 981.0488 33.967972 -10127.5508518 0.0 0.0 -8794.74573 -749.9816351924776 -0.0
298.15 V TI 0.1 0.9 -9113.237 1088.838 34.217926 -10202.074636899999 0.0 0.0 -8748.622699999998 -805.870345271772 -0.0
298.15 V TI 0.11 0.89 -9077.546 1196.294 34.458628 -10273.839938199999 0.0 0.0 -8702.49967 -859.000492370776 -0.0
298.15 V TI 0.12 0.88 -9039.676 1303.393 34.690826 -10343.0697719 0.0 0.0 -8656.376639999999 -909.5953759771999 -0.0
298.15 V TI 0.13 0.87 -8999.838 1410.112 34.915142 -10409.9495873 0.0 0.0 -8610.25361 -957.840348132521 -0.0
298.15 V TI 0.14 0.86 -8958.211 1516.425 35.132101 -10474.63591315 0.0 0.0 -8564.13058 -1003.8915915105914 -0.0
298.15 V TI 0.15 0.85 -8914.953 1622.308 35.342149 -10537.261724349999 0.0 0.0 -8518.007549999998 -1047.882375954332 -0.0
298.15 V TI 0.16 0.84 -8870.204 1727.738 35.545672 -10597.942106800001 0.0 0.0 -8471.88452 -1089.9276385420173 -0.0
298.15 V TI 0.17 0.83 -8824.088 1832.689 35.743005 -10656.776940749998 0.0 0.0 -8425.761489999999 -1130.1274135160918 -0.0
298.15 V TI 0.18 0.82 -8776.716 1937.138 35.934442 -10713.853882299998 0.0 0.0 -8379.63846 -1168.5694517045056 -0.0
298.15 V TI 0.19 0.81 -8728.191 2041.059 36.120244 -10769.2507486 0.0 0.0 -8333.51543 -1205.3312553507326 -0.0
298.15 V TI 0.2 0.8 -8678.606 2144.43 36.300641 -10823.036114149998 0.0 0.0 -8287.392399999999 -1240.4816826440385 -0.0
298.15 V TI 0.21 0.79 -8628.047 2247.225 36.47584 -10875.271695999998 0.0 0.0 -8241.26937 -1274.08222978906 -0.0
298.15 V TI 0.22 0.78 -8576.592 2349.42 36.646026 -10926.012651899999 0.0 0.0 -8195.14634 -1306.188067542519 -0.0
298.15 V TI 0.23 0.77 -8524.317 2450.992 36.811365 -10975.30847475 0.0 0.0 -8149.02331 -1336.8488881016199 -0.0
298.15 V TI 0.24 0.76 -8471.29 2551.914 36.972008 -11023.2041852 0.0 0.0 -8102.90028 -1366.1096036088943 -0.0
298.15 V TI 0.25 0.75 -8417.576 2652.164 37.128091 -11069.740331649999 0.0 0.0 -8056.777249999999 -1394.0109271940482 -0.0
298.15 V TI 0.26 0.74 -8363.237 2751.717 37.27974 -11114.954480999999 0.0 0.0 -8010.654219999999 -1420.5898600324033 -0.0
298.15 V TI 0.27 0.73 -8308.331 2850.549 37.427066 -11158.879727900001 0.0 0.0 -7964.531189999999 -1445.8801024662048 -0.0
298.15 V TI 0.28 0.72 -8252.912 2948.635 37.570172 -11201.5467818 0.0 0.0 -7918.408159999999 -1469.9124032129614 -0.0
298.15 V TI 0.29 0.71 -8197.033 3045.951 37.709154 -11242.984265099998 0.0 0.0 -7872.285129999999 -1492.7148576699553 -0.0
298.15 V TI 0.3 0.7 -8140.744 3142.473 37.844097 -11283.217520549999 0.0 0.0 -7826.1621 -1514.313164037668 -0.0
298.15 V TI 0.31 0.69 -8084.094 3238.177 37.975081 -11322.27040015 0.0 0.0 -7780.039069999999 -1534.730844232385 -0.0
298.15 V TI 0.32 0.68 -8027.127 3333.037 38.102176 -11360.1637744 0.0 0.0 -7733.916039999999 -1553.9894352015579 -0.0
298.15 V TI 0.33 0.67 -7969.888 3427.031 38.225451 -11396.91821565 0.0 0.0 -7687.7930099999985 -1572.1086551954763 -0.0
298.15 V TI 0.34 0.66 -7912.419 3520.132 38.344964 -11432.551016599999 0.0 0.0 -7641.669979999999 -1589.1065487133012 -0.0
298.15 V TI 0.35 0.65 -7854.76 3612.319 38.460772 -11467.079171799998 0.0 0.0 -7595.54695 -1604.9996131775667 -0.0
298.15 V TI 0.36 0.64 -7796.953 3703.565 38.572924 -11500.517290599999 0.0 0.0 -7549.423919999999 -1619.8029098595373 -0.0
298.15 V TI 0.37 0.63 -7739.033 3793.846 38.681468 -11532.8796842 0.0 0.0 -7503.3008899999995 -1633.5301611487748 -0.0
298.15 V TI 0.38 0.62 -7681.039 3883.14 38.786444 -11564.1782786 0.0 0.0 -7457.17786 -1646.193835911596 -0.0
298.15 V TI 0.39 0.61 -7623.005 3971.42 38.887891 -11594.42470165 0.0 0.0 -7411.054829999999 -1657.8052243977716 -0.0
298.15 V TI 0.4 0.6 -7564.966 4058.662 38.985842 -11623.628792299998 0.0 0.0 -7364.931799999999 -1668.3745039196444 -0.0
298.15 V TI 0.41 0.59 -7506.957 4144.844 39.080329 -11651.800091349998 0.0 0.0 -7318.808770000001 -1677.9107963326926 -0.0
298.15 V TI 0.42 0.58 -7449.008 4229.939 39.171379 -11678.94664885 0.0 0.0 -7272.685740000001 -1686.4222181834425 -0.0
298.15 V TI 0.43 0.57 -7391.151 4313.924 39.259015 -11705.075322249999 0.0 0.0 -7226.56271 -1693.9159242532326 -0.0
298.15 V TI 0.44 0.56 -7333.418 4396.775 39.343258 -11730.1923727 0.0 0.0 -7180.4396799999995 -1700.3981451097393 -0.0
298.15 V TI 0.45 0.55 -7275.837 4478.467 39.424127 -11754.30346505 0.0 0.0 -7134.31665 -1705.8742191782392 -0.0
298.15 V TI 0.46 0.54 -7218.438 4558.975 39.501636 -11777.412773399998 0.0 0.0 -7088.19362 -1710.3486197582595 -0.0
298.15 V TI 0.47 0.53 -7161.248 4638.277 39.575798 -11799.5241737 0.0 0.0 -7042.07059 -1713.8249773357109 -0.0
298.15 V TI 0.48 0.52 -7104.294 4716.346 39.646622 -11820.6403493 0.0 0.0 -6995.9475600000005 -1716.3060974737868 -0.0
298.15 V TI 0.49 0.51 -7047.603 4793.16 39.714114 -11840.763089099999 0.0 0.0 -6949.82453 -1717.7939745058845 -0.0
298.15 V TI 0.5 0.5 -6991.201 4868.693 39.778279 -11859.893883849998 0.0 0.0 -6903.701499999999 -1718.289801199083 -0.0
298.15 V TI 0.51 0.49 -6935.112 4942.921 39.839118 -11878.033031699999 0.0 0.0 -6857.5784699999995 -1717.7939745058845 -0.0
298.15 V TI 0.52 0.48 -6879.359 5015.821 39.89663 -11895.1802345 0.0 0.0 -6811.45544 -1716.3060974737868 -0.0
