T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 V ZR 0.0 1.0 -6719.723 7311.125 47.059694 -14030.8477661 0.0 0.0 -6719.723 0.0 -0.0
298.15 V ZR 1.0 0.0 -9209.853 0.0002657763 30.89 -9209.8535 0.0 0.0 -9209.853 0.0 -0.0
298.15 V ZR 0.01 0.99 -6700.409 7416.889 47.349651 -14117.29844565 0.0 0.0 -6744.6243 -138.82602141683572 -0.0
298.15 V ZR 0.02 0.98 -6647.375 7520.985 47.520911 -14168.359614649999 0.0 0.0 -6769.5256 -243.03584172567548 -0.0
298.15 V ZR 0.03 0.97 -6582.22 7623.229 47.645312 -14205.449772799999 0.0 0.0 -6794.4268999999995 -334.02154674813943 -0.0
298.15 V ZR 0.04 0.96 -6509.696 7723.445 47.738186 -14233.140155899999 0.0 0.0 -6819.3282 -416.3281974105132 -0.0
298.15 V ZR 0.05 0.95 -6432.157 7821.457 47.806856 -14253.6141164 0.0 0.0 -6844.2294999999995 -492.11297050679866 -0.0
298.15 V ZR 0.06 0.94 -6351.067 7917.1 47.855667 -14268.167116049997 0.0 0.0 -6869.130799999999 -562.6452650375949 -0.0
298.15 V ZR 0.07 0.93 -6267.454 8010.209 47.887519 -14277.663789849998 0.0 0.0 -6894.032099999999 -628.7628773593874 -0.0
298.15 V ZR 0.08 0.92 -6182.096 8100.628 47.904492 -14282.724289799999 0.0 0.0 -6918.9334 -691.0604007790716 -0.0
298.15 V ZR 0.09 0.91 -6095.615 8188.204 47.908164 -14283.819096599998 0.0 0.0 -6943.8347 -749.9816351924776 -0.0
298.15 V ZR 0.1 0.9 -6008.529 8272.789 47.899775 -14281.317916249998 0.0 0.0 -6968.736000000001 -805.870345271772 -0.0
298.15 V ZR 0.11 0.89 -5921.28 8354.241 47.880334 -14275.521582099998 0.0 0.0 -6993.637299999999 -859.000492370776 -0.0
298.15 V ZR 0.12 0.88 -5834.255 8432.423 47.850675 -14266.67875125 0.0 0.0 -7018.5386 -909.5953759771999 -0.0
298.15 V ZR 0.13 0.87 -5747.799 8507.203 47.81151 -14255.0017065 0.0 0.0 -7043.4399 -957.840348132521 -0.0
298.15 V ZR 0.14 0.86 -5662.219 8578.453 47.76345 -14240.672617499999 0.0 0.0 -7068.3412 -1003.8915915105914 -0.0
298.15 V ZR 0.15 0.85 -5577.799 8646.052 47.70703 -14223.8509945 0.0 0.0 -7093.242499999999 -1047.882375954332 -0.0
298.15 V ZR 0.16 0.84 -5494.796 8709.882 47.642724 -14204.678160599999 0.0 0.0 -7118.1438 -1089.9276385420173 -0.0
298.15 V ZR 0.17 0.83 -5413.448 8769.833 47.570955 -14183.280233249998 0.0 0.0 -7143.045099999999 -1130.1274135160918 -0.0
