T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 AG ZN 0.0 1.0 -10273.5 2886.96 44.1404 -13160.460259999998 0.0 0.0 -10273.5 0.0 -0.0
298.15 AG ZN 1.0 0.0 -9599.722 3400.001 43.601282 -12999.7222283 0.0 0.0 -9599.722 0.0 -0.0
298.15 AG ZN 0.01 0.99 -10683.58 2607.284 44.577765 -13290.860634749999 0.0 0.0 -10266.762219999999 -138.82602141683572 -0.0
298.15 AG ZN 0.02 0.98 -11054.17 2332.608 44.899489 -13386.78264535 0.0 0.0 -10260.024440000001 -243.03584172567548 -0.0
298.15 AG ZN 0.03 0.97 -11406.66 2062.956 45.177321 -13469.618256149999 0.0 0.0 -10253.28666 -334.02154674813943 -0.0
298.15 AG ZN 0.04 0.96 -11745.56 1798.352 45.426505 -13543.912465749998 0.0 0.0 -10246.54888 -416.3281974105132 -0.0
298.15 AG ZN 0.05 0.95 -12073.01 1538.817 45.654276 -13611.8223894 0.0 0.0 -10239.811099999999 -492.11297050679866 -0.0
298.15 AG ZN 0.06 0.94 -12390.24 1284.376 45.864893 -13674.61784795 0.0 0.0 -10233.07332 -562.6452650375949 -0.0
298.15 AG ZN 0.07 0.93 -12698.08 1035.051 46.061165 -13733.136344749999 0.0 0.0 -10226.33554 -628.7628773593874 -0.0
298.15 AG ZN 0.08 0.92 -12997.11 790.8657 46.245086 -13787.972390899999 0.0 0.0 -10219.59776 -691.0604007790716 -0.0
298.15 AG ZN 0.09 0.91 -13287.73 551.8424 46.418144 -13839.569633599998 0.0 0.0 -10212.859980000001 -749.9816351924776 -0.0
298.15 AG ZN 0.1 0.9 -13570.27 318.0044 46.581494 -13888.272436099998 0.0 0.0 -10206.1222 -805.870345271772 -0.0
298.15 AG ZN 0.11 0.89 -13844.98 89.37488 46.736054 -13934.3545001 0.0 0.0 -10199.38442 -859.000492370776 -0.0
298.15 AG ZN 0.12 0.88 -14112.06 -134.0232 46.882572 -13978.0388418 0.0 0.0 -10192.64664 -909.5953759771999 -0.0
298.15 AG ZN 0.13 0.87 -14371.68 -352.1669 47.02167 -14019.5109105 0.0 0.0 -10185.90886 -957.840348132521 -0.0
298.15 AG ZN 0.14 0.86 -14623.96 -565.033 47.153873 -14058.927234949999 0.0 0.0 -10179.17108 -1003.8915915105914 -0.0
298.15 AG ZN 0.15 0.85 -14869.02 -772.5985 47.279627 -14096.420790049999 0.0 0.0 -10172.4333 -1047.882375954332 -0.0
298.15 AG ZN 0.16 0.84 -15106.95 -974.8405 47.399317 -14132.10636355 0.0 0.0 -10165.69552 -1089.9276385420173 -0.0
298.15 AG ZN 0.17 0.83 -15337.82 -1171.736 47.51328 -14166.084432 0.0 0.0 -10158.95774 -1130.1274135160918 -0.0
298.15 AG ZN 0.18 0.82 -15561.7 -1363.261 47.621809 -14198.44235335 0.0 0.0 -10152.21996 -1168.5694517045056 -0.0
298.15 AG ZN 0.19 0.81 -15778.65 -1549.394 47.725165 -14229.257944749997 0.0 0.0 -10145.482179999999 -1205.3312553507326 -0.0
298.15 AG ZN 0.2 0.8 -15988.71 -1730.112 47.823578 -14258.599780699999 0.0 0.0 -10138.744400000001 -1240.4816826440385 -0.0
298.15 AG ZN 0.21 0.79 -16191.92 -1905.39 47.917254 -14286.5292801 0.0 0.0 -10132.00662 -1274.08222978906 -0.0
298.15 AG ZN 0.22 0.78 -16388.31 -2075.206 48.00638 -14313.102196999998 0.0 0.0 -10125.26884 -1306.188067542519 -0.0
298.15 AG ZN 0.23 0.77 -16577.91 -2239.538 48.091121 -14338.36772615 0.0 0.0 -10118.531060000001 -1336.8488881016199 -0.0
298.15 AG ZN 0.24 0.76 -16760.73 -2398.362 48.171628 -14362.3708882 0.0 0.0 -10111.79328 -1366.1096036088943 -0.0
298.15 AG ZN 0.25 0.75 -16936.81 -2551.655 48.248037 -14385.152231549999 0.0 0.0 -10105.0555 -1394.0109271940482 -0.0
298.15 AG ZN 0.26 0.74 -17106.14 -2699.393 48.320473 -14406.749024949999 0.0 0.0 -10098.317720000001 -1420.5898600324033 -0.0
298.15 AG ZN 0.27 0.73 -17268.75 -2841.555 48.389049 -14427.19495935 0.0 0.0 -10091.57994 -1445.8801024662048 -0.0
298.15 AG ZN 0.28 0.72 -17424.64 -2978.117 48.453868 -14446.5207442 0.0 0.0 -10084.84216 -1469.9124032129614 -0.0
298.15 AG ZN 0.29 0.71 -17573.81 -3109.055 48.515023 -14464.754107449999 0.0 0.0 -10078.104379999999 -1492.7148576699553 -0.0
298.15 AG ZN 0.3 0.7 -17716.27 -3234.347 48.572602 -14481.9212863 0.0 0.0 -10071.3666 -1514.313164037668 -0.0
298.15 AG ZN 0.31 0.69 -17852.02 -3353.971 48.626683 -14498.04553645 0.0 0.0 -10064.628819999998 -1534.730844232385 -0.0
298.15 AG ZN 0.32 0.68 -17981.05 -3467.902 48.677339 -14513.14862285 0.0 0.0 -10057.891039999999 -1553.9894352015579 -0.0
298.15 AG ZN 0.33 0.67 -18103.37 -3576.117 48.724635 -14527.249925249998 0.0 0.0 -10051.15326 -1572.1086551954763 -0.0
