T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 AL CU 0.0 1.0 -6240.85 4017.002 34.405002 -10257.8513463 0.0 0.0 -6240.85 0.0 -0.0
298.15 AL CU 1.0 0.0 210.7581 10083.4 33.112997 -9872.640055549999 0.0 0.0 210.7581 0.0 -0.0
298.15 AL CU 0.01 0.99 -7496.942 2849.828 34.703236 -10346.769813399998 0.0 0.0 -6176.333919 -138.82602141683572 -0.0
298.15 AL CU 0.02 0.98 -8675.739 1727.647 34.893128 -10403.386113199998 0.0 0.0 -6111.817838 -243.03584172567548 -0.0
298.15 AL CU 0.03 0.97 -9799.209 649.8412 35.046286 -10449.0501709 0.0 0.0 -6047.301757 -334.02154674813943 -0.0
298.15 AL CU 0.04 0.96 -10872.47 -384.2081 35.177812 -10488.2646478 0.0 0.0 -5982.785676 -416.3281974105132 -0.0
298.15 AL CU 0.05 0.95 -11898.26 -1375.118 35.294799 -10523.144321849999 0.0 0.0 -5918.269595 -492.11297050679866 -0.0
298.15 AL CU 0.06 0.94 -12878.42 -2323.508 35.401363 -10554.91637845 0.0 0.0 -5853.753514 -562.6452650375949 -0.0
298.15 AL CU 0.07 0.93 -13814.37 -3229.995 35.500171 -10584.37598365 0.0 0.0 -5789.237433 -628.7628773593874 -0.0
298.15 AL CU 0.08 0.92 -14707.27 -4095.197 35.593076 -10612.0756094 0.0 0.0 -5724.7213520000005 -691.0604007790716 -0.0
298.15 AL CU 0.09 0.91 -15558.15 -4919.732 35.681425 -10638.416863749999 0.0 0.0 -5660.205271000001 -749.9816351924776 -0.0
298.15 AL CU 0.1 0.9 -16367.92 -5704.219 35.766227 -10663.70058005 0.0 0.0 -5595.68919 -805.870345271772 -0.0
298.15 AL CU 0.11 0.89 -17137.43 -6449.274 35.848261 -10688.15901715 0.0 0.0 -5531.173109000001 -859.000492370776 -0.0
298.15 AL CU 0.12 0.88 -17867.49 -7155.517 35.928132 -10711.9725558 0.0 0.0 -5466.6570280000005 -909.5953759771999 -0.0
298.15 AL CU 0.13 0.87 -18558.85 -7823.565 36.006321 -10735.284606149999 0.0 0.0 -5402.140947 -957.840348132521 -0.0
298.15 AL CU 0.14 0.86 -19212.25 -8454.036 36.083209 -10758.208763349998 0.0 0.0 -5337.624866 -1003.8915915105914 -0.0
298.15 AL CU 0.15 0.85 -19828.38 -9047.549 36.1591 -10780.835665 0.0 0.0 -5273.108784999999 -1047.882375954332 -0.0
298.15 AL CU 0.16 0.84 -20407.96 -9604.72 36.23424 -10803.238656 0.0 0.0 -5208.592704000001 -1089.9276385420173 -0.0
298.15 AL CU 0.17 0.83 -20951.64 -10126.17 36.30882 -10825.474682999999 0.0 0.0 -5144.076623 -1130.1274135160918 -0.0
298.15 AL CU 0.18 0.82 -21460.1 -10612.51 36.382993 -10847.589362949999 0.0 0.0 -5079.560542 -1168.5694517045056 -0.0
298.15 AL CU 0.19 0.81 -21933.99 -11064.37 36.456878 -10869.6181757 0.0 0.0 -5015.044461 -1205.3312553507326 -0.0
298.15 AL CU 0.2 0.8 -22373.95 -11482.36 36.530562 -10891.5870603 0.0 0.0 -4950.528380000001 -1240.4816826440385 -0.0
298.15 AL CU 0.21 0.79 -22780.61 -11867.1 36.604111 -10913.51569465 0.0 0.0 -4886.012299000001 -1274.08222978906 -0.0
298.15 AL CU 0.22 0.78 -23154.62 -12219.2 36.677566 -10935.4163029 0.0 0.0 -4821.496218 -1306.188067542519 -0.0
298.15 AL CU 0.23 0.77 -23496.59 -12539.29 36.750953 -10957.296636949999 0.0 0.0 -4756.9801370000005 -1336.8488881016199 -0.0
298.15 AL CU 0.24 0.76 -23807.14 -12827.98 36.82428 -10979.159082 0.0 0.0 -4692.464056000001 -1366.1096036088943 -0.0
298.15 AL CU 0.25 0.75 -24086.9 -13085.9 36.897542 -11001.0021473 0.0 0.0 -4627.947975000001 -1394.0109271940482 -0.0
298.15 AL CU 0.26 0.74 -24336.47 -13313.65 36.970721 -11022.820466149999 0.0 0.0 -4563.431894 -1420.5898600324033 -0.0
298.15 AL CU 0.27 0.73 -24556.47 -13511.86 37.043787 -11044.605094049999 0.0 0.0 -4498.915813 -1445.8801024662048 -0.0
298.15 AL CU 0.28 0.72 -24747.49 -13681.15 37.116702 -11066.344701299999 0.0 0.0 -4434.399732 -1469.9124032129614 -0.0
298.15 AL CU 0.29 0.71 -24910.15 -13822.13 37.189417 -11088.024678549998 0.0 0.0 -4369.883651 -1492.7148576699553 -0.0
298.15 AL CU 0.3 0.7 -25045.05 -13935.42 37.261878 -11109.6289257 0.0 0.0 -4305.36757 -1514.313164037668 -0.0
298.15 AL CU 0.31 0.69 -25152.78 -14021.64 37.33402 -11131.138063 0.0 0.0 -4240.851489 -1534.730844232385 -0.0
298.15 AL CU 0.32 0.68 -25233.94 -14081.41 37.405775 -11152.531816249999 0.0 0.0 -4176.335408 -1553.9894352015579 -0.0
298.15 AL CU 0.33 0.67 -25289.12 -14115.34 37.477065 -11173.78692975 0.0 0.0 -4111.819327 -1572.1086551954763 -0.0
298.15 AL CU 0.34 0.66 -25318.93 -14124.05 37.54781 -11194.879551499998 0.0 0.0 -4047.3032459999995 -1589.1065487133012 -0.0
298.15 AL CU 0.35 0.65 -25323.95 -14108.17 37.617922 -11215.7834443 0.0 0.0 -3982.787165 -1604.9996131775667 -0.0
298.15 AL CU 0.36 0.64 -25304.78 -14068.31 37.68731 -11236.471476499999 0.0 0.0 -3918.2710840000004 -1619.8029098595373 -0.0
298.15 AL CU 0.37 0.63 -25261.99 -14005.08 37.755879 -11256.915323849998 0.0 0.0 -3853.755003 -1633.5301611487748 -0.0
298.15 AL CU 0.38 0.62 -25196.19 -13919.11 37.823527 -11277.08457505 0.0 0.0 -3789.238922 -1646.193835911596 -0.0
298.15 AL CU 0.39 0.61 -25107.96 -13811.01 37.890151 -11296.94852065 0.0 0.0 -3724.7228410000002 -1657.8052243977716 -0.0
298.15 AL CU 0.4 0.6 -24997.87 -13681.4 37.955642 -11316.4746623 0.0 0.0 -3660.20676 -1668.3745039196444 -0.0
298.15 AL CU 0.41 0.59 -24866.53 -13530.9 38.01989 -11335.630203499999 0.0 0.0 -3595.6906790000007 -1677.9107963326926 -0.0
298.15 AL CU 0.42 0.58 -24714.51 -13360.13 38.082779 -11354.38055885 0.0 0.0 -3531.1745980000005 -1686.4222181834425 -0.0
298.15 AL CU 0.43 0.57 -24542.39 -13169.7 38.144191 -11372.69054665 0.0 0.0 -3466.6585170000008 -1693.9159242532326 -0.0
298.15 AL CU 0.44 0.56 -24350.77 -12960.24 38.204005 -11390.52409075 0.0 0.0 -3402.1424360000005 -1700.3981451097393 -0.0
298.15 AL CU 0.45 0.55 -24140.2 -12732.36 38.262097 -11407.844220549998 0.0 0.0 -3337.626355000001 -1705.8742191782392 -0.0
298.15 AL CU 0.46 0.54 -23911.29 -12486.68 38.31834 -11424.613071 0.0 0.0 -3273.110274 -1710.3486197582595 -0.0
298.15 AL CU 0.47 0.53 -23664.6 -12223.81 38.372603 -11440.791584449998 0.0 0.0 -3208.5941930000004 -1713.8249773357109 -0.0
298.15 AL CU 0.48 0.52 -23400.72 -11944.38 38.424755 -11456.340703249998 0.0 0.0 -3144.078112 -1716.3060974737868 -0.0
298.15 AL CU 0.49 0.51 -23120.23 -11649.01 38.474659 -11471.21958085 0.0 0.0 -3079.5620310000004 -1717.7939745058845 -0.0
298.15 AL CU 0.5 0.5 -22823.69 -11338.3 38.522179 -11485.38766885 0.0 0.0 -3015.04595 -1718.289801199083 -0.0
298.15 AL CU 0.51 0.49 -22511.69 -11012.88 38.567172 -11498.8023318 0.0 0.0 -2950.529869 -1717.7939745058845 -0.0
298.15 AL CU 0.52 0.48 -22184.8 -10673.37 38.609496 -11511.4212324 0.0 0.0 -2886.013788 -1716.3060974737868 -0.0
298.15 AL CU 0.53 0.47 -21843.59 -10320.39 38.649004 -11523.200542599998 0.0 0.0 -2821.497707 -1713.8249773357109 -0.0
298.15 AL CU 0.54 0.46 -21488.65 -9954.55 38.685548 -11534.096136199998 0.0 0.0 -2756.9816260000002 -1710.3486197582595 -0.0
298.15 AL CU 0.55 0.45 -21120.53 -9576.47 38.718976 -11544.062694399998 0.0 0.0 -2692.4655449999996 -1705.8742191782392 -0.0
298.15 AL CU 0.56 0.44 -20739.82 -9186.77 38.749134 -11553.0543021 0.0 0.0 -2627.949464 -1700.3981451097393 -0.0
298.15 AL CU 0.57 0.43 -20347.09 -8786.067 38.775866 -11561.0244479 0.0 0.0 -2563.4333830000005 -1693.9159242532328 -0.0
298.15 AL CU 0.58 0.42 -19942.9 -8374.979 38.79901 -11567.9248315 0.0 0.0 -2498.9173020000007 -1686.4222181834425 -0.0
298.15 AL CU 0.59 0.41 -19527.83 -7954.124 38.818403 -11573.70685445 0.0 0.0 -2434.401221 -1677.910796332693 -0.0
298.15 AL CU 0.6 0.4 -19102.44 -7524.12 38.833881 -11578.321620149998 0.0 0.0 -2369.8851400000003 -1668.3745039196444 -0.0
298.15 AL CU 0.61 0.39 -18667.3 -7085.586 38.845273 -11581.718144949999 0.0 0.0 -2305.369059 -1657.8052243977716 -0.0
298.15 AL CU 0.62 0.38 -18222.98 -6639.139 38.852408 -11583.845445199999 0.0 0.0 -2240.852978 -1646.193835911596 -0.0
298.15 AL CU 0.63 0.37 -17770.05 -6185.397 38.855107 -11584.650152049999 0.0 0.0 -2176.336897 -1633.5301611487748 -0.0
298.15 AL CU 0.64 0.36 -17309.06 -5724.978 38.853193 -11584.079492949999 0.0 0.0 -2111.820816 -1619.8029098595373 -0.0
298.15 AL CU 0.65 0.35 -16840.58 -5258.501 38.84648 -11582.078011999998 0.0 0.0 -2047.3047350000002 -1604.9996131775667 -0.0
298.15 AL CU 0.66 0.34 -16365.17 -4786.582 38.834781 -11578.589955149999 0.0 0.0 -1982.7886540000002 -1589.106548713301 -0.0
298.15 AL CU 0.67 0.33 -15883.4 -4309.841 38.817903 -11573.557779449999 0.0 0.0 -1918.2725729999997 -1572.1086551954763 -0.0
298.15 AL CU 0.68 0.32 -15395.82 -3828.895 38.795649 -11566.922749349998 0.0 0.0 -1853.756492 -1553.9894352015576 -0.0
298.15 AL CU 0.69 0.31 -14902.99 -3344.362 38.767816 -11558.6243404 0.0 0.0 -1789.2404110000002 -1534.730844232385 -0.0
298.15 AL CU 0.7 0.3 -14405.46 -2856.861 38.734196 -11548.600537399998 0.0 0.0 -1724.7243300000005 -1514.313164037668 -0.0
298.15 AL CU 0.71 0.29 -13903.8 -2367.008 38.694574 -11536.7872381 0.0 0.0 -1660.2082490000003 -1492.7148576699553 -0.0
298.15 AL CU 0.72 0.28 -13398.54 -1875.423 38.64873 -11523.118849499999 0.0 0.0 -1595.6921680000003 -1469.9124032129614 -0.0
298.15 AL CU 0.73 0.27 -12890.25 -1382.723 38.596435 -11507.52709525 0.0 0.0 -1531.176087 -1445.8801024662048 -0.0
298.15 AL CU 0.74 0.26 -12379.47 -889.5266 38.537453 -11489.941611949998 0.0 0.0 -1466.660006 -1420.5898600324033 -0.0
298.15 AL CU 0.75 0.25 -11866.74 -396.451 38.471539 -11470.289352849999 0.0 0.0 -1402.143925 -1394.0109271940482 -0.0
