T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 AL TH 0.0 1.0 -10407.34 6700.8 57.381 -17108.14515 0.0 0.0 -10407.34 0.0 -0.0
298.15 AL TH 1.0 0.0 210.3581 10083.0 33.112997 -9872.640055549999 0.0 0.0 210.3581 0.0 -0.0
298.15 AL TH 0.01 0.99 -10824.51 6350.108 57.603945 -17174.61620175 0.0 0.0 -10301.163019000001 -138.82602141683572 -0.0
298.15 AL TH 0.02 0.98 -11204.28 6002.189 57.710787 -17206.47114405 0.0 0.0 -10194.986038 -243.03584172567548 -0.0
298.15 AL TH 0.03 0.97 -11567.44 5657.663 57.773275 -17225.10194125 0.0 0.0 -10088.809057 -334.02154674813943 -0.0
298.15 AL TH 0.04 0.96 -11917.93 5317.127 57.806653 -17235.053591949996 0.0 0.0 -9982.632076 -416.3281974105132 -0.0
298.15 AL TH 0.05 0.95 -12257.32 4981.163 57.818157 -17238.48350955 0.0 0.0 -9876.455095 -492.11297050679866 -0.0
298.15 AL TH 0.06 0.94 -12586.33 4650.331 57.812044 -17236.6609186 0.0 0.0 -9770.278113999999 -562.6452650375949 -0.0
298.15 AL TH 0.07 0.93 -12905.25 4325.173 57.791123 -17230.42332245 0.0 0.0 -9664.101133 -628.7628773593874 -0.0
298.15 AL TH 0.08 0.92 -13214.15 4006.212 57.757391 -17220.36612665 0.0 0.0 -9557.924152 -691.0604007790716 -0.0
298.15 AL TH 0.09 0.91 -13512.98 3693.95 57.712333 -17206.93208395 0.0 0.0 -9451.747171 -749.9816351924776 -0.0
298.15 AL TH 0.1 0.9 -13801.59 3388.872 57.657105 -17190.46585575 0.0 0.0 -9345.57019 -805.870345271772 -0.0
298.15 AL TH 0.11 0.89 -14079.8 3091.443 57.592625 -17171.241143749998 0.0 0.0 -9239.393209 -859.000492370776 -0.0
298.15 AL TH 0.12 0.88 -14347.37 2802.108 57.519641 -17149.48096415 0.0 0.0 -9133.216228 -909.5953759771999 -0.0
298.15 AL TH 0.13 0.87 -14604.08 2521.294 57.438776 -17125.3710644 0.0 0.0 -9027.039247 -957.840348132521 -0.0
298.15 AL TH 0.14 0.86 -14849.66 2249.409 57.350553 -17099.06737695 0.0 0.0 -8920.862266 -1003.8915915105914 -0.0
298.15 AL TH 0.15 0.85 -15083.86 1986.839 57.255418 -17070.702876699997 0.0 0.0 -8814.685285 -1047.882375954332 -0.0
298.15 AL TH 0.16 0.84 -15306.44 1733.955 57.153759 -17040.39324585 0.0 0.0 -8708.508304 -1089.9276385420173 -0.0
298.15 AL TH 0.17 0.83 -15517.13 1491.106 57.04591 -17008.2380665 0.0 0.0 -8602.331322999999 -1130.1274135160918 -0.0
298.15 AL TH 0.18 0.82 -15715.7 1258.622 56.932165 -16974.324994749997 0.0 0.0 -8496.154342000002 -1168.5694517045056 -0.0
298.15 AL TH 0.19 0.81 -15901.92 1036.814 56.812785 -16938.731847749998 0.0 0.0 -8389.977361000001 -1205.3312553507326 -0.0
298.15 AL TH 0.2 0.8 -16075.55 825.9758 56.688 -16901.5272 0.0 0.0 -8283.80038 -1240.4816826440385 -0.0
298.15 AL TH 0.21 0.79 -16236.39 626.3789 56.558017 -16862.77276855 0.0 0.0 -8177.623399 -1274.08222978906 -0.0
298.15 AL TH 0.22 0.78 -16384.25 438.2773 56.423021 -16822.52371115 0.0 0.0 -8071.446418 -1306.188067542519 -0.0
298.15 AL TH 0.23 0.77 -16518.92 261.9055 56.283178 -16780.829520699997 0.0 0.0 -7965.269437000001 -1336.8488881016199 -0.0
298.15 AL TH 0.24 0.76 -16640.26 97.47889 56.138639 -16737.735217849997 0.0 0.0 -7859.092456 -1366.1096036088943 -0.0
298.15 AL TH 0.25 0.75 -16748.09 -54.80655 55.98954 -16693.281350999998 0.0 0.0 -7752.915475 -1394.0109271940482 -0.0
298.15 AL TH 0.26 0.74 -16842.28 -194.7739 55.836007 -16647.50548705 0.0 0.0 -7646.738494 -1420.5898600324033 -0.0
298.15 AL TH 0.27 0.73 -16922.71 -322.2654 55.678151 -16600.44072065 0.0 0.0 -7540.561513 -1445.8801024662048 -0.0
298.15 AL TH 0.28 0.72 -16989.26 -437.1427 55.516075 -16552.11776125 0.0 0.0 -7434.384531999999 -1469.9124032129614 -0.0
298.15 AL TH 0.29 0.71 -17041.85 -539.2864 55.349875 -16502.56523125 0.0 0.0 -7328.207551 -1492.7148576699553 -0.0
298.15 AL TH 0.3 0.7 -17080.4 -628.5964 55.179636 -16451.8084734 0.0 0.0 -7222.03057 -1514.313164037668 -0.0
298.15 AL TH 0.31 0.69 -17104.86 -704.9919 55.005438 -16399.8713397 0.0 0.0 -7115.853588999999 -1534.730844232385 -0.0
298.15 AL TH 0.32 0.68 -17115.19 -768.4111 54.827351 -16346.77470065 0.0 0.0 -7009.676608 -1553.9894352015579 -0.0
298.15 AL TH 0.33 0.67 -17111.35 -818.8115 54.645444 -16292.539128599998 0.0 0.0 -6903.499626999999 -1572.1086551954763 -0.0
298.15 AL TH 0.34 0.66 -17093.35 -856.17 54.459775 -16237.18191625 0.0 0.0 -6797.322645999999 -1589.1065487133012 -0.0
298.15 AL TH 0.35 0.65 -17061.2 -880.4823 54.2704 -16180.71976 0.0 0.0 -6691.145665000001 -1604.9996131775667 -0.0
298.15 AL TH 0.36 0.64 -17014.93 -891.7635 54.077371 -16123.168163649998 0.0 0.0 -6584.968684 -1619.8029098595373 -0.0
298.15 AL TH 0.37 0.63 -16954.59 -890.0481 53.880732 -16064.540245799999 0.0 0.0 -6478.791703 -1633.5301611487748 -0.0
298.15 AL TH 0.38 0.62 -16880.24 -875.3895 53.680527 -16004.849125049997 0.0 0.0 -6372.614722 -1646.193835911596 -0.0
298.15 AL TH 0.39 0.61 -16791.97 -847.8603 53.476791 -15944.105236649999 0.0 0.0 -6266.437741 -1657.8052243977716 -0.0
298.15 AL TH 0.4 0.6 -16689.87 -807.5526 53.269561 -15882.31961215 0.0 0.0 -6160.260759999999 -1668.3745039196444 -0.0
298.15 AL TH 0.41 0.59 -16574.08 -754.5774 53.058866 -15819.5008979 0.0 0.0 -6054.083779000001 -1677.9107963326926 -0.0
298.15 AL TH 0.42 0.58 -16444.72 -689.0651 52.844733 -15755.657143949998 0.0 0.0 -5947.906798000001 -1686.4222181834425 -0.0
298.15 AL TH 0.43 0.57 -16301.96 -611.165 52.627187 -15690.795804049998 0.0 0.0 -5841.729817 -1693.9159242532326 -0.0
298.15 AL TH 0.44 0.56 -16145.97 -521.046 52.406249 -15624.92313935 0.0 0.0 -5735.552836000001 -1700.3981451097393 -0.0
298.15 AL TH 0.45 0.55 -15976.94 -418.896 52.181936 -15558.044218399998 0.0 0.0 -5629.375855 -1705.8742191782392 -0.0
298.15 AL TH 0.46 0.54 -15795.09 -304.922 51.954263 -15490.163513449997 0.0 0.0 -5523.198874 -1710.3486197582595 -0.0
298.15 AL TH 0.47 0.53 -15600.64 -179.3504 51.723243 -15421.284900449999 0.0 0.0 -5417.021893000001 -1713.8249773357109 -0.0
298.15 AL TH 0.48 0.52 -15393.84 -42.42666 51.488884 -15351.4107646 0.0 0.0 -5310.8449120000005 -1716.3060974737868 -0.0
298.15 AL TH 0.49 0.51 -15174.96 105.5845 51.251195 -15280.54378925 0.0 0.0 -5204.667931 -1717.7939745058845 -0.0
298.15 AL TH 0.5 0.5 -14944.29 264.3992 51.010178 -15208.6845707 0.0 0.0 -5098.49095 -1718.289801199083 -0.0
298.15 AL TH 0.51 0.49 -14702.12 433.7142 50.765834 -15135.833407099999 0.0 0.0 -4992.313969 -1717.7939745058845 -0.0
298.15 AL TH 0.52 0.48 -14448.78 613.2074 50.518164 -15061.990596599999 0.0 0.0 -4886.136987999999 -1716.3060974737868 -0.0
298.15 AL TH 0.53 0.47 -14184.62 802.5371 50.267162 -14987.1543503 0.0 0.0 -4779.960007 -1713.8249773357109 -0.0
298.15 AL TH 0.54 0.46 -13909.98 1001.343 50.012823 -14911.323177449998 0.0 0.0 -4673.783026 -1710.3486197582595 -0.0
298.15 AL TH 0.55 0.45 -13625.25 1209.244 49.755135 -14834.49350025 0.0 0.0 -4567.6060449999995 -1705.8742191782392 -0.0
298.15 AL TH 0.56 0.44 -13330.82 1425.843 49.494088 -14756.662337199998 0.0 0.0 -4461.429064 -1700.3981451097393 -0.0
298.15 AL TH 0.57 0.43 -13027.11 1650.72 49.229667 -14677.825216049998 0.0 0.0 -4355.252083 -1693.9159242532328 -0.0
298.15 AL TH 0.58 0.42 -12714.54 1883.438 48.961853 -14597.976471949998 0.0 0.0 -4249.075102 -1686.4222181834425 -0.0
298.15 AL TH 0.59 0.41 -12393.57 2123.54 48.690625 -14517.109843749999 0.0 0.0 -4142.898121000001 -1677.910796332693 -0.0
298.15 AL TH 0.6 0.4 -12064.67 2370.551 48.41596 -14435.218473999998 0.0 0.0 -4036.7211400000006 -1668.3745039196444 -0.0
298.15 AL TH 0.61 0.39 -11728.32 2623.975 48.137831 -14352.294312649998 0.0 0.0 -3930.5441590000005 -1657.8052243977716 -0.0
298.15 AL TH 0.62 0.38 -11385.03 2883.298 47.856206 -14268.3278189 0.0 0.0 -3824.367178 -1646.193835911596 -0.0
298.15 AL TH 0.63 0.37 -11035.32 3147.987 47.571052 -14183.309153799999 0.0 0.0 -3718.190197 -1633.5301611487748 -0.0
