T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 AL TI 0.0 1.0 -4576.083 6475.8 37.0682 -11051.883829999999 0.0 0.0 -4576.083 0.0 -0.0
298.15 AL TI 1.0 0.0 203.9491 10083.0 33.134493 -9879.04908795 0.0 0.0 203.9491 0.0 -0.0
298.15 AL TI 0.01 0.99 -5680.787 5383.079 37.108388 -11063.865882199998 0.0 0.0 -4528.282678999999 -138.82602141683572 -0.0
298.15 AL TI 0.02 0.98 -6744.166 4299.392 37.040273 -11043.55739495 0.0 0.0 -4480.482357999999 -243.03584172567548 -0.0
298.15 AL TI 0.03 0.97 -7786.697 3225.653 36.935603 -11012.350034449999 0.0 0.0 -4432.682036999999 -334.02154674813943 -0.0
298.15 AL TI 0.04 0.96 -8812.032 2162.758 36.809625 -10974.789693749999 0.0 0.0 -4384.881716 -416.3281974105132 -0.0
298.15 AL TI 0.05 0.95 -9821.452 1111.58 36.669571 -10933.032593649998 0.0 0.0 -4337.081394999999 -492.11297050679866 -0.0
298.15 AL TI 0.06 0.94 -10815.37 72.97488 36.519701 -10888.348853149999 0.0 0.0 -4289.2810739999995 -562.6452650375949 -0.0
298.15 AL TI 0.07 0.93 -11793.8 -952.225 36.362824 -10841.5759756 0.0 0.0 -4241.480752999999 -628.7628773593874 -0.0
298.15 AL TI 0.08 0.92 -12756.51 -1963.206 36.200934 -10793.308472099998 0.0 0.0 -4193.680432 -691.0604007790716 -0.0
298.15 AL TI 0.09 0.91 -13703.17 -2959.175 36.03552 -10743.990287999999 0.0 0.0 -4145.8801109999995 -749.9816351924776 -0.0
298.15 AL TI 0.1 0.9 -14633.32 -3939.36 35.867735 -10693.96519025 0.0 0.0 -4098.07979 -805.870345271772 -0.0
298.15 AL TI 0.11 0.89 -15546.51 -4903.008 35.698497 -10643.50688055 0.0 0.0 -4050.2794689999996 -859.000492370776 -0.0
298.15 AL TI 0.12 0.88 -16442.23 -5849.387 35.528556 -10592.8389714 0.0 0.0 -4002.479148 -909.5953759771999 -0.0
298.15 AL TI 0.13 0.87 -17319.93 -6777.786 35.358534 -10542.1469121 0.0 0.0 -3954.6788269999997 -957.840348132521 -0.0
298.15 AL TI 0.14 0.86 -18179.1 -7687.514 35.188954 -10491.5866351 0.0 0.0 -3906.8785059999996 -1003.8915915105914 -0.0
298.15 AL TI 0.15 0.85 -19019.19 -8577.9 35.020262 -10441.2911153 0.0 0.0 -3859.0781849999994 -1047.882375954332 -0.0
298.15 AL TI 0.16 0.84 -19839.67 -9448.293 34.852846 -10391.376034899999 0.0 0.0 -3811.2778639999997 -1089.9276385420173 -0.0
298.15 AL TI 0.17 0.83 -20640.0 -10298.06 34.68704 -10341.940976 0.0 0.0 -3763.4775429999995 -1130.1274135160918 -0.0
298.15 AL TI 0.18 0.82 -21419.67 -11126.6 34.523138 -10293.0735947 0.0 0.0 -3715.677222 -1168.5694517045056 -0.0
298.15 AL TI 0.19 0.81 -22178.17 -11933.32 34.361401 -10244.85170815 0.0 0.0 -3667.876901 -1205.3312553507326 -0.0
298.15 AL TI 0.2 0.8 -22914.98 -12717.64 34.202059 -10197.34389085 0.0 0.0 -3620.07658 -1240.4816826440385 -0.0
298.15 AL TI 0.21 0.79 -23629.64 -13479.02 34.045319 -10150.61185985 0.0 0.0 -3572.2762589999998 -1274.08222978906 -0.0
298.15 AL TI 0.22 0.78 -24321.65 -14216.94 33.891366 -10104.710772899998 0.0 0.0 -3524.475938 -1306.188067542519 -0.0
298.15 AL TI 0.23 0.77 -24990.57 -14930.88 33.740366 -10059.6901229 0.0 0.0 -3476.675617 -1336.8488881016199 -0.0
298.15 AL TI 0.24 0.76 -25635.95 -15620.36 33.59247 -10015.5949305 0.0 0.0 -3428.8752959999997 -1366.1096036088943 -0.0
