T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 C TA 0.0 1.0 -12364.82 -0.00107989 41.471806 -12364.8189589 0.0 0.0 -12364.82 0.0 -0.0
298.15 C TA 1.0 0.0 565654.1 601379.0 119.82176 -35724.85774399999 0.0 0.0 565654.1 0.0 -0.0
298.15 C TA 0.01 0.99 -14416.93 -1402.034 43.652182 -13014.8980633 0.0 0.0 -6584.6308 -138.82602141683572 -0.0
298.15 C TA 0.02 0.98 -16215.38 -2654.252 45.484247 -13561.12824305 0.0 0.0 -804.4415999999983 -243.03584172567548 -0.0
298.15 C TA 0.03 0.97 -17824.34 -3756.655 47.18325 -14067.6859875 0.0 0.0 4975.747600000001 -334.02154674813943 -0.0
298.15 C TA 0.04 0.96 -19257.45 -4709.244 48.794924 -14548.206590599999 0.0 0.0 10755.936800000001 -416.3281974105132 -0.0
298.15 C TA 0.05 0.95 -20521.18 -5512.019 50.340975 -15009.16169625 0.0 0.0 16536.126000000004 -492.11297050679866 -0.0
298.15 C TA 0.06 0.94 -21619.34 -6164.978 51.834175 -15454.35927625 0.0 0.0 22316.3152 -562.6452650375949 -0.0
298.15 C TA 0.07 0.93 -22554.44 -6668.123 53.282954 -15886.312735099998 0.0 0.0 28096.504400000005 -628.7628773593874 -0.0
298.15 C TA 0.08 0.92 -23328.26 -7021.454 54.693295 -16306.805904249999 0.0 0.0 33876.6936 -691.0604007790716 -0.0
298.15 C TA 0.09 0.91 -23942.14 -7224.97 56.069663 -16717.17002345 0.0 0.0 39656.8828 -749.9816351924776 -0.0
298.15 C TA 0.1 0.9 -24397.11 -7278.671 57.415519 -17118.43698985 0.0 0.0 45437.072 -805.870345271772 -0.0
298.15 C TA 0.11 0.89 -24693.99 -7182.558 58.733617 -17511.42790855 0.0 0.0 51217.2612 -859.000492370776 -0.0
298.15 C TA 0.12 0.88 -24833.44 -6936.63 60.026205 -17896.813020749996 0.0 0.0 56997.4504 -909.5953759771999 -0.0
298.15 C TA 0.13 0.87 -24816.04 -6540.887 61.295149 -18275.14867435 0.0 0.0 62777.639599999995 -957.840348132521 -0.0
298.15 C TA 0.14 0.86 -24642.23 -5995.33 62.542019 -18646.90296485 0.0 0.0 68557.8288 -1003.8915915105914 -0.0
298.15 C TA 0.15 0.85 -24312.43 -5299.959 63.768156 -19012.4757114 0.0 0.0 74338.018 -1047.882375954332 -0.0
298.15 C TA 0.16 0.84 -23826.98 -4454.772 64.974718 -19372.212171699997 0.0 0.0 80118.2072 -1089.9276385420173 -0.0
298.15 C TA 0.17 0.83 -23186.18 -3459.771 66.16271 -19726.4119865 0.0 0.0 85898.3964 -1130.1274135160918 -0.0
298.15 C TA 0.18 0.82 -22390.29 -2314.956 67.333015 -20075.33842225 0.0 0.0 91678.58559999999 -1168.5694517045056 -0.0
298.15 C TA 0.19 0.81 -21439.55 -1020.326 68.486414 -20419.224334099996 0.0 0.0 97458.7748 -1205.3312553507326 -0.0
298.15 C TA 0.2 0.8 -20334.16 424.1188 69.6236 -20758.276339999997 0.0 0.0 103238.964 -1240.4816826440385 -0.0
298.15 C TA 0.21 0.79 -19074.3 2018.378 70.74519 -21092.678398499997 0.0 0.0 109019.15319999999 -1274.08222978906 -0.0
298.15 C TA 0.22 0.78 -17660.14 3762.452 71.851741 -21422.59657915 0.0 0.0 114799.3424 -1306.188067542519 -0.0
298.15 C TA 0.23 0.77 -16091.84 5656.341 72.943751 -21748.17936065 0.0 0.0 120579.5316 -1336.8488881016199 -0.0
298.15 C TA 0.24 0.76 -14369.52 7700.044 74.021674 -22069.5621031 0.0 0.0 126359.7208 -1366.1096036088943 -0.0
298.15 C TA 0.25 0.75 -12493.31 9893.561 75.085918 -22386.8664517 0.0 0.0 132139.91 -1394.0109271940482 -0.0
298.15 C TA 0.26 0.74 -10463.31 12236.89 76.136856 -22700.2036164 0.0 0.0 137920.0992 -1420.5898600324033 -0.0
298.15 C TA 0.27 0.73 -8279.634 14730.04 77.174828 -23009.6749682 0.0 0.0 143700.28840000002 -1445.8801024662048 -0.0
298.15 C TA 0.28 0.72 -5942.37 17373.0 78.200142 -23315.3723373 0.0 0.0 149480.4776 -1469.9124032129614 -0.0
298.15 C TA 0.29 0.71 -3451.602 20165.78 79.213081 -23617.38010015 0.0 0.0 155260.66679999998 -1492.7148576699553 -0.0
298.15 C TA 0.3 0.7 -807.4068 23108.37 80.213904 -23915.775477599997 0.0 0.0 161040.85599999997 -1514.313164037668 -0.0
298.15 C TA 0.31 0.69 1990.145 26200.77 81.202848 -24210.6291312 0.0 0.0 166821.0452 -1534.730844232385 -0.0
298.15 C TA 0.32 0.68 4940.989 29442.99 82.180128 -24502.005163199996 0.0 0.0 172601.23440000002 -1553.9894352015579 -0.0
298.15 C TA 0.33 0.67 8045.065 32835.03 83.145945 -24789.963501749997 0.0 0.0 178381.4236 -1572.1086551954763 -0.0
298.15 C TA 0.34 0.66 11302.32 36376.88 84.100478 -25074.5575157 0.0 0.0 184161.6128 -1589.1065487133012 -0.0
298.15 C TA 0.35 0.65 14712.7 40068.54 85.043895 -25355.83729425 0.0 0.0 189941.80199999997 -1604.9996131775667 -0.0
298.15 C TA 0.36 0.64 18276.17 43910.02 85.976346 -25633.8475599 0.0 0.0 195721.9912 -1619.8029098595373 -0.0
298.15 C TA 0.37 0.63 21992.68 47901.31 86.89797 -25908.6297555 0.0 0.0 201502.18039999998 -1633.5301611487748 -0.0
298.15 C TA 0.38 0.62 25862.2 52042.42 87.808892 -26180.2211498 0.0 0.0 207282.36959999998 -1646.193835911596 -0.0
298.15 C TA 0.39 0.61 29884.69 56333.34 88.709226 -26448.6557319 0.0 0.0 213062.5588 -1657.8052243977716 -0.0
298.15 C TA 0.4 0.6 34060.11 60774.08 89.599074 -26713.963913099997 0.0 0.0 218842.74800000002 -1668.3745039196444 -0.0
298.15 C TA 0.41 0.59 38388.46 65364.63 90.478528 -26976.1731232 0.0 0.0 224622.9372 -1677.9107963326926 -0.0
298.15 C TA 0.42 0.58 42869.69 70105.0 91.34767 -27235.307810499995 0.0 0.0 230403.12639999998 -1686.4222181834425 -0.0
298.15 C TA 0.43 0.57 47503.79 74995.18 92.206572 -27491.389441799995 0.0 0.0 236183.31559999997 -1693.9159242532326 -0.0
298.15 C TA 0.44 0.56 52290.73 80035.17 93.055296 -27744.436502399996 0.0 0.0 241963.5048 -1700.3981451097393 -0.0
298.15 C TA 0.45 0.55 57230.52 85224.98 93.893896 -27994.465092399998 0.0 0.0 247743.694 -1705.8742191782392 -0.0
298.15 C TA 0.46 0.54 62323.12 90564.61 94.722417 -28241.488628549996 0.0 0.0 253523.8832 -1710.3486197582595 -0.0
298.15 C TA 0.47 0.53 67568.53 96054.04 95.540896 -28485.5181424 0.0 0.0 259304.07239999998 -1713.8249773357109 -0.0
298.15 C TA 0.48 0.52 72966.74 101693.3 96.349361 -28726.561982149997 0.0 0.0 265084.26159999997 -1716.3060974737868 -0.0
298.15 C TA 0.49 0.51 78517.74 107482.4 97.147832 -28964.626110799996 0.0 0.0 270864.45079999993 -1717.7939745058845 -0.0
298.15 C TA 0.5 0.5 84221.53 113421.2 97.93632 -29199.713807999997 0.0 0.0 276644.64 -1718.289801199083 -0.0
298.15 C TA 0.51 0.49 90078.12 119509.9 98.714831 -29431.82686265 0.0 0.0 282424.82920000004 -1717.7939745058845 -0.0
298.15 C TA 0.52 0.48 96087.49 125748.5 99.483359 -29660.963485849996 0.0 0.0 288205.0184 -1716.3060974737868 -0.0
298.15 C TA 0.53 0.47 102249.7 132136.8 100.24189 -29887.1195035 0.0 0.0 293985.2076 -1713.8249773357109 -0.0
298.15 C TA 0.54 0.46 108564.6 138674.9 100.99041 -30110.290741499997 0.0 0.0 299765.39680000005 -1710.3486197582595 -0.0
298.15 C TA 0.55 0.45 115032.4 145362.9 101.72889 -30330.4685535 0.0 0.0 305545.586 -1705.8742191782392 -0.0
298.15 C TA 0.56 0.44 121653.0 152200.7 102.45729 -30547.641013499997 0.0 0.0 311325.77520000003 -1700.3981451097393 -0.0
298.15 C TA 0.57 0.43 128426.4 159188.2 103.17557 -30761.796195499996 0.0 0.0 317105.96439999994 -1693.9159242532328 -0.0
298.15 C TA 0.58 0.42 135352.7 166325.6 103.88366 -30972.913228999998 0.0 0.0 322886.15359999996 -1686.4222181834425 -0.0
298.15 C TA 0.59 0.41 142431.9 173612.8 104.58152 -31180.980187999998 0.0 0.0 328666.3428 -1677.910796332693 -0.0
298.15 C TA 0.6 0.4 149663.9 181049.9 105.26906 -31385.970238999995 0.0 0.0 334446.53199999995 -1668.3745039196444 -0.0
298.15 C TA 0.61 0.39 157048.9 188636.7 105.94622 -31587.865492999998 0.0 0.0 340226.72119999997 -1657.8052243977716 -0.0
298.15 C TA 0.62 0.38 164586.7 196373.4 106.61288 -31786.630171999997 0.0 0.0 346006.91039999994 -1646.193835911596 -0.0
298.15 C TA 0.63 0.37 172277.6 204259.9 107.26896 -31982.240424 0.0 0.0 351787.09959999996 -1633.5301611487748 -0.0
298.15 C TA 0.64 0.36 180121.5 212296.1 107.91433 -32174.6574895 0.0 0.0 357567.28880000004 -1619.8029098595373 -0.0
298.15 C TA 0.65 0.35 188118.4 220482.2 108.54888 -32363.848571999995 0.0 0.0 363347.478 -1604.9996131775667 -0.0
298.15 C TA 0.66 0.34 196268.4 228818.2 109.17246 -32549.768948999998 0.0 0.0 369127.6672 -1589.106548713301 -0.0
298.15 C TA 0.67 0.33 204571.5 237303.9 109.78493 -32732.3768795 0.0 0.0 374907.85640000005 -1572.1086551954763 -0.0
298.15 C TA 0.68 0.32 213027.8 245939.4 110.38611 -32911.6186965 0.0 0.0 380688.0456 -1553.9894352015576 -0.0
298.15 C TA 0.69 0.31 221637.4 254724.8 110.97583 -33087.4437145 0.0 0.0 386468.2348 -1534.730844232385 -0.0
298.15 C TA 0.7 0.3 230400.2 263660.0 111.55389 -33259.7923035 0.0 0.0 392248.42399999994 -1514.313164037668 -0.0
298.15 C TA 0.71 0.29 239316.4 272745.0 112.12006 -33428.595889 0.0 0.0 398028.61319999996 -1492.7148576699553 -0.0
298.15 C TA 0.72 0.28 248386.0 281979.8 112.67412 -33593.788878 0.0 0.0 403808.8024 -1469.9124032129614 -0.0
298.15 C TA 0.73 0.27 257609.1 291364.4 113.21581 -33755.2937515 0.0 0.0 409588.99159999995 -1445.8801024662048 -0.0
298.15 C TA 0.74 0.26 266985.8 300898.8 113.74483 -33913.0210645 0.0 0.0 415369.1808 -1420.5898600324033 -0.0
