T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 C TA 0.0 1.0 -12364.82 -0.00107989 41.471806 -12364.8189589 0.0 0.0 -12364.82 0.0 -0.0
298.15 C TA 1.0 0.0 565654.4 601379.3 119.82207 -35724.95017049999 0.0 0.0 565654.4 0.0 -0.0
298.15 C TA 0.01 0.99 -14416.93 -1402.031 43.652185 -13014.89895775 0.0 0.0 -6584.627799999999 -138.82602141683572 -0.0
298.15 C TA 0.02 0.98 -16215.38 -2654.246 45.484253 -13561.13003195 0.0 0.0 -804.4355999999971 -243.03584172567548 -0.0
298.15 C TA 0.03 0.97 -17824.33 -3756.646 47.18326 -14067.688968999999 0.0 0.0 4975.756600000002 -334.02154674813943 -0.0
298.15 C TA 0.04 0.96 -19257.44 -4709.232 48.794937 -14548.210466549997 0.0 0.0 10755.948800000004 -416.3281974105132 -0.0
298.15 C TA 0.05 0.95 -20521.17 -5512.003 50.340991 -15009.16646665 0.0 0.0 16536.141000000003 -492.11297050679866 -0.0
298.15 C TA 0.06 0.94 -21619.32 -6164.96 51.834194 -15454.364941099997 0.0 0.0 22316.333200000005 -562.6452650375949 -0.0
298.15 C TA 0.07 0.93 -22554.42 -6668.102 53.282976 -15886.319294399998 0.0 0.0 28096.525400000006 -628.7628773593874 -0.0
298.15 C TA 0.08 0.92 -23328.24 -7021.429 54.69332 -16306.813358 0.0 0.0 33876.7176 -691.0604007790716 -0.0
298.15 C TA 0.09 0.91 -23942.12 -7224.942 56.069692 -16717.1786698 0.0 0.0 39656.9098 -749.9816351924776 -0.0
298.15 C TA 0.1 0.9 -24397.09 -7278.64 57.41555 -17118.4462325 0.0 0.0 45437.102 -805.870345271772 -0.0
298.15 C TA 0.11 0.89 -24693.96 -7182.524 58.733651 -17511.43804565 0.0 0.0 51217.294200000004 -859.000492370776 -0.0
298.15 C TA 0.12 0.88 -24833.42 -6936.593 60.026243 -17896.82435045 0.0 0.0 56997.48640000001 -909.5953759771999 -0.0
298.15 C TA 0.13 0.87 -24816.01 -6540.847 61.29519 -18275.1608985 0.0 0.0 62777.6786 -957.840348132521 -0.0
298.15 C TA 0.14 0.86 -24642.2 -5995.287 62.542063 -18646.91608345 0.0 0.0 68557.8708 -1003.8915915105914 -0.0
298.15 C TA 0.15 0.85 -24312.4 -5299.912 63.768203 -19012.48972445 0.0 0.0 74338.06300000001 -1047.882375954332 -0.0
298.15 C TA 0.16 0.84 -23826.95 -4454.723 64.974768 -19372.227079199998 0.0 0.0 80118.25520000001 -1089.9276385420173 -0.0
298.15 C TA 0.17 0.83 -23186.15 -3459.718 66.162763 -19726.427788449997 0.0 0.0 85898.4474 -1130.1274135160918 -0.0
298.15 C TA 0.18 0.82 -22390.26 -2314.9 67.333072 -20075.355416799997 0.0 0.0 91678.6396 -1168.5694517045056 -0.0
298.15 C TA 0.19 0.81 -21439.51 -1020.267 68.486474 -20419.2422231 0.0 0.0 97458.83180000001 -1205.3312553507326 -0.0
298.15 C TA 0.2 0.8 -20334.11 424.1812 69.623663 -20758.295123449996 0.0 0.0 103239.024 -1240.4816826440385 -0.0
298.15 C TA 0.21 0.79 -19074.25 2018.444 70.745256 -21092.698076399996 0.0 0.0 109019.2162 -1274.08222978906 -0.0
298.15 C TA 0.22 0.78 -17660.1 3762.521 71.85181 -21422.6171515 0.0 0.0 114799.40840000001 -1306.188067542519 -0.0
298.15 C TA 0.23 0.77 -16091.79 5656.412 72.943824 -21748.2011256 0.0 0.0 120579.60060000002 -1336.8488881016199 -0.0
298.15 C TA 0.24 0.76 -14369.47 7700.119 74.021749 -22069.58446435 0.0 0.0 126359.79280000001 -1366.1096036088943 -0.0
298.15 C TA 0.25 0.75 -12493.25 9893.639 75.085997 -22386.89000555 0.0 0.0 132139.98500000002 -1394.0109271940482 -0.0
298.15 C TA 0.26 0.74 -10463.25 12236.97 76.136938 -22700.228064699997 0.0 0.0 137920.1772 -1420.5898600324033 -0.0
298.15 C TA 0.27 0.73 -8279.575 14730.12 77.174913 -23009.70031095 0.0 0.0 143700.36940000003 -1445.8801024662048 -0.0
298.15 C TA 0.28 0.72 -5942.309 17373.09 78.20023 -23315.3985745 0.0 0.0 149480.56160000002 -1469.9124032129614 -0.0
