T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CO O 0.0 1.0 -7023.669 2142.445 30.743297 -9166.114000549998 1450.0 1.35 -7023.669 0.0 -6747.367288577929
298.15 CO O 1.0 0.0 -91511.99 11459.81 345.36911 -102971.80014649998 1.45e-09 1.35e-12 -91511.99 0.0 -3.886951852104102e-67
298.15 CO O 0.01 0.99 -8215.975 2298.155 35.264565 -10514.130054749998 1435.5 1.3365 -7868.55221 -138.82602141683572 -6613.9434374895945
298.15 CO O 0.02 0.98 -9305.419 2452.971 39.43783 -11758.389014499999 1421.0 1.323 -8713.43542 -243.03584172567548 -6481.4606833505495
298.15 CO O 0.03 0.97 -10356.18 2606.886 43.478346 -12963.0688599 1406.5 1.3095 -9558.31863 -334.02154674813943 -6349.926574457114
298.15 CO O 0.04 0.96 -11381.91 2759.894 47.431848 -14141.8054812 1392.0 1.296 -10403.20184 -416.3281974105132 -6219.348775375474
298.15 CO O 0.05 0.95 -12389.08 2911.989 51.320049 -15301.072609349998 1377.5 1.2825 -11248.08505 -492.11297050679866 -6089.735069690493
298.15 CO O 0.06 0.94 -13381.52 3063.163 55.155725 -16444.67940875 1363.0 1.269 -12092.96826 -562.6452650375949 -5961.093362849888
298.15 CO O 0.07 0.93 -14361.73 3213.41 58.947312 -17575.141072799997 1348.5 1.2555 -12937.85147 -628.7628773593874 -5833.431685108563
298.15 CO O 0.08 0.92 -15331.52 3362.723 62.700798 -18694.2429237 1334.0 1.242 -13782.734680000001 -691.0604007790716 -5706.758194578422
298.15 CO O 0.09 0.91 -16292.22 3511.094 66.420654 -19803.317990099997 1319.5 1.2285 -14627.617890000001 -749.9816351924776 -5581.0811803891065
298.15 CO O 0.1 0.9 -17244.88 3658.518 70.110343 -20903.398765449998 1305.0 1.215 -15472.501100000001 -805.870345271772 -5456.409065965782
298.15 CO O 0.11 0.89 -18190.32 3804.985 73.77263 -21995.3096345 1290.5 1.2015 -16317.384310000001 -859.000492370776 -5332.750412430362
298.15 CO O 0.12 0.88 -19129.23 3950.49 77.409766 -23079.7217329 1276.0 1.188 -17162.26752 -909.5953759771999 -5210.113922133169
298.15 CO O 0.13 0.87 -20062.17 4095.024 81.023622 -24157.1928993 1261.5 1.1745 -18007.15073 -957.840348132521 -5088.508442322604
298.15 CO O 0.14 0.86 -20989.61 4238.581 84.615777 -25228.193912549996 1247.0 1.161 -18852.03394 -1003.8915915105914 -4967.942968960896
298.15 CO O 0.15 0.85 -21911.97 4381.153 88.187578 -26293.1263807 1232.5 1.1475 -19696.91715 -1047.882375954332 -4848.426650694867
298.15 CO O 0.16 0.84 -22829.61 4522.731 91.740188 -27352.3370522 1218.0 1.134 -20541.80036 -1089.9276385420173 -4729.968792991206
298.15 CO O 0.17 0.83 -23742.82 4663.309 95.274621 -28406.128251149996 1203.5 1.1205 -21386.68357 -1130.1274135160918 -4612.578862446764
