T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CR MO 0.0 1.0 -8515.141 -0.002619643 28.559915 -8515.13865725 3.115e-28 8e-33 -8515.141 0.0 -0.0
298.15 CR MO 1.0 0.0 -7019.328 -0.001116948 23.542939 -7019.32726285 311.5 0.008 -7019.328 0.0 -1.145642488486718
298.15 CR MO 0.01 0.99 -8427.419 228.1455 29.030906 -8655.5646239 3.115 8e-05 -8500.182869999999 -138.82602141683572 -1.0538728489636033e-12
298.15 CR MO 0.02 0.98 -8307.297 454.0283 29.385629 -8761.32528635 6.23 0.00016 -8485.22474 -243.03584172567548 -6.74451647427917e-11
298.15 CR MO 0.03 0.97 -8176.23 677.5741 29.695804 -8853.803962599999 9.345 0.00024 -8470.26661 -334.02154674813943 -7.682118556805948e-10
298.15 CR MO 0.04 0.96 -8038.826 898.7113 29.976646 -8937.5370049 12.46 0.00032 -8455.30848 -416.3281974105132 -4.316145307153442e-09
298.15 CR MO 0.05 0.95 -7897.305 1117.368 30.235362 -9014.673180299998 15.575 0.0004 -8440.350349999999 -492.11297050679866 -1.6464129320400515e-08
298.15 CR MO 0.06 0.94 -7753.0 1333.473 30.476179 -9086.472768849999 18.69 0.00048 -8425.39222 -562.6452650375949 -4.9159661019639107e-08
298.15 CR MO 0.07 0.93 -7606.811 1546.954 30.701879 -9153.76522385 21.805 0.00056 -8410.434089999999 -628.7628773593874 -1.239573414078547e-07
298.15 CR MO 0.08 0.92 -7459.397 1757.74 30.914427 -9217.13641005 24.92 0.00064 -8395.47596 -691.0604007790716 -2.7618912353371084e-07
298.15 CR MO 0.09 0.91 -7311.263 1965.758 31.115282 -9277.0213283 28.035 0.00072 -8380.517829999999 -749.9816351924776 -5.598921062978131e-07
298.15 CR MO 0.1 0.9 -7162.817 2170.938 31.305568 -9333.7550992 31.15 0.0008 -8365.5597 -805.870345271772 -1.053493662018591e-06
298.15 CR MO 0.11 0.89 -7014.396 2373.207 31.486175 -9387.60307625 34.265 0.00088 -8350.601569999999 -859.000492370776 -1.866253685971364e-06
298.15 CR MO 0.12 0.88 -6866.286 2572.494 31.657823 -9438.77992745 37.38 0.00096 -8335.64344 -909.5953759771999 -3.145463756205784e-06
298.15 CR MO 0.13 0.87 -6718.735 2768.727 31.821103 -9487.461859449999 40.495 0.00104 -8320.68531 -957.840348132521 -5.0844029920581164e-06
298.15 CR MO 0.14 0.86 -6571.962 2961.835 31.976512 -9533.797052799999 43.61 0.00112 -8305.72718 -1003.8915915105914 -7.931050399896908e-06
298.15 CR MO 0.15 0.85 -6426.164 3151.745 32.124466 -9577.9095379 46.725 0.0012 -8290.769049999999 -1047.882375954332 -1.199755349478165e-05
298.15 CR MO 0.16 0.84 -6281.519 3338.387 32.265322 -9619.905754299998 49.84 0.00128 -8275.81092 -1089.9276385420173 -1.7670452986962314e-05
298.15 CR MO 0.17 0.83 -6138.189 3521.688 32.399386 -9659.8769359 52.955 0.00136 -8260.852789999999 -1130.1274135160918 -2.5421663322472473e-05
298.15 CR MO 0.18 0.82 -5996.326 3701.576 32.526924 -9697.9023906 56.07 0.00144 -8245.89466 -1168.5694517045056 -3.582020886755318e-05
298.15 CR MO 0.19 0.81 -5856.07 3877.981 32.648166 -9734.0506929 59.185 0.00152 -8230.93653 -1205.3312553507326 -4.954471552756093e-05
298.15 CR MO 0.2 0.8 -5717.553 4050.83 32.763315 -9768.382367249998 62.3 0.0016 -8215.9784 -1240.4816826440385 -6.739665759230414e-05
298.15 CR MO 0.21 0.79 -5580.899 4220.051 32.872546 -9800.9495899 65.415 0.00168 -8201.02027 -1274.08222978906 -9.031435960173968e-05
298.15 CR MO 0.22 0.78 -5446.226 4385.573 32.976017 -9831.79946855 68.53 0.00176 -8186.06214 -1306.188067542519 -0.00011938775302946994
298.15 CR MO 0.23 0.77 -5313.648 4547.325 33.073865 -9860.972849749998 71.645 0.00184 -8171.10401 -1336.8488881016199 -0.00015587388758593103
298.15 CR MO 0.24 0.76 -5183.272 4705.234 33.16621 -9888.5055115 74.76 0.00192 -8156.14588 -1366.1096036088943 -0.00020121319695092527
298.15 CR MO 0.25 0.75 -5055.201 4859.229 33.253161 -9914.42995215 77.875 0.002 -8141.18775 -1394.0109271940482 -0.00025704651875559315
298.15 CR MO 0.26 0.74 -4929.537 5009.238 33.334813 -9938.774495949998 80.99 0.00208 -8126.229619999999 -1420.5898600324033 -0.00032523286864908285
298.15 CR MO 0.27 0.73 -4806.374 5155.189 33.411248 -9961.5635912 84.105 0.00216 -8111.27149 -1445.8801024662048 -0.00040786796830767223
298.15 CR MO 0.28 0.72 -4685.809 5297.011 33.482542 -9982.8198973 87.22 0.00224 -8096.31336 -1469.9124032129614 -0.0005073035272742946
298.15 CR MO 0.29 0.71 -4567.93 5434.632 33.54876 -10002.562794 90.335 0.00232 -8081.355229999999 -1492.7148576699553 -0.0006261672785583096
298.15 CR MO 0.3 0.7 -4452.828 5567.981 33.609957 -10020.80867955 93.45 0.0024 -8066.3971 -1514.313164037668 -0.000767383767984219
298.15 CR MO 0.31 0.69 -4340.588 5696.985 33.666185 -10037.573057749998 96.565 0.00248 -8051.438969999999 -1534.730844232385 -0.0009341958973551058
298.15 CR MO 0.32 0.68 -4231.296 5821.572 33.717485 -10052.868152750001 99.68 0.00256 -8036.480839999998 -1553.9894352015579 -0.0011301872215997944
298.15 CR MO 0.33 0.67 -4125.033 5941.672 33.763895 -10066.70529425 102.795 0.00264 -8021.522709999999 -1572.1086551954763 -0.0013593050002128416
298.15 CR MO 0.34 0.66 -4021.881 6057.213 33.805447 -10079.09402305 105.91 0.00272 -8006.564579999999 -1589.1065487133012 -0.0016258840034722468
298.15 CR MO 0.35 0.65 -3921.92 6168.122 33.842166 -10090.0417929 109.025 0.0028 -7991.60645 -1604.9996131775667 -0.0019346710741576676
298.15 CR MO 0.36 0.64 -3825.227 6274.328 33.874073 -10099.55486495 112.14 0.00288 -7976.64832 -1619.8029098595373 -0.0022908504457901774
298.15 CR MO 0.37 0.63 -3731.88 6375.759 33.901186 -10107.6386059 115.255 0.00296 -7961.690189999999 -1633.5301611487748 -0.0027000698187977295
298.15 CR MO 0.38 0.62 -3641.953 6472.344 33.923517 -10114.296593549998 118.37 0.00304 -7946.73206 -1646.193835911596 -0.003168467196502105
298.15 CR MO 0.39 0.61 -3555.521 6564.01 33.941074 -10119.5312131 121.485 0.00312 -7931.773929999999 -1657.8052243977716 -0.0037026984834342986
298.15 CR MO 0.4 0.6 -3472.658 6650.687 33.953863 -10123.344253449999 124.6 0.0032 -7916.815799999999 -1668.3745039196444 -0.004309965849252586
298.15 CR MO 0.41 0.59 -3393.434 6732.301 33.961884 -10125.735714599998 127.715 0.00328 -7901.857670000001 -1677.9107963326926 -0.004998046862501155
298.15 CR MO 0.42 0.58 -3317.923 6808.783 33.965136 -10126.7052984 130.83 0.00336 -7886.89954 -1686.4222181834425 -0.005775324399626951
298.15 CR MO 0.43 0.57 -3246.193 6880.059 33.963613 -10126.25121595 133.945 0.00344 -7871.941410000001 -1693.9159242532326 -0.00665081733612822
298.15 CR MO 0.44 0.56 -3178.313 6946.058 33.957307 -10124.37108205 137.06 0.00352 -7856.98328 -1700.3981451097393 -0.00763421202850401
298.15 CR MO 0.45 0.55 -3114.354 7006.708 33.946206 -10121.061318899998 140.175 0.0036 -7842.02515 -1705.8742191782392 -0.008735894597843767
298.15 CR MO 0.46 0.54 -3054.38 7061.938 33.930297 -10116.31805055 143.29 0.00368 -7827.06702 -1710.3486197582595 -0.009966984028535722
298.15 CR MO 0.47 0.53 -2998.461 7111.675 33.909561 -10110.135612149998 146.405 0.00376 -7812.1088899999995 -1713.8249773357109 -0.011339366098785057
298.15 CR MO 0.48 0.52 -2946.66 7155.848 33.883979 -10102.508338849999 149.52 0.00384 -7797.15076 -1716.3060974737868 -0.012865728163451285
298.15 CR MO 0.49 0.51 -2899.044 7194.386 33.853528 -10093.429373199999 152.635 0.00392 -7782.1926300000005 -1717.7939745058845 -0.014559594814357719
298.15 CR MO 0.5 0.5 -2855.676 7227.216 33.818183 -10082.891261449999 155.75 0.004 -7767.2345000000005 -1718.289801199083 -0.016435364448725075
298.15 CR MO 0.51 0.49 -2816.62 7254.266 33.777916 -10070.885655399998 158.865 0.00408 -7752.27637 -1717.7939745058845 -0.018508346782954006
298.15 CR MO 0.52 0.48 -2781.938 7275.465 33.732695 -10057.40301425 161.98 0.00416 -7737.31824 -1716.3060974737868 -0.020794801356821963
298.15 CR MO 0.53 0.47 -2751.693 7290.741 33.682488 -10042.4337972 165.095 0.00424 -7722.36011 -1713.8249773357109 -0.023311977082411565
298.15 CR MO 0.54 0.46 -2725.945 7300.022 33.627258 -10025.966972699998 168.21 0.00432 -7707.401980000001 -1710.3486197582595 -0.026078152903050385
298.15 CR MO 0.55 0.45 -2704.755 7303.236 33.566966 -10007.990912899999 171.325 0.0044 -7692.44385 -1705.8742191782392 -0.029112679640527946
298.15 CR MO 0.56 0.44 -2688.181 7300.312 33.50157 -9988.4930955 174.44 0.00448 -7677.48572 -1700.3981451097393 -0.03243602312410573
298.15 CR MO 0.57 0.43 -2676.284 7291.177 33.431026 -9967.4604019 177.555 0.00456 -7662.52759 -1693.9159242532328 -0.03606980871281726
298.15 CR MO 0.58 0.42 -2669.119 7275.76 33.355287 -9944.878819049998 180.67 0.00464 -7647.569460000001 -1686.4222181834425 -0.04003686734377959
298.15 CR MO 0.59 0.41 -2666.745 7253.988 33.274301 -9920.73284315 183.785 0.00472 -7632.61133 -1677.910796332693 -0.044361283264052545
298.15 CR MO 0.6 0.4 -2669.216 7225.791 33.188016 -9895.006970399998 186.9 0.0048 -7617.653200000001 -1668.3745039196444 -0.04906844363294176
298.15 CR MO 0.61 0.39 -2676.589 7191.095 33.096374 -9867.683908099998 190.015 0.00488 -7602.69507 -1657.8052243977716 -0.05418509021602509
298.15 CR MO 0.62 0.38 -2688.916 7149.83 32.999315 -9838.74576725 193.13 0.00496 -7587.736940000001 -1646.193835911596 -0.05973937343268624
298.15 CR MO 0.63 0.37 -2706.251 7101.923 32.896775 -9808.173466249998 196.245 0.00504 -7572.77881 -1633.5301611487748 -0.06576090906672961
298.15 CR MO 0.64 0.36 -2728.645 7047.302 32.788686 -9775.9467309 199.36 0.00512 -7557.82068 -1619.8029098595373 -0.07228083800587903
298.15 CR MO 0.65 0.35 -2756.149 6985.895 32.674977 -9742.044392549999 202.475 0.0052 -7542.86255 -1604.9996131775667 -0.07933188944243348
298.15 CR MO 0.66 0.34 -2788.813 6917.631 32.555572 -9706.443791799999 205.59 0.00528 -7527.904420000001 -1589.106548713301 -0.08694844804611446
298.15 CR MO 0.67 0.33 -2826.684 6842.437 32.430391 -9669.121076649999 208.705 0.00536 -7512.94629 -1572.1086551954763 -0.09516662571338645
298.15 CR MO 0.68 0.32 -2869.808 6760.242 32.299347 -9630.050308049998 211.82 0.00544 -7497.988160000001 -1553.9894352015576 -0.10402433860845517
298.15 CR MO 0.69 0.31 -2918.232 6670.973 32.162352 -9589.205248799999 214.935 0.00552 -7483.030030000001 -1534.730844232385 -0.11356139034346496
298.15 CR MO 0.7 0.3 -2971.998 6574.559 32.019308 -9546.5566802 218.05 0.0056 -7468.0719 -1514.313164037668 -0.12381956230333262
298.15 CR MO 0.71 0.29 -3031.147 6470.927 31.870113 -9502.07419095 221.165 0.00568 -7453.11377 -1492.7148576699553 -0.13484271230994688
298.15 CR MO 0.72 0.28 -3095.72 6360.005 31.714658 -9455.7252827 224.28 0.00576 -7438.15564 -1469.9124032129614 -0.1466768830480846
298.15 CR MO 0.73 0.27 -3165.754 6241.721 31.552827 -9407.475370049999 227.395 0.00584 -7423.19751 -1445.8801024662048 -0.15937042194912548
298.15 CR MO 0.74 0.26 -3241.283 6116.004 31.384495 -9357.287184249999 230.51 0.00592 -7408.239380000001 -1420.5898600324033 -0.17297411455978276
298.15 CR MO 0.75 0.25 -3322.341 5982.78 31.209528 -9305.120773199998 233.625 0.006 -7393.28125 -1394.0109271940482 -0.18754133382340743
298.15 CR MO 0.76 0.24 -3408.955 5841.978 31.027784 -9250.9337996 236.74 0.00608 -7378.32312 -1366.1096036088943 -0.203128208187219
298.15 CR MO 0.77 0.23 -3501.154 5693.526 30.839107 -9194.679752049999 239.855 0.00616 -7363.36499 -1336.8488881016199 -0.21979381203944245
298.15 CR MO 0.78 0.22 -3598.958 5537.351 30.64333 -9136.3088395 242.97 0.00624 -7348.40686 -1306.188067542519 -0.23760038269896538
298.15 CR MO 0.79 0.21 -3702.386 5373.381 30.440272 -9075.7670968 246.085 0.00632 -7333.44873 -1274.08222978906 -0.2566135690563439
