T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CR NB 0.0 1.0 -10813.9 0.0003004229 36.270001 -10813.90079815 0.0 0.0 -10813.9 0.0 -0.0
298.15 CR NB 1.0 0.0 -7017.642 9.681211 23.569757 -7027.323049549999 0.0 0.0 -7017.642 0.0 -0.0
298.15 CR NB 0.01 0.99 -10689.14 238.1156 36.650211 -10927.260409649998 0.0 0.0 -10775.93742 -138.82602141683572 -0.0
298.15 CR NB 0.02 0.98 -10521.39 486.6231 36.921048 -11008.0104612 0.0 0.0 -10737.974839999999 -243.03584172567548 -0.0
298.15 CR NB 0.03 0.97 -10332.42 745.0576 37.154028 -11077.473448199999 0.0 0.0 -10700.01226 -334.02154674813943 -0.0
298.15 CR NB 0.04 0.96 -10127.17 1012.954 37.364165 -11140.12579475 0.0 0.0 -10662.049679999998 -416.3281974105132 -0.0
298.15 CR NB 0.05 0.95 -9908.209 1289.846 37.558461 -11198.05514715 0.0 0.0 -10624.0871 -492.11297050679866 -0.0
298.15 CR NB 0.06 0.94 -9677.193 1575.269 37.740943 -11252.462155449999 0.0 0.0 -10586.12452 -562.6452650375949 -0.0
298.15 CR NB 0.07 0.93 -9435.357 1868.758 37.914189 -11304.115450349998 0.0 0.0 -10548.16194 -628.7628773593874 -0.0
298.15 CR NB 0.08 0.92 -9183.693 2169.848 38.079961 -11353.540372149999 0.0 0.0 -10510.19936 -691.0604007790716 -0.0
298.15 CR NB 0.09 0.91 -8923.04 2478.072 38.239516 -11401.111695399999 0.0 0.0 -10472.23678 -749.9816351924776 -0.0
298.15 CR NB 0.1 0.9 -8654.139 2792.966 38.393776 -11447.1043144 0.0 0.0 -10434.2742 -805.870345271772 -0.0
298.15 CR NB 0.11 0.89 -8377.659 3114.064 38.543427 -11491.72276005 0.0 0.0 -10396.311619999999 -859.000492370776 -0.0
298.15 CR NB 0.12 0.88 -8094.22 3440.901 38.688987 -11535.121474049998 0.0 0.0 -10358.34904 -909.5953759771999 -0.0
298.15 CR NB 0.13 0.87 -7804.405 3773.012 38.830846 -11577.4167349 0.0 0.0 -10320.38646 -957.840348132521 -0.0
