T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CR NI 0.0 1.0 -1521.871 7989.419 31.901023 -9511.29000745 575.0 0.85 -1521.871 0.0 -1042.4491903721046
298.15 CR NI 1.0 0.0 -7018.596 0.7265952 23.542922 -7019.3221943 311.5 0.008 -7018.596 0.0 -1.145642488486718
298.15 CR NI 0.01 0.99 -1963.137 7605.2 32.092358 -9568.3365377 583.64157 0.88102 -1576.83825 -138.82602141683572 -1108.0110830801555
298.15 CR NI 0.02 0.98 -2354.602 7239.228 32.177865 -9593.830449749998 592.17133 0.91124 -1631.8055000000002 -243.03584172567548 -1173.8901660183817
298.15 CR NI 0.03 0.97 -2717.883 6891.19 32.228988 -9609.0727722 600.58188 0.94066 -1686.77275 -334.02154674813943 -1239.9441224761129
298.15 CR NI 0.04 0.96 -3057.749 6560.768 32.260666 -9618.517567899999 608.86582 0.96928 -1741.7400000000002 -416.3281974105132 -1306.0325544150653
298.15 CR NI 0.05 0.95 -3376.585 6247.648 32.279838 -9624.233699699998 617.01575 0.9971 -1796.70725 -492.11297050679866 -1372.0169979196573
298.15 CR NI 0.06 0.94 -3675.89 5951.514 32.29047 -9627.403630499999 625.02426 1.02412 -1851.6744999999999 -562.6452650375949 -1437.760887297109
298.15 CR NI 0.07 0.93 -3956.732 5672.048 32.295088 -9628.7804872 632.88394 1.05034 -1906.64175 -628.7628773593874 -1503.1296119265096
298.15 CR NI 0.08 0.92 -4219.94 5408.935 32.295406 -9628.875298899999 640.58739 1.07576 -1961.6090000000002 -691.0604007790716 -1567.990579379227
298.15 CR NI 0.09 0.91 -4466.192 5161.859 32.292639 -9628.05031785 648.12721 1.10038 -2016.57625 -749.9816351924776 -1632.213181541754
298.15 CR NI 0.1 0.9 -4696.069 4930.501 32.287675 -9626.57030125 655.496 1.1242 -2071.5435 -805.870345271772 -1695.6688091984336
298.15 CR NI 0.11 0.89 -4910.085 4714.546 32.28117 -9624.6308355 662.68635 1.14722 -2126.51075 -859.000492370776 -1758.230815559353
298.15 CR NI 0.12 0.88 -5108.704 4513.675 32.273619 -9622.379504849998 669.69085 1.16944 -2181.478 -909.5953759771999 -1819.7745859743231
298.15 CR NI 0.13 0.87 -5292.355 4327.573 32.265395 -9619.927519249999 676.5021 1.19086 -2236.44525 -957.840348132521 -1880.1776156589726
298.15 CR NI 0.14 0.86 -5461.439 4155.919 32.256777 -9617.35806255 683.1127 1.21148 -2291.4125 -1003.8915915105914 -1939.3194839125022
298.15 CR NI 0.15 0.85 -5616.337 3998.397 32.247976 -9614.7340444 689.51525 1.2313 -2346.37975 -1047.882375954332 -1997.0818835213563
298.15 CR NI 0.16 0.84 -5757.414 3854.687 32.239144 -9612.1007836 695.70234 1.25032 -2401.3469999999998 -1089.9276385420173 -2053.3485970700663
298.15 CR NI 0.17 0.83 -5885.022 3724.468 32.23039 -9609.4907785 701.66656 1.26854 -2456.31425 -1130.1274135160918 -2108.0055883728237
298.15 CR NI 0.18 0.82 -5999.503 3607.422 32.221785 -9606.925197749999 707.40051 1.28596 -2511.2815 -1168.5694517045056 -2160.941101845535
298.15 CR NI 0.19 0.81 -6101.191 3503.226 32.213373 -9604.417159949999 712.89679 1.30258 -2566.24875 -1205.3312553507326 -2212.0456521714136
298.15 CR NI 0.2 0.8 -6190.413 3411.559 32.205172 -9601.972031799998 718.148 1.3184 -2621.2160000000003 -1240.4816826440385 -2261.212073748173
298.15 CR NI 0.21 0.79 -6267.493 3332.097 32.19718 -9599.589217 723.14673 1.33342 -2676.18325 -1274.08222978906 -2308.3355149660492
298.15 CR NI 0.22 0.78 -6332.749 3264.515 32.18938 -9597.263647 727.88557 1.34764 -2731.1504999999997 -1306.188067542519 -2353.3135542519412
298.15 CR NI 0.23 0.77 -6386.497 3208.488 32.181739 -9594.98548285 732.35712 1.36106 -2786.1177500000003 -1336.8488881016199 -2396.0463237130057
298.15 CR NI 0.24 0.76 -6429.052 3163.689 32.174212 -9592.741307799999 736.55398 1.37368 -2841.085 -1366.1096036088943 -2436.436518258379
298.15 CR NI 0.25 0.75 -6460.726 3129.79 32.166747 -9590.51561805 740.46875 1.3855 -2896.0522499999997 -1394.0109271940482 -2474.3894681649103
298.15 CR NI 0.26 0.74 -6481.83 3106.46 32.159281 -9588.289630149999 744.09402 1.39652 -2951.0195 -1420.5898600324033 -2509.813155158867
298.15 CR NI 0.27 0.73 -6492.675 3093.368 32.151745 -9586.042771749999 747.42238 1.40674 -3005.98675 -1445.8801024662048 -2542.6183555442185
298.15 CR NI 0.28 0.72 -6493.572 3090.18 32.144063 -9583.75238345 750.44643 1.41616 -3060.9539999999997 -1469.9124032129614 -2572.718790906222
