T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CR NI 0.0 1.0 -1521.871 7989.419 31.901023 -9511.29000745 575.0 0.85 -1521.871 0.0 -1042.4491903721046
298.15 CR NI 1.0 0.0 -7019.328 -0.001116914 23.542939 -7019.32726285 311.5 0.008 -7019.328 0.0 -1.145642488486718
298.15 CR NI 0.01 0.99 -1963.144 7605.192 32.092358 -9568.3365377 583.64157 0.88102 -1576.84557 -138.82602141683572 -1108.0110830801555
298.15 CR NI 0.02 0.98 -2354.617 7239.214 32.177866 -9593.8307479 592.17133 0.91124 -1631.82014 -243.03584172567548 -1173.8901660183817
298.15 CR NI 0.03 0.97 -2717.905 6891.168 32.228988 -9609.0727722 600.58188 0.94066 -1686.7947100000001 -334.02154674813943 -1239.9441224761129
298.15 CR NI 0.04 0.96 -3057.778 6560.739 32.260666 -9618.517567899999 608.86582 0.96928 -1741.7692800000002 -416.3281974105132 -1306.0325544150653
298.15 CR NI 0.05 0.95 -3376.622 6247.612 32.279839 -9624.23399785 617.01575 0.9971 -1796.74385 -492.11297050679866 -1372.0169979196573
298.15 CR NI 0.06 0.94 -3675.934 5951.47 32.290471 -9627.403928649997 625.02426 1.02412 -1851.71842 -562.6452650375949 -1437.760887297109
298.15 CR NI 0.07 0.93 -3956.783 5671.997 32.295089 -9628.780785349998 632.88394 1.05034 -1906.69299 -628.7628773593874 -1503.1296119265096
298.15 CR NI 0.08 0.92 -4219.998 5408.877 32.295407 -9628.875597049999 640.58739 1.07576 -1961.6675600000003 -691.0604007790716 -1567.990579379227
298.15 CR NI 0.09 0.91 -4466.258 5161.793 32.292641 -9628.05091415 648.12721 1.10038 -2016.6421300000002 -749.9816351924776 -1632.213181541754
298.15 CR NI 0.1 0.9 -4696.143 4930.428 32.287676 -9626.570599399998 655.496 1.1242 -2071.6167000000005 -805.870345271772 -1695.6688091984336
298.15 CR NI 0.11 0.89 -4910.166 4714.466 32.281172 -9624.631431799999 662.68635 1.14722 -2126.59127 -859.000492370776 -1758.230815559353
298.15 CR NI 0.12 0.88 -5108.792 4513.588 32.273621 -9622.380101149998 669.69085 1.16944 -2181.56584 -909.5953759771999 -1819.7745859743231
298.15 CR NI 0.13 0.87 -5292.45 4327.478 32.265397 -9619.92811555 676.5021 1.19086 -2236.54041 -957.840348132521 -1880.1776156589726
298.15 CR NI 0.14 0.86 -5461.542 4155.817 32.25678 -9617.358956999999 683.1127 1.21148 -2291.51498 -1003.8915915105914 -1939.3194839125022
298.15 CR NI 0.15 0.85 -5616.447 3998.288 32.247979 -9614.734938849999 689.51525 1.2313 -2346.4895500000002 -1047.882375954332 -1997.0818835213563
298.15 CR NI 0.16 0.84 -5757.532 3854.57 32.239147 -9612.10167805 695.70234 1.25032 -2401.46412 -1089.9276385420173 -2053.3485970700663
298.15 CR NI 0.17 0.83 -5885.147 3724.345 32.230393 -9609.491672949998 701.66656 1.26854 -2456.43869 -1130.1274135160918 -2108.0055883728237
298.15 CR NI 0.18 0.82 -5999.635 3607.291 32.221788 -9606.926092199998 707.40051 1.28596 -2511.4132600000003 -1168.5694517045056 -2160.941101845535
298.15 CR NI 0.19 0.81 -6101.33 3503.088 32.213376 -9604.4180544 712.89679 1.30258 -2566.3878300000006 -1205.3312553507326 -2212.0456521714136
298.15 CR NI 0.2 0.8 -6190.56 3411.413 32.205175 -9601.972926249999 718.148 1.3184 -2621.3624 -1240.4816826440385 -2261.212073748173
298.15 CR NI 0.21 0.79 -6267.647 3331.944 32.197184 -9599.5904096 723.14673 1.33342 -2676.3369700000003 -1274.08222978906 -2308.3355149660492
298.15 CR NI 0.22 0.78 -6332.91 3264.355 32.189384 -9597.264839599999 727.88557 1.34764 -2731.31154 -1306.188067542519 -2353.3135542519412
298.15 CR NI 0.23 0.77 -6386.666 3208.321 32.181743 -9594.986675449998 732.35712 1.36106 -2786.28611 -1336.8488881016199 -2396.0463237130057
298.15 CR NI 0.24 0.76 -6429.228 3163.515 32.174216 -9592.7425004 736.55398 1.37368 -2841.2606800000003 -1366.1096036088943 -2436.436518258379
298.15 CR NI 0.25 0.75 -6460.909 3129.608 32.166752 -9590.5171088 740.46875 1.3855 -2896.23525 -1394.0109271940482 -2474.3894681649103
298.15 CR NI 0.26 0.74 -6482.02 3106.271 32.159286 -9588.2911209 744.09402 1.39652 -2951.20982 -1420.5898600324033 -2509.813155158867
