T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CR TA 0.0 1.0 -12364.82 -0.00107989 41.471806 -12364.8189589 0.0 0.0 -12364.82 0.0 -0.0
298.15 CR TA 1.0 0.0 -7017.642 9.681211 23.569757 -7027.323049549999 0.0 0.0 -7017.642 0.0 -0.0
298.15 CR TA 0.01 0.99 -12192.94 256.5303 41.75574 -12449.473881 0.0 0.0 -12311.34822 -138.82602141683572 -0.0
298.15 CR TA 0.02 0.98 -11990.17 510.1438 41.926259 -12500.31412085 0.0 0.0 -12257.876439999998 -243.03584172567548 -0.0
298.15 CR TA 0.03 0.97 -11777.6 761.1473 42.05516 -12538.745954 0.0 0.0 -12204.404659999998 -334.02154674813943 -0.0
298.15 CR TA 0.04 0.96 -11559.49 1009.833 42.157726 -12569.326006899999 0.0 0.0 -12150.932879999998 -416.3281974105132 -0.0
298.15 CR TA 0.05 0.95 -11337.74 1256.478 42.241226 -12594.221531899999 0.0 0.0 -12097.4611 -492.11297050679866 -0.0
298.15 CR TA 0.06 0.94 -11113.37 1501.343 42.309948 -12614.7109962 0.0 0.0 -12043.989319999999 -562.6452650375949 -0.0
298.15 CR TA 0.07 0.93 -10886.96 1744.674 42.366726 -12631.6393569 0.0 0.0 -11990.517539999999 -628.7628773593874 -0.0
298.15 CR TA 0.08 0.92 -10658.91 1986.702 42.413574 -12645.607088099998 0.0 0.0 -11937.04576 -691.0604007790716 -0.0
298.15 CR TA 0.09 0.91 -10429.42 2227.64 42.451994 -12657.062011099999 0.0 0.0 -11883.57398 -749.9816351924776 -0.0
298.15 CR TA 0.1 0.9 -10198.66 2467.687 42.483147 -12666.35027805 0.0 0.0 -11830.1022 -805.870345271772 -0.0
298.15 CR TA 0.11 0.89 -9966.719 2707.028 42.507956 -12673.747081399999 0.0 0.0 -11776.63042 -859.000492370776 -0.0
298.15 CR TA 0.12 0.88 -9733.646 2945.829 42.527169 -12679.47543735 0.0 0.0 -11723.15864 -909.5953759771999 -0.0
298.15 CR TA 0.13 0.87 -9499.474 3184.244 42.5414 -12683.71841 0.0 0.0 -11669.68686 -957.840348132521 -0.0
298.15 CR TA 0.14 0.86 -9264.219 3422.41 42.551162 -12686.628950299999 0.0 0.0 -11616.21508 -1003.8915915105914 -0.0
298.15 CR TA 0.15 0.85 -9027.888 3660.446 42.556883 -12688.334666449999 0.0 0.0 -11562.7433 -1047.882375954332 -0.0
298.15 CR TA 0.16 0.84 -8790.484 3898.46 42.558927 -12688.944085049998 0.0 0.0 -11509.27152 -1089.9276385420173 -0.0
298.15 CR TA 0.17 0.83 -8552.008 4136.541 42.557602 -12688.549036299999 0.0 0.0 -11455.799739999999 -1130.1274135160918 -0.0
298.15 CR TA 0.18 0.82 -8312.464 4374.764 42.55317 -12687.2276355 0.0 0.0 -11402.32796 -1168.5694517045056 -0.0
298.15 CR TA 0.19 0.81 -8071.859 4613.187 42.545852 -12685.045773799999 0.0 0.0 -11348.85618 -1205.3312553507326 -0.0
298.15 CR TA 0.2 0.8 -7830.205 4851.855 42.535837 -12682.05980155 0.0 0.0 -11295.384399999999 -1240.4816826440385 -0.0
298.15 CR TA 0.21 0.79 -7587.521 5090.796 42.523283 -12678.316826449998 0.0 0.0 -11241.91262 -1274.08222978906 -0.0
298.15 CR TA 0.22 0.78 -7343.835 5330.021 42.50832 -12673.855607999998 0.0 0.0 -11188.440840000001 -1306.188067542519 -0.0
298.15 CR TA 0.23 0.77 -7099.181 5569.527 42.491057 -12668.708644549999 0.0 0.0 -11134.969060000001 -1336.8488881016199 -0.0
298.15 CR TA 0.24 0.76 -6853.605 5809.297 42.471582 -12662.902173299999 0.0 0.0 -11081.49728 -1366.1096036088943 -0.0
298.15 CR TA 0.25 0.75 -6607.161 6049.294 42.44996 -12656.455573999998 0.0 0.0 -11028.0255 -1394.0109271940482 -0.0
298.15 CR TA 0.26 0.74 -6359.913 6289.471 42.426243 -12649.384350449998 0.0 0.0 -10974.55372 -1420.5898600324033 -0.0
298.15 CR TA 0.27 0.73 -6111.937 6529.761 42.400464 -12641.698341599998 0.0 0.0 -10921.081939999998 -1445.8801024662048 -0.0
298.15 CR TA 0.28 0.72 -5863.32 6770.083 42.372641 -12633.40291415 0.0 0.0 -10867.61016 -1469.9124032129614 -0.0
298.15 CR TA 0.29 0.71 -5614.158 7010.341 42.342779 -12624.499558849999 0.0 0.0 -10814.138379999999 -1492.7148576699553 -0.0
298.15 CR TA 0.3 0.7 -5364.562 7250.424 42.310869 -12614.985592349998 0.0 0.0 -10760.6666 -1514.313164037668 -0.0
298.15 CR TA 0.31 0.69 -5114.653 7490.202 42.27689 -12604.8547535 0.0 0.0 -10707.194819999999 -1534.730844232385 -0.0
298.15 CR TA 0.32 0.68 -4864.564 7729.534 42.240809 -12594.097203349998 0.0 0.0 -10653.723039999999 -1553.9894352015579 -0.0
298.15 CR TA 0.33 0.67 -4614.44 7968.26 42.202581 -12582.69952515 0.0 0.0 -10600.25126 -1572.1086551954763 -0.0
298.15 CR TA 0.34 0.66 -4364.44 8206.206 42.162152 -12570.6456188 0.0 0.0 -10546.77948 -1589.1065487133012 -0.0
298.15 CR TA 0.35 0.65 -4114.733 8443.183 42.119456 -12557.915806399998 0.0 0.0 -10493.3077 -1604.9996131775667 -0.0
298.15 CR TA 0.36 0.64 -3865.503 8678.985 42.074416 -12544.487130399999 0.0 0.0 -10439.83592 -1619.8029098595373 -0.0
298.15 CR TA 0.37 0.63 -3616.944 8913.391 42.026949 -12530.33484435 0.0 0.0 -10386.36414 -1633.5301611487748 -0.0
298.15 CR TA 0.38 0.62 -3369.266 9146.164 41.97696 -12515.430623999999 0.0 0.0 -10332.89236 -1646.193835911596 -0.0
298.15 CR TA 0.39 0.61 -3122.689 9377.054 41.924344 -12499.743163599998 0.0 0.0 -10279.42058 -1657.8052243977716 -0.0
298.15 CR TA 0.4 0.6 -2877.447 9605.792 41.868989 -12483.239070349999 0.0 0.0 -10225.9488 -1668.3745039196444 -0.0
298.15 CR TA 0.41 0.59 -2633.787 9832.095 41.810774 -12465.8822681 0.0 0.0 -10172.47702 -1677.9107963326926 -0.0
298.15 CR TA 0.42 0.58 -2391.97 10055.66 41.749568 -12447.633699199998 0.0 0.0 -10119.00524 -1686.4222181834425 -0.0
298.15 CR TA 0.43 0.57 -2152.267 10276.19 41.685234 -12428.452517099999 0.0 0.0 -10065.53346 -1693.9159242532326 -0.0
298.15 CR TA 0.44 0.56 -1914.965 10493.33 41.617625 -12408.294893749999 0.0 0.0 -10012.06168 -1700.3981451097393 -0.0
298.15 CR TA 0.45 0.55 -1680.364 10706.75 41.546586 -12387.114615899998 0.0 0.0 -9958.5899 -1705.8742191782392 -0.0
298.15 CR TA 0.46 0.54 -1448.775 10916.09 41.471954 -12364.863085099998 0.0 0.0 -9905.11812 -1710.3486197582595 -0.0
298.15 CR TA 0.47 0.53 -1220.524 11120.97 41.393558 -12341.4893177 0.0 0.0 -9851.64634 -1713.8249773357109 -0.0
298.15 CR TA 0.48 0.52 -995.949 11320.99 41.31122 -12316.940243 0.0 0.0 -9798.17456 -1716.3060974737868 -0.0
298.15 CR TA 0.49 0.51 -775.4029 11515.76 41.224752 -12291.1598088 0.0 0.0 -9744.70278 -1717.7939745058845 -0.0
298.15 CR TA 0.5 0.5 -559.2503 11704.84 41.133961 -12264.09047215 0.0 0.0 -9691.231 -1718.289801199083 -0.0
298.15 CR TA 0.51 0.49 -347.8695 11887.8 41.038643 -12235.671410449999 0.0 0.0 -9637.75922 -1717.7939745058845 -0.0
298.15 CR TA 0.52 0.48 -141.6518 12064.19 40.938588 -12205.8400122 0.0 0.0 -9584.28744 -1716.3060974737868 -0.0
298.15 CR TA 0.53 0.47 58.998 12233.53 40.833578 -12174.5312807 0.0 0.0 -9530.81566 -1713.8249773357109 -0.0
298.15 CR TA 0.54 0.46 253.662 12395.34 40.723387 -12141.67783405 0.0 0.0 -9477.34388 -1710.3486197582595 -0.0
298.15 CR TA 0.55 0.45 441.9092 12549.12 40.607781 -12107.209905149999 0.0 0.0 -9423.872099999999 -1705.8742191782392 -0.0
298.15 CR TA 0.56 0.44 623.2953 12694.35 40.486518 -12071.055341699997 0.0 0.0 -9370.40032 -1700.3981451097393 -0.0
298.15 CR TA 0.57 0.43 797.3629 12830.5 40.359349 -12033.139904349999 0.0 0.0 -9316.92854 -1693.9159242532328 -0.0
298.15 CR TA 0.58 0.42 963.6413 12957.03 40.226015 -11993.386372249997 0.0 0.0 -9263.45676 -1686.4222181834425 -0.0
298.15 CR TA 0.59 0.41 1121.647 13073.36 40.08625 -11951.7154375 0.0 0.0 -9209.984980000001 -1677.910796332693 -0.0
298.15 CR TA 0.6 0.4 1270.883 13178.93 39.939779 -11908.04510885 0.0 0.0 -9156.5132 -1668.3745039196444 -0.0
298.15 CR TA 0.61 0.39 1410.84 13273.13 39.78632 -11862.291308 0.0 0.0 -9103.041420000001 -1657.8052243977716 -0.0
298.15 CR TA 0.62 0.38 1540.995 13355.36 39.625581 -11814.366975149998 0.0 0.0 -9049.56964 -1646.193835911596 -0.0
298.15 CR TA 0.63 0.37 1660.812 13424.99 39.457263 -11764.182963449999 0.0 0.0 -8996.09786 -1633.5301611487748 -0.0
298.15 CR TA 0.64 0.36 1769.742 13481.39 39.281055 -11711.646548249999 0.0 0.0 -8942.626079999998 -1619.8029098595373 -0.0
298.15 CR TA 0.65 0.35 1867.224 13523.89 39.096641 -11656.66351415 0.0 0.0 -8889.1543 -1604.9996131775667 -0.0
298.15 CR TA 0.66 0.34 1952.684 13551.82 38.903691 -11599.135471649999 0.0 0.0 -8835.682519999998 -1589.106548713301 -0.0
298.15 CR TA 0.67 0.33 2025.535 13564.5 38.70187 -11538.962540499999 0.0 0.0 -8782.210739999999 -1572.1086551954763 -0.0
298.15 CR TA 0.68 0.32 2085.177 13561.22 38.490829 -11476.040666349998 0.0 0.0 -8728.738959999999 -1553.9894352015576 -0.0
298.15 CR TA 0.69 0.31 2130.998 13541.26 38.270212 -11410.263707799999 0.0 0.0 -8675.267179999999 -1534.730844232385 -0.0
298.15 CR TA 0.7 0.3 2162.375 13503.9 38.039649 -11341.521349349998 0.0 0.0 -8621.795399999999 -1514.313164037668 -0.0
298.15 CR TA 0.71 0.29 2178.671 13448.37 37.798761 -11269.700592149999 0.0 0.0 -8568.32362 -1492.7148576699553 -0.0
298.15 CR TA 0.72 0.28 2179.236 13373.92 37.547157 -11194.68485955 0.0 0.0 -8514.85184 -1469.9124032129614 -0.0
298.15 CR TA 0.73 0.27 2163.412 13279.77 37.284431 -11116.353102649999 0.0 0.0 -8461.38006 -1445.8801024662048 -0.0
298.15 CR TA 0.74 0.26 2130.526 13165.11 37.010168 -11034.5815892 0.0 0.0 -8407.90828 -1420.5898600324033 -0.0
298.15 CR TA 0.75 0.25 2079.894 13029.14 36.723935 -10949.241220249998 0.0 0.0 -8354.4365 -1394.0109271940482 -0.0
298.15 CR TA 0.76 0.24 2010.823 12871.02 36.425287 -10860.199319049998 0.0 0.0 -8300.96472 -1366.1096036088943 -0.0
298.15 CR TA 0.77 0.23 1922.608 12689.93 36.11376 -10767.317544 0.0 0.0 -8247.49294 -1336.8488881016199 -0.0
298.15 CR TA 0.78 0.22 1814.532 12484.99 35.788875 -10670.453081249998 0.0 0.0 -8194.02116 -1306.188067542519 -0.0
