T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CR W 0.0 1.0 -9724.927 0.0001853305 32.617565 -9724.92700475 3.115e-28 8e-33 -9724.927 0.0 -0.0
298.15 CR W 1.0 0.0 -7019.328 -0.001116953 23.542939 -7019.32726285 311.5 0.008 -7019.328 0.0 -1.145642488486718
298.15 CR W 0.01 0.99 -9511.825 324.9516 32.992712 -9836.7770828 3.115 8e-05 -9697.871009999999 -138.82602141683572 -1.0538728489636033e-12
298.15 CR W 0.02 0.98 -9271.188 642.8229 33.251756 -9914.011051399999 6.23 0.00016 -9670.81502 -243.03584172567548 -6.74451647427917e-11
298.15 CR W 0.03 0.97 -9024.391 953.6299 33.466446 -9978.0208749 9.345 0.00024 -9643.75903 -334.02154674813943 -7.682118556805948e-10
298.15 CR W 0.04 0.96 -8775.963 1257.388 33.652026 -10033.3515519 12.46 0.00032 -9616.703039999999 -416.3281974105132 -4.316145307153442e-09
298.15 CR W 0.05 0.95 -8528.046 1554.114 33.815731 -10082.160197649999 15.575 0.0004 -9589.647049999998 -492.11297050679866 -1.6464129320400515e-08
298.15 CR W 0.06 0.94 -8281.893 1843.823 33.96182 -10125.716633 18.69 0.00048 -9562.59106 -562.6452650375949 -4.9159661019639107e-08
298.15 CR W 0.07 0.93 -8038.327 2126.531 34.093102 -10164.8583613 21.805 0.00056 -9535.53507 -628.7628773593874 -1.239573414078547e-07
298.15 CR W 0.08 0.92 -7797.926 2402.254 34.211571 -10200.179893649998 24.92 0.00064 -9508.47908 -691.0604007790716 -2.7618912353371084e-07
298.15 CR W 0.09 0.91 -7561.117 2671.008 34.318716 -10232.1251754 28.035 0.00072 -9481.423089999998 -749.9816351924776 -5.598921062978131e-07
298.15 CR W 0.1 0.9 -7328.23 2932.808 34.41569 -10261.037973499999 31.15 0.0008 -9454.367100000001 -805.870345271772 -1.053493662018591e-06
298.15 CR W 0.11 0.89 -7099.521 3187.671 34.503411 -10287.191989649999 34.265 0.00088 -9427.31111 -859.000492370776 -1.866253685971364e-06
298.15 CR W 0.12 0.88 -6875.199 3435.612 34.582629 -10310.810836349998 37.38 0.00096 -9400.25512 -909.5953759771999 -3.145463756205784e-06
298.15 CR W 0.13 0.87 -6655.433 3676.647 34.653966 -10332.079962899998 40.495 0.00104 -9373.19913 -957.840348132521 -5.0844029920581164e-06
298.15 CR W 0.14 0.86 -6440.364 3910.792 34.717945 -10351.15530175 43.61 0.00112 -9346.14314 -1003.8915915105914 -7.931050399896908e-06
298.15 CR W 0.15 0.85 -6230.108 4138.062 34.775012 -10368.169827799999 46.725 0.0012 -9319.08715 -1047.882375954332 -1.199755349478165e-05
298.15 CR W 0.16 0.84 -6024.765 4358.474 34.825555 -10383.239223249999 49.84 0.00128 -9292.031159999999 -1089.9276385420173 -1.7670452986962314e-05
298.15 CR W 0.17 0.83 -5824.419 4572.044 34.869907 -10396.46277205 52.955 0.00136 -9264.97517 -1130.1274135160918 -2.5421663322472473e-05
298.15 CR W 0.18 0.82 -5629.142 4778.787 34.908365 -10407.92902475 56.07 0.00144 -9237.91918 -1168.5694517045056 -3.582020886755318e-05
298.15 CR W 0.19 0.81 -5438.996 4978.719 34.941186 -10417.7146059 59.185 0.00152 -9210.86319 -1205.3312553507326 -4.954471552756093e-05
298.15 CR W 0.2 0.8 -5254.033 5171.856 34.968603 -10425.888984449999 62.3 0.0016 -9183.8072 -1240.4816826440385 -6.739665759230414e-05
298.15 CR W 0.21 0.79 -5074.3 5358.214 34.990821 -10432.513281149999 65.415 0.00168 -9156.75121 -1274.08222978906 -9.031435960173968e-05
298.15 CR W 0.22 0.78 -4899.835 5537.808 35.008026 -10437.6429519 68.53 0.00176 -9129.69522 -1306.188067542519 -0.00011938775302946994
298.15 CR W 0.23 0.77 -4730.673 5710.655 35.020384 -10441.327489599998 71.645 0.00184 -9102.63923 -1336.8488881016199 -0.00015587388758593103
298.15 CR W 0.24 0.76 -4566.843 5876.769 35.028046 -10443.6119149 74.76 0.00192 -9075.58324 -1366.1096036088943 -0.00020121319695092527
298.15 CR W 0.25 0.75 -4408.369 6036.169 35.031149 -10444.537074349999 77.875 0.002 -9048.52725 -1394.0109271940482 -0.00025704651875559315
298.15 CR W 0.26 0.74 -4255.272 6188.867 35.029816 -10444.139640399999 80.99 0.00208 -9021.47126 -1420.5898600324033 -0.00032523286864908285
298.15 CR W 0.27 0.73 -4107.571 6334.882 35.02416 -10442.453304 84.105 0.00216 -8994.41527 -1445.8801024662048 -0.00040786796830767223
298.15 CR W 0.28 0.72 -3965.281 6474.228 35.014285 -10439.50907275 87.22 0.00224 -8967.35928 -1469.9124032129614 -0.0005073035272742946
298.15 CR W 0.29 0.71 -3828.413 6606.922 35.000284 -10435.334674599999 90.335 0.00232 -8940.30329 -1492.7148576699553 -0.0006261672785583096
298.15 CR W 0.3 0.7 -3696.977 6732.979 34.982244 -10429.9560486 93.45 0.0024 -8913.247299999999 -1514.313164037668 -0.000767383767984219
298.15 CR W 0.31 0.69 -3570.982 6852.415 34.960244 -10423.3967486 96.565 0.00248 -8886.191309999998 -1534.730844232385 -0.0009341958973551058
298.15 CR W 0.32 0.68 -3450.433 6965.245 34.934356 -10415.678241399999 99.68 0.00256 -8859.13532 -1553.9894352015579 -0.0011301872215997944
298.15 CR W 0.33 0.67 -3335.334 7071.486 34.904645 -10406.819906749999 102.795 0.00264 -8832.079329999999 -1572.1086551954763 -0.0013593050002128416
298.15 CR W 0.34 0.66 -3225.686 7171.154 34.871173 -10396.84022995 105.91 0.00272 -8805.02334 -1589.1065487133012 -0.0016258840034722468
298.15 CR W 0.35 0.65 -3121.491 7264.264 34.833995 -10385.75560925 109.025 0.0028 -8777.967349999999 -1604.9996131775667 -0.0019346710741576676
298.15 CR W 0.36 0.64 -3022.749 7350.832 34.79316 -10373.580654 112.14 0.00288 -8750.91136 -1619.8029098595373 -0.0022908504457901774
298.15 CR W 0.37 0.63 -2929.456 7430.874 34.748715 -10360.329377249998 115.255 0.00296 -8723.85537 -1633.5301611487748 -0.0027000698187977295
298.15 CR W 0.38 0.62 -2841.609 7504.405 34.700702 -10346.0143013 118.37 0.00304 -8696.79938 -1646.193835911596 -0.003168467196502105
298.15 CR W 0.39 0.61 -2759.204 7571.442 34.649158 -10330.646457699999 121.485 0.00312 -8669.74339 -1657.8052243977716 -0.0037026984834342986
298.15 CR W 0.4 0.6 -2682.236 7632.0 34.594117 -10314.23598355 124.6 0.0032 -8642.687399999999 -1668.3745039196444 -0.004309965849252586
298.15 CR W 0.41 0.59 -2610.697 7686.095 34.53561 -10296.792121499999 127.715 0.00328 -8615.63141 -1677.9107963326926 -0.004998046862501155
298.15 CR W 0.42 0.58 -2544.58 7733.743 34.473664 -10278.322921599998 130.83 0.00336 -8588.575420000001 -1686.4222181834425 -0.005775324399626951
298.15 CR W 0.43 0.57 -2483.876 7774.96 34.408302 -10258.8352413 133.945 0.00344 -8561.51943 -1693.9159242532326 -0.00665081733612822
298.15 CR W 0.44 0.56 -2428.575 7809.76 34.339546 -10238.335639899999 137.06 0.00352 -8534.46344 -1700.3981451097393 -0.00763421202850401
298.15 CR W 0.45 0.55 -2378.668 7838.161 34.267412 -10216.828887799998 140.175 0.0036 -8507.40745 -1705.8742191782392 -0.008735894597843767
298.15 CR W 0.46 0.54 -2334.142 7860.178 34.191916 -10194.3197554 143.29 0.00368 -8480.35146 -1710.3486197582595 -0.009966984028535722
298.15 CR W 0.47 0.53 -2294.986 7875.826 34.11307 -10170.8118205 146.405 0.00376 -8453.29547 -1713.8249773357109 -0.011339366098785057
298.15 CR W 0.48 0.52 -2261.187 7885.121 34.030883 -10146.30776645 149.52 0.00384 -8426.23948 -1716.3060974737868 -0.012865728163451285
298.15 CR W 0.49 0.51 -2232.73 7888.08 33.945361 -10120.809382149999 152.635 0.00392 -8399.18349 -1717.7939745058845 -0.014559594814357719
298.15 CR W 0.5 0.5 -2209.601 7884.717 33.856509 -10094.31815835 155.75 0.004 -8372.1275 -1718.289801199083 -0.016435364448725075
298.15 CR W 0.51 0.49 -2191.785 7875.049 33.764326 -10066.833796899999 158.865 0.00408 -8345.07151 -1717.7939745058845 -0.018508346782954006
298.15 CR W 0.52 0.48 -2179.265 7859.091 33.668811 -10038.355999649999 161.98 0.00416 -8318.015519999999 -1716.3060974737868 -0.020794801356821963
298.15 CR W 0.53 0.47 -2172.025 7836.859 33.56996 -10008.883574 165.095 0.00424 -8290.95953 -1713.8249773357109 -0.023311977082411565
298.15 CR W 0.54 0.46 -2170.046 7808.369 33.467767 -9978.41473105 168.21 0.00432 -8263.90354 -1710.3486197582595 -0.026078152903050385
298.15 CR W 0.55 0.45 -2173.31 7773.636 33.36222 -9946.945893 171.325 0.0044 -8236.84755 -1705.8742191782392 -0.029112679640527946
298.15 CR W 0.56 0.44 -2181.798 7732.676 33.253308 -9914.473780199998 174.44 0.00448 -8209.79156 -1700.3981451097393 -0.03243602312410573
298.15 CR W 0.57 0.43 -2195.489 7685.505 33.141015 -9880.99362225 177.555 0.00456 -8182.73557 -1693.9159242532328 -0.03606980871281726
298.15 CR W 0.58 0.42 -2214.362 7632.138 33.025323 -9846.50005245 180.67 0.00464 -8155.67958 -1686.4222181834425 -0.04003686734377959
298.15 CR W 0.59 0.41 -2238.396 7572.591 32.90621 -9810.9865115 183.785 0.00472 -8128.62359 -1677.910796332693 -0.044361283264052545
298.15 CR W 0.6 0.4 -2267.566 7506.88 32.783652 -9774.445843799998 186.9 0.0048 -8101.5676 -1668.3745039196444 -0.04906844363294176
298.15 CR W 0.61 0.39 -2301.85 7435.02 32.657621 -9736.869701149999 190.015 0.00488 -8074.51161 -1657.8052243977716 -0.05418509021602509
