T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CU FE 0.0 1.0 -8133.465 -0.0297885 27.279676 -8133.435399399999 1043.0 2.22 -8133.465 0.0 -5837.568155846089
298.15 CU FE 1.0 0.0 -6240.8 4017.002 34.404834 -10257.8012571 1.0016e-09 2.22e-12 -6240.8 0.0 -1.0051949135711902e-67
298.15 CU FE 0.01 0.99 -7805.715 491.401 27.828663 -8297.115873449999 1032.1601 2.1978 -8114.538350000001 -138.82602141683572 -5713.26751858074
298.15 CU FE 0.02 0.98 -7451.961 974.0942 28.261127 -8426.055015049998 1021.3286 2.1756 -8095.6116999999995 -243.03584172567548 -5589.887253201944
298.15 CU FE 0.03 0.97 -7093.603 1448.046 28.648829 -8541.648366349998 1010.5053 2.1534 -8076.68505 -334.02154674813943 -5467.4329404627415
298.15 CU FE 0.04 0.96 -6735.192 1913.252 29.007024 -8648.444205599999 999.69024 2.1312 -8057.7584 -416.3281974105132 -5345.912304393774
298.15 CU FE 0.05 0.95 -6378.896 2369.708 29.342959 -8748.60322585 988.8835 2.109 -8038.831749999999 -492.11297050679866 -5225.333540679901
298.15 CU FE 0.06 0.94 -6025.989 2817.41 29.660905 -8843.398825749999 978.08504 2.0868 -8019.9051 -562.6452650375949 -5105.704027951979
298.15 CU FE 0.07 0.93 -5677.319 3256.353 29.963686 -8933.672980899999 967.29486 2.0646 -8000.97845 -628.7628773593874 -4987.031639675089
298.15 CU FE 0.08 0.92 -5333.489 3686.535 30.253308 -9020.0237802 956.51296 2.0424 -7982.0518 -691.0604007790716 -4869.32442287472
298.15 CU FE 0.09 0.91 -4994.95 4107.95 30.531276 -9102.899939399998 945.73934 2.0202 -7963.12515 -749.9816351924776 -4752.590604266173
298.15 CU FE 0.1 0.9 -4662.055 4520.594 30.798756 -9182.6491014 934.974 1.998 -7944.1985 -805.870345271772 -4636.838596707632
298.15 CU FE 0.11 0.89 -4335.086 4924.464 31.056683 -9259.550036449999 924.21694 1.9758 -7925.27185 -859.000492370776 -4522.077006000409
298.15 CU FE 0.12 0.88 -4014.277 5319.555 31.305823 -9333.83112745 913.46816 1.9536 -7906.3452 -909.5953759771999 -4408.31463806223
298.15 CU FE 0.13 0.87 -3699.821 5705.862 31.546814 -9405.682594099999 902.72766 1.9314 -7887.41855 -957.840348132521 -4295.560506501692
298.15 CU FE 0.14 0.86 -3391.884 6083.382 31.780198 -9475.2660337 891.99544 1.9092 -7868.491900000001 -1003.8915915105914 -4183.823840624814
298.15 CU FE 0.15 0.85 -3090.61 6452.11 32.00644 -9542.720086 881.2715 1.887 -7849.56525 -1047.882375954332 -4073.1140939076604
298.15 CU FE 0.16 0.84 -2796.122 6812.043 32.225945 -9608.16550175 870.55584 1.8648 -7830.6386 -1089.9276385420173 -3963.4409529722793
298.15 CU FE 0.17 0.83 -2508.532 7163.176 32.439069 -9671.70842235 859.84846 1.8426 -7811.711950000001 -1130.1274135160918 -3854.814347107076
298.15 CU FE 0.18 0.82 -2227.937 7505.506 32.646128 -9733.443063199999 849.14936 1.8204 -7792.7853000000005 -1168.5694517045056 -3747.2444583769134
298.15 CU FE 0.19 0.81 -1954.425 7839.028 32.847404 -9793.453502599998 838.45854 1.7982 -7773.85865 -1205.3312553507326 -3640.741732372984
298.15 CU FE 0.2 0.8 -1688.077 8163.739 33.043152 -9851.8157688 827.776 1.776 -7754.932000000001 -1240.4816826440385 -3535.316889657887
298.15 CU FE 0.21 0.79 -1428.964 8479.634 33.233603 -9908.598734449999 817.10174 1.7538 -7736.00535 -1274.08222978906 -3430.980937967264
298.15 CU FE 0.22 0.78 -1177.155 8786.711 33.418968 -9963.865309199999 806.43576 1.7316 -7717.0787 -1306.188067542519 -3327.745185236259
298.15 CU FE 0.23 0.77 -932.709 9084.965 33.599442 -10017.6736323 795.77806 1.7094 -7698.152050000001 -1336.8488881016199 -3225.6212535266855
298.15 CU FE 0.24 0.76 -695.6845 9374.393 33.775204 -10070.0770726 785.12864 1.6872 -7679.225399999999 -1366.1096036088943 -3124.6210939394823
298.15 CU FE 0.25 0.75 -466.1344 9654.991 33.946422 -10121.125719299998 774.4875 1.665 -7660.29875 -1394.0109271940482 -3024.757002607037
298.15 CU FE 0.26 0.74 -244.1085 9926.758 34.113252 -10170.8660838 763.85464 1.6428 -7641.3721000000005 -1420.5898600324033 -2926.0416378711557
298.15 CU FE 0.27 0.73 -29.65361 10189.69 34.275843 -10219.34259045 753.23006 1.6206 -7622.445449999999 -1445.8801024662048 -2828.488038765331
298.15 CU FE 0.28 0.72 177.1858 10443.78 34.434333 -10266.59638395 742.61376 1.5984 -7603.5188 -1469.9124032129614 -2732.1096449348006
298.15 CU FE 0.29 0.71 376.3677 10689.04 34.588856 -10312.6674164 732.00574 1.5762 -7584.59215 -1492.7148576699553 -2636.9203181446483
298.15 CU FE 0.3 0.7 567.8519 10925.45 34.739539 -10357.59355285 721.406 1.554 -7565.665499999999 -1514.313164037668 -2542.934365545758
298.15 CU FE 0.31 0.69 751.6001 11153.01 34.886506 -10401.411763899998 710.81454 1.5318 -7546.73885 -1534.730844232385 -2450.1665648908006
298.15 CU FE 0.32 0.68 927.5753 11371.73 35.029875 -10444.157231249997 700.23136 1.5096 -7527.8122 -1553.9894352015579 -2358.632191918398
298.15 CU FE 0.33 0.67 1095.742 11581.61 35.169764 -10485.8651366 689.65646 1.4874 -7508.885549999999 -1572.1086551954763 -2268.347050153687
298.15 CU FE 0.34 0.66 1256.065 11782.63 35.306284 -10526.568574599998 679.08984 1.4652 -7489.9589 -1589.1065487133012 -2179.3275034085364
