T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CU MO 0.0 1.0 -8515.141 -0.002619643 28.559915 -8515.13865725 0.0 0.0 -8515.141 0.0 -0.0
298.15 CU MO 1.0 0.0 -6240.85 4017.002 34.405002 -10257.8513463 0.0 0.0 -6240.85 0.0 -0.0
298.15 CU MO 0.01 0.99 -7816.326 855.0661 29.083991 -8671.39191665 0.0 0.0 -8492.398089999999 -138.82602141683572 -0.0
298.15 CU MO 0.02 0.98 -7099.357 1693.672 29.491964 -8793.029066599998 0.0 0.0 -8469.655179999998 -243.03584172567548 -0.0
298.15 CU MO 0.03 0.97 -6385.626 2515.816 29.855582 -8901.4417733 0.0 0.0 -8446.91227 -334.02154674813943 -0.0
298.15 CU MO 0.04 0.96 -5679.679 3321.497 30.190091 -9001.17563165 0.0 0.0 -8424.16936 -416.3281974105132 -0.0
298.15 CU MO 0.05 0.95 -4983.673 4110.715 30.502726 -9094.3877569 0.0 0.0 -8401.426449999999 -492.11297050679866 -0.0
298.15 CU MO 0.06 0.94 -4298.876 4883.471 30.797744 -9182.3473736 0.0 0.0 -8378.683539999998 -562.6452650375949 -0.0
298.15 CU MO 0.07 0.93 -3626.128 5639.764 31.077954 -9265.8919851 0.0 0.0 -8355.94063 -628.7628773593874 -0.0
298.15 CU MO 0.08 0.92 -2966.022 6379.595 31.345352 -9345.616698799999 0.0 0.0 -8333.19772 -691.0604007790716 -0.0
298.15 CU MO 0.09 0.91 -2319.003 7102.962 31.601426 -9421.9651619 0.0 0.0 -8310.45481 -749.9816351924776 -0.0
298.15 CU MO 0.1 0.9 -1685.413 7809.868 31.847329 -9495.281141349999 0.0 0.0 -8287.7119 -805.870345271772 -0.0
298.15 CU MO 0.11 0.89 -1065.528 8500.311 32.083979 -9565.838338849999 0.0 0.0 -8264.96899 -859.000492370776 -0.0
298.15 CU MO 0.12 0.88 -459.5699 9174.291 32.312127 -9633.860665049999 0.0 0.0 -8242.22608 -909.5953759771999 -0.0
298.15 CU MO 0.13 0.87 132.2755 9831.808 32.532392 -9699.532674799999 0.0 0.0 -8219.48317 -957.840348132521 -0.0
298.15 CU MO 0.14 0.86 709.852 10472.86 32.7453 -9763.011195 0.0 0.0 -8196.74026 -1003.8915915105914 -0.0
298.15 CU MO 0.15 0.85 1273.026 11097.46 32.951297 -9824.429200549997 0.0 0.0 -8173.99735 -1047.882375954332 -0.0
298.15 CU MO 0.16 0.84 1821.684 11705.59 33.150768 -9883.9014792 0.0 0.0 -8151.25444 -1089.9276385420173 -0.0
298.15 CU MO 0.17 0.83 2355.724 12297.25 33.34405 -9941.5285075 0.0 0.0 -8128.51153 -1130.1274135160918 -0.0
298.15 CU MO 0.18 0.82 2875.059 12872.46 33.531436 -9997.3976434 0.0 0.0 -8105.768620000001 -1168.5694517045056 -0.0
298.15 CU MO 0.19 0.81 3379.612 13431.2 33.713187 -10051.586704049998 0.0 0.0 -8083.02571 -1205.3312553507326 -0.0
298.15 CU MO 0.2 0.8 3869.314 13973.48 33.889533 -10104.164263949999 0.0 0.0 -8060.2828 -1240.4816826440385 -0.0
298.15 CU MO 0.21 0.79 4344.103 14499.29 34.060681 -10155.19204015 0.0 0.0 -8037.53989 -1274.08222978906 -0.0
298.15 CU MO 0.22 0.78 4803.924 15008.65 34.226815 -10204.72489225 0.0 0.0 -8014.79698 -1306.188067542519 -0.0
298.15 CU MO 0.23 0.77 5248.728 15501.54 34.388103 -10252.81290945 0.0 0.0 -7992.05407 -1336.8488881016199 -0.0
298.15 CU MO 0.24 0.76 5678.469 15977.97 34.544695 -10299.50081425 0.0 0.0 -7969.31116 -1366.1096036088943 -0.0
298.15 CU MO 0.25 0.75 6093.107 16437.94 34.696728 -10344.8294532 0.0 0.0 -7946.56825 -1394.0109271940482 -0.0
298.15 CU MO 0.26 0.74 6492.604 16881.44 34.844325 -10388.835498749999 0.0 0.0 -7923.825339999999 -1420.5898600324033 -0.0
298.15 CU MO 0.27 0.73 6876.928 17308.48 34.9876 -10431.55294 0.0 0.0 -7901.08243 -1445.8801024662048 -0.0
