T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CU SN 0.0 1.0 -12648.2 4400.0 57.179958 -17048.204477699997 0.0 0.0 -12648.2 0.0 -0.0
298.15 CU SN 1.0 0.0 -6240.85 4017.002 34.405002 -10257.8513463 0.0 0.0 -6240.85 0.0 -0.0
298.15 CU SN 0.01 0.99 -12785.58 4019.153 56.363341 -16804.730119149997 0.0 0.0 -12584.1265 -138.82602141683572 -0.0
298.15 CU SN 0.02 0.98 -12896.36 3643.226 55.474042 -16539.585622299997 0.0 0.0 -12520.053 -243.03584172567548 -0.0
298.15 CU SN 0.03 0.97 -13001.66 3272.303 54.583135 -16273.961700249998 0.0 0.0 -12455.979500000001 -334.02154674813943 -0.0
298.15 CU SN 0.04 0.96 -13105.74 2906.466 53.705186 -16012.201205899999 0.0 0.0 -12391.906 -416.3281974105132 -0.0
298.15 CU SN 0.05 0.95 -13210.46 2545.797 52.846753 -15756.25940695 0.0 0.0 -12327.8325 -492.11297050679866 -0.0
298.15 CU SN 0.06 0.94 -13316.83 2190.379 52.011417 -15507.20397855 0.0 0.0 -12263.759000000002 -562.6452650375949 -0.0
298.15 CU SN 0.07 0.93 -13425.38 1840.294 51.201311 -15265.670874649997 0.0 0.0 -12199.6855 -628.7628773593874 -0.0
298.15 CU SN 0.08 0.92 -13536.43 1495.625 50.417752 -15032.052758799999 0.0 0.0 -12135.612000000001 -691.0604007790716 -0.0
298.15 CU SN 0.09 0.91 -13650.14 1156.454 49.661551 -14806.59143065 0.0 0.0 -12071.5385 -749.9816351924776 -0.0
298.15 CU SN 0.1 0.9 -13766.56 822.8641 48.933184 -14589.428809599998 0.0 0.0 -12007.465 -805.870345271772 -0.0
298.15 CU SN 0.11 0.89 -13885.7 494.9378 48.232893 -14380.637047949998 0.0 0.0 -11943.391500000002 -859.000492370776 -0.0
298.15 CU SN 0.12 0.88 -14007.48 172.7575 47.56075 -14180.2376125 0.0 0.0 -11879.318000000001 -909.5953759771999 -0.0
298.15 CU SN 0.13 0.87 -14131.81 -143.5944 46.916699 -13988.213806849999 0.0 0.0 -11815.2445 -957.840348132521 -0.0
298.15 CU SN 0.14 0.86 -14258.56 -454.0352 46.300587 -13804.520014049998 0.0 0.0 -11751.171000000002 -1003.8915915105914 -0.0
298.15 CU SN 0.15 0.85 -14387.57 -758.4826 45.712184 -13629.0876596 0.0 0.0 -11687.097500000002 -1047.882375954332 -0.0
298.15 CU SN 0.16 0.84 -14518.68 -1056.854 45.151198 -13461.8296837 0.0 0.0 -11623.024 -1089.9276385420173 -0.0
298.15 CU SN 0.17 0.83 -14651.71 -1349.066 44.617288 -13302.6444172 0.0 0.0 -11558.950499999999 -1130.1274135160918 -0.0
298.15 CU SN 0.18 0.82 -14786.46 -1635.038 44.11007 -13151.4173705 0.0 0.0 -11494.877 -1168.5694517045056 -0.0
298.15 CU SN 0.19 0.81 -14922.71 -1914.686 43.629129 -13008.024811349998 0.0 0.0 -11430.803500000002 -1205.3312553507326 -0.0
298.15 CU SN 0.2 0.8 -15060.26 -2187.928 43.174016 -12872.3328704 0.0 0.0 -11366.730000000001 -1240.4816826440385 -0.0
298.15 CU SN 0.21 0.79 -15198.88 -2454.681 42.744262 -12744.201715299998 0.0 0.0 -11302.656500000001 -1274.08222978906 -0.0
298.15 CU SN 0.22 0.78 -15338.35 -2714.863 42.339375 -12623.484656249999 0.0 0.0 -11238.583000000002 -1306.188067542519 -0.0
298.15 CU SN 0.23 0.77 -15478.42 -2968.391 41.958844 -12510.0293386 0.0 0.0 -11174.509500000002 -1336.8488881016199 -0.0
298.15 CU SN 0.24 0.76 -15618.86 -3215.183 41.602142 -12403.6786373 0.0 0.0 -11110.436000000002 -1366.1096036088943 -0.0
298.15 CU SN 0.25 0.75 -15759.43 -3455.156 41.268729 -12304.271551349999 0.0 0.0 -11046.362500000001 -1394.0109271940482 -0.0
298.15 CU SN 0.26 0.74 -15899.87 -3688.228 40.958053 -12211.643501949999 0.0 0.0 -10982.289 -1420.5898600324033 -0.0
298.15 CU SN 0.27 0.73 -16039.94 -3914.316 40.669548 -12125.625736199998 0.0 0.0 -10918.2155 -1445.8801024662048 -0.0
298.15 CU SN 0.28 0.72 -16179.38 -4133.337 40.402641 -12046.04741415 0.0 0.0 -10854.142 -1469.9124032129614 -0.0
298.15 CU SN 0.29 0.71 -16317.94 -4345.21 40.156749 -11972.73471435 0.0 0.0 -10790.0685 -1492.7148576699553 -0.0
