T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CU SN 0.0 1.0 -12648.2 4400.0 57.179958 -17048.204477699997 0.0 0.0 -12648.2 0.0 -0.0
298.15 CU SN 1.0 0.0 -6240.85 4017.002 34.405002 -10257.8513463 0.0 0.0 -6240.85 0.0 -0.0
298.15 CU SN 0.01 0.99 -12785.58 4019.152 56.363336 -16804.728628399997 0.0 0.0 -12584.1265 -138.82602141683572 -0.0
298.15 CU SN 0.02 0.98 -12896.36 3643.225 55.474033 -16539.58293895 0.0 0.0 -12520.053 -243.03584172567548 -0.0
298.15 CU SN 0.03 0.97 -13001.66 3272.301 54.583121 -16273.957526149998 0.0 0.0 -12455.979500000001 -334.02154674813943 -0.0
298.15 CU SN 0.04 0.96 -13105.73 2906.464 53.705167 -16012.19554105 0.0 0.0 -12391.906 -416.3281974105132 -0.0
298.15 CU SN 0.05 0.95 -13210.46 2545.794 52.84673 -15756.252549499999 0.0 0.0 -12327.8325 -492.11297050679866 -0.0
298.15 CU SN 0.06 0.94 -13316.82 2190.376 52.01139 -15507.195928499998 0.0 0.0 -12263.759000000002 -562.6452650375949 -0.0
298.15 CU SN 0.07 0.93 -13425.37 1840.292 51.20128 -15265.661631999998 0.0 0.0 -12199.6855 -628.7628773593874 -0.0
298.15 CU SN 0.08 0.92 -13536.42 1495.623 50.417717 -15032.04232355 0.0 0.0 -12135.612000000001 -691.0604007790716 -0.0
298.15 CU SN 0.09 0.91 -13650.13 1156.453 49.661512 -14806.579802799999 0.0 0.0 -12071.5385 -749.9816351924776 -0.0
298.15 CU SN 0.1 0.9 -13766.55 822.8641 48.933141 -14589.415989149998 0.0 0.0 -12007.465 -805.870345271772 -0.0
298.15 CU SN 0.11 0.89 -13885.68 494.9388 48.232847 -14380.623333049998 0.0 0.0 -11943.391500000002 -859.000492370776 -0.0
298.15 CU SN 0.12 0.88 -14007.46 172.7596 47.5607 -14180.222704999998 0.0 0.0 -11879.318000000001 -909.5953759771999 -0.0
298.15 CU SN 0.13 0.87 -14131.79 -143.591 46.916646 -13988.1980049 0.0 0.0 -11815.2445 -957.840348132521 -0.0
298.15 CU SN 0.14 0.86 -14258.53 -454.0304 46.30053 -13804.5030195 0.0 0.0 -11751.171000000002 -1003.8915915105914 -0.0
298.15 CU SN 0.15 0.85 -14387.55 -758.4762 45.712124 -13629.0697706 0.0 0.0 -11687.097500000002 -1047.882375954332 -0.0
298.15 CU SN 0.16 0.84 -14518.66 -1056.846 45.151135 -13461.810900249999 0.0 0.0 -11623.024 -1089.9276385420173 -0.0
298.15 CU SN 0.17 0.83 -14651.68 -1349.057 44.617222 -13302.624739299998 0.0 0.0 -11558.950499999999 -1130.1274135160918 -0.0
298.15 CU SN 0.18 0.82 -14786.42 -1635.026 44.110002 -13151.3970963 0.0 0.0 -11494.877 -1168.5694517045056 -0.0
298.15 CU SN 0.19 0.81 -14922.68 -1914.672 43.629057 -13008.00334455 0.0 0.0 -11430.803500000002 -1205.3312553507326 -0.0
298.15 CU SN 0.2 0.8 -15060.22 -2187.912 43.173942 -12872.310807299998 0.0 0.0 -11366.730000000001 -1240.4816826440385 -0.0
298.15 CU SN 0.21 0.79 -15198.84 -2454.663 42.744186 -12744.179055899998 0.0 0.0 -11302.656500000001 -1274.08222978906 -0.0
298.15 CU SN 0.22 0.78 -15338.3 -2714.842 42.339297 -12623.461400549999 0.0 0.0 -11238.583000000002 -1306.188067542519 -0.0
298.15 CU SN 0.23 0.77 -15478.37 -2968.368 41.958763 -12510.005188449999 0.0 0.0 -11174.509500000002 -1336.8488881016199 -0.0
298.15 CU SN 0.24 0.76 -15618.81 -3215.157 41.60206 -12403.654188999999 0.0 0.0 -11110.436000000002 -1366.1096036088943 -0.0
298.15 CU SN 0.25 0.75 -15759.37 -3455.128 41.268645 -12304.24650675 0.0 0.0 -11046.362500000001 -1394.0109271940482 -0.0
298.15 CU SN 0.26 0.74 -15899.81 -3688.197 40.957966 -12211.617562899999 0.0 0.0 -10982.289 -1420.5898600324033 -0.0
298.15 CU SN 0.27 0.73 -16039.88 -3914.282 40.66946 -12125.599499 0.0 0.0 -10918.2155 -1445.8801024662048 -0.0
298.15 CU SN 0.28 0.72 -16179.32 -4133.301 40.402551 -12046.02058065 0.0 0.0 -10854.142 -1469.9124032129614 -0.0
298.15 CU SN 0.29 0.71 -16317.88 -4345.171 40.156658 -11972.707582699999 0.0 0.0 -10790.0685 -1492.7148576699553 -0.0
