T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CU ZN 0.0 1.0 -10273.5 2886.96 44.1404 -13160.460259999998 0.0 0.0 -10273.5 0.0 -0.0
298.15 CU ZN 1.0 0.0 -6240.85 4017.002 34.405002 -10257.8513463 0.0 0.0 -6240.85 0.0 -0.0
298.15 CU ZN 0.01 0.99 -10691.43 2606.407 44.601152 -13297.8334688 0.0 0.0 -10233.173499999999 -138.82602141683572 -0.0
298.15 CU ZN 0.02 0.98 -11082.67 2311.333 44.923712 -13394.0047328 0.0 0.0 -10192.847000000002 -243.03584172567548 -0.0
298.15 CU ZN 0.03 0.97 -11467.68 2003.08 45.181146 -13470.758679899998 0.0 0.0 -10152.5205 -334.02154674813943 -0.0
298.15 CU ZN 0.04 0.96 -11850.06 1682.959 45.389983 -13533.02343145 0.0 0.0 -10112.194 -416.3281974105132 -0.0
298.15 CU ZN 0.05 0.95 -12231.08 1352.252 45.558719 -13583.33206985 0.0 0.0 -10071.867499999998 -492.11297050679866 -0.0
298.15 CU ZN 0.06 0.94 -12611.11 1012.211 45.692838 -13623.319649699999 0.0 0.0 -10031.541000000001 -562.6452650375949 -0.0
298.15 CU ZN 0.07 0.93 -12990.12 664.0585 45.796352 -13654.182348799999 0.0 0.0 -9991.2145 -628.7628773593874 -0.0
298.15 CU ZN 0.08 0.92 -13367.88 308.9874 45.872427 -13676.864110049999 0.0 0.0 -9950.888 -691.0604007790716 -0.0
298.15 CU ZN 0.09 0.91 -13743.99 -51.83852 45.923695 -13692.149664249999 0.0 0.0 -9910.5615 -749.9816351924776 -0.0
298.15 CU ZN 0.1 0.9 -14118.0 -417.2851 45.952422 -13700.714619299999 0.0 0.0 -9870.235 -805.870345271772 -0.0
