T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CU ZR 0.0 1.0 -6719.723 7311.125 47.059694 -14030.8477661 0.0 0.0 -6719.723 0.0 -0.0
298.15 CU ZR 1.0 0.0 -6240.8 4017.002 34.404834 -10257.8012571 0.0 0.0 -6240.8 0.0 -0.0
298.15 CU ZR 0.01 0.99 -6991.313 7140.631 47.398771 -14131.94357365 0.0 0.0 -6714.933770000001 -138.82602141683572 -0.0
298.15 CU ZR 0.02 0.98 -7225.507 6972.916 47.621744 -14198.422973599998 0.0 0.0 -6710.144539999999 -243.03584172567548 -0.0
298.15 CU ZR 0.03 0.97 -7443.699 6807.979 47.800363 -14251.678228449999 0.0 0.0 -6705.35531 -334.02154674813943 -0.0
298.15 CU ZR 0.04 0.96 -7650.433 6645.822 47.949873 -14296.254634949997 0.0 0.0 -6700.56608 -416.3281974105132 -0.0
298.15 CU ZR 0.05 0.95 -7847.866 6486.443 48.077508 -14334.309010199999 0.0 0.0 -6695.776849999999 -492.11297050679866 -0.0
298.15 CU ZR 0.06 0.94 -8037.268 6329.843 48.187526 -14367.110876899998 0.0 0.0 -6690.98762 -562.6452650375949 -0.0
298.15 CU ZR 0.07 0.93 -8219.476 6176.022 48.282737 -14395.498036549998 0.0 0.0 -6686.19839 -628.7628773593874 -0.0
298.15 CU ZR 0.08 0.92 -8395.086 6024.98 48.365136 -14420.065298399999 0.0 0.0 -6681.40916 -691.0604007790716 -0.0
298.15 CU ZR 0.09 0.91 -8564.54 5876.716 48.43621 -14441.2560115 0.0 0.0 -6676.619930000001 -749.9816351924776 -0.0
298.15 CU ZR 0.1 0.9 -8728.183 5731.232 48.497114 -14459.4145391 0.0 0.0 -6671.8307 -805.870345271772 -0.0
298.15 CU ZR 0.11 0.89 -8886.288 5588.526 48.548765 -14474.81428475 0.0 0.0 -6667.04147 -859.000492370776 -0.0
298.15 CU ZR 0.12 0.88 -9039.079 5448.599 48.591912 -14487.6785628 0.0 0.0 -6662.25224 -909.5953759771999 -0.0
298.15 CU ZR 0.13 0.87 -9186.742 5311.451 48.627178 -14498.1931207 0.0 0.0 -6657.46301 -957.840348132521 -0.0
298.15 CU ZR 0.14 0.86 -9329.432 5177.082 48.655087 -14506.51418905 0.0 0.0 -6652.67378 -1003.8915915105914 -0.0
298.15 CU ZR 0.15 0.85 -9467.282 5045.492 48.676084 -14512.7744446 0.0 0.0 -6647.88455 -1047.882375954332 -0.0
298.15 CU ZR 0.16 0.84 -9600.409 4916.681 48.690556 -14517.089271399998 0.0 0.0 -6643.09532 -1089.9276385420173 -0.0
298.15 CU ZR 0.17 0.83 -9728.911 4790.648 48.698838 -14519.5585497 0.0 0.0 -6638.30609 -1130.1274135160918 -0.0
298.15 CU ZR 0.18 0.82 -9852.876 4667.394 48.701225 -14520.27023375 0.0 0.0 -6633.516860000001 -1168.5694517045056 -0.0
298.15 CU ZR 0.19 0.81 -9972.382 4546.919 48.697976 -14519.301544399998 0.0 0.0 -6628.727629999999 -1205.3312553507326 -0.0
298.15 CU ZR 0.2 0.8 -10087.5 4429.223 48.689323 -14516.72165245 0.0 0.0 -6623.9384 -1240.4816826440385 -0.0
298.15 CU ZR 0.21 0.79 -10198.29 4314.306 48.675471 -14512.59167865 0.0 0.0 -6619.149170000001 -1274.08222978906 -0.0
298.15 CU ZR 0.22 0.78 -10304.8 4202.168 48.656606 -14506.967078899997 0.0 0.0 -6614.35994 -1306.188067542519 -0.0
298.15 CU ZR 0.23 0.77 -10407.09 4092.808 48.632895 -14499.897644249999 0.0 0.0 -6609.57071 -1336.8488881016199 -0.0
298.15 CU ZR 0.24 0.76 -10505.2 3986.228 48.604487 -14491.427799049998 0.0 0.0 -6604.78148 -1366.1096036088943 -0.0
298.15 CU ZR 0.25 0.75 -10599.17 3882.426 48.57152 -14481.598687999998 0.0 0.0 -6599.99225 -1394.0109271940482 -0.0
298.15 CU ZR 0.26 0.74 -10689.04 3781.403 48.534118 -14470.447281699999 0.0 0.0 -6595.20302 -1420.5898600324033 -0.0
298.15 CU ZR 0.27 0.73 -10774.85 3683.159 48.492393 -14458.00697295 0.0 0.0 -6590.4137900000005 -1445.8801024662048 -0.0
298.15 CU ZR 0.28 0.72 -10856.62 3587.694 48.44645 -14444.309067499998 0.0 0.0 -6585.62456 -1469.9124032129614 -0.0
298.15 CU ZR 0.29 0.71 -10934.37 3495.007 48.396381 -14429.380995149999 0.0 0.0 -6580.83533 -1492.7148576699553 -0.0
298.15 CU ZR 0.3 0.7 -11008.15 3405.1 48.342273 -14413.248694949998 0.0 0.0 -6576.0461 -1514.313164037668 -0.0
298.15 CU ZR 0.31 0.69 -11077.97 3317.971 48.284206 -14395.936018899998 0.0 0.0 -6571.25687 -1534.730844232385 -0.0
298.15 CU ZR 0.32 0.68 -11143.84 3233.621 48.222251 -14377.46413565 0.0 0.0 -6566.467639999999 -1553.9894352015579 -0.0
298.15 CU ZR 0.33 0.67 -11205.8 3152.05 48.156475 -14357.853021249999 0.0 0.0 -6561.6784099999995 -1572.1086551954763 -0.0
298.15 CU ZR 0.34 0.66 -11263.86 3073.258 48.086938 -14337.1205647 0.0 0.0 -6556.88918 -1589.1065487133012 -0.0
298.15 CU ZR 0.35 0.65 -11318.04 2997.244 48.013695 -14315.283164249999 0.0 0.0 -6552.09995 -1604.9996131775667 -0.0
298.15 CU ZR 0.36 0.64 -11368.35 2924.01 47.936797 -14292.356025549998 0.0 0.0 -6547.31072 -1619.8029098595373 -0.0
