T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CU ZR 0.0 1.0 -6719.623 7311.123 47.059354 -14030.746395099999 0.0 0.0 -6719.623 0.0 -0.0
298.15 CU ZR 1.0 0.0 -6240.85 4017.002 34.405002 -10257.8513463 0.0 0.0 -6240.85 0.0 -0.0
298.15 CU ZR 0.01 0.99 -6866.509 7281.716 47.45338 -14148.225247 0.0 0.0 -6714.83527 -138.82602141683572 -0.0
298.15 CU ZR 0.02 0.98 -6978.52 7252.237 47.730192 -14230.756744799999 0.0 0.0 -6710.04754 -243.03584172567548 -0.0
298.15 CU ZR 0.03 0.97 -7077.046 7222.687 47.96154 -14299.733150999999 0.0 0.0 -6705.25981 -334.02154674813943 -0.0
298.15 CU ZR 0.04 0.96 -7166.635 7193.065 48.162669 -14359.69976235 0.0 0.0 -6700.47208 -416.3281974105132 -0.0
298.15 CU ZR 0.05 0.95 -7249.441 7163.372 48.340813 -14412.813395949997 0.0 0.0 -6695.6843499999995 -492.11297050679866 -0.0
298.15 CU ZR 0.06 0.94 -7326.736 7133.608 48.500231 -14460.343872649999 0.0 0.0 -6690.8966199999995 -562.6452650375949 -0.0
298.15 CU ZR 0.07 0.93 -7399.356 7103.772 48.643731 -14503.12839765 0.0 0.0 -6686.1088899999995 -628.7628773593874 -0.0
298.15 CU ZR 0.08 0.92 -7467.897 7073.865 48.773309 -14541.762078349999 0.0 0.0 -6681.3211599999995 -691.0604007790716 -0.0
298.15 CU ZR 0.09 0.91 -7532.802 7043.887 48.890453 -14576.688561949999 0.0 0.0 -6676.5334299999995 -749.9816351924776 -0.0
298.15 CU ZR 0.1 0.9 -7594.415 7013.837 48.996315 -14608.25131725 0.0 0.0 -6671.7456999999995 -805.870345271772 -0.0
298.15 CU ZR 0.11 0.89 -7653.009 6983.716 49.091816 -14636.7249404 0.0 0.0 -6666.9579699999995 -859.000492370776 -0.0
298.15 CU ZR 0.12 0.88 -7708.809 6953.523 49.177703 -14662.33214945 0.0 0.0 -6662.1702399999995 -909.5953759771999 -0.0
298.15 CU ZR 0.13 0.87 -7762.0 6923.259 49.254598 -14685.2583937 0.0 0.0 -6657.3825099999995 -957.840348132521 -0.0
298.15 CU ZR 0.14 0.86 -7812.737 6892.923 49.323025 -14705.65990375 0.0 0.0 -6652.594779999999 -1003.8915915105914 -0.0
298.15 CU ZR 0.15 0.85 -7861.154 6862.517 49.383432 -14723.670250799998 0.0 0.0 -6647.807049999999 -1047.882375954332 -0.0
298.15 CU ZR 0.16 0.84 -7907.366 6832.038 49.436204 -14739.404222599998 0.0 0.0 -6643.019319999999 -1089.9276385420173 -0.0
298.15 CU ZR 0.17 0.83 -7951.473 6801.489 49.481675 -14752.96140125 0.0 0.0 -6638.231589999999 -1130.1274135160918 -0.0
298.15 CU ZR 0.18 0.82 -7993.563 6770.868 49.520142 -14764.430337299998 0.0 0.0 -6633.44386 -1168.5694517045056 -0.0
298.15 CU ZR 0.19 0.81 -8033.712 6740.175 49.551862 -14773.8876553 0.0 0.0 -6628.656129999999 -1205.3312553507326 -0.0
298.15 CU ZR 0.2 0.8 -8071.992 6709.411 49.577068 -14781.402824199999 0.0 0.0 -6623.8684 -1240.4816826440385 -0.0
298.15 CU ZR 0.21 0.79 -8108.461 6678.576 49.595966 -14787.037262899998 0.0 0.0 -6619.080669999999 -1274.08222978906 -0.0
298.15 CU ZR 0.22 0.78 -8143.176 6647.67 49.608741 -14790.846129149999 0.0 0.0 -6614.29294 -1306.188067542519 -0.0
298.15 CU ZR 0.23 0.77 -8176.187 6616.692 49.615559 -14792.878915849999 0.0 0.0 -6609.505209999999 -1336.8488881016199 -0.0
298.15 CU ZR 0.24 0.76 -8207.538 6585.642 49.616571 -14793.18064365 0.0 0.0 -6604.71748 -1366.1096036088943 -0.0
298.15 CU ZR 0.25 0.75 -8237.27 6554.522 49.611913 -14791.79186095 0.0 0.0 -6599.929749999999 -1394.0109271940482 -0.0
298.15 CU ZR 0.26 0.74 -8265.421 6523.329 49.601711 -14788.75013465 0.0 0.0 -6595.142019999999 -1420.5898600324033 -0.0
298.15 CU ZR 0.27 0.73 -8292.023 6492.066 49.586076 -14784.0885594 0.0 0.0 -6590.354289999999 -1445.8801024662048 -0.0
298.15 CU ZR 0.28 0.72 -8317.107 6460.731 49.565111 -14777.83784465 0.0 0.0 -6585.566559999999 -1469.9124032129614 -0.0
298.15 CU ZR 0.29 0.71 -8340.702 6429.325 49.538912 -14770.0266128 0.0 0.0 -6580.778829999999 -1492.7148576699553 -0.0
298.15 CU ZR 0.3 0.7 -8362.833 6397.847 49.507565 -14760.680504749998 0.0 0.0 -6575.991099999999 -1514.313164037668 -0.0
298.15 CU ZR 0.31 0.69 -8383.525 6366.298 49.471147 -14749.822478049999 0.0 0.0 -6571.203369999999 -1534.730844232385 -0.0
298.15 CU ZR 0.32 0.68 -8402.797 6334.677 49.429732 -14737.474595799998 0.0 0.0 -6566.415639999999 -1553.9894352015579 -0.0
298.15 CU ZR 0.33 0.67 -8420.671 6302.986 49.383385 -14723.656237749998 0.0 0.0 -6561.627909999999 -1572.1086551954763 -0.0
298.15 CU ZR 0.34 0.66 -8437.164 6271.222 49.332168 -14708.385889199999 0.0 0.0 -6556.840179999999 -1589.1065487133012 -0.0
298.15 CU ZR 0.35 0.65 -8452.292 6239.388 49.276135 -14691.679650249998 0.0 0.0 -6552.052449999999 -1604.9996131775667 -0.0
298.15 CU ZR 0.36 0.64 -8466.071 6207.482 49.215336 -14673.552428399998 0.0 0.0 -6547.26472 -1619.8029098595373 -0.0
298.15 CU ZR 0.37 0.63 -8478.514 6175.504 49.149819 -14654.01853485 0.0 0.0 -6542.476989999999 -1633.5301611487748 -0.0
298.15 CU ZR 0.38 0.62 -8489.635 6143.455 49.079624 -14633.0898956 0.0 0.0 -6537.68926 -1646.193835911596 -0.0
298.15 CU ZR 0.39 0.61 -8499.443 6111.335 49.004791 -14610.778436649998 0.0 0.0 -6532.901529999999 -1657.8052243977716 -0.0
298.15 CU ZR 0.4 0.6 -8507.95 6079.143 48.925351 -14587.09340065 0.0 0.0 -6528.113799999999 -1668.3745039196444 -0.0
298.15 CU ZR 0.41 0.59 -8515.164 6046.88 48.841338 -14562.0449247 0.0 0.0 -6523.326070000001 -1677.9107963326926 -0.0
298.15 CU ZR 0.42 0.58 -8521.094 6014.546 48.752776 -14535.640164399998 0.0 0.0 -6518.538340000001 -1686.4222181834425 -0.0
298.15 CU ZR 0.43 0.57 -8525.747 5982.14 48.659692 -14507.887169799998 0.0 0.0 -6513.750610000001 -1693.9159242532326 -0.0
298.15 CU ZR 0.44 0.56 -8529.128 5949.663 48.562105 -14478.791605749999 0.0 0.0 -6508.962880000001 -1700.3981451097393 -0.0
298.15 CU ZR 0.45 0.55 -8531.244 5917.115 48.460033 -14448.35883895 0.0 0.0 -6504.17515 -1705.8742191782392 -0.0
298.15 CU ZR 0.46 0.54 -8532.099 5884.495 48.353492 -14416.5936398 0.0 0.0 -6499.38742 -1710.3486197582595 -0.0
298.15 CU ZR 0.47 0.53 -8531.696 5851.803 48.242493 -14383.49928795 0.0 0.0 -6494.59969 -1713.8249773357109 -0.0
298.15 CU ZR 0.48 0.52 -8530.038 5819.041 48.127046 -14349.0787649 0.0 0.0 -6489.81196 -1716.3060974737868 -0.0
298.15 CU ZR 0.49 0.51 -8527.128 5786.206 48.007158 -14313.334157699997 0.0 0.0 -6485.02423 -1717.7939745058845 -0.0
298.15 CU ZR 0.5 0.5 -8522.966 5753.301 47.882832 -14276.266360799998 0.0 0.0 -6480.2365 -1718.289801199083 -0.0
298.15 CU ZR 0.51 0.49 -8517.552 5720.324 47.754071 -14237.87626865 0.0 0.0 -6475.44877 -1717.7939745058845 -0.0
298.15 CU ZR 0.52 0.48 -8510.887 5687.276 47.620872 -14198.162986799998 0.0 0.0 -6470.66104 -1716.3060974737868 -0.0
298.15 CU ZR 0.53 0.47 -8502.97 5654.156 47.483232 -14157.1256208 0.0 0.0 -6465.87331 -1713.8249773357109 -0.0
298.15 CU ZR 0.54 0.46 -8493.797 5620.965 47.341143 -14114.76178545 0.0 0.0 -6461.08558 -1710.3486197582595 -0.0
298.15 CU ZR 0.55 0.45 -8483.367 5587.702 47.194598 -14071.069393699998 0.0 0.0 -6456.297850000001 -1705.8742191782392 -0.0
298.15 CU ZR 0.56 0.44 -8471.676 5554.369 47.043582 -14026.043973299998 0.0 0.0 -6451.51012 -1700.3981451097393 -0.0
298.15 CU ZR 0.57 0.43 -8458.719 5520.963 46.888083 -13979.681946449999 0.0 0.0 -6446.72239 -1693.9159242532328 -0.0
298.15 CU ZR 0.58 0.42 -8444.49 5487.487 46.72808 -13931.977051999998 0.0 0.0 -6441.93466 -1686.4222181834425 -0.0
298.15 CU ZR 0.59 0.41 -8428.985 5453.939 46.563554 -13882.9236251 0.0 0.0 -6437.146930000001 -1677.910796332693 -0.0
298.15 CU ZR 0.6 0.4 -8412.195 5420.319 46.394481 -13832.514510149998 0.0 0.0 -6432.359200000001 -1668.3745039196444 -0.0
298.15 CU ZR 0.61 0.39 -8394.113 5386.628 46.220833 -13780.74135895 0.0 0.0 -6427.571470000001 -1657.8052243977716 -0.0
298.15 CU ZR 0.62 0.38 -8374.729 5352.866 46.04258 -13727.595227 0.0 0.0 -6422.783740000001 -1646.193835911596 -0.0
