T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 FE ND 0.0 1.0 -19919.93 1437.295 71.632481 -21357.224210149998 1.043e-27 2.22e-30 -19919.93 0.0 -0.0
298.15 FE ND 1.0 0.0 -8133.467 -0.0331478 27.27967 -8133.433610499999 1043.0 2.22 -8133.467 0.0 -5837.568155846089
298.15 FE ND 0.01 0.99 -19072.18 2390.127 71.984927 -21462.30598505 10.43 0.0222 -19802.06537 -138.82602141683572 -1.2173716933975972e-07
298.15 FE ND 0.02 0.98 -18219.02 3310.111 72.209046 -21529.1270649 20.86 0.0444 -19684.20074 -243.03584172567548 -7.707477287391463e-06
298.15 FE ND 0.03 0.97 -17381.44 4197.71 72.376813 -21579.146795949997 31.29 0.0666 -19566.33611 -334.02154674813943 -8.686631064102029e-05
298.15 FE ND 0.04 0.96 -16563.59 5053.386 72.503698 -21616.977558699997 41.72 0.0888 -19448.47148 -416.3281974105132 -0.00048300851422781164
298.15 FE ND 0.05 0.95 -15767.24 5877.598 72.597152 -21644.840868799998 52.15 0.111 -19330.60685 -492.11297050679866 -0.0018237377253851313
298.15 FE ND 0.06 0.94 -14993.27 6670.801 72.661636 -21664.066773399998 62.58 0.1332 -19212.74222 -562.6452650375949 -0.005391022825081831
298.15 FE ND 0.07 0.93 -14242.11 7433.441 72.700143 -21675.54763545 73.01 0.1554 -19094.87759 -628.7628773593874 -0.013459980631745846
298.15 FE ND 0.08 0.92 -13513.97 8165.955 72.714824 -21679.924775599997 83.44 0.1776 -18977.012960000004 -691.0604007790716 -0.0297000666995776
298.15 FE ND 0.09 0.91 -12808.91 8868.766 72.707284 -21677.676724599998 93.87 0.1998 -18859.148330000004 -749.9816351924776 -0.05963488252441791
298.15 FE ND 0.1 0.9 -12126.89 9542.278 72.678746 -21669.168119899998 104.3 0.222 -18741.2837 -805.870345271772 -0.1111571782788611
298.15 FE ND 0.11 0.89 -11467.8 10186.87 72.63014 -21654.676240999997 114.73 0.2442 -18623.41907 -859.000492370776 -0.19509598485936586
298.15 FE ND 0.12 0.88 -10831.5 10802.91 72.562154 -21634.4062151 125.16 0.2664 -18505.55444 -909.5953759771999 -0.3258331923045998
298.15 FE ND 0.13 0.87 -10217.79 11390.71 72.475264 -21608.4999616 135.59 0.2886 -18387.68981 -957.840348132521 -0.5219673891792395
298.15 FE ND 0.14 0.86 -9626.481 11950.56 72.369748 -21577.0403662 146.02 0.3108 -18269.82518 -1003.8915915105914 -0.8070235485126451
298.15 FE ND 0.15 0.85 -9057.348 12482.71 72.245692 -21540.0530698 156.45 0.333 -18151.96055 -1047.882375954332 -1.2102084740511028
298.15 FE ND 0.16 0.84 -8510.165 12987.34 72.102989 -21497.506170349996 166.88 0.3552 -18034.09592 -1089.9276385420173 -1.7672142920549188
