T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 FE NI 0.0 1.0 -1521.871 7989.419 31.901023 -9511.29000745 575.0 0.85 -1521.871 0.0 -1042.4491903721046
298.15 FE NI 1.0 0.0 -8132.746 0.6829054 27.279653 -8133.428541949999 1043.0 2.22 -8132.746 0.0 -5837.568155846089
298.15 FE NI 0.01 0.99 -1735.805 7893.47 32.296745 -9629.27452175 579.68 0.8637 -1587.97975 -138.82602141683572 -1074.8891459194165
298.15 FE NI 0.02 0.98 -1914.561 7798.494 32.577748 -9713.055566199999 584.36 0.8774 -1654.0885 -243.03584172567548 -1107.7358199784396
298.15 FE NI 0.03 0.97 -2079.542 7704.474 32.815751 -9784.016160649999 589.04 0.8911 -1720.19725 -334.02154674813943 -1140.9852667610262
298.15 FE NI 0.04 0.96 -2235.303 7611.39 33.02597 -9846.692955499999 593.72 0.9048 -1786.306 -416.3281974105132 -1174.6335987572645
298.15 FE NI 0.05 0.95 -2384.013 7519.222 33.215612 -9903.2347178 598.4 0.9185 -1852.4147500000001 -492.11297050679866 -1208.6769861873872
298.15 FE NI 0.06 0.94 -2526.95 7427.952 33.388907 -9954.90262205 603.08 0.9322 -1918.5235 -562.6452650375949 -1243.1116564059826
298.15 FE NI 0.07 0.93 -2664.965 7337.561 33.548635 -10002.52552525 607.76 0.9459 -1984.63225 -628.7628773593874 -1277.933893265184
298.15 FE NI 0.08 0.92 -2798.661 7248.029 33.696762 -10046.689590299999 612.44 0.9596 -2050.741 -691.0604007790716 -1313.1400364429019
298.15 FE NI 0.09 0.91 -2928.494 7159.336 33.834748 -10087.830116199999 617.12 0.9733 -2116.8497500000003 -749.9816351924776 -1348.7264807414358
298.15 FE NI 0.1 0.9 -3054.819 7071.464 33.963718 -10126.282521699999 621.8 0.987 -2182.9585 -805.870345271772 -1384.6896753613403
298.15 FE NI 0.11 0.89 -3177.92 6984.393 34.084562 -10162.312160299998 626.48 1.0007 -2249.06725 -859.000492370776 -1421.0261231548445
298.15 FE NI 0.12 0.88 -3298.031 6898.102 34.198 -10196.133699999998 631.16 1.0144 -2315.176 -909.5953759771999 -1457.7323798627162
298.15 FE NI 0.13 0.87 -3415.35 6812.574 34.304626 -10227.924241899998 635.84 1.0281 -2381.2847500000003 -957.840348132521 -1494.8050533380174
298.15 FE NI 0.14 0.86 -3530.043 6727.788 34.404935 -10257.83137025 640.52 1.0418 -2447.3935 -1003.8915915105914 -1532.2408027598626
298.15 FE NI 0.15 0.85 -3642.256 6643.724 34.499345 -10285.979711749998 645.2 1.0555 -2513.50225 -1047.882375954332 -1570.036337839925
298.15 FE NI 0.16 0.84 -3752.113 6560.363 34.588214 -10312.476004099999 649.88 1.0692 -2579.611 -1089.9276385420173 -1608.1884180241655
298.15 FE NI 0.17 0.83 -3859.727 6477.685 34.671849 -10337.411779349999 654.56 1.0829 -2645.71975 -1130.1274135160918 -1646.6938516919683
298.15 FE NI 0.18 0.82 -3965.196 6395.671 34.750516 -10360.866345399998 659.24 1.0966 -2711.8285 -1168.5694517045056 -1685.5494953546379
298.15 FE NI 0.19 0.81 -4068.609 6314.299 34.824446 -10382.9085749 663.92 1.1103 -2777.93725 -1205.3312553507326 -1724.7522528549698
298.15 FE NI 0.2 0.8 -4170.048 6233.552 34.893843 -10403.599290449998 668.6 1.124 -2844.0460000000003 -1240.4816826440385 -1764.2990745694433
298.15 FE NI 0.21 0.79 -4269.583 6153.408 34.958884 -10422.9912646 673.28 1.1377 -2910.1547499999997 -1274.08222978906 -1804.1869566143816
298.15 FE NI 0.22 0.78 -4367.284 6073.848 35.019726 -10441.131306899999 677.96 1.1514 -2976.2635 -1306.188067542519 -1844.4129400572472
298.15 FE NI 0.23 0.77 -4463.209 5994.852 35.076509 -10458.06115835 682.64 1.1651 -3042.3722500000003 -1336.8488881016199 -1884.9741101341542
298.15 FE NI 0.24 0.76 -4557.417 5916.399 35.129354 -10473.816895099999 687.32 1.1788 -3108.481 -1366.1096036088943 -1925.8675954744722
298.15 FE NI 0.25 0.75 -4649.96 5838.471 35.17837 -10488.4310155 692.0 1.1925 -3174.58975 -1394.0109271940482 -1967.0905673333416
298.15 FE NI 0.26 0.74 -4740.886 5761.047 35.223655 -10501.93273825 696.68 1.2062 -3240.6985000000004 -1420.5898600324033 -2008.6402388327751
298.15 FE NI 0.27 0.73 -4830.24 5684.106 35.265292 -10514.3468098 701.36 1.2199 -3306.8072500000003 -1445.8801024662048 -2050.5138642119464
298.15 FE NI 0.28 0.72 -4918.066 5607.63 35.303357 -10525.69588955 706.04 1.2336 -3372.916 -1469.9124032129614 -2092.7087380871503
298.15 FE NI 0.29 0.71 -5004.403 5531.597 35.337917 -10535.99995355 710.72 1.2473 -3439.0247499999996 -1492.7148576699553 -2135.2221947219014
298.15 FE NI 0.3 0.7 -5089.288 5455.988 35.36903 -10545.2762945 715.4 1.261 -3505.1335 -1514.313164037668 -2178.051607307481
298.15 FE NI 0.31 0.69 -5172.758 5380.782 35.396748 -10553.5404162 720.08 1.2747 -3571.2422500000002 -1534.730844232385 -2221.194387254275
298.15 FE NI 0.32 0.68 -5254.845 5305.96 35.421115 -10560.80543725 724.76 1.2884 -3637.351 -1553.9894352015579 -2264.647983494096
298.15 FE NI 0.33 0.67 -5335.582 5231.501 35.442171 -10567.08328365 729.44 1.3021 -3703.45975 -1572.1086551954763 -2308.4098817937174
298.15 FE NI 0.34 0.66 -5414.998 5157.385 35.459947 -10572.38319805 734.12 1.3158 -3769.5685 -1589.1065487133012 -2352.477604079739
298.15 FE NI 0.35 0.65 -5493.122 5083.592 35.474473 -10576.71412495 738.8 1.3295 -3835.67725 -1604.9996131775667 -2396.8487077748914
298.15 FE NI 0.36 0.64 -5569.981 5010.102 35.485772 -10580.082921799998 743.48 1.3432 -3901.786 -1619.8029098595373 -2441.520785145859
298.15 FE NI 0.37 0.63 -5645.601 4936.893 35.493862 -10582.494955299999 748.16 1.3569 -3967.89475 -1633.5301611487748 -2486.4914626626246
298.15 FE NI 0.38 0.62 -5720.007 4863.947 35.498757 -10583.954399549999 752.84 1.3706 -4034.0035 -1646.193835911596 -2531.7584003693864
298.15 FE NI 0.39 0.61 -5793.222 4791.243 35.50047 -10584.465130499999 757.52 1.3843 -4100.11225 -1657.8052243977716 -2577.3192912669765
298.15 FE NI 0.4 0.6 -5865.268 4718.76 35.499007 -10584.02893705 762.2 1.398 -4166.2210000000005 -1668.3745039196444 -2623.1718607067896
298.15 FE NI 0.41 0.59 -5936.168 4646.479 35.494371 -10582.64671365 766.88 1.4117 -4232.32975 -1677.9107963326926 -2669.313865796108
298.15 FE NI 0.42 0.58 -6005.94 4574.378 35.486562 -10580.318460299999 771.56 1.4254 -4298.4385 -1686.4222181834425 -2715.743094814798
298.15 FE NI 0.43 0.57 -6074.606 4502.438 35.475579 -10577.04387885 776.24 1.4391 -4364.54725 -1693.9159242532326 -2762.457366643215
298.15 FE NI 0.44 0.56 -6142.183 4430.638 35.461415 -10572.82088225 780.92 1.4528 -4430.656 -1700.3981451097393 -2809.454530201281
298.15 FE NI 0.45 0.55 -6208.689 4358.958 35.444061 -10567.646787149999 785.6 1.4665 -4496.76475 -1705.8742191782392 -2856.732463898559
298.15 FE NI 0.46 0.54 -6274.14 4287.378 35.423506 -10561.5183139 790.28 1.4802 -4562.873500000001 -1710.3486197582595 -2904.2890750952083
298.15 FE NI 0.47 0.53 -6338.554 4215.876 35.399735 -10554.430990249999 794.96 1.4939 -4628.98225 -1713.8249773357109 -2952.1222995736985
298.15 FE NI 0.48 0.52 -6401.946 4144.434 35.37273 -10546.379449499998 799.64 1.5076 -4695.091 -1716.3060974737868 -3000.2301010211004
298.15 FE NI 0.49 0.51 -6464.329 4073.029 35.342473 -10537.358324949999 804.32 1.5213 -4761.19975 -1717.7939745058845 -3048.61047052184
298.15 FE NI 0.5 0.5 -6525.718 4001.643 35.30894 -10527.360460999998 809.0 1.535 -4827.3085 -1718.289801199083 -3097.2614260607147
298.15 FE NI 0.51 0.49 -6586.125 3930.253 35.272107 -10516.378702049999 813.68 1.5487 -4893.41725 -1717.7939745058845 -3146.181012036042
298.15 FE NI 0.52 0.48 -6645.563 3858.841 35.231945 -10504.40440175 818.36 1.5624 -4959.526000000001 -1716.3060974737868 -3195.36729878275
298.15 FE NI 0.53 0.47 -6704.044 3787.385 35.188425 -10491.42891375 823.04 1.5761 -5025.63475 -1713.8249773357109 -3244.8183821052594
298.15 FE NI 0.54 0.46 -6761.577 3715.865 35.141513 -10477.44210095 827.72 1.5898 -5091.7435000000005 -1710.3486197582595 -3294.5323828199635
298.15 FE NI 0.55 0.45 -6818.173 3644.261 35.091174 -10462.4335281 832.4 1.6035 -5157.852250000001 -1705.8742191782392 -3344.507446307154
298.15 FE NI 0.56 0.44 -6873.84 3572.552 35.03737 -10446.3918655 837.08 1.6172 -5223.961 -1700.3981451097393 -3394.741742072197
298.15 FE NI 0.57 0.43 -6928.587 3500.717 34.980058 -10429.304292699999 841.76 1.6309 -5290.06975 -1693.9159242532328 -3445.233463315806
298.15 FE NI 0.58 0.42 -6982.422 3428.736 34.919196 -10411.1582874 846.44 1.6446 -5356.1785 -1686.4222181834425 -3495.980826513218
298.15 FE NI 0.59 0.41 -7035.351 3356.589 34.854737 -10391.93983655 851.12 1.6583 -5422.287249999999 -1677.910796332693 -3546.9820710021086
298.15 FE NI 0.6 0.4 -7087.379 3284.255 34.786629 -10371.63343635 855.8 1.672 -5488.396000000001 -1668.3745039196444 -3598.2354585790686
298.15 FE NI 0.61 0.39 -7138.511 3211.713 34.714821 -10350.22388115 860.48 1.6857 -5554.50475 -1657.8052243977716 -3649.7392731044783
298.15 FE NI 0.62 0.38 -7188.751 3138.942 34.639255 -10327.693878249998 865.16 1.6994 -5620.6135 -1646.193835911596 -3701.4918201155842
298.15 FE NI 0.63 0.37 -7238.102 3065.924 34.559872 -10304.0258368 869.84 1.7131 -5686.72225 -1633.5301611487748 -3753.4914264476433
298.15 FE NI 0.64 0.36 -7286.565 2992.635 34.476607 -10279.20037705 874.52 1.7268 -5752.831 -1619.8029098595373 -3805.736439862931
298.15 FE NI 0.65 0.35 -7334.141 2919.057 34.389394 -10253.1978211 879.2 1.7405 -5818.9397500000005 -1604.9996131775667 -3858.225228687477
298.15 FE NI 0.66 0.34 -7380.828 2845.169 34.29816 -10225.996404 883.88 1.7542 -5885.0485 -1589.106548713301 -3910.9561814553413
298.15 FE NI 0.67 0.33 -7426.625 2770.949 34.20283 -10197.573764499999 888.56 1.7679 -5951.15725 -1572.1086551954763 -3963.927706560284
298.15 FE NI 0.68 0.32 -7471.528 2696.378 34.103322 -10167.905454299998 893.24 1.7816 -6017.266 -1553.9894352015576 -4017.138231914667
298.15 FE NI 0.69 0.31 -7515.532 2621.434 33.999549 -10136.96553435 897.92 1.7953 -6083.37475 -1534.730844232385 -4070.5862046154116
298.15 FE NI 0.7 0.3 -7558.63 2546.097 33.891421 -10104.72717115 902.6 1.809 -6149.4835 -1514.313164037668 -4124.270090616902
298.15 FE NI 0.71 0.29 -7600.814 2470.347 33.77884 -10071.161146 907.28 1.8227 -6215.59225 -1492.7148576699553 -4178.188374410621
298.15 FE NI 0.72 0.28 -7642.073 2394.163 33.6617 -10036.235855 911.96 1.8364 -6281.701 -1469.9124032129614 -4232.339558711426
298.15 FE NI 0.73 0.27 -7682.395 2317.524 33.539891 -9999.918501649998 916.64 1.8501 -6347.80975 -1445.8801024662048 -4286.722164150291
298.15 FE NI 0.74 0.26 -7721.764 2240.409 33.413293 -9962.17330795 921.32 1.8638 -6413.9185 -1420.5898600324033 -4341.334728973353
298.15 FE NI 0.75 0.25 -7760.164 2162.798 33.281776 -9922.9615144 926.0 1.8775 -6480.02725 -1394.0109271940482 -4396.175808747176
298.15 FE NI 0.76 0.24 -7797.572 2084.67 33.145204 -9882.242572599998 930.68 1.8912 -6546.1359999999995 -1366.1096036088943 -4451.24397607004
298.15 FE NI 0.77 0.23 -7833.966 2006.005 33.003425 -9839.971163749999 935.36 1.9049 -6612.24475 -1336.8488881016199 -4506.537820289132
298.15 FE NI 0.78 0.22 -7869.318 1926.781 32.856279 -9796.09958385 940.04 1.9186 -6678.353500000001 -1306.188067542519 -4562.055947223535
