T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 FE SC 0.0 1.0 -8654.576 1979.731 35.66764 -10634.306865999999 1.043e-27 2.22e-30 -8654.576 0.0 -0.0
298.15 FE SC 1.0 0.0 -8133.465 -0.02978856 27.279676 -8133.435399399999 1043.0 2.22 -8133.465 0.0 -5837.568155846089
298.15 FE SC 0.01 0.99 -9044.743 1691.223 36.008604 -10735.965282599998 10.43 0.0222 -8649.364889999999 -138.82602141683572 -1.2173716933975972e-07
298.15 FE SC 0.02 0.98 -9400.198 1403.633 36.236224 -10803.8301856 20.86 0.0444 -8644.153779999999 -243.03584172567548 -7.707477287391463e-06
298.15 FE SC 0.03 0.97 -9742.138 1117.156 36.422249 -10859.29353935 31.29 0.0666 -8638.942669999999 -334.02154674813943 -8.686631064102029e-05
298.15 FE SC 0.04 0.96 -10074.91 831.9842 36.581918 -10906.8988517 41.72 0.0888 -8633.731559999998 -416.3281974105132 -0.00048300851422781164
298.15 FE SC 0.05 0.95 -10400.49 548.3081 36.722453 -10948.79936195 52.15 0.111 -8628.520449999998 -492.11297050679866 -0.0018237377253851313
298.15 FE SC 0.06 0.94 -10719.94 266.3125 36.848087 -10986.25713905 62.58 0.1332 -8623.309339999998 -562.6452650375949 -0.005391022825081831
298.15 FE SC 0.07 0.93 -11033.92 -13.82506 36.961582 -11020.095673299998 73.01 0.1554 -8618.098229999998 -628.7628773593874 -0.013459980631745846
298.15 FE SC 0.08 0.92 -11342.83 -291.9376 37.064861 -11050.888307149999 83.44 0.1776 -8612.88712 -691.0604007790716 -0.0297000666995776
298.15 FE SC 0.09 0.91 -11646.92 -567.8719 37.159299 -11079.044996849998 93.87 0.1998 -8607.67601 -749.9816351924776 -0.05963488252441791
298.15 FE SC 0.1 0.9 -11946.35 -841.4927 37.24589 -11104.8621035 104.3 0.222 -8602.464899999999 -805.870345271772 -0.1111571782788611
298.15 FE SC 0.11 0.89 -12241.24 -1112.687 37.325335 -11128.54863025 114.73 0.2442 -8597.253789999999 -859.000492370776 -0.19509598485936586
298.15 FE SC 0.12 0.88 -12531.61 -1381.368 37.398093 -11150.24142795 125.16 0.2664 -8592.042679999999 -909.5953759771999 -0.3258331923045998
298.15 FE SC 0.13 0.87 -12817.49 -1647.48 37.464411 -11170.014139649998 135.59 0.2886 -8586.83157 -957.840348132521 -0.5219673891792395
298.15 FE SC 0.14 0.86 -13098.89 -1911.007 37.524337 -11187.88107655 146.02 0.3108 -8581.62046 -1003.8915915105914 -0.8070235485126451
298.15 FE SC 0.15 0.85 -13375.77 -2171.973 37.577728 -11203.7996032 156.45 0.333 -8576.409349999998 -1047.882375954332 -1.2102084740511028
298.15 FE SC 0.16 0.84 -13648.12 -2430.453 37.624249 -11217.66983935 166.88 0.3552 -8571.198239999998 -1089.9276385420173 -1.7672142920549188
298.15 FE SC 0.17 0.83 -13915.91 -2686.577 37.663361 -11229.33108215 177.31 0.3774 -8565.98713 -1130.1274135160918 -2.5210764974203363
298.15 FE SC 0.18 0.82 -14179.1 -2940.538 37.694313 -11238.55942095 187.74 0.3996 -8560.77602 -1168.5694517045056 -3.5231004638124275
298.15 FE SC 0.19 0.81 -14437.67 -3192.606 37.716121 -11245.06147615 198.17 0.4218 -8555.56491 -1205.3312553507326 -4.833883083843802
298.15 FE SC 0.2 0.8 -14691.6 -3443.133 37.727534 -11248.464262099998 208.6 0.444 -8550.3538 -1240.4816826440385 -6.524477980236605
298.15 FE SC 0.21 0.79 -14940.88 -3692.576 37.726993 -11248.30296295 219.03 0.4662 -8545.14269 -1274.08222978906 -8.677789934804087
298.15 FE SC 0.22 0.78 -15185.52 -3941.521 37.71255 -11243.996782499999 229.46 0.4884 -8539.93158 -1306.188067542519 -11.390348589596279
298.15 FE SC 0.23 0.77 -15425.54 -4190.724 37.681751 -11234.814060649998 239.89 0.5106 -8534.72047 -1336.8488881016199 -14.774725621218478
298.15 FE SC 0.24 0.76 -15660.99 -4441.184 37.631414 -11219.806084099999 250.32 0.5328 -8529.50936 -1366.1096036088943 -18.963067854996847
298.15 FE SC 0.25 0.75 -15891.95 -4694.262 37.557241 -11197.691404149999 260.75 0.555 -8524.29825 -1394.0109271940482 -24.11260958983446
298.15 FE SC 0.26 0.74 -16118.56 -4951.92 37.453099 -11166.64146685 271.18 0.5772 -8519.08714 -1420.5898600324033 -30.41477658185903
298.15 FE SC 0.27 0.73 -16341.01 -5217.145 37.30964 -11123.869166 281.61 0.5994 -8513.87603 -1445.8801024662048 -38.11094748966209
298.15 FE SC 0.28 0.72 -16559.63 -5494.796 37.111629 -11064.832186349999 292.04 0.6216 -8508.66492 -1469.9124032129614 -47.520764992741064
298.15 FE SC 0.29 0.71 -16775.0 -5803.683 36.797979 -10971.31743885 302.47 0.6438 -8503.453809999999 -1492.7148576699553 -59.3184222629027
298.15 FE SC 0.3 0.7 -16988.07 -6121.134 36.447882 -10866.936018299999 312.9 0.666 -8498.242699999999 -1514.313164037668 -75.57614608994102
298.15 FE SC 0.31 0.69 -17198.34 -6422.061 36.143817 -10776.27903855 323.33 0.6882 -8493.031589999999 -1534.730844232385 -96.15414048481144
298.15 FE SC 0.32 0.68 -17405.2 -6709.377 35.873972 -10695.824751799999 333.76 0.7104 -8487.820479999998 -1553.9894352015579 -120.56220295948354
298.15 FE SC 0.33 0.67 -17608.15 -6984.94 35.630422 -10623.2103193 344.19 0.7326 -8482.609369999998 -1572.1086551954763 -148.43308248158627
298.15 FE SC 0.34 0.66 -17806.76 -7249.958 35.407672 -10556.797406799998 354.62 0.7548 -8477.39826 -1589.1065487133012 -179.48192524367187
298.15 FE SC 0.35 0.65 -18000.63 -7505.221 35.201784 -10495.4118996 365.05 0.777 -8472.18715 -1604.9996131775667 -213.4810948940227
298.15 FE SC 0.36 0.64 -18189.43 -7751.245 35.009854 -10438.187970099998 375.48 0.7992 -8466.97604 -1619.8029098595373 -250.24401204396992
298.15 FE SC 0.37 0.63 -18372.83 -7988.363 34.829686 -10384.4708809 385.91 0.8214 -8461.76493 -1633.5301611487748 -289.61444856585655
298.15 FE SC 0.38 0.62 -18550.53 -8216.778 34.659575 -10333.752286249999 396.34 0.8436 -8456.55382 -1646.193835911596 -331.4592198033345
298.15 FE SC 0.39 0.61 -18722.23 -8436.603 34.49817 -10285.6293855 406.77 0.8658 -8451.342709999999 -1657.8052243977716 -375.66305454464634
298.15 FE SC 0.4 0.6 -18887.66 -8647.885 34.344384 -10239.778089599999 417.2 0.888 -8446.1316 -1668.3745039196444 -422.1248993169814
298.15 FE SC 0.41 0.59 -19046.55 -8850.621 34.197323 -10195.931852449998 427.63 0.9102 -8440.92049 -1677.9107963326926 -470.7551921398433
298.15 FE SC 0.42 0.58 -19198.64 -9044.772 34.056243 -10153.86885045 438.06 0.9324 -8435.70938 -1686.4222181834425 -521.4738077302391
298.15 FE SC 0.43 0.57 -19343.67 -9230.269 33.920518 -10113.4024417 448.49 0.9546 -8430.49827 -1693.9159242532326 -574.208478499063
298.15 FE SC 0.44 0.56 -19481.39 -9407.021 33.789612 -10074.372817799998 458.92 0.9768 -8425.28716 -1700.3981451097393 -628.8935599163234
298.15 FE SC 0.45 0.55 -19611.56 -9574.92 33.663065 -10036.64282975 469.35 0.999 -8420.07605 -1705.8742191782392 -685.4690500445063
298.15 FE SC 0.46 0.54 -19733.93 -9733.841 33.540477 -10000.09321755 479.78 1.0212 -8414.86494 -1710.3486197582595 -743.8798000586988
298.15 FE SC 0.47 0.53 -19848.27 -9883.651 33.421496 -9964.619032399998 490.21 1.0434 -8409.65383 -1713.8249773357109 -804.0748706452165
298.15 FE SC 0.48 0.52 -19954.33 -10024.21 33.305811 -9930.127549649998 500.64 1.0656 -8404.44272 -1716.3060974737868 -866.0070014951294
298.15 FE SC 0.49 0.51 -20051.89 -10155.35 33.193145 -9896.53618175 511.07 1.0878 -8399.231609999999 -1717.7939745058845 -929.632169668956
298.15 FE SC 0.5 0.5 -20140.7 -10276.93 33.08325 -9863.770987499998 521.5 1.11 -8394.020499999999 -1718.289801199083 -994.9092186575349
298.15 FE SC 0.51 0.49 -20220.54 -10388.77 32.975901 -9831.76488315 531.93 1.1322 -8388.809389999999 -1717.7939745058845 -1061.7995443085556
298.15 FE SC 0.52 0.48 -20291.17 -10490.71 32.870895 -9800.457344249999 542.36 1.1544 -8383.59828 -1716.3060974737868 -1130.26682695647
298.15 FE SC 0.53 0.47 -20352.37 -10582.58 32.768045 -9769.792616749999 552.79 1.1766 -8378.38717 -1713.8249773357109 -1200.276801437319
298.15 FE SC 0.54 0.46 -20403.91 -10664.2 32.667178 -9739.7191207 563.22 1.1988 -8373.17606 -1710.3486197582595 -1271.7970584270722
298.15 FE SC 0.55 0.45 -20445.57 -10735.38 32.568136 -9710.1897484 573.65 1.221 -8367.96495 -1705.8742191782392 -1344.796871875672
298.15 FE SC 0.56 0.44 -20477.1 -10795.94 32.47077 -9681.1600755 584.08 1.2432 -8362.75384 -1700.3981451097393 -1419.247048332997
298.15 FE SC 0.57 0.43 -20498.29 -10845.71 32.37494 -9652.588361 594.51 1.2654 -8357.54273 -1693.9159242532328 -1495.1197947575217
298.15 FE SC 0.58 0.42 -20508.92 -10884.48 32.280513 -9624.434950949999 604.94 1.2876 -8352.33162 -1686.4222181834425 -1572.3886020213508
298.15 FE SC 0.59 0.41 -20508.75 -10912.08 32.187366 -9596.663172899998 615.37 1.3098 -8347.12051 -1677.910796332693 -1651.0281418178429
298.15 FE SC 0.6 0.4 -20497.56 -10928.32 32.095376 -9569.2363544 625.8 1.332 -8341.9094 -1668.3745039196444 -1731.014175071097
298.15 FE SC 0.61 0.39 -20475.12 -10933.0 32.004428 -9542.120208199998 636.23 1.3542 -8336.69829 -1657.8052243977716 -1812.3234702625393
298.15 FE SC 0.62 0.38 -20441.21 -10925.93 31.91441 -9515.2813415 646.66 1.3764 -8331.48718 -1646.193835911596 -1894.9337303457603
298.15 FE SC 0.63 0.37 -20395.6 -10906.91 31.825211 -9488.686659649999 657.09 1.3986 -8326.27607 -1633.5301611487748 -1978.8235271295157
298.15 FE SC 0.64 0.36 -20338.06 -10875.76 31.736723 -9462.30396245 667.52 1.4208 -8321.06496 -1619.8029098595373 -2063.9722421799997
298.15 FE SC 0.65 0.35 -20268.38 -10832.28 31.648839 -9436.101347849999 677.95 1.443 -8315.85385 -1604.9996131775667 -2150.360013434957
298.15 FE SC 0.66 0.34 -20186.31 -10776.26 31.561452 -9410.046913799999 688.38 1.4652 -8310.64274 -1589.106548713301 -2237.9676868395013
298.15 FE SC 0.67 0.33 -20091.64 -10707.53 31.474454 -9384.1084601 698.81 1.4874 -8305.43163 -1572.1086551954763 -2326.77677241143
298.15 FE SC 0.68 0.32 -19984.12 -10625.87 31.387738 -9358.254084699998 709.24 1.5096 -8300.220519999999 -1553.9894352015576 -2416.7694042258804
298.15 FE SC 0.69 0.31 -19863.54 -10531.09 31.301192 -9332.4503948 719.67 1.5318 -8295.009409999999 -1534.730844232385 -2507.928303878323
298.15 FE SC 0.7 0.3 -19729.67 -10423.0 31.214705 -9306.664295749999 730.1 1.554 -8289.798299999999 -1514.313164037668 -2600.2367470432773
298.15 FE SC 0.71 0.29 -19582.26 -10301.39 31.128161 -9280.86120215 740.53 1.5762 -8284.58719 -1492.7148576699553 -2693.6785327958023
298.15 FE SC 0.72 0.28 -19421.08 -10166.07 31.04144 -9255.005336 750.96 1.5984 -8279.37608 -1469.9124032129614 -2788.237955405089
