T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 FE SN 0.0 1.0 -12648.2 4400.0 57.179958 -17048.204477699997 1.961e-27 3.468e-30 -12648.2 0.0 -0.0
298.15 FE SN 1.0 0.0 -8133.465 -0.02978849 27.279676 -8133.435399399999 1043.0 2.22 -8133.465 0.0 -5837.568155846089
298.15 FE SN 0.01 0.99 -12158.01 4944.337 57.361546 -17102.3449399 19.5182 0.0341112 -12603.052650000001 -138.82602141683572 -4.2679289625932315e-06
298.15 FE SN 0.02 0.98 -11653.3 5469.054 57.428659 -17122.35468085 38.8528 0.0670848 -12557.9053 -243.03584172567548 -0.00025821729809944957
298.15 FE SN 0.03 0.97 -11155.19 5974.428 57.453006 -17129.6137389 58.0038 0.0989208 -12512.757950000001 -334.02154674813943 -0.0027819607649698687
298.15 FE SN 0.04 0.96 -10667.93 6460.698 57.449685 -17128.62358275 76.9712 0.1296192 -12467.6106 -416.3281974105132 -0.014791124048878005
298.15 FE SN 0.05 0.95 -10193.41 6928.029 57.425588 -17121.4390622 95.755 0.15918 -12422.46325 -492.11297050679866 -0.05341350926090425
298.15 FE SN 0.06 0.94 -9732.663 7376.471 57.384317 -17109.13411355 114.3552 0.1876032 -12377.315900000001 -562.6452650375949 -0.1510343145354724
298.15 FE SN 0.07 0.93 -9286.309 7805.919 57.327612 -17092.227517799998 132.7718 0.2148888 -12332.168549999999 -628.7628773593874 -0.36076042225522426
298.15 FE SN 0.08 0.92 -8854.768 8216.07 57.255872 -17070.8382368 151.0048 0.2410368 -12287.021200000001 -691.0604007790716 -0.761626275042959
298.15 FE SN 0.09 0.91 -8438.356 8606.393 57.168371 -17044.74981365 169.0542 0.2660472 -12241.873850000002 -749.9816351924776 -1.4632878731568444
298.15 FE SN 0.1 0.9 -8037.34 8976.091 57.06333 -17013.431839499997 186.92 0.28992 -12196.7265 -805.870345271772 -2.6101074875221957
298.15 FE SN 0.11 0.89 -7651.976 9324.063 56.937914 -16976.0390591 204.6022 0.3126552 -12151.579150000001 -859.000492370776 -4.3847965809515355
298.15 FE SN 0.12 0.88 -7282.531 9648.845 56.788115 -16931.37648725 222.1008 0.3342528 -12106.4318 -909.5953759771999 -7.01230953134314
298.15 FE SN 0.13 0.87 -6929.309 9948.485 56.608399 -16877.794161849997 239.4158 0.3547128 -12061.284450000001 -957.840348132521 -10.765796430469614
298.15 FE SN 0.14 0.86 -6592.673 10220.23 56.390748 -16812.9015162 256.5472 0.3740352 -12016.137100000002 -1003.8915915105914 -15.97897414794398
298.15 FE SN 0.15 0.85 -6273.101 10459.71 56.122107 -16732.80620205 273.495 0.39222 -11970.98975 -1047.882375954332 -23.07565182453838
298.15 FE SN 0.16 0.84 -5971.299 10658.72 55.777358 -16630.019287699997 290.2592 0.4092672 -11925.8424 -1089.9276385420173 -32.64415274994474
298.15 FE SN 0.17 0.83 -5688.675 10791.2 55.273785 -16479.87899775 306.8398 0.4251768 -11880.69505 -1130.1274135160918 -46.2141198618645
298.15 FE SN 0.18 0.82 -5426.399 10907.13 54.782912 -16333.5252128 323.2368 0.4399488 -11835.547700000001 -1168.5694517045056 -66.82338152802555
298.15 FE SN 0.19 0.81 -5182.766 11025.21 54.361833 -16207.980508949999 339.4502 0.4535832 -11790.400350000002 -1205.3312553507326 -93.10355465879996
298.15 FE SN 0.2 0.8 -4956.318 11140.16 53.98786 -16096.480458999999 355.48 0.46608 -11745.253 -1240.4816826440385 -123.7124754553966
298.15 FE SN 0.21 0.79 -4745.913 11249.25 53.648046 -15995.164914899999 371.3262 0.4774392 -11700.105650000001 -1274.08222978906 -157.67621404140172
298.15 FE SN 0.22 0.78 -4550.598 11351.05 53.334398 -15901.6507637 386.9888 0.4876608 -11654.958300000002 -1306.188067542519 -194.23770471744498
298.15 FE SN 0.23 0.77 -4369.536 11444.83 53.041655 -15814.369438249998 402.4678 0.4967448 -11609.810950000001 -1336.8488881016199 -232.77829311646263
298.15 FE SN 0.24 0.76 -4201.971 11530.26 52.766167 -15732.23269105 417.7632 0.5046912 -11564.663600000002 -1366.1096036088943 -272.77353278485
298.15 FE SN 0.25 0.75 -4047.204 11607.25 52.505303 -15654.456089449997 432.875 0.5115 -11519.51625 -1394.0109271940482 -313.76640170823123
298.15 FE SN 0.26 0.74 -3904.577 11675.88 52.257101 -15580.454663149998 447.8032 0.5171712 -11474.3689 -1420.5898600324033 -355.35003647654264
298.15 FE SN 0.27 0.73 -3773.463 11736.32 52.020067 -15509.782976049997 462.5478 0.5217048 -11429.22155 -1445.8801024662048 -397.1560044053213
298.15 FE SN 0.28 0.72 -3653.26 11788.84 51.793041 -15442.09517415 477.1088 0.5251008 -11384.0742 -1469.9124032129614 -438.84597745394575
298.15 FE SN 0.29 0.71 -3543.387 11833.73 51.575113 -15377.119940949999 491.4862 0.5273592 -11338.92685 -1492.7148576699553 -480.10559371832187
298.15 FE SN 0.3 0.7 -3443.277 11871.36 51.365558 -15314.641117699999 505.68 0.52848 -11293.7795 -1514.313164037668 -520.6397802655215
298.15 FE SN 0.31 0.69 -3352.375 11902.11 51.163802 -15254.487566299998 519.6902 0.5284632 -11248.63215 -1534.730844232385 -560.169082965107
