T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 FE TA 0.0 1.0 -12364.82 -0.00107989 41.471806 -12364.8189589 1.043e-27 2.22e-30 -12364.82 0.0 -0.0
298.15 FE TA 1.0 0.0 -9359.165 -1225.73 27.279676 -8133.435399399999 1043.0 2.22 -9359.165 0.0 -5837.568155846089
298.15 FE TA 0.01 0.99 -12153.16 330.1462 41.869207 -12483.30406705 10.43 0.0222 -12334.76345 -138.82602141683572 -1.2173716933975972e-07
298.15 FE TA 0.02 0.98 -11918.68 648.5949 42.150861 -12567.279207149999 20.86 0.0444 -12304.7069 -243.03584172567548 -7.707477287391463e-06
298.15 FE TA 0.03 0.97 -11682.59 955.5474 42.388521 -12638.137536149998 31.29 0.0666 -12274.65035 -334.02154674813943 -8.686631064102029e-05
298.15 FE TA 0.04 0.96 -11449.22 1251.205 42.597428 -12700.4231582 41.72 0.0888 -12244.593799999999 -416.3281974105132 -0.00048300851422781164
298.15 FE TA 0.05 0.95 -11220.53 1535.765 42.784808 -12756.290505199999 52.15 0.111 -12214.53725 -492.11297050679866 -0.0018237377253851313
298.15 FE TA 0.06 0.94 -10997.58 1809.423 42.954895 -12807.00194425 62.58 0.1332 -12184.480699999998 -562.6452650375949 -0.005391022825081831
298.15 FE TA 0.07 0.93 -10781.02 2072.362 43.110456 -12853.382456399999 73.01 0.1554 -12154.424149999999 -628.7628773593874 -0.013459980631745846
298.15 FE TA 0.08 0.92 -10571.25 2324.759 43.253413 -12896.005085949999 83.44 0.1776 -12124.367600000001 -691.0604007790716 -0.0297000666995776
298.15 FE TA 0.09 0.91 -10368.51 2566.776 43.385148 -12935.281876199999 93.87 0.1998 -12094.31105 -749.9816351924776 -0.05963488252441791
298.15 FE TA 0.1 0.9 -10172.95 2798.555 43.506655 -12971.50918825 104.3 0.222 -12064.2545 -805.870345271772 -0.1111571782788611
