T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 FE V 0.0 1.0 -9209.853 0.0002657617 30.89 -9209.8535 8.35e-28 4e-32 -9209.853 0.0 -0.0
298.15 FE V 1.0 0.0 -8132.746 0.6829053 27.279653 -8133.428541949999 1043.0 2.22 -8132.746 0.0 -5837.568155846089
298.15 FE V 0.01 0.99 -9588.35 -223.2324 31.410757 -9365.117199549999 7.4000916 0.000174 -9199.08193 -138.82602141683572 -1.7342922776953555e-10
298.15 FE V 0.02 0.98 -9922.652 -436.8598 31.815503 -9485.792219449999 13.052246 0.000104 -9188.31086 -243.03584172567548 -1.7695480280457538e-09
298.15 FE V 0.03 0.97 -10234.25 -640.9815 32.175988 -9593.270822199998 17.176078 0.000834 -9177.539789999999 -334.02154674813943 -5.597967543094724e-08
298.15 FE V 0.04 0.96 -10527.79 -835.6967 32.507457 -9692.09830455 19.980434 0.002016 -9166.768719999998 -416.3281974105132 -2.8807333363995476e-07
298.15 FE V 0.05 0.95 -10805.54 -1021.105 32.817144 -9784.4314836 21.663598 0.00365 -9155.99765 -492.11297050679866 -7.808718471119142e-07
298.15 FE V 0.06 0.94 -11068.85 -1197.305 33.109307 -9871.53988205 22.413497 0.005736 -9145.226579999999 -562.6452650375949 -1.4532489056346538e-06
298.15 FE V 0.07 0.93 -11318.66 -1364.398 33.386756 -9954.261301399998 22.407917 0.008274 -9134.455509999998 -628.7628773593874 -2.0910180644017662e-06
298.15 FE V 0.08 0.92 -11555.67 -1522.481 33.651485 -10033.190252749999 21.814704 0.011264 -9123.684439999999 -691.0604007790716 -2.4855932767293523e-06
298.15 FE V 0.09 0.91 -11780.43 -1671.656 33.904983 -10108.77068145 20.791973 0.014706 -9112.91337 -749.9816351924776 -2.54814682472649e-06
298.15 FE V 0.1 0.9 -11993.37 -1812.02 34.148403 -10181.34635445 19.48832 0.0186 -9102.1423 -805.870345271772 -2.327031801222203e-06
298.15 FE V 0.11 0.89 -12194.86 -1943.673 34.382664 -10251.191271599999 18.043029 0.022946 -9091.371229999999 -859.000492370776 -1.9486951414490606e-06
298.15 FE V 0.12 0.88 -12385.24 -2066.715 34.608515 -10318.528747249999 16.586277 0.027744 -9080.60016 -909.5953759771999 -1.5430605366206472e-06
298.15 FE V 0.13 0.87 -12564.79 -2181.246 34.826577 -10383.54393255 15.239346 0.032994 -9069.82909 -957.840348132521 -1.198461247390882e-06
298.15 FE V 0.14 0.86 -12733.76 -2287.363 35.037374 -10446.393058099999 14.11483 0.038696 -9059.058019999999 -1003.8915915105914 -9.5543108288319e-07
298.15 FE V 0.15 0.85 -12892.38 -2385.168 35.241353 -10507.209396949998 13.316842 0.04485 -9048.286949999998 -1047.882375954332 -8.253387253326638e-07
298.15 FE V 0.16 0.84 -13040.87 -2474.759 35.4389 -10566.108034999997 12.941225 0.051456 -9037.515879999999 -1089.9276385420173 -8.18082682449231e-07
298.15 FE V 0.17 0.83 -13179.43 -2556.236 35.63035 -10623.1888525 13.075755 0.058514 -9026.74481 -1130.1274135160918 -9.76364965418756e-07
298.15 FE V 0.18 0.82 -13308.24 -2629.698 35.815998 -10678.5398037 13.800357 0.066024 -9015.97374 -1168.5694517045056 -1.4375445875417435e-06
298.15 FE V 0.19 0.81 -13427.48 -2695.245 35.996103 -10732.238109449998 15.187306 0.073986 -9005.202669999999 -1205.3312553507326 -2.5905209737792264e-06
298.15 FE V 0.2 0.8 -13537.33 -2752.975 36.170896 -10784.3526424 17.30144 0.0824 -8994.4316 -1240.4816826440385 -5.5138693799043845e-06
298.15 FE V 0.21 0.79 -13637.93 -2802.989 36.340584 -10834.945119599999 20.200364 0.091266 -8983.66053 -1274.08222978906 -1.319553495109673e-05
298.15 FE V 0.22 0.78 -13729.46 -2845.386 36.505352 -10884.0706988 23.934664 0.100584 -8972.88946 -1306.188067542519 -3.381529042275776e-05
298.15 FE V 0.23 0.77 -13812.04 -2880.265 36.665365 -10931.77857475 28.548107 0.110354 -8962.11839 -1336.8488881016199 -8.916019420520753e-05
298.15 FE V 0.24 0.76 -13885.84 -2907.726 36.820773 -10978.11346995 34.07786 0.120576 -8951.347319999999 -1366.1096036088943 -0.00023501340456887277
298.15 FE V 0.25 0.75 -13950.99 -2927.87 36.971711 -11023.11563465 40.554688 0.13125 -8940.57625 -1394.0109271940482 -0.0006076807930582627
298.15 FE V 0.26 0.74 -14007.62 -2940.798 37.118295 -11066.81965425 48.003167 0.142376 -8929.80518 -1420.5898600324033 -0.0015240052903280484
298.15 FE V 0.27 0.73 -14055.87 -2946.616 37.260624 -11109.255045599999 56.441893 0.153954 -8919.034109999999 -1445.8801024662048 -0.003684333629182244
298.15 FE V 0.28 0.72 -14095.88 -2945.432 37.398773 -11150.444169949998 65.883688 0.165984 -8908.263039999998 -1469.9124032129614 -0.008562648898187157
298.15 FE V 0.29 0.71 -14127.77 -2937.37 37.532775 -11190.39686625 76.33581 0.178466 -8897.49197 -1492.7148576699553 -0.019119479100265086
298.15 FE V 0.3 0.7 -14151.68 -2922.572 37.662603 -11229.105084449999 87.80016 0.1914 -8886.7209 -1514.313164037668 -0.04104499725966262
298.15 FE V 0.31 0.69 -14167.74 -2901.215 37.788122 -11266.5285743 100.27349 0.204786 -8875.94983 -1534.730844232385 -0.08483472823308344
298.15 FE V 0.32 0.68 -14176.12 -2873.539 37.90903 -11302.577294499999 113.74761 0.218624 -8865.178759999999 -1553.9894352015579 -0.16911939568797996
298.15 FE V 0.33 0.67 -14176.96 -2839.883 38.024749 -11337.078914349999 128.20961 0.232914 -8854.407689999998 -1572.1086551954763 -0.3258122420942372
298.15 FE V 0.34 0.66 -14170.48 -2800.744 38.134274 -11369.733793099998 143.64204 0.247656 -8843.636619999997 -1589.1065487133012 -0.6077966486823868
298.15 FE V 0.35 0.65 -14156.91 -2756.862 38.235942 -11400.046107299999 160.02313 0.26285 -8832.86555 -1604.9996131775667 -1.1000527970674312
