T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 FE ZN 0.0 1.0 -10273.74 2886.96 44.1412 -13160.698779999999 1.5798e-27 2.22e-30 -10273.74 0.0 -0.0
298.15 FE ZN 1.0 0.0 -8132.746 0.6829054 27.279653 -8133.428541949999 1043.0 2.22 -8132.746 0.0 -5837.568155846089
298.15 FE ZN 0.01 0.99 -10811.27 2256.316 43.82891 -13067.589516499998 15.74432 0.0222 -10252.33006 -138.82602141683572 -9.541599812113753e-07
298.15 FE ZN 0.02 0.98 -11280.77 1671.914 43.443516 -12952.6842954 31.38128 0.0444 -10230.92012 -243.03584172567548 -5.9387357678629356e-05
298.15 FE ZN 0.03 0.97 -11704.76 1132.199 43.05536 -12836.955584 46.91088 0.0666 -10209.51018 -334.02154674813943 -0.0006579478328662758
298.15 FE ZN 0.04 0.96 -12088.9 635.6265 42.678277 -12724.52828755 62.33312 0.0888 -10188.10024 -416.3281974105132 -0.0035960656945589614
298.15 FE ZN 0.05 0.95 -12436.47 180.6585 42.318057 -12617.12869455 77.648 0.111 -10166.6903 -492.11297050679866 -0.013345726099120766
298.15 FE ZN 0.06 0.94 -12749.83 -234.2546 41.977446 -12515.5755249 92.85552 0.1332 -10145.28036 -562.6452650375949 -0.03877324280238509
298.15 FE ZN 0.07 0.93 -13030.91 -610.6868 41.657636 -12420.224173399998 107.95568 0.1554 -10123.87042 -628.7628773593874 -0.09513946452075095
298.15 FE ZN 0.08 0.92 -13281.39 -950.2532 41.35885 -12331.141127499997 122.94848 0.1776 -10102.46048 -691.0604007790716 -0.20630211828093875
298.15 FE ZN 0.09 0.91 -13502.81 -1254.628 41.080606 -12248.1826789 137.83392 0.1998 -10081.05054 -749.9816351924776 -0.4070547556717791
298.15 FE ZN 0.1 0.9 -13696.59 -1525.562 40.821837 -12171.03070155 152.612 0.222 -10059.6406 -805.870345271772 -0.7455487367251292
298.15 FE ZN 0.11 0.89 -13864.11 -1764.904 40.580943 -12099.208155449998 167.28272 0.2442 -10038.23066 -859.000492370776 -1.2857615586460758
298.15 FE ZN 0.12 0.88 -14006.7 -1974.617 40.3558 -12032.081769999999 181.84608 0.2664 -10016.82072 -909.5953759771999 -2.110003975053551
298.15 FE ZN 0.13 0.87 -14125.66 -2156.805 40.143737 -11968.85518655 196.30208 0.2886 -9995.41078 -957.840348132521 -3.3215135478464077
298.15 FE ZN 0.14 0.86 -14222.29 -2313.739 39.941479 -11908.551963849999 210.65072 0.3108 -9974.00084 -1003.8915915105914 -5.047288960465079
298.15 FE ZN 0.15 0.85 -14297.89 -2447.908 39.745036 -11849.9824834 224.892 0.333 -9952.5909 -1047.882375954332 -7.4415266446425985
298.15 FE ZN 0.16 0.84 -14353.77 -2562.096 39.549463 -11791.67239345 239.02592 0.3552 -9931.18096 -1089.9276385420173 -10.690432614322193
298.15 FE ZN 0.17 0.83 -14391.26 -2659.547 39.348369 -11731.716217349998 253.05248 0.3774 -9909.77102 -1130.1274135160918 -15.020036575664044
298.15 FE ZN 0.18 0.82 -14411.76 -2744.309 39.132841 -11667.456544149998 266.97168 0.3996 -9888.36108 -1168.5694517045056 -20.710506805644023
298.15 FE ZN 0.19 0.81 -14416.76 -2822.009 38.88899 -11594.7523685 280.78352 0.4218 -9866.951140000001 -1205.3312553507326 -28.124731319403892
298.15 FE ZN 0.2 0.8 -14407.93 -2901.65 38.59225 -11506.279337499998 294.488 0.444 -9845.5412 -1240.4816826440385 -37.768799935964765
298.15 FE ZN 0.21 0.79 -14387.56 -3007.021 38.170529 -11380.543221349999 308.08512 0.4662 -9824.13126 -1274.08222978906 -51.22381818345322
298.15 FE ZN 0.22 0.78 -14357.37 -3089.503 37.792596 -11267.8624974 321.57488 0.4884 -9802.72132 -1306.188067542519 -70.4813420389549
298.15 FE ZN 0.23 0.77 -14317.39 -3144.324 37.474659 -11173.06958085 334.95728 0.5106 -9781.311380000001 -1336.8488881016199 -94.72477277981137
298.15 FE ZN 0.24 0.76 -14267.88 -3175.993 37.202381 -11091.88989515 348.23232 0.5328 -9759.90144 -1366.1096036088943 -123.30007354974252
298.15 FE ZN 0.25 0.75 -14209.2 -3187.619 36.966571 -11021.58314365 361.4 0.555 -9738.4915 -1394.0109271940482 -155.73056110635406
298.15 FE ZN 0.26 0.74 -14141.8 -3181.525 36.760942 -10960.274857299999 374.46032 0.5772 -9717.081559999999 -1420.5898600324033 -191.6501035231403
298.15 FE ZN 0.27 0.73 -14066.16 -3159.559 36.580931 -10906.60457765 387.41328 0.5994 -9695.67162 -1445.8801024662048 -230.7654921710529
298.15 FE ZN 0.28 0.72 -13982.81 -3123.276 36.423057 -10859.53444455 400.25888 0.6216 -9674.26168 -1469.9124032129614 -272.83403598566883
298.15 FE ZN 0.29 0.71 -13892.27 -3074.029 36.284551 -10818.238880649998 412.99712 0.6438 -9652.851739999998 -1492.7148576699553 -317.64953077440055
298.15 FE ZN 0.3 0.7 -13795.07 -3013.033 36.163129 -10782.036911349998 425.628 0.666 -9631.4418 -1514.313164037668 -365.0330696390263
